COREF,start_token,end_token,prop,cat,text
1,20,24,PROP,GPE,the United States of America
2,30,31,PROP,FAC,Penguin Books
421,33,39,NOM,ORG,an imprint of Penguin Random House LLC
3,36,39,PROP,FAC,Penguin Random House LLC
174,46,48,PROP,PER,Adib Khorram Darius
175,57,59,PROP,PER,Adib Khorram Penguin
422,82,82,PRON,PER,you
422,115,115,PRON,PER,You
423,118,118,NOM,PER,writers
175,121,121,PROP,PER,Penguin
424,128,129,NOM,PER,every reader
425,132,132,PRON,PER,us
4,136,139,PROP,ORG,THE LIBRARY OF CONGRESS
5,151,151,PROP,GPE,Khorram
175,153,153,PROP,PER,Adib
176,157,159,PROP,PER,Darius the Great
0,163,163,PRON,PER,I
175,164,165,PROP,PER,Adib Khorram
6,169,170,PROP,GPE,New York
7,174,175,PROP,FAC,Dial Books
177,185,186,PROP,PER,Darius Kellner
426,188,191,NOM,PER,a high school sophomore
8,195,195,PROP,GPE,Iran
177,198,198,PRON,PER,his
427,198,199,NOM,PER,his grandparents
427,204,204,PRON,PER,their
428,204,208,NOM,PER,their next - door neighbor
178,210,210,PROP,PER,Sohrab
177,214,214,PRON,PER,his
9,260,260,PROP,GPE,Americans
8,262,262,PROP,GPE,Iran
8,267,267,PROP,GPE,Iran
10,278,278,PROP,ORG,DDC
11,292,292,PROP,GPE,China
179,295,296,PROP,PER,Mina Chung
12,301,301,PROP,GPE,Chaparral
429,323,324,NOM,PER,the author
430,336,337,NOM,PER,actual persons
13,357,358,PROP,FAC,MF FAHILY
0,387,387,PRON,PER,my
180,390,392,PROP,PER,Smaug the Terrible
0,396,396,PRON,PER,me
0,410,410,PRON,PER,I
181,417,418,PROP,PER,Mr. Apatan
180,426,426,PROP,PER,Smaug
180,445,445,PRON,PER,I
180,450,450,PROP,PER,Smaug
181,463,463,PRON,PER,you
0,472,472,PRON,PER,I
0,484,484,PRON,PER,You
177,492,492,PROP,PER,Darius
182,513,514,PROP,PER,Charles Apatan
431,522,526,NOM,FAC,the Shoppes at Fairview Court
14,525,526,PROP,FAC,Fairview Court
182,528,528,PRON,PER,He
0,536,536,PRON,PER,I
182,540,540,PRON,PER,him
182,542,542,PRON,PER,he
15,575,576,PROP,PER,Tea Haven
432,584,584,PRON,PER,we
180,605,605,PROP,PER,Smaug
432,612,612,PRON,PER,our
0,620,620,PRON,PER,I
180,623,623,PROP,PER,Smaug
0,624,624,PRON,PER,my
0,632,632,PRON,PER,I
433,651,655,NOM,PER,anyone else at Tea Haven
15,654,655,PROP,FAC,Tea Haven
181,657,658,PROP,PER,Mr. Apatan
0,660,660,PRON,PER,me
432,669,669,PRON,PER,We
0,677,677,PRON,PER,I
180,706,706,PROP,PER,Smaug
0,720,720,PRON,PER,I
0,726,726,PRON,PER,my
180,729,729,PROP,PER,Smaug
434,744,746,NOM,PER,a people group
184,748,748,PROP,PER,Persians
0,759,759,PRON,PER,I
185,763,763,PROP,PER,Persian
0,765,765,PRON,PER,I
0,778,778,PRON,PER,my
435,778,779,NOM,PER,my mom
0,782,782,PRON,PER,You
184,785,785,PROP,PER,Persians
0,790,790,PRON,PER,my
435,790,791,NOM,PER,my mom
0,799,799,PRON,PER,I
184,804,804,PRON,PER,We
184,810,810,PRON,PER,we
435,815,815,PRON,PER,she
0,820,820,PRON,PER,I
0,829,829,PRON,PER,my
435,829,830,NOM,PER,my mom
16,843,843,PROP,GPE,Farsi
438,845,845,PRON,PER,hel
0,869,869,PRON,PER,I
181,874,875,PROP,PER,Mr. Apatan
181,877,877,PRON,PER,he
0,883,883,PRON,PER,You
2008,888,889,NOM,PER,the customers
177,891,891,PROP,PER,Darius
181,894,894,PRON,PER,he
181,898,898,PRON,PER,I
16,906,906,PROP,GPE,Farsi
0,915,915,PRON,PER,You
182,922,923,PROP,PER,Charles Apatan
439,925,930,NOM,PER,the most literal person I knew
0,929,929,PRON,PER,I
0,932,932,PRON,PER,I
0,934,934,PRON,PER,I
440,936,936,PRON,PER,our
0,945,945,PRON,PER,I
441,951,952,NOM,FAC,each station
0,954,954,PRON,PER,I
15,989,990,PROP,FAC,Tea Haven
440,996,996,PRON,PER,our
442,1022,1030,NOM,FAC,The Tea Haven at the Shoppes at Fairview Court
431,1026,1030,NOM,FAC,the Shoppes at Fairview Court
14,1029,1030,PROP,FAC,Fairview Court
444,1033,1037,NOM,FAC,a bad place to work
0,1048,1048,PRON,PER,my
445,1058,1071,NOM,FAC,one of those take - it - and - bake - it pizza places
0,1079,1079,PRON,PER,my
0,1086,1086,PRON,PER,I
0,1089,1089,PRON,PER,I
446,1093,1096,NOM,FAC,an artisanal tea store
447,1111,1114,NOM,PER,the corporate tea blenders
0,1122,1122,PRON,PER,My
17,1126,1128,PROP,FAC,Rose City Teas
448,1130,1145,NOM,FAC,"this place in the Northwest District that did small - batch , hand - selected teas"
449,1133,1135,NOM,GPE,the Northwest District
18,1153,1154,PROP,GPE,Rose City
450,1153,1156,NOM,FAC,Rose City ’s tea
451,1159,1159,PRON,PER,you
452,1166,1166,NOM,GPE,there
0,1168,1168,PRON,PER,I
453,1174,1174,PRON,PER,their
186,1180,1181,PROP,PER,Trent Bolger
0,1191,1191,PRON,PER,I
454,1196,1201,NOM,FAC,The entire front of Tea Haven
15,1200,1201,PROP,FAC,Tea Haven
455,1229,1231,NOM,PER,employees ) inside
0,1233,1233,PRON,PER,I
186,1247,1247,PROP,PER,Trent
0,1250,1250,PRON,PER,me
186,1269,1269,PROP,PER,Trent
0,1277,1277,PRON,PER,me
0,1279,1279,PRON,PER,my
186,1295,1296,PROP,PER,Trent Bolger
0,1307,1307,PRON,PER,me
186,1309,1309,PRON,PER,He
186,1315,1315,PRON,PER,himself
456,1317,1318,NOM,FAC,the store
186,1324,1324,PRON,PER,his
19,1324,1328,PROP,VEH,his Soulless Minions of Orthodoxy
20,1328,1328,PROP,GPE,Orthodoxy
187,1330,1331,PROP,PER,Chip Cusumano
2009,1336,1338,NOM,PER,D ’s Nuts
186,1341,1342,PROP,PER,Trent Bolger
0,1345,1345,PRON,PER,me
177,1346,1346,PROP,PER,Darius
186,1355,1355,PRON,PER,he
188,1360,1360,PROP,PER,Mom
188,1363,1363,PRON,PER,she
0,1365,1365,PRON,PER,me
176,1367,1369,PROP,PER,Darius the Great
0,1372,1372,PRON,PER,I
188,1374,1374,PRON,PER,she
185,1376,1376,PROP,PER,Dad
457,1379,1379,PRON,PER,themselves
0,1385,1385,PRON,PER,me
458,1387,1391,NOM,PER,a historical figure like that
0,1393,1393,PRON,PER,I
189,1406,1406,PROP,PER,D
0,1411,1411,PRON,PER,I
0,1420,1420,PRON,PER,I
186,1426,1427,PROP,PER,Trent Bolger
186,1429,1429,PRON,PER,his
459,1429,1433,NOM,PER,his Soulless Minions of Orthodoxy
20,1433,1433,PROP,GPE,Orthodoxy
460,1436,1436,PRON,PER,your
189,1440,1440,PRON,PER,D
461,1447,1447,PRON,PER,themselves
186,1451,1451,PROP,PER,Trent
186,1455,1456,PROP,PER,Trent Bolger
462,1460,1461,NOM,PER,a bully
21,1463,1466,PROP,FAC,Chapel Hill High School
186,1469,1469,PROP,PER,Trent
187,1471,1471,PROP,PER,Chip
0,1474,1474,PRON,PER,I
