start_token,end_token,supersense_category,text
11,11,noun.cognition,imprint
13,15,noun.group,Penguin Random House
18,18,verb.creation,published
21,22,noun.location,United States
30,31,noun.group,Penguin Books
34,34,noun.communication,imprint
36,38,noun.group,Penguin Random House
42,42,noun.communication,Copyright
46,47,noun.person,Adib Khorram
53,53,noun.communication,copyright
57,58,noun.group,Adib Khorram
60,60,verb.possession,supports
61,61,noun.communication,copyright
63,63,noun.communication,Copyright
64,64,verb.change,fuels
65,65,noun.cognition,creativity
67,67,verb.emotion,encourages
69,69,noun.attribute,voices
71,71,verb.communication,promotes
72,73,noun.communication,free speech
76,76,verb.creation,creates
79,79,noun.group,culture
81,81,verb.communication,Thank
84,84,verb.possession,buying
87,87,noun.communication,edition
90,90,noun.communication,book
93,93,verb.communication,complying
95,96,noun.communication,copyright laws
99,99,verb.social,reproducing
101,101,verb.perception,scanning
104,104,verb.possession,distributing
106,106,noun.artifact,part
111,111,noun.cognition,form
113,113,noun.communication,permission
117,117,verb.social,supporting
118,118,noun.person,writers
120,120,verb.communication,allowing
121,121,noun.person,Penguin
123,123,verb.stative,continue
125,125,verb.creation,publish
126,126,noun.communication,books
129,129,noun.person,reader
135,139,noun.group,penguinrandomhouse.com THE LIBRARY OF CONGRESS
143,145,noun.group,DIAL BOOKS EDITION
149,149,noun.communication,Names
151,151,noun.person,Khorram
153,153,noun.group,Adib
155,155,noun.communication,Title
160,160,verb.stative,is
167,167,noun.communication,Description
169,170,noun.location,New York
172,172,noun.location,NY
174,175,noun.group,Dial Books
181,181,noun.communication,Summary
185,186,noun.person,Darius Kellner
189,190,noun.group,high school
191,191,noun.person,sophomore
193,193,verb.motion,travels
195,195,noun.location,Iran
197,197,verb.social,meet
199,199,noun.person,grandparents
203,203,verb.stative,is
208,208,noun.person,neighbor
210,210,noun.person,Sohrab
213,213,verb.change,changes
215,215,noun.state,life
217,217,noun.communication,Identifiers
224,224,noun.communication,hardback
230,230,noun.communication,ebook
232,232,noun.communication,Subjects
235,235,noun.group,CYAC
237,237,noun.state,Friendship
239,239,noun.communication,Fiction
242,242,noun.group,Grandparents
244,244,noun.communication,Fiction
247,247,noun.location,Depression
249,249,noun.location,Mental
251,251,noun.communication,Fiction
254,255,noun.group,Iranian Americans
257,257,noun.communication,Fiction
260,260,noun.person,Americans
262,262,noun.location,Iran
264,264,noun.communication,Fiction
267,267,noun.location,Iran
269,269,noun.communication,Fiction
271,271,noun.act,Classification
273,275,noun.group,LCC PZ7.1.K5362 Dar
278,278,noun.group,DDC
282,282,noun.communication,record
290,290,verb.creation,Printed
292,293,noun.location,China Design
295,296,noun.person,Mina Chung
298,298,noun.communication,Text
301,302,noun.location,Chaparral Pro
304,304,verb.stative,is
306,306,noun.artifact,work
308,308,noun.communication,fiction
310,310,noun.communication,Names
312,312,noun.communication,characters
314,314,noun.location,places
317,317,noun.event,incidents
319,319,verb.stative,are
321,321,noun.artifact,product
324,324,noun.person,author
326,326,noun.cognition,imagination
329,329,verb.consumption,used
334,334,noun.attribute,resemblance
337,337,noun.person,persons
341,341,noun.state,dead
343,343,noun.group,businesses
345,345,noun.group,companies
347,347,noun.event,events
350,350,noun.communication,locales
351,351,verb.stative,is
356,358,noun.group,FOR MF FAHILY
376,376,noun.substance,Steam
377,377,verb.body,belched
379,379,verb.communication,hissed
381,381,noun.body,Sweat
382,382,verb.motion,trickled
388,388,noun.body,neck
390,392,noun.person,Smaug the Terrible
393,393,verb.stative,was
402,402,verb.communication,mean
405,405,noun.artifact,filter
406,406,noun.act,error
411,411,verb.communication,asked
417,418,noun.person,Mr. Apatan
419,419,verb.contact,wiggled
421,421,noun.artifact,hose
424,424,verb.stative,fed
426,426,noun.person,Smaug
429,429,noun.substance,chrome
430,430,noun.body,back
435,435,noun.attribute,error
436,436,noun.artifact,light
437,437,verb.change,went
446,446,verb.cognition,think
450,450,noun.person,Smaug
451,451,verb.communication,gurgled
454,454,verb.change,began
455,455,verb.change,boiling
464,465,verb.motion,pushing buttons
473,473,verb.communication,said
478,478,verb.cognition,check
480,480,noun.attribute,temperature
487,487,verb.stative,have
489,489,verb.cognition,check
492,492,noun.person,Darius
496,496,verb.change,stays
510,510,noun.attribute,use
511,511,verb.communication,arguing
513,514,noun.person,Charles Apatan
523,523,noun.location,Shoppes
525,526,noun.location,Fairview Court
529,529,verb.stative,was
535,535,noun.communication,articles
537,538,verb.creation,printed out
543,543,verb.communication,refused
545,545,verb.cognition,read
546,547,noun.communication,web pages
553,553,noun.food,tea
556,556,verb.contact,steeped
560,560,noun.process,boil
564,564,verb.stative,was
567,567,noun.artifact,Yunnan
571,571,noun.substance,gyokuro
575,576,noun.person,Tea Haven
578,578,verb.possession,got
581,581,noun.food,teas
585,585,verb.possession,sold
587,587,verb.change,enriched
589,589,noun.substance,antioxidants
591,591,verb.change,enhanced
596,596,noun.plant,fruit
597,597,noun.substance,extracts
599,599,verb.change,formulated
601,601,noun.state,health
603,603,noun.attribute,beauty
605,605,noun.person,Smaug
611,611,verb.stative,was
615,615,noun.attribute,strength
617,618,noun.artifact,water boiler
621,621,verb.communication,named
623,623,noun.person,Smaug
626,626,noun.time,week
633,633,verb.change,got
634,634,verb.perception,scalded
636,636,noun.event,times
640,640,noun.time,shift
646,646,noun.communication,name
649,649,verb.stative,stuck
654,655,noun.location,Tea Haven
657,658,noun.person,Mr. Apatan
659,659,verb.possession,passed
665,665,noun.act,action
666,666,noun.artifact,thermos
670,670,verb.consumption,need
672,673,noun.substance,Blueberry A^ai
678,678,verb.consumption,shoveled
679,679,noun.food,tea
684,684,noun.substance,tin
687,688,noun.artifact,filter basket
690,690,verb.contact,topped
694,694,noun.quantity,scoops
696,696,noun.substance,rock
697,697,noun.food,sugar
700,700,verb.contact,tucked
704,704,noun.artifact,spigot
706,706,noun.person,Smaug
710,710,verb.contact,Pressurized
712,712,verb.contact,spat
715,715,noun.Tops,contents
718,718,noun.artifact,thermos
721,721,verb.body,flinched
723,723,verb.change,boiling
724,724,noun.substance,water
725,725,verb.contact,spattered
727,727,noun.body,hands
729,729,noun.person,Smaug
738,738,verb.stative,was
745,745,noun.group,people
746,746,noun.group,group
748,748,noun.person,Persians
749,749,verb.stative,are
753,753,verb.emotion,like
754,754,noun.food,tea
760,760,verb.stative,was
767,767,verb.possession,inherited
771,771,noun.attribute,strength
772,772,noun.food,tea
775,775,noun.body,gene
776,776,noun.group,sequence
779,779,noun.person,mom
783,783,verb.cognition,know
785,785,noun.person,Persians
786,786,verb.creation,make
787,787,noun.food,tea
791,791,noun.person,mom
793,793,verb.communication,ask
801,801,verb.communication,say
805,805,verb.contact,put
806,806,noun.food,hell
817,817,verb.communication,say
822,822,verb.body,laugh
825,825,verb.stative,was
828,828,verb.perception,hear
830,830,noun.person,mom
834,834,verb.consumption,used
836,836,noun.communication,metaphors
838,838,verb.communication,pretend
840,840,verb.communication,curse
843,843,noun.location,Farsi
846,846,verb.communication,means
848,848,noun.substance,cardamom
852,852,verb.stative,is
854,854,verb.change,makes
856,856,noun.food,tea
861,861,noun.person,dam
862,862,verb.communication,means
865,865,verb.cognition,steep
870,870,verb.communication,explained
872,872,noun.communication,joke
874,875,noun.person,Mr. Apatan
878,878,verb.stative,was
886,887,verb.communication,swear at
889,889,noun.person,customers
891,891,noun.person,Darius
895,895,verb.communication,said
901,902,verb.motion,going to
905,905,verb.stative,’s
906,906,noun.location,Farsi
911,911,noun.communication,joke
918,918,verb.creation,do
922,923,noun.person,Charles Apatan
924,924,verb.stative,was
928,928,noun.person,person
930,930,verb.cognition,knew
935,935,verb.change,replenished
939,940,noun.artifact,sample thermoses
943,943,noun.food,tea
946,946,verb.change,refilled
948,948,noun.substance,plastic
949,949,noun.artifact,cups
952,952,noun.artifact,station
955,955,verb.stative,was
959,959,noun.substance,plastic
960,960,noun.cognition,sample
961,961,noun.artifact,cups
964,964,verb.perception,tasted
968,968,noun.substance,plastic
978,978,verb.stative,was
985,985,verb.change,made
987,987,noun.attribute,difference
989,990,noun.location,Tea Haven
993,993,noun.food,sugar
994,994,noun.quantity,content
997,997,noun.cognition,samples
998,998,verb.stative,was
1002,1002,verb.perception,mask
1004,1004,noun.cognition,taste
1007,1007,noun.substance,plastic
1008,1008,noun.artifact,cups
1015,1015,verb.change,dissolve
1018,1018,verb.possession,given
1020,1020,noun.time,time
