COREF,start_token,end_token,prop,cat,text
89,2,4,PROP,PER,SARAH J. MAAS
1,6,10,PROP,FAC,COURT OF THORNS AND ROSES
89,13,13,PROP,PER,Maas
91,15,15,PRON,PER,her
2432,24,24,NOM,PER,people
2433,27,27,NOM,PER,someone
91,30,30,PRON,PER,her
2432,32,32,PRON,PER,they
2432,40,40,PRON,PER,them
2,44,46,PROP,GPE,New York Times
90,49,50,PROP,PER,Christina Lauren
3,65,65,PROP,GPE,York
91,69,70,PROP,PER,Sarah MacLean
2434,154,161,NOM,PER,"fans of dark , lush , sexy fantasy"
89,189,191,PROP,PER,SARAH J. MAAS
1,192,197,PROP,FAC,THE COURT OF THORNS AND ROSES
5,199,297,PROP,FAC,"A Court of Thorns and Roses A Court of Mist and Fury A Court of Wings and Ruin A Court of Frost and Starlight A Court of Silver Flames A Court of Thorns and Roses Coloring Book THE CRESCENT CITY SERIES House of Earth and Blood House of Sky and Breath THE THRONE OF GLASS SERIES The Assassins Blade Throne of Glass Crown of Midnight Heir of Fire Queen of Shadows Empire of Storms Tower of Dawn Kingdom of Ash The Throne of Glass Coloring Book BLOOMSBURY PUBLISHING Bloomsbury Publishing Inc. 1385 Broadway , New York , NY 10018"
6,204,204,PROP,GPE,Roses
255,205,214,NOM,GPE,A Court of Mist and Fury A Court of Wings
7,216,231,PROP,FAC,Ruin A Court of Frost and Starlight A Court of Silver Flames A Court of Thorns
8,240,254,PROP,FAC,House of Earth and Blood House of Sky and Breath THE THRONE OF GLASS SERIES
256,255,282,NOM,GPE,The Assassins Blade Throne of Glass Crown of Midnight Heir of Fire Queen of Shadows Empire of Storms Tower of Dawn Kingdom of Ash The Throne of Glass
9,285,285,PROP,GPE,BLOOMSBURY
257,287,297,NOM,GPE,"Bloomsbury Publishing Inc. 1385 Broadway , New York , NY 10018"
10,299,299,PROP,GPE,USA
11,301,302,PROP,FAC,Earlsfort Terrace
12,304,304,PROP,GPE,Dublin
13,307,308,PROP,GPE,Ireland BLOOMSBURY
258,326,328,NOM,GPE,the United States
92,345,347,PROP,PER,Kelly de Groot
259,395,396,NOM,PER,the publishers
93,398,400,PROP,PER,Bloomsbury Publishing Pic
260,441,442,NOM,PER,The author
261,444,444,NOM,PER,publisher
14,507,509,PROP,ORG,Library of Congress
262,539,539,PRON,PER,our
263,539,540,NOM,PER,our authors
262,550,550,PRON,PER,our
15,574,575,PROP,FAC,Macmillan Corporate
264,584,605,NOM,PER,the readers who look up at the stars and wish A COURT OF FROST AND STARLIGHT Sarah J. Maas START OF BOOK
16,617,617,PROP,GPE,Velaris
0,635,635,PRON,PER,I
0,639,639,PRON,PER,my
0,666,666,PRON,PER,I
