start_token,end_token,supersense_category,text
2,4,noun.group,SARAH J. MAAS
6,10,noun.group,COURT OF THORNS AND ROSES
11,11,noun.communication,SERIES
13,13,noun.person,Maas
14,14,verb.change,transcends
16,16,noun.cognition,genre
24,24,noun.group,people
25,25,verb.communication,ask
29,29,verb.cognition,read
33,33,verb.communication,ask
35,35,noun.communication,book
36,36,verb.change,started
44,45,noun.location,New York
48,48,noun.person,author
49,50,noun.person,Christina Lauren
64,66,noun.group,New York Times
68,68,noun.person,author
69,70,noun.person,Sarah MacLean
79,80,noun.group,Entertainment Weekly
83,83,verb.emotion,dazzles
90,90,noun.act,review
110,110,noun.state,romance
112,112,noun.cognition,intrigue
114,114,noun.act,action
117,117,verb.stative,is
120,120,noun.communication,book
123,123,verb.cognition,missed
140,140,noun.event,feast
143,143,noun.cognition,senses
147,147,noun.location,USA
152,152,noun.location,spot
154,154,noun.person,fans
161,161,noun.cognition,fantasy
172,172,noun.communication,read
176,177,noun.group,Publishers Weekly
186,187,noun.group,Bustle BOOKS
212,212,noun.group,Court
218,218,noun.communication,Court
220,220,noun.substance,Frost
224,224,noun.location,Court
226,227,noun.substance,Silver Flames
229,230,noun.location,Court of
231,231,noun.substance,Thorns
234,235,noun.substance,Coloring Book
237,238,noun.location,CRESCENT CITY
239,239,noun.communication,SERIES
242,242,noun.substance,Earth
244,245,noun.substance,Blood House
247,247,noun.substance,Sky
249,249,noun.substance,Breath
257,258,noun.substance,Blade Throne
260,261,noun.substance,Glass Crown
263,264,noun.substance,Midnight Heir
266,267,noun.substance,Fire Queen
269,270,noun.substance,Shadows Empire
272,273,noun.location,Storms Tower
275,276,noun.location,Dawn Kingdom
278,289,noun.group,Ash The Throne of Glass Coloring Book BLOOMSBURY PUBLISHING Bloomsbury Publishing Inc.
291,291,noun.location,Broadway
293,294,noun.location,New York
296,297,noun.location,NY 10018
299,299,noun.location,USA
301,302,noun.location,Earlsfort Terrace
304,304,noun.location,Dublin
307,308,noun.location,Ireland BLOOMSBURY
310,311,noun.location,BLOOMSBURY PUBLISHING
316,316,noun.communication,logo
317,317,verb.stative,are
318,318,noun.communication,trademarks
320,322,noun.group,Bloomsbury Publishing Pic
324,324,verb.creation,published
327,328,noun.location,United States
331,331,noun.communication,paperback
332,332,noun.communication,edition
333,333,verb.social,published
335,335,noun.communication,Copyright
337,339,noun.person,Sarah J. Maas
343,343,noun.communication,copyright
345,347,noun.person,Kelly de Groot
355,355,noun.relation,part
358,358,noun.communication,publication
361,361,verb.contact,reproduced
363,363,verb.contact,transmitted
366,366,noun.communication,form
376,376,verb.stative,including
377,377,verb.contact,photocopying
379,379,noun.artifact,recording
383,383,noun.communication,information
384,384,noun.artifact,storage
386,387,noun.artifact,retrieval system
391,391,noun.communication,permission
396,396,noun.person,publishers
403,403,verb.possession,have
405,405,noun.relation,control
409,409,noun.act,responsibility
415,415,noun.group,party
416,416,noun.artifact,websites
417,417,verb.communication,referred
422,422,noun.communication,book
425,425,noun.artifact,internet
426,426,noun.communication,addresses
427,427,verb.communication,given
430,430,noun.communication,book
431,431,verb.stative,were
435,435,noun.event,time
437,438,verb.motion,going to
439,439,noun.act,press
442,442,noun.person,author
444,444,noun.person,publisher
445,445,verb.emotion,regret
447,447,noun.state,inconvenience
448,448,verb.creation,caused
450,450,noun.quantity,addresses
452,452,verb.change,changed
454,454,noun.location,sites
456,456,verb.change,ceased
458,458,verb.stative,exist
462,462,verb.possession,accept
464,464,noun.act,responsibility
468,468,noun.event,changes
507,509,noun.group,Library of Congress
514,514,noun.communication,Publication
516,516,verb.stative,is
522,522,noun.communication,Typeset
524,525,noun.location,Westchester Publishing
532,533,noun.location,U.S.A Visit
536,536,verb.cognition,learn
540,540,noun.person,authors
542,542,noun.communication,books
544,544,verb.social,Visit
547,548,verb.communication,sign up
551,553,noun.group,Sarah J. Maas
554,554,noun.communication,newsletter
556,556,noun.group,Bloomsbury
557,557,noun.communication,books
560,560,verb.possession,purchased
565,565,noun.act,use
568,568,noun.communication,information
570,570,noun.communication,bulk
571,571,noun.possession,purchases
573,573,verb.communication,contact
574,575,noun.person,Macmillan Corporate
585,585,noun.person,readers
587,588,verb.body,look up
591,591,noun.location,stars
593,593,noun.feeling,wish
595,598,noun.location,COURT OF FROST AND
599,603,noun.location,STARLIGHT Sarah J. Maas START
610,610,noun.substance,snow
612,612,noun.time,winter
614,614,verb.change,begun
615,615,verb.motion,whipping
617,617,noun.location,Velaris
619,619,noun.time,hour
623,623,noun.object,ground
626,626,verb.change,frozen
629,629,noun.time,week
634,634,noun.event,time
637,637,verb.change,finished
638,638,verb.consumption,devouring
640,640,noun.food,breakfast
642,642,noun.food,toast
644,644,noun.food,bacon
646,647,verb.contact,washed down
651,651,noun.artifact,cup
653,653,noun.food,tea
657,657,noun.substance,cobblestones
659,659,verb.contact,dusted
663,663,noun.attribute,white
664,664,noun.substance,powder
667,667,verb.perception,had
669,669,noun.cognition,idea
671,671,noun.person,Rhys
672,672,verb.stative,was
677,677,verb.stative,been
679,679,noun.artifact,bed
683,683,verb.body,awoken
686,686,noun.artifact,mattress
689,689,noun.body,side
698,698,verb.stative,were
703,703,noun.state,point
705,705,noun.state,exhaustion
707,707,noun.time,days
713,713,noun.plant,cherrywood
714,715,noun.artifact,dining table
718,719,noun.artifact,town house
722,722,verb.perception,frowned
726,726,noun.phenomenon,snow
730,730,noun.substance,glass
731,731,noun.artifact,windows
737,737,verb.emotion,dreaded
740,740,noun.substance,snow
743,743,verb.stative,lived
745,745,noun.feeling,terror
750,750,noun.time,winters
755,755,verb.stative,been
760,760,noun.time,winter
763,763,verb.contact,brought
769,769,noun.group,woods
771,771,noun.time,day
774,774,noun.time,years
781,781,noun.time,winter
784,784,verb.change,made
789,789,verb.contact,kill
791,791,noun.animal,wolf
796,796,verb.stative,led
802,802,noun.state,life
808,808,noun.state,happiness
810,812,noun.person,SARAH J. MAAS
814,814,noun.phenomenon,snow
815,815,verb.motion,fell
818,818,noun.artifact,clumps
819,819,verb.contact,plopping
823,823,noun.plant,grass
827,828,noun.artifact,front lawn
830,830,verb.contact,crusting
832,832,noun.artifact,spikes
834,834,noun.artifact,arches
838,838,noun.artifact,fence
846,846,verb.motion,rising
850,850,noun.phenomenon,flake
856,856,noun.attribute,power
857,857,verb.emotion,stirred
860,860,verb.stative,was
862,862,noun.person,Lady
865,866,noun.group,Night Court
876,876,noun.cognition,gifts
880,880,noun.group,courts
883,883,verb.perception,seemed
884,884,noun.person,Winter
886,886,verb.emotion,wanted
888,888,verb.social,play
894,894,verb.stative,be
898,898,verb.motion,lowered
900,900,noun.artifact,shield
903,903,noun.substance,adamant
904,904,verb.social,guarding
906,906,noun.body,mind
908,908,verb.creation,cast
910,910,noun.cognition,thought
913,913,noun.location,soulbridge
917,917,noun.person,Rhys
921,922,verb.motion,fly off
928,928,noun.communication,question
929,929,verb.change,faded
931,931,noun.attribute,blackness
935,935,noun.communication,sign
937,937,noun.person,Rhys
938,938,verb.stative,was
941,941,noun.location,Velaris
948,948,noun.location,borders
951,952,noun.location,Night Court
960,960,verb.social,visiting
962,962,noun.act,war
963,963,noun.person,allies
965,965,noun.time,months
967,967,verb.change,solidify
969,969,noun.relation,relationships
971,971,verb.creation,build
972,972,noun.act,trade
975,976,verb.social,keep tabs
981,981,noun.artifact,wall
982,982,noun.cognition,intentions
987,987,noun.act,work
988,988,verb.social,allowed
993,993,verb.social,joined
997,998,verb.contact,scooped up
1000,1000,noun.artifact,plate
1002,1002,verb.change,draining
1004,1004,noun.food,tea
1007,1007,noun.substance,dregs
1010,1010,verb.motion,padded
1013,1013,noun.artifact,kitchen
1015,1015,noun.act,Playing
1017,1017,noun.substance,ice
1019,1019,noun.substance,snow
1021,1021,verb.stative,wait
