COREF,start_token,end_token,prop,cat,text
1,7,9,PROP,GPE,THE UNITED STATES
595,10,11,PROP,PER,PAUL ORTIZ
2,13,22,PROP,GPE,"American History BEACON PRESS BOSTON BEACON PRESS Boston , Massachusetts"
3,17,17,PROP,GPE,BOSTON
3,20,20,PROP,GPE,Boston
4,22,22,PROP,GPE,Massachusetts
1102,33,38,NOM,PER,the Unitarian Universalist Association of Congregations
595,43,44,PROP,PER,Paul Ortiz
5,50,54,PROP,GPE,the United States of America
1103,84,94,NOM,PER,notable scholars that reconstruct and reinterpret US history from diverse perspectives
1,90,90,PRON,PER,US
6,128,133,PROP,ORG,Taylor Publishing Services LIBRARY OF CONGRESS
595,142,142,PROP,PER,Ortiz
595,144,144,PROP,PER,Paul
1104,146,146,NOM,PER,author
1105,157,159,NOM,GPE,the United States
595,161,162,PROP,PER,Paul Ortiz
3,166,166,PROP,GPE,Boston
7,168,169,PROP,FAC,Beacon Press
0,181,181,PRON,PER,I
0,195,195,PRON,PER,I
1106,222,223,NOM,PER,Hispanic Americans
0,240,240,PRON,PER,I
1107,241,242,NOM,GPE,United States
1108,250,251,NOM,GPE,Caribbean Area
1107,263,264,NOM,GPE,United States
1107,270,271,NOM,GPE,United States
1107,278,279,NOM,GPE,United States
1107,284,285,NOM,GPE,United States
8,289,290,PROP,GPE,Latin America
1,298,299,PROP,GPE,United States
596,333,334,PROP,PER,Sheila Payne
1113,338,342,NOM,PER,sister in struggle CONTENTS Author
0,357,357,PRON,PER,i
1107,381,381,PRON,PER,US
10,406,407,PROP,LOC,the World
11,423,430,PROP,FAC,Global Visions of Reconstruction The Cuban Solidarity Movement
1114,440,448,NOM,ORG,the Government of American Banks in the Global South
12,446,448,PROP,LOC,the Global South
13,459,459,PROP,GPE,America
1115,488,498,NOM,PER,El Gran Paro Estadounidense The Rebirth of the American Working Class
0,528,528,PRON,PER,I
0,540,540,PRON,PER,I
0,547,547,PRON,PER,me
0,561,561,PRON,PER,my
1116,561,566,NOM,PER,"my new , white , stepfather"
0,570,570,PRON,PER,I
1117,577,578,NOM,PER,the family
0,579,579,PRON,PER,I
3572,594,595,NOM,PER,a nigger
0,599,599,PRON,PER,I
0,604,604,PRON,PER,I
0,610,610,PRON,PER,my
1118,610,611,NOM,PER,my mother
1119,613,614,NOM,PER,baby sister
0,616,616,PRON,PER,My
1120,616,617,NOM,PER,My stepfather
0,622,622,PRON,PER,I
1120,624,624,PRON,PER,his
3573,628,630,NOM,PER,Mexican standoffs ”
1120,632,632,PRON,PER,he
0,634,634,PRON,PER,my
1120,644,644,PRON,PER,He
0,646,646,PRON,PER,me
0,649,649,PRON,PER,my
595,652,653,PROP,PER,Paul Ortiz
597,655,656,PROP,PER,Mick MacDonald
597,658,658,PROP,PER,MacDonald
1120,660,660,PRON,PER,his
0,663,663,PRON,PER,I
1121,667,671,NOM,PER,the white adults around me
0,671,671,PRON,PER,me
598,674,675,PROP,PER,the Blacks
1122,680,697,NOM,PER,the two groups were constantly paired in derision in the discourse of the post - civil rights era
1,703,705,PROP,GPE,the United States
3574,709,710,NOM,PER,real Americans
1123,713,713,PRON,PER,we
1124,715,716,NOM,PER,all thieves
1123,718,718,PRON,PER,We
1125,720,721,NOM,PER,good Americans
1123,730,730,PRON,PER,we
1123,736,736,PRON,PER,we
1125,740,740,PRON,PER,their
1126,740,741,NOM,GPE,their country
1123,745,745,PRON,PER,we
0,776,776,PRON,PER,my
1127,784,787,NOM,PER,a Mexican American Boy
599,789,789,PROP,PER,Irish
0,791,791,PRON,PER,My
1118,791,792,NOM,PER,My mother
597,796,796,PROP,PER,MacDonald
0,799,799,PRON,PER,my
1118,799,800,NOM,PER,my mother
0,806,806,PRON,PER,I
0,808,808,PRON,PER,my
0,814,814,PRON,PER,my
0,820,820,PRON,PER,my
0,830,830,PRON,PER,I
0,847,847,PRON,PER,my
1130,847,851,NOM,PER,my Chicano and Black peers
14,853,854,PROP,GPE,San Leandro
15,856,856,PROP,GPE,California
16,859,864,PROP,FAC,Bremer- x Author ’s Note ton
17,866,866,PROP,GPE,Washington
1131,868,876,NOM,GPE,the towns where I spent most of my youth
0,871,871,PRON,PER,I
0,875,875,PRON,PER,my
1132,880,880,PRON,PER,us
1132,882,882,PRON,PER,our
1132,888,888,PRON,PER,our
1133,888,889,NOM,PER,our families
0,891,891,PRON,PER,I
1134,897,898,NOM,PER,a scholar
0,899,899,PRON,PER,I
1135,904,908,NOM,PER,no Latinx or Black children
1135,917,917,PRON,PER,they
1135,922,922,PRON,PER,they
1136,926,930,NOM,PER,"Collectively speaking , African Americans"
1137,932,933,NOM,PER,Latinx people
1132,943,943,PRON,PER,we
1132,949,949,PRON,PER,our
1138,949,950,NOM,PER,our ancestors
0,960,960,PRON,PER,I
1135,965,965,PRON,PER,their
1132,974,974,PRON,PER,We
18,979,979,PROP,GPE,Mexico
1105,984,986,NOM,GPE,the United States
1132,989,989,PRON,PER,We
1140,994,995,NOM,PER,African Americans
19,1009,1009,PROP,GPE,Spain
1141,1011,1012,NOM,PER,No one
20,1017,1017,PROP,GPE,Haiti
1142,1021,1024,NOM,PER,many of our ancestors
1132,1023,1023,PRON,PER,our
1138,1023,1024,NOM,PER,our ancestors
1132,1035,1035,PRON,PER,our
600,1040,1041,PROP,PER,the Europeans
1132,1043,1043,PRON,PER,We
1144,1050,1054,NOM,GPE,every country in Latin America
8,1053,1054,PROP,GPE,Latin America
21,1056,1057,PROP,LOC,the Caribbean
22,1060,1060,PROP,GPE,Africa
1145,1072,1077,NOM,PER,The descendants of these epic movements
1146,1079,1087,NOM,PER,today ’s reviled “ free - loading ” immigrants
0,1109,1109,PRON,PER,my
1147,1115,1120,NOM,PER,a Chicano in the United States
1,1118,1120,PROP,GPE,the United States
0,1126,1126,PRON,PER,I
0,1151,1151,PRON,PER,I
0,1153,1153,PRON,PER,my
1148,1156,1156,NOM,FAC,there
0,1160,1160,PRON,PER,I
1149,1173,1175,NOM,PER,a graduate student
1150,1179,1191,NOM,PER,"Duke students involved in labor organizing , human rights , and health advocacy"
0,1193,1193,PRON,PER,me
1150,1196,1196,PRON,PER,they
1151,1210,1214,NOM,PER,the Black and Latinx diasporas
1152,1218,1218,NOM,PER,Students
23,1235,1236,PROP,GPE,Central America
18,1238,1238,PROP,GPE,Mexico
24,1240,1241,PROP,GPE,North Carolina
1153,1262,1270,NOM,GPE,a state where African Americans had historically been oppressed
1140,1265,1266,NOM,PER,African Americans
0,1277,1277,PRON,PER,my
25,1286,1289,PROP,FAC,the University of Florida
26,1289,1289,PROP,GPE,Florida
1104,1297,1297,NOM,PER,Author
27,1301,1302,PROP,LOC,the Americas
0,1322,1322,PRON,PER,I
1156,1331,1340,NOM,PER,an organizer with the United Farm Workers of Washington State
601,1334,1340,PROP,PER,the United Farm Workers of Washington State
28,1339,1340,PROP,GPE,Washington State
29,1350,1353,PROP,FAC,Chateau St. Michelle Wines
1157,1356,1357,NOM,PER,vineyard workers
0,1364,1364,PRON,PER,I
1158,1375,1377,NOM,PER,the labor movement
1159,1379,1382,NOM,PER,the United Farm Workers
0,1395,1395,PRON,PER,me
1160,1413,1413,NOM,PER,People
0,1416,1416,PRON,PER,me
1161,1455,1465,NOM,PER,agricultural workers in the centuries between Christopher Columbus and Ronald Reagan
602,1461,1462,PROP,PER,Christopher Columbus
603,1464,1465,PROP,PER,Ronald Reagan
1161,1470,1470,PRON,PER,their
1162,1470,1471,NOM,PER,their employers
0,1486,1486,PRON,PER,My
1163,1489,1498,NOM,PER,a paratrooper and radio operator in the United States Army
1164,1495,1498,NOM,ORG,the United States Army
0,1513,1513,PRON,PER,me
604,1519,1520,PROP,PER,Herman Melville
