start_token,end_token,supersense_category,text
4,19,noun.group,LATINX HISTORY OF THE UNITED STATES PAUL ORTIZ ReVisioning American History BEACON PRESS BOSTON BEACON PRESS
20,20,noun.location,Boston
22,22,noun.location,Massachusetts
23,25,noun.group,www.beacon.org Beacon Press
26,26,noun.communication,books
28,28,verb.creation,published
31,31,noun.act,auspices
34,38,noun.group,Unitarian Universalist Association of Congregations
43,44,noun.person,Paul Ortiz
51,52,noun.location,United States
71,72,noun.group,Beacon Press
74,76,noun.group,ReVisioning American History
77,77,noun.communication,series
78,79,verb.stative,consists of
81,81,verb.creation,written
82,82,noun.communication,books
85,85,noun.person,scholars
87,87,verb.cognition,reconstruct
89,89,verb.communication,reinterpret
91,91,noun.time,history
94,94,noun.cognition,perspectives
97,97,noun.communication,book
99,99,verb.contact,printed
101,101,noun.substance,acid
104,104,noun.substance,paper
106,106,verb.motion,meets
109,109,noun.substance,paper
110,110,noun.group,ANSI
113,113,noun.communication,specifications
115,115,noun.attribute,permanence
117,117,verb.communication,revised
121,121,noun.communication,Text
122,122,noun.act,design
124,124,noun.act,composition
126,126,noun.location,Wilsted
128,134,noun.group,Taylor Publishing Services LIBRARY OF CONGRESS CATALOGING
138,140,noun.group,PUBLICATION DATA Names
142,142,noun.person,Ortiz
144,144,noun.person,Paul
146,146,noun.person,author
148,148,noun.communication,Title
155,155,noun.communication,history
158,159,noun.location,United States
161,162,noun.group,Paul Ortiz
166,166,noun.location,Boston
168,169,noun.location,Beacon Press
179,179,noun.communication,history
184,184,noun.communication,references
186,186,noun.artifact,index
188,188,noun.communication,Identifiers
193,193,noun.communication,print
199,199,noun.communication,ebook
206,206,noun.communication,book
211,211,noun.communication,paperback
216,216,noun.communication,hardcover
218,218,noun.communication,Subjects
228,229,noun.group,African Americans
234,235,noun.location,United States
237,238,noun.group,Race relations
241,242,noun.location,United States
245,245,noun.relation,relations
250,251,noun.group,Caribbean Area
255,255,noun.group,government
261,261,noun.group,movements
263,264,noun.location,United States
267,268,noun.group,Working class
270,271,noun.group,United States
278,279,noun.location,United States
281,281,noun.location,History
284,285,noun.location,United States
287,287,noun.location,Relations
289,290,noun.location,Latin America
293,294,noun.location,Latin America
296,296,noun.location,Relations
298,299,noun.location,United States
306,306,noun.communication,ebook
317,317,noun.communication,print
325,325,noun.communication,record
369,369,noun.time,1770s
373,373,noun.communication,CHAPTER
381,382,noun.group,US History
396,396,noun.communication,CHAPTERS
399,399,verb.change,Break
407,407,noun.object,World
447,448,noun.location,Global South
454,454,noun.communication,CHAPTER
467,468,noun.group,Working Class
472,472,noun.time,1940s
474,474,noun.communication,CHAPTER
497,498,noun.group,Working Class
500,500,noun.time,1970s
516,516,noun.communication,Notes
521,525,noun.group,Sources 194 Index 261 AUTHOR
530,530,verb.body,born
535,535,verb.stative,was
537,538,noun.time,fourth grade
541,541,verb.cognition,remember
543,543,noun.communication,words
545,545,verb.consumption,used
554,554,verb.stative,was
555,555,noun.time,dinnertime
558,559,noun.artifact,kitchen table
566,566,noun.person,stepfather
567,567,verb.communication,announced
571,571,verb.emotion,wanted
573,573,verb.stative,continue
574,574,verb.consumption,eating
575,575,noun.food,meals
578,578,noun.group,family
585,585,verb.consumption,eating
588,588,noun.person,spic
592,592,verb.consumption,drinking
595,595,noun.person,nigger
600,600,verb.cognition,learned
602,603,noun.act,table manners
606,606,verb.social,forbidden
608,608,verb.consumption,eat
611,611,noun.person,mother
613,613,noun.person,baby
614,614,noun.person,sister
617,617,noun.person,stepfather
618,618,verb.communication,referred
620,620,noun.event,incidents
623,623,verb.communication,defied
625,625,noun.attribute,authority
629,629,noun.person,standoffs
633,633,verb.contact,washed
635,635,noun.body,mouth
639,639,noun.food,sauce
642,642,noun.act,lesson
645,645,verb.social,forced
648,648,verb.change,change
650,650,noun.communication,name
652,653,noun.person,Paul Ortiz
655,656,noun.person,Mick MacDonald
658,658,noun.person,MacDonald
659,659,verb.stative,being
661,661,noun.communication,surname
665,665,verb.communication,taught
669,669,noun.person,adults
675,675,noun.person,Blacks
677,677,noun.person,Mexicans
682,682,noun.group,groups
685,685,verb.competition,paired
687,687,noun.communication,derision
690,690,noun.communication,discourse
695,696,noun.act,civil rights
697,697,noun.time,era
700,700,verb.possession,contributed
701,701,noun.quantity,nothing
704,705,noun.location,United States
710,710,noun.person,Americans
714,714,verb.stative,were
716,716,noun.person,thieves
719,719,verb.possession,stole
721,721,noun.person,Americans
723,723,noun.artifact,jobs
731,731,verb.stative,were
739,739,verb.possession,stolen
741,741,noun.group,country
746,746,verb.possession,had
748,748,noun.cognition,idea
754,754,verb.change,happened
757,757,verb.stative,is
761,761,noun.communication,text
763,763,noun.state,race
765,765,noun.attribute,ethnicity
766,766,verb.communication,titled
770,770,verb.change,Became
778,778,noun.time,childhood
779,779,noun.time,years
782,782,verb.communication,called
788,788,verb.stative,Became
792,792,noun.person,mother
794,794,noun.state,marriage
796,796,noun.person,MacDonald
797,797,verb.stative,ended
800,800,noun.person,mother
803,803,noun.act,divorce
807,807,verb.stative,spent
810,810,noun.time,life
811,811,verb.social,trying
813,813,verb.possession,reclaim
816,816,noun.communication,name
821,821,noun.attribute,ability
823,823,verb.communication,speak
829,829,noun.time,years
832,832,verb.communication,struck
836,836,noun.communication,speech
837,837,noun.cognition,impediment
839,839,noun.cognition,Racism
840,840,verb.stative,was
843,843,noun.communication,fact
845,845,noun.state,life
851,851,noun.person,peers
853,854,noun.location,San Leandro
856,856,noun.location,California
859,859,noun.location,Bremer-
