COREF,start_token,end_token,prop,cat,text
225,2,18,NOM,PER,ghost boys A New York Times bestseller An E.B. White Read - Aloud Award winner A Children
226,24,27,NOM,PER,A Jane Addams Children
68,45,45,PRON,PER,my
68,51,51,PRON,PER,I
68,62,63,PROP,PER,Angie Thomas
1,68,69,PROP,GPE,New York
227,70,77,NOM,PER,Times bestselling author of The Hate U Give
69,82,83,PROP,PER,Ghost Boys
69,94,94,PRON,PER,its
69,99,99,PRON,PER,its
69,107,107,PRON,PER,its
70,123,125,PROP,PER,Gary D. Schmidt
71,155,156,PROP,PER,Kate Messner
69,164,164,PROP,PER,Rhodes
69,212,213,PROP,FAC,Ghost Boys
0,226,226,PRON,PER,I
228,228,228,NOM,PER,parents
228,234,234,PRON,PER,their
229,234,235,NOM,PER,their children
68,247,247,PROP,PER,Thomas
3,249,249,PROP,GPE,Mew
4,250,250,PROP,GPE,York
230,251,262,NOM,PER,Titties bestselling author of The Hate U Give PRAISE FOR GHOSt BOYS
68,268,268,PRON,PER,my
68,274,274,PRON,PER,I
68,285,286,PROP,PER,Angie Thomas
1147,288,306,NOM,PER,the # 1 New York Times bestselling author of The Hate U Give “ The voice of Ghost Boys
69,317,317,PRON,PER,its
69,322,322,PRON,PER,its
70,346,348,PROP,PER,Gary D. Schmidt
231,350,357,NOM,PER,award - winning author of The Wednesday Wars
69,359,360,PROP,PER,Ghost Boys
1148,363,363,NOM,PER,readers
1149,368,377,NOM,PER,young black boys who have been killed due to racism
1150,385,386,PROP,PER,Emmett Till
69,401,403,PROP,PER,Jewell Parker Rhodes
1151,406,407,NOM,PER,the living
72,424,425,PROP,PER,Nikki Grimes
232,427,434,NOM,PER,bestselling and award - winning author of Garvey
71,461,462,PROP,PER,Kate Messner
69,470,471,PROP,PER,Ghost Boys
233,484,484,PRON,PER,I
228,486,486,NOM,PER,parents
228,492,492,PRON,PER,their
229,492,493,NOM,PER,their children
233,497,498,NOM,PER,The Monitor
73,513,513,PROP,PER,VOYA
69,515,515,PROP,PER,Rhodes
5,560,562,PROP,FAC,WCMU Public Radio
69,565,565,PROP,PER,Rhodes
1154,583,596,NOM,PER,readers who are just beginning to explore the ideas of privilege and implicit bias
6,600,602,PROP,FAC,School Library Journal
1155,627,627,PRON,PER,we
7,641,643,PROP,FAC,School Library Connection
69,647,652,PROP,PER,GHOST BOYS Jewell Parker Rhodes LITTLE
234,680,681,NOM,PER,the author
235,698,698,NOM,PER,persons
69,711,712,PROP,PER,Parker Rhodes
69,729,731,PROP,PER,Jewell Parker Rhodes
69,745,747,PROP,PER,Jewell Parker Rhodes
74,754,755,PROP,PER,Shadra Strickland
75,760,761,PROP,PER,Marcie Lawrence
8,768,770,PROP,FAC,Hachette Book Group
8,773,775,PROP,FAC,Hachette Book Group
236,795,795,NOM,PER,writers
237,797,797,NOM,PER,artists
238,805,805,PRON,PER,our
234,824,825,NOM,PER,the author
240,831,831,PRON,PER,you
240,854,854,PRON,PER,you
240,856,856,PRON,PER,your
234,859,860,NOM,PER,the author
69,864,864,PROP,PER,Little
76,866,866,PROP,PER,Brown
9,868,876,PROP,FAC,Company Hachette Book Group 1290 Avenue of the Americas
10,875,876,PROP,LOC,the Americas
1,878,879,PROP,GPE,New York
11,881,881,PROP,GPE,NY
242,884,884,PRON,PER,us
76,896,896,PROP,GPE,Brown
76,911,911,PROP,PER,Brown
243,913,913,NOM,PER,Company
244,915,920,NOM,ORG,a division of Hachette Book Group
