start_token,end_token,supersense_category,text
2,3,noun.person,ghost boys
4,7,noun.group,A New York Times
8,8,noun.communication,bestseller
10,12,noun.group,E.B. White Read
16,16,noun.person,winner
42,42,verb.stative,was
49,49,noun.communication,books
52,52,verb.stative,was
58,58,verb.cognition,read
62,63,noun.person,Angie Thomas
68,69,noun.location,New York
72,72,noun.person,author
76,77,noun.location,U Give
80,80,noun.communication,voice
82,83,noun.person,Ghost Boys
84,84,verb.stative,is
91,92,verb.change,rings out
95,96,noun.communication,plot lines
100,100,noun.cognition,characters
104,104,noun.attribute,tones
108,108,noun.communication,images
112,112,verb.stative,is
115,115,noun.attribute,voice
116,116,verb.communication,says
118,119,noun.communication,Bear witness
123,125,noun.person,Gary D. Schmidt
130,130,noun.person,author
133,134,noun.group,Wednesday Wars
144,144,verb.stative,is
146,146,noun.communication,book
149,149,verb.change,start
151,151,noun.communication,conversations
155,156,noun.person,Kate Messner
158,158,noun.person,author
164,164,noun.person,Rhodes
166,166,verb.social,achieved
174,174,noun.cognition,eye
176,176,noun.cognition,view
178,178,noun.act,violence
180,180,noun.cognition,racism
182,182,verb.communication,balances
183,183,noun.attribute,innocence
185,185,noun.feeling,outrage
188,188,noun.feeling,loss
193,193,noun.feeling,hope
197,198,noun.location,Chicago Tribune
200,200,verb.creation,Written
205,205,noun.communication,novel
208,210,noun.group,WCMU Public Radio
212,213,noun.group,Ghost Boys
214,214,verb.stative,is
217,217,noun.communication,prose
224,224,noun.time,time
227,227,verb.emotion,hope
228,228,noun.person,parents
230,230,verb.cognition,read
232,232,noun.communication,book
235,235,noun.person,children
247,247,noun.person,Thomas
249,250,noun.location,Mew York
253,253,noun.person,author
261,262,noun.group,GHOSt BOYS
265,265,verb.stative,was
272,272,noun.communication,books
275,275,verb.stative,was
280,281,noun.communication,must read
285,286,noun.person,Angie Thomas
291,293,noun.location,New York Times
295,295,noun.person,author
303,303,noun.attribute,voice
305,306,noun.group,Ghost Boys
307,307,verb.stative,is
314,315,verb.perception,rings out
318,319,noun.communication,plot lines
323,323,noun.cognition,characters
327,327,noun.attribute,tones
331,331,noun.communication,images
335,335,verb.stative,is
338,338,noun.communication,voice
339,339,verb.communication,says
346,348,noun.person,Gary D. Schmidt
353,353,noun.person,author
356,357,noun.location,Wednesday Wars
362,362,verb.motion,walks
363,363,noun.person,readers
366,366,noun.location,minefield
370,370,noun.person,boys
374,374,verb.social,killed
377,377,noun.cognition,racism
379,379,verb.cognition,dating
383,383,noun.act,murder
385,386,noun.person,Emmett Till
389,389,verb.cognition,exploring
391,391,noun.feeling,fear
393,393,verb.stative,is
396,396,noun.location,core
399,399,noun.act,murders
401,403,noun.person,Jewell Parker Rhodes
404,404,verb.communication,suggests
405,405,noun.act,ways
407,407,noun.group,living
409,409,verb.change,crack
411,411,noun.feeling,fear
416,416,verb.change,end
418,418,noun.event,epidemic
420,420,noun.state,death
424,425,noun.person,Nikki Grimes
429,429,noun.act,award
432,432,noun.person,author
434,434,noun.person,Garvey
440,440,noun.communication,Word
450,450,verb.stative,is
452,452,noun.communication,book
455,455,verb.change,start
457,457,noun.communication,conversations
461,462,noun.person,Kate Messner
464,464,noun.person,author
470,471,noun.group,Ghost Boys
472,472,verb.stative,is
475,475,noun.communication,prose
482,482,noun.time,time
485,485,verb.emotion,hope
486,486,noun.person,parents
488,488,verb.cognition,read
490,490,noun.communication,book
493,493,noun.person,children
504,504,noun.communication,story
509,509,verb.cognition,read
515,515,noun.person,Rhodes
517,517,verb.social,achieved
525,525,noun.cognition,eye
527,527,noun.cognition,view
529,529,noun.act,violence
531,531,noun.cognition,racism
533,533,verb.cognition,balances
534,534,noun.attribute,innocence
536,536,noun.feeling,outrage
538,538,verb.contact,wrenching
539,539,noun.possession,loss
544,544,noun.feeling,hope
548,549,noun.location,Chicago Tribune
551,551,verb.creation,Written
556,556,noun.communication,novel
560,562,noun.group,WCMU Public Radio
566,566,verb.cognition,captures
573,573,noun.state,pain
576,576,noun.act,injustice
578,578,verb.possession,provides
581,581,noun.time,window
583,583,noun.person,readers
587,587,verb.change,beginning
589,589,verb.cognition,explore
591,591,noun.cognition,ideas
593,593,noun.attribute,privilege
596,596,noun.cognition,bias
600,602,noun.group,School Library Journal
605,605,noun.cognition,review
610,610,noun.communication,novel
612,612,verb.cognition,delves
616,616,noun.communication,topic
618,618,noun.cognition,racism
622,622,noun.communication,question
630,630,verb.change,come
633,633,verb.communication,dealing
636,636,noun.group,race
637,637,noun.relation,relations
641,643,noun.group,School Library Connection
646,648,noun.group,review GHOST BOYS
649,652,noun.person,Jewell Parker Rhodes LITTLE
654,659,noun.group,BROWN AND COMPANY New York Boston
661,661,noun.communication,book
662,662,verb.stative,is
664,666,noun.artifact,work of fiction
668,668,noun.communication,Names
670,670,noun.communication,characters
672,672,noun.location,places
675,675,noun.event,incidents
676,676,verb.stative,are
678,678,noun.artifact,product
681,681,noun.person,author
683,683,noun.cognition,imagination
686,686,verb.consumption,used
690,690,noun.attribute,resemblance
693,693,noun.event,events
695,695,noun.communication,locales
698,698,noun.person,persons
704,704,verb.stative,is
707,707,noun.communication,Copyright
711,712,noun.group,Parker Rhodes
714,714,noun.communication,illustrations
724,724,noun.communication,copy
729,729,noun.person,Jewell
736,736,noun.communication,Guide
741,741,noun.communication,copyright
745,746,noun.person,Jewell Parker
750,750,noun.communication,copyright
754,755,noun.person,Shadra Strickland
758,758,noun.act,design
760,761,noun.person,Marcie Lawrence
763,763,noun.artifact,Cover
768,770,noun.group,Hachette Book Group
773,775,noun.group,Hachette Book Group
776,776,verb.social,supports
778,778,noun.attribute,right
780,781,noun.communication,free expression
784,784,noun.possession,value
786,786,noun.communication,copyright
789,789,noun.cognition,purpose
791,791,noun.communication,copyright
792,792,verb.stative,is
794,794,verb.social,encourage
795,795,noun.person,writers
797,797,noun.person,artists
799,799,verb.creation,produce
802,802,noun.artifact,works
804,804,verb.change,enrich
806,806,noun.group,culture
809,809,noun.act,scanning
811,811,verb.possession,uploading
814,814,noun.act,distribution
817,817,noun.communication,book
819,819,noun.communication,permission
820,820,verb.stative,is
822,822,noun.act,theft
825,825,noun.person,author
827,828,noun.possession,intellectual property
833,833,verb.emotion,like
834,834,noun.communication,permission
836,836,verb.consumption,use
837,837,noun.communication,material
840,840,noun.communication,book
845,845,noun.act,review
846,846,noun.cognition,purposes
850,850,verb.communication,contact
853,854,noun.communication,Thank you
857,857,noun.act,support
860,860,noun.person,author
862,862,noun.attribute,rights
866,866,noun.group,Brown
868,871,noun.group,Company Hachette Book Group
873,876,noun.location,Avenue of the Americas
878,879,noun.location,New York
881,881,noun.location,NY
883,884,noun.location,Visit us
886,887,noun.group,LBYR.com Originally
888,888,verb.creation,published
