COREF,start_token,end_token,prop,cat,text
58,1,3,PROP,PER,JACK OF HEARTS
1,18,18,PROP,GPE,YORK
240,40,41,NOM,PER,the author
241,58,58,NOM,PER,persons
59,72,73,PROP,PER,Lev Rosen
2,79,82,PROP,FAC,Neil Swaab Bonus Columns
59,87,88,PROP,PER,Lev Rosen
59,107,108,PROP,PER,Lev Rosen
242,125,128,NOM,PER,Inc. Hachette Book Group
243,148,148,NOM,PER,writers
244,150,150,NOM,PER,artists
245,158,158,PRON,PER,our
240,177,178,NOM,PER,the author
247,184,184,PRON,PER,you
247,207,207,PRON,PER,you
247,209,209,PRON,PER,your
240,212,213,NOM,PER,the author
60,219,219,PROP,PER,Brown
249,221,224,NOM,PER,Company Hachette Book Group
3,225,229,PROP,FAC,1290 Avenue of the Americas
4,231,232,PROP,GPE,New York
245,237,237,PRON,PER,us
60,249,249,PROP,PER,Brown
61,262,262,PROP,PER,Little
60,264,264,PROP,PER,Brown
250,266,266,NOM,PER,Company
5,271,273,PROP,FAC,Hachette Book Group
60,279,279,PROP,PER,Brown
251,291,292,NOM,PER,The publisher
252,300,300,PRON,PER,their
251,308,309,NOM,PER,the publisher
62,315,315,PROP,PER,Elizaveta
254,334,338,NOM,PER,Shutterstock.com/ flower travelin ’ man
6,357,359,PROP,ORG,Library of Congress
59,370,370,PROP,PER,Rosen
255,376,376,NOM,PER,author
4,399,400,PROP,GPE,New York
256,402,406,NOM,ORG,"Little , Brown and Company"
257,414,419,NOM,PER,An unapologetically sexually active queer character
258,423,430,NOM,PER,a blackmailer threatening him back into the closet
257,426,426,PRON,PER,him
1806,435,435,NOM,PER,publisher
1807,492,493,NOM,FAC,High schools
7,548,552,PROP,LOC,the United States of America
8,552,552,PROP,GPE,America
63,554,554,PROP,PER,Chris
259,558,558,PRON,PER,I
259,562,562,PRON,PER,my
63,566,566,PRON,PER,him
259,568,568,PRON,PER,my
1808,568,569,NOM,PER,my mom
259,580,583,NOM,PER,All four of them
259,583,583,PRON,PER,them
0,592,592,PRON,PER,I
64,607,607,PROP,PER,Tori
0,614,614,PRON,PER,I
260,616,621,NOM,PER,the guy from St. Jude ’s
9,619,621,PROP,FAC,St. Jude ’s
260,632,632,PRON,PER,his
65,635,635,PROP,PER,Zack
10,638,639,PROP,FAC,Riverton Prep
0,643,643,PRON,PER,I
66,645,646,PROP,PER,Jessica Lauter
65,650,650,PROP,PER,Zack
66,654,654,PRON,PER,She
66,660,660,PRON,PER,she
0,666,666,PRON,PER,I
66,673,673,PRON,PER,she
66,676,676,PRON,PER,she
65,682,682,PRON,PER,him
261,691,693,NOM,PER,the other one
0,697,697,PRON,PER,I
67,703,703,PROP,PER,Jack
67,713,713,PRON,PER,He
262,716,716,PRON,PER,them
64,729,729,PROP,PER,Tori
64,740,740,PRON,PER,she
262,744,744,PRON,PER,them
0,750,750,PRON,PER,I
0,755,755,PRON,PER,I
64,757,757,PRON,PER,she
0,765,765,PRON,PER,I
0,773,773,PRON,PER,you
68,778,778,PROP,PER,Ava
0,782,782,PRON,PER,You
0,788,788,PRON,PER,I
0,795,795,PRON,PER,I
67,798,798,PRON,PER,he
67,808,808,PROP,PER,Jack
