start_token,end_token,supersense_category,text
1,3,noun.group,JACK OF HEARTS
9,12,noun.group,L. C. ROSEN LITTLE
17,18,noun.location,NEW YORK
21,21,noun.communication,book
22,22,verb.stative,is
24,24,noun.artifact,work
26,26,noun.communication,fiction
28,28,noun.communication,Names
30,30,noun.communication,characters
32,32,noun.location,places
35,35,noun.event,incidents
36,36,verb.stative,are
38,38,noun.artifact,product
41,41,noun.person,author
43,43,noun.cognition,imagination
46,46,verb.consumption,used
50,50,noun.attribute,resemblance
53,53,noun.event,events
55,55,noun.communication,locales
58,58,noun.person,persons
60,60,verb.stative,living
64,64,verb.stative,is
67,67,noun.communication,Text
68,68,noun.communication,copyright
72,73,noun.person,Lev Rosen
74,74,noun.communication,Illustrations
79,80,noun.person,Neil Swaab
83,83,noun.communication,copyright
87,88,noun.person,Lev Rosen
91,91,noun.communication,copyright
95,95,noun.quantity,Little
97,99,noun.group,Brown and Company
100,100,noun.communication,Excerpt
102,102,noun.group,Camp
103,103,noun.communication,copyright
107,108,noun.person,Lev Rosen
114,115,noun.group,Penguin Books
116,116,noun.communication,Cover
121,123,noun.group,Hachette Book Group
125,128,noun.group,Inc. Hachette Book Group
129,129,verb.social,supports
131,131,noun.attribute,right
133,134,noun.communication,free expression
137,137,noun.possession,value
139,139,noun.communication,copyright
142,142,noun.cognition,purpose
144,144,noun.communication,copyright
145,145,verb.stative,is
147,147,verb.social,encourage
148,148,noun.person,writers
150,150,noun.person,artists
152,152,verb.creation,produce
155,155,noun.artifact,works
157,157,verb.change,enrich
159,159,noun.group,culture
162,162,noun.act,scanning
164,164,noun.act,uploading
167,167,noun.act,distribution
170,170,noun.communication,book
172,172,noun.communication,permission
173,173,verb.stative,is
175,175,noun.act,theft
178,178,noun.person,author
180,181,noun.possession,intellectual property
186,186,verb.emotion,like
187,187,noun.communication,permission
189,189,verb.consumption,use
190,190,noun.communication,material
193,193,noun.communication,book
198,198,noun.cognition,review
199,199,noun.cognition,purposes
203,203,verb.communication,contact
206,207,noun.communication,Thank you
210,210,noun.act,support
213,213,noun.person,author
215,215,noun.possession,rights
217,217,noun.person,Little
219,219,noun.group,Brown
221,224,noun.group,Company Hachette Book Group
226,229,noun.location,Avenue of the Americas
231,232,noun.location,New York
234,234,noun.location,NY
236,237,noun.location,Visit us
241,241,verb.creation,published
243,243,noun.communication,hardcover
245,245,noun.communication,ebook
247,247,noun.person,Little
260,260,noun.time,May
267,267,verb.stative,is
269,269,noun.cognition,division
271,273,noun.group,Hachette Book Group
275,279,noun.group,"Inc. The Little , Brown"
280,280,noun.communication,name
282,282,noun.communication,logo
283,283,verb.stative,are
284,284,noun.communication,trademarks
286,288,noun.group,Hachette Book Group
290,290,noun.location,Inc.
292,292,noun.group,publisher
293,293,verb.stative,is
297,297,noun.artifact,websites
301,301,noun.communication,content
306,306,verb.possession,owned
309,309,noun.group,publisher
311,311,noun.cognition,Image
313,313,noun.attribute,stars
315,315,noun.artifact,Elizaveta
319,319,noun.cognition,image
321,321,noun.animal,eggplant
322,322,noun.communication,emoji
325,325,noun.artifact,emoji
329,329,noun.cognition,image
332,332,noun.person,emoji
334,334,noun.artifact,Shutterstock.com/
335,335,noun.plant,flower
338,338,noun.person,man
340,340,noun.cognition,image
343,343,noun.person,emoji
346,346,noun.person,emoji
350,350,noun.artifact,image
353,353,noun.person,emoji
357,359,noun.group,Library of Congress
361,361,verb.possession,cataloged
363,363,noun.communication,hardcover
364,364,noun.communication,edition
368,368,noun.communication,Names
370,370,noun.location,Rosen
372,373,noun.group,Lev AC
376,376,noun.person,author
378,378,noun.communication,Title
381,382,noun.act,of hearts
386,386,noun.cognition,parts
390,391,noun.person,L.C. Rosen
396,396,noun.communication,edition
399,400,noun.location,New York
404,406,noun.group,Brown and Company
411,411,noun.communication,Summary
419,419,noun.person,character
420,420,verb.social,works
422,422,verb.cognition,uncover
424,424,noun.person,blackmailer
425,425,verb.communication,threatening
430,430,noun.artifact,closet
435,435,noun.group,publisher
437,437,noun.communication,Identifiers
439,439,noun.group,LCCN
445,445,noun.artifact,hardcover
451,451,noun.communication,ebook
459,459,noun.communication,ebook
