COREF,start_token,end_token,prop,cat,text
47,4,5,PROP,PER,Harvey Milk
48,12,13,PROP,PER,Rob Sanders
49,16,17,PROP,PER,Steven Salerno
1,21,22,PROP,GPE,New York
0,26,26,PRON,PER,my
63,26,27,NOM,PER,my uncle
50,28,29,PROP,PER,Jack Sanders
48,36,37,PROP,PER,Rob Sanders
49,47,48,PROP,PER,Steven Salerno
2,55,57,PROP,LOC,the United States
64,65,71,NOM,ORG,a division of Penguin Random House LLC
3,68,71,PROP,FAC,Penguin Random House LLC
1,73,74,PROP,GPE,New York
4,76,77,PROP,LOC,Random House
65,91,91,PRON,PER,us
66,99,99,NOM,PER,librarians
65,109,109,PRON,PER,us
5,111,114,PROP,FAC,RHTeachersLibrarians.com Library of Congress
48,123,123,PROP,PER,Sanders
48,125,125,PROP,PER,Rob
67,127,127,NOM,PER,author
49,130,130,PROP,PER,Salerno
49,132,132,PROP,PER,Steven
68,134,134,NOM,PER,illustrator
47,143,144,PROP,PER,Harvey Milk
48,151,152,PROP,PER,Rob Sanders
49,156,157,PROP,PER,Steven Salerno
4,168,169,PROP,FAC,Random House
69,199,199,PRON,PER,he
47,235,235,PROP,PER,Harvey
7,244,244,PROP,GPE,California
8,246,247,PROP,GPE,San Francisco
7,259,259,PROP,GPE,California
8,261,262,PROP,GPE,San Francisco
70,272,273,NOM,GPE,United States
70,282,283,NOM,GPE,United States
9,292,294,PROP,FAC,LCC F869.S353 M54569
51,313,316,PROP,PER,Nicole de las Heras
10,319,319,PROP,GPE,CHINA
72,343,343,PRON,PER,You
73,347,347,PRON,PER,them
47,365,366,PROP,PER,Harvey Milk
74,368,370,NOM,PER,an ordinary man
47,373,373,PRON,PER,he
47,385,385,PROP,PER,Harvey
75,388,388,NOM,PER,everyone
76,391,392,NOM,PER,gay people
47,398,398,PRON,PER,He
47,401,401,PRON,PER,he
47,403,403,PRON,PER,his
77,403,404,NOM,PER,his friends
78,409,410,NOM,PER,everyone else
47,412,412,PRON,PER,He
79,418,418,NOM,PER,people
79,427,427,PRON,PER,they
47,431,431,PRON,PER,his
1,432,433,PROP,GPE,New York
47,436,436,PROP,PER,Harvey
75,439,439,NOM,PER,everyone
47,441,441,PRON,PER,his
47,444,444,PRON,PER,His
47,448,448,PRON,PER,His
81,456,457,NOM,PER,Some people
82,460,461,NOM,PER,A few
83,464,464,NOM,PER,Most
47,469,469,PROP,PER,Harvey
47,474,474,PRON,PER,his
47,482,482,PRON,PER,He
47,500,501,PROP,PER,Harvey Milk
47,510,510,PRON,PER,he
84,512,528,NOM,PER,one of the first openly gay people to be elected to political office in the United States
85,514,528,NOM,PER,the first openly gay people to be elected to political office in the United States
86,526,528,NOM,GPE,the United States
47,530,530,PROP,PER,Harvey
47,532,532,PRON,PER,his
77,532,533,NOM,PER,his friends
47,552,552,PROP,PER,Harvey
47,560,560,PRON,PER,he
88,563,563,PRON,PER,We
88,570,570,PRON,PER,we
88,574,574,PRON,PER,we
79,587,587,NOM,PER,people
79,589,589,PRON,PER,they
90,593,594,NOM,PER,a community
79,599,599,NOM,PER,people
47,605,605,PROP,PER,Harvey
52,613,614,PROP,PER,Gilbert Baker
47,616,616,PROP,PER,Harvey
52,619,619,PROP,PER,Gilbert
88,623,623,PRON,PER,We
92,629,629,NOM,PER,Volunteers
52,633,633,PROP,PER,Gilbert
92,641,641,PRON,PER,they
92,654,654,PRON,PER,They
47,667,667,PROP,PER,Harvey
52,669,669,PROP,PER,Gilbert
93,672,674,NOM,PER,the other activists
47,689,689,PROP,PER,Harvey
8,712,713,PROP,GPE,San Francisco
94,740,747,NOM,PER,the men and women who walked behind it
47,753,753,PROP,PER,Harvey
95,755,756,NOM,PER,the people
92,761,761,PRON,PER,They
78,767,768,NOM,PER,everyone else
92,770,770,PRON,PER,They
92,777,777,PRON,PER,they
92,780,780,PRON,PER,They
47,789,789,PROP,PER,Harvey
47,799,799,PRON,PER,himself
47,801,801,PRON,PER,He
97,803,803,NOM,PER,others
47,823,823,PROP,PER,Harvey
98,825,829,NOM,PER,the mayor of San Francisco
