COREF,start_token,end_token,prop,cat,text
130,9,12,NOM,PER,Reluctant Young Adult Readers
1,15,15,PROP,GPE,Texas
43,37,38,PROP,PER,Deb Caletti
791,56,64,NOM,PER,someone who does n’t necessarily want to be saved
792,89,90,NOM,PER,These characters
793,93,93,PRON,PER,you
793,96,96,PRON,PER,your
794,96,98,NOM,PER,your own friends
793,101,101,PRON,PER,you
792,103,103,PRON,PER,their
795,166,167,NOM,PER,teen readers
44,172,174,PROP,PER,Dr. Rose Brock
131,176,179,NOM,GPE,Sam Houston State University
796,187,194,NOM,PER,"fans of emotional , character - driven titles"
45,212,212,PROP,PER,Molly
45,215,215,PRON,PER,her
0,231,231,PRON,PER,MY
132,263,271,NOM,PER,Young Adults Book An IRA / CBC Young Adults
46,296,296,PROP,PER,KLIATT
2,374,374,PROP,GPE,Chicago
3,405,406,PROP,GPE,Boston Globe
47,409,414,PROP,PER,INNOCENT SONYA SONES Quill Tree Books
47,420,421,PROP,PER,Sonya Sones
0,426,426,PRON,PER,My
133,426,427,NOM,PER,My Mother
4,433,435,PROP,FAC,Those Hideous Books
134,437,438,NOM,PER,the Mother
0,441,441,PRON,PER,My
5,451,454,PROP,FAC,Red Quill Tree Books
6,459,460,PROP,FAC,HarperCollins Publishers
47,470,471,PROP,PER,Sonya Sones
135,478,482,NOM,GPE,the United States of America
7,482,482,PROP,GPE,America
136,523,527,NOM,ORG,a division of HarperCollins Publishers
6,526,527,PROP,FAC,HarperCollins Publishers
8,530,530,PROP,GPE,Broadway
9,532,533,PROP,GPE,New York
10,538,542,PROP,FAC,www.epicreads.com Library of Congress Control
11,541,541,PROP,GPE,Congress
48,558,559,PROP,PER,Catherine Sanjuan
12,578,579,PROP,LOC,the Lilys
49,587,588,PROP,PER,the Family
0,589,589,PRON,PER,I
50,596,596,PROP,PER,Luke
0,603,603,PRON,PER,I
0,607,607,PRON,PER,I
50,612,612,PRON,PER,his
0,616,616,PRON,PER,my
50,619,619,PRON,PER,his
50,624,624,PRON,PER,him
0,625,625,PRON,PER,I
50,630,630,PRON,PER,him
0,632,632,PRON,PER,I
50,637,637,PROP,PER,Luke
0,642,642,PRON,PER,me
50,647,647,PRON,PER,I
0,651,651,PRON,PER,you
51,653,653,PROP,PER,Lily
50,655,655,PRON,PER,I
50,668,668,PRON,PER,he
13,671,671,PROP,GPE,Kenya
50,676,676,PRON,PER,he
50,683,683,PROP,PER,Luke
0,686,686,PRON,PER,I
0,695,695,PRON,PER,I
50,706,706,PROP,PER,Luke
0,709,709,PRON,PER,I
0,716,716,PRON,PER,I
0,725,725,PRON,PER,I
50,734,734,PROP,PER,Luke
0,737,737,PRON,PER,my
0,747,747,PRON,PER,my
0,756,756,PRON,PER,I
0,762,762,PRON,PER,my
0,767,767,PRON,PER,my
0,771,771,PRON,PER,I
0,776,776,PRON,PER,my
0,781,781,PRON,PER,I
0,787,787,PRON,PER,my
137,792,792,NOM,PER,everyone
50,799,799,PROP,PER,Luke
0,801,801,PRON,PER,I
138,804,805,NOM,PER,a caterpillar
0,816,816,PRON,PER,I
0,836,836,PRON,PER,I
0,842,842,PRON,PER,My
139,842,843,NOM,FAC,My Closet
0,846,846,PRON,PER,I
