start_token,end_token,supersense_category,text
2,7,noun.group,SAVING RED A YALSA Quick Pick
9,16,noun.group,Reluctant Young Adult Readers Book A Texas TAYSH
18,18,noun.communication,Title
24,24,noun.communication,novel
26,26,noun.communication,verse
27,27,verb.stative,is
33,33,noun.attribute,heart
37,38,noun.person,Deb Caletti
43,43,noun.person,finalist
47,47,noun.act,window
51,51,noun.attribute,futility
53,53,verb.social,trying
55,55,verb.social,save
61,61,verb.emotion,want
64,64,verb.possession,saved
72,72,noun.cognition,review
75,75,noun.communication,Original
83,83,noun.communication,treatise
85,85,noun.feeling,empathy
87,87,noun.feeling,love
90,90,noun.cognition,characters
91,91,verb.stative,belong
98,98,noun.person,friends
102,102,verb.cognition,read
104,104,noun.communication,story
108,108,verb.stative,is
111,111,noun.possession,treasure
121,121,noun.person,winner
127,127,noun.person,finalist
131,131,verb.creation,crafted
132,132,noun.communication,poem
133,133,verb.change,comes
136,136,verb.creation,paint
139,139,noun.communication,picture
141,141,noun.feeling,love
143,143,noun.feeling,loss
147,147,noun.feeling,hope
149,149,noun.feeling,humor
152,152,verb.contact,caught
156,157,noun.person,Saving Red
158,158,verb.contact,soars
161,161,verb.communication,speak
164,164,noun.attribute,hearts
167,167,noun.person,readers
172,174,noun.person,Dr. Rose Brock
176,179,noun.group,Sam Houston State University
185,185,noun.communication,read
187,187,noun.person,fans
194,194,noun.communication,titles
198,198,noun.person,SU
200,200,noun.person,Sones
207,207,noun.communication,poems
209,209,verb.communication,trace
211,211,noun.attribute,innocence
216,216,noun.cognition,world
217,217,verb.change,expands
221,221,noun.communication,Publishers
223,223,noun.communication,Praise
276,276,noun.communication,poems
277,277,verb.stative,have
281,281,noun.attribute,power
289,289,noun.communication,review
299,299,noun.communication,review
303,303,noun.communication,poems
304,305,verb.creation,take on
306,306,noun.cognition,life
308,308,noun.cognition,movement
312,312,noun.shape,frames
315,315,noun.communication,movie
320,320,verb.change,become
323,323,verb.communication,telling
326,326,noun.communication,tale
345,345,verb.creation,written
354,354,noun.act,debut
355,355,noun.communication,novel
356,356,verb.perception,shows
358,358,noun.state,capacity
360,360,noun.communication,poetry
362,362,verb.communication,record
366,366,verb.communication,translate
370,370,noun.communication,universal
374,375,noun.location,Chicago Tribune
379,379,verb.stative,is
381,383,noun.act,tour de force
384,384,noun.act,debut
387,387,verb.emotion,celebrates
388,388,noun.communication,truth
390,390,noun.communication,telling
392,392,verb.stative,has
394,394,noun.state,purity
396,396,noun.feeling,passion
398,398,verb.cognition,speaks
401,401,noun.cognition,heart
405,406,noun.location,Boston Globe
420,421,noun.person,Sonya Sones
438,438,noun.person,Mother
439,439,verb.change,Dies
449,454,noun.group,Honest Saving Red Quill Tree Books
455,455,verb.stative,is
457,457,noun.cognition,imprint
459,460,noun.group,HarperCollins Publishers
479,482,noun.location,United States of America
485,485,noun.relation,part
488,488,noun.communication,book
491,491,verb.consumption,used
493,493,verb.social,reproduced
496,496,noun.attribute,manner
500,500,noun.communication,permission
504,504,noun.state,case
507,507,noun.communication,quotations
508,508,verb.stative,embodied
511,511,noun.communication,articles
513,513,noun.communication,reviews
516,516,noun.communication,information
517,517,verb.communication,address
518,521,noun.group,HarperCollins Children ’s Books
524,524,noun.group,division
526,527,noun.group,HarperCollins Publishers
530,530,noun.location,Broadway
532,533,noun.location,New York
535,536,noun.location,NY 10007
538,542,noun.group,www.epicreads.com Library of Congress Control
543,543,noun.communication,Number
555,555,noun.quantity,7
556,556,noun.communication,Typography
558,559,noun.person,Catherine Sanjuan
573,573,noun.communication,edition
592,592,verb.stative,been
596,596,noun.person,Luke
605,605,verb.cognition,remember
610,610,verb.motion,climb
613,613,noun.body,lap
615,615,verb.body,throw
617,617,noun.body,arms
620,620,noun.body,neck
623,623,verb.communication,tell
629,629,verb.communication,marry
633,634,verb.change,grew up
637,637,noun.person,Luke
639,639,verb.body,smile
644,644,verb.communication,say
649,649,verb.cognition,wait
653,653,noun.person,Lily
656,656,verb.communication,promise
666,666,noun.time,Years
669,669,verb.motion,left
671,671,noun.location,Kenya
674,674,noun.time,today
679,680,verb.motion,coming back
683,683,noun.person,Luke
684,684,verb.motion,left
687,687,verb.stative,was
691,692,noun.artifact,ironing board
700,700,noun.substance,ironing
701,701,noun.substance,board
703,703,noun.body,boobs
706,706,noun.person,Luke
707,707,verb.motion,left
710,710,verb.possession,had
712,712,noun.quantity,billion
713,713,noun.event,zits
719,719,verb.possession,got
721,721,noun.quantity,million
727,727,verb.cognition,mastered
729,729,noun.cognition,magic
731,731,noun.artifact,makeup
734,734,noun.person,Luke
735,735,verb.motion,left
738,738,noun.body,mouth
739,739,verb.stative,was
743,743,noun.artifact,braces
745,745,verb.stative,felt
748,748,noun.body,teeth
750,750,verb.contact,wrapped
752,753,noun.artifact,barbed wire
