COREF,start_token,end_token,prop,cat,text
79,5,9,PROP,PER,Nic Stone Dear Martin Jackpot
349,30,31,NOM,PER,the author
350,42,43,NOM,PER,actual persons
80,62,63,PROP,PER,Andrea Livingstone
81,70,71,PROP,PER,Nigel Livingstone
351,78,80,NOM,GPE,the United States
82,82,82,PROP,PER,Ember
352,84,91,NOM,ORG,an imprint of Random House Children ’s Books
1,87,91,PROP,FAC,Random House Children ’s Books
353,93,99,NOM,ORG,a division of Penguin Random House LLC
2,96,99,PROP,ORG,Penguin Random House LLC
3,101,102,PROP,GPE,New York
4,109,111,PROP,GPE,the United States
354,116,117,NOM,PER,Young Readers
5,122,123,PROP,ORG,Random House
355,124,124,NOM,PER,Children
353,128,134,NOM,ORG,a division of Penguin Random House LLC
2,131,134,PROP,ORG,Penguin Random House LLC
3,136,137,PROP,GPE,New York
82,142,142,PROP,PER,Ember
357,157,157,PRON,PER,us
358,162,165,NOM,PER,GetUnderlined.com Educators and librarians
359,165,165,NOM,PER,librarians
357,175,175,PRON,PER,us
6,177,180,PROP,ORG,RHTeachersLibrarians.com Library of Congress
360,208,212,NOM,GPE,the United States of America
361,237,264,NOM,PER,"the people who just do n’t know The Game Plan START OF BOOK CHAPTER 1 I , Courtney Aloysius Cooper IV , Should Be a Very Sad Dude"
0,265,265,PRON,PER,I
0,274,274,PRON,PER,I
0,276,276,PRON,PER,myself
362,278,279,NOM,FAC,the house
0,287,287,PRON,PER,my
363,287,289,NOM,PER,my best friend
364,287,291,NOM,FAC,my best friend ’s bedroom
0,293,293,PRON,PER,I
0,303,303,PRON,PER,my
0,310,310,PRON,PER,my
365,310,312,NOM,PER,my latest girlfriend
0,314,314,PRON,PER,me
0,331,331,PRON,PER,I
0,340,340,PRON,PER,my
366,344,345,NOM,PER,Best Friend
0,356,356,PRON,PER,my
0,367,367,PRON,PER,my
0,371,371,PRON,PER,my
0,376,376,PRON,PER,my
0,385,385,PRON,PER,I
366,391,392,NOM,PER,Best Friend
366,399,399,PRON,PER,her
0,402,402,PRON,PER,I
0,408,408,PRON,PER,I
0,413,413,PRON,PER,I
366,429,429,PRON,PER,she
366,431,431,PRON,PER,her
366,439,439,PRON,PER,She
366,443,443,PRON,PER,her
368,463,463,PRON,PER,you
366,466,466,PRON,PER,she
369,479,482,NOM,PER,most girls our age
370,481,481,PRON,PER,our
366,484,484,PRON,PER,She
366,493,493,PRON,PER,she
366,506,506,PRON,PER,her
371,506,507,NOM,PER,her papi
1881,515,516,NOM,PER,that girl
0,522,522,PRON,PER,I
366,532,532,PRON,PER,her
372,537,537,PRON,PER,they
368,542,542,PRON,PER,you
0,551,551,PRON,PER,I
366,553,553,PRON,PER,she
0,556,556,PRON,PER,me
366,561,561,PRON,PER,she
0,563,563,PRON,PER,I
366,566,566,PRON,PER,her
0,577,577,PRON,PER,I
366,579,579,PRON,PER,her
366,583,583,PRON,PER,her
366,595,595,PRON,PER,her
366,601,601,PRON,PER,her
0,610,610,PRON,PER,my
0,623,623,PRON,PER,I
0,625,625,PRON,PER,my
0,635,635,PRON,PER,my
0,639,639,PRON,PER,I
0,643,643,PRON,PER,myself
0,648,648,PRON,PER,my
0,653,653,PRON,PER,I
373,655,656,NOM,FAC,the room
0,657,657,PRON,PER,I
0,661,661,PRON,PER,my
0,677,677,PRON,PER,my
374,677,678,NOM,PER,my dad
366,690,690,PRON,PER,she
0,697,697,PRON,PER,I
366,709,709,PRON,PER,she
0,713,713,PRON,PER,I
375,716,716,NOM,FAC,here
366,721,721,PRON,PER,She
366,726,726,PRON,PER,her
366,755,755,PRON,PER,She
0,761,761,PRON,PER,I
0,784,784,PRON,PER,You
366,790,790,PRON,PER,she
0,797,797,PRON,PER,You
83,804,804,PROP,PER,Jupe
0,811,811,PRON,PER,I
0,814,814,PRON,PER,you
0,817,817,PRON,PER,my
1882,817,818,NOM,FAC,my domain
0,826,826,PRON,PER,I
366,831,831,PRON,PER,you
0,834,834,PRON,PER,I
366,845,845,PRON,PER,She
366,854,854,PRON,PER,she
0,859,859,PRON,PER,I
376,869,876,NOM,PER,the green - eyed monster bastard raging within
366,879,879,PRON,PER,I
366,884,884,PRON,PER,She
366,887,887,PRON,PER,her
0,890,890,PRON,PER,me
377,901,905,NOM,PER,Even the stank - face
366,913,913,PRON,PER,You
1883,915,918,NOM,PER,the one being difficult
0,921,921,PRON,PER,I
0,930,930,PRON,PER,me
366,936,936,PRON,PER,you
0,939,939,PRON,PER,my
1884,939,940,NOM,FAC,my room
0,946,946,PRON,PER,I
366,949,949,PRON,PER,your
366,954,954,PRON,PER,She
366,956,956,PRON,PER,her
84,961,961,PROP,PER,God
366,964,964,PRON,PER,her
366,975,975,PRON,PER,I
0,979,979,PRON,PER,I
373,984,985,NOM,FAC,the room
366,1021,1021,PRON,PER,she
0,1024,1024,PRON,PER,my
366,1027,1027,PRON,PER,she
0,1032,1032,PRON,PER,I
375,1035,1035,NOM,FAC,here
366,1039,1039,PRON,PER,she
0,1048,1048,PRON,PER,me
366,1050,1050,PRON,PER,her
0,1052,1052,PRON,PER,my
380,1052,1053,NOM,PER,my mom
366,1056,1056,PRON,PER,her
381,1056,1057,NOM,PER,her dads
7,1061,1061,PROP,GPE,Jamaica
382,1066,1096,NOM,FAC,the small tower of community service and public speaking certificates and plaques stacked in the corner that she “ just has n’t gotten around ” to hanging on the white walls
366,1083,1083,PRON,PER,she
0,1098,1098,PRON,PER,I
0,1102,1102,PRON,PER,my
