COREF,start_token,end_token,prop,cat,text
1,6,11,PROP,FAC,The New York Times Book Review
2,47,49,PROP,GPE,San Francisco Chronicle
1933,55,55,NOM,PER,survivors
108,59,61,PROP,PER,Bustle “ Anderson
1934,63,63,PRON,PER,her
1935,70,70,NOM,PER,others
1936,84,84,PRON,PER,your
3,89,91,PROP,FAC,NPR Book Concierge
1936,106,106,PRON,PER,your
108,129,129,PROP,PER,Anderson
108,190,190,PROP,PER,Anderson
108,214,214,PROP,PER,Anderson
1934,216,216,PRON,PER,her
1935,223,223,NOM,PER,others
1938,267,267,PRON,PER,us
108,272,272,PROP,PER,Anderson
1934,293,293,PRON,PER,her
1933,316,316,NOM,PER,survivors
109,362,363,PROP,PER,Marie Claire
1940,392,393,NOM,LOC,the world
4,438,439,PROP,GPE,San Francisco
108,442,442,PROP,PER,Anderson
1938,461,461,PRON,PER,We
108,488,488,PROP,PER,Anderson
1941,490,492,NOM,PER,a brilliant writer
1934,495,495,PRON,PER,her
1938,501,501,PRON,PER,we
1936,542,542,PRON,PER,your
1942,589,596,NOM,ORG,"every home , school , and public library"
108,619,619,PROP,PER,Anderson
1934,622,622,PRON,PER,her
1943,644,644,NOM,PER,everyone
1944,659,679,NOM,PER,readers who themselves believe in the power of stories . ” — The Bulletin of the Center for Children ’s Books
1944,661,661,PRON,PER,themselves
247,674,679,NOM,FAC,the Center for Children ’s Books
1945,691,693,NOM,PER,a gifted writer
108,695,695,PROP,PER,Anderson
1934,705,705,PRON,PER,Her
1946,713,715,NOM,PER,all young people
248,719,721,NOM,ORG,School Library Journal
1933,731,731,NOM,PER,survivors
5,766,768,PROP,FAC,School Library Connection
6,777,777,PROP,GPE,York
7,815,818,PROP,GPE,New York Public Library
249,824,827,NOM,LOC,A Chicago Public Library
8,825,827,PROP,GPE,Chicago Public Library
9,828,843,PROP,GPE,Best Book of the Year A # i Spring Indie Next List Pick A Publishers Weekly
110,895,897,PROP,PER,laurie halse anderson
10,898,906,PROP,FAC,Catalyst Prom Twisted Wintergirls The Impossible Knife of Memory
110,911,913,PROP,PER,LAURIE HALSE ANDERSON
11,922,925,PROP,FAC,Penguin Random House LLC
12,927,928,PROP,GPE,New York
13,932,936,PROP,GPE,the United States of America
14,936,936,PROP,GPE,America
11,943,946,PROP,FAC,Penguin Random House LLC
11,957,960,PROP,FAC,Penguin Random House LLC
111,967,970,PROP,PER,Laurie Haise Anderson Penguin
250,1025,1025,PRON,PER,You
251,1028,1028,NOM,PER,writers
111,1031,1031,PROP,PER,Penguin
252,1038,1039,NOM,PER,every reader
253,1054,1054,PRON,PER,us
15,1057,1060,PROP,FAC,penguinrandomhouse.com LIBRARY OF CONGRESS
254,1073,1077,NOM,GPE,the United States of America
14,1077,1077,PROP,GPE,America
255,1081,1082,NOM,PER,the survivors
0,1086,1086,PRON,PER,my
0,1096,1096,PRON,PER,I
256,1106,1110,NOM,PER,countless survivors of sexual violence
0,1112,1112,PRON,PER,me
0,1114,1114,PRON,PER,I
257,1146,1146,NOM,PER,criminals
258,1155,1155,NOM,PER,readers
0,1164,1164,PRON,PER,me
0,1168,1168,PRON,PER,My
259,1168,1169,NOM,PER,My father
259,1175,1175,PRON,PER,He
0,1177,1177,PRON,PER,me
253,1181,1181,PRON,PER,we
260,1186,1187,NOM,PER,the living
261,1190,1191,NOM,PER,the dead
261,1193,1193,PRON,PER,their
0,1200,1200,PRON,PER,I
0,1207,1207,PRON,PER,my
262,1207,1208,NOM,PER,my parents
262,1212,1212,PRON,PER,their
0,1215,1215,PRON,PER,me
263,1221,1227,NOM,PER,people other than me or my family
0,1224,1224,PRON,PER,me
0,1226,1226,PRON,PER,my
264,1226,1227,NOM,PER,my family
0,1233,1233,PRON,PER,I
1933,1243,1243,NOM,PER,survivors
266,1250,1295,NOM,PER,"a girl who lost her voice and wrote herself a new one . -e 1 9- PRELUDE : mic test this book smells like me woodsmoke salt honey and strawberries sunscreen , libraries failures and sweat green nights in the mountains cold dawns by the sea"
267,1254,1254,PRON,PER,her
267,1258,1258,PRON,PER,herself
0,1274,1274,PRON,PER,me
268,1289,1290,NOM,LOC,the mountains
269,1294,1295,NOM,LOC,the sea
0,1300,1300,PRON,PER,my
0,1313,1313,PRON,PER,my
270,1316,1316,PRON,PER,their
271,1337,1337,PRON,PER,your
0,1342,1342,PRON,PER,I
272,1360,1360,PRON,PER,he
0,1366,1366,PRON,PER,my
259,1366,1367,NOM,PER,my father
272,1369,1369,PRON,PER,his
274,1369,1370,NOM,PER,his buddy
272,1390,1390,PRON,PER,he
275,1400,1401,NOM,VEH,Repairing planes
276,1406,1410,NOM,FAC,an air base in England
16,1410,1410,PROP,GPE,England
0,1421,1421,PRON,PER,my
259,1421,1422,NOM,PER,my father
272,1430,1430,PRON,PER,his
272,1437,1437,PRON,PER,his
278,1437,1438,NOM,PER,his friend
279,1449,1449,PRON,PER,they
272,1451,1451,PRON,PER,him
17,1453,1453,PROP,GPE,Dachau
272,1457,1457,PRON,PER,him
272,1462,1462,PRON,PER,his
280,1462,1464,NOM,PER,his whole unit
17,1470,1470,PROP,GPE,Dachau
281,1474,1477,NOM,LOC,all of the camps
282,1476,1477,NOM,GPE,the camps
112,1488,1488,PROP,PER,Daddy
0,1493,1493,PRON,PER,me
112,1499,1499,PRON,PER,he
112,1505,1505,PRON,PER,he
112,1508,1508,PRON,PER,he
17,1538,1538,PROP,GPE,Dachau
112,1549,1549,PRON,PER,he
283,1556,1566,NOM,PER,"the dying infected my father , and all of his friends"
0,1559,1559,PRON,PER,my
259,1559,1560,NOM,PER,my father
112,1565,1565,PRON,PER,his
285,1565,1566,NOM,PER,his friends
283,1568,1568,PRON,PER,They
283,1580,1580,PRON,PER,their
283,1586,1586,PRON,PER,their
286,1586,1587,NOM,PER,their officers
0,1591,1591,PRON,PER,My
259,1591,1592,NOM,PER,My father
259,1597,1597,PRON,PER,his
259,1605,1605,PRON,PER,him
259,1612,1612,PRON,PER,his
112,1617,1617,PROP,PER,Daddy
288,1619,1621,NOM,PER,a pregnant woman
289,1625,1626,NOM,FAC,the road
290,1628,1631,NOM,LOC,the gates of Dachau
17,1631,1631,PROP,GPE,Dachau
112,1632,1632,PRON,PER,he
112,1634,1634,PRON,PER,his
288,1637,1637,PRON,PER,hers
288,1642,1642,PRON,PER,she
