start_token,end_token,supersense_category,text
7,9,noun.group,New York Times
14,14,noun.cognition,masterclass
16,16,noun.cognition,feminism
19,19,noun.communication,storytelling
23,23,noun.attribute,power
25,25,noun.communication,words
34,34,noun.communication,memoir
39,39,noun.attribute,secrets
41,41,noun.state,trauma
43,43,noun.feeling,rage
47,48,noun.location,San Francisco
52,53,noun.communication,love letter
55,55,noun.person,survivors
61,61,noun.person,Anderson
62,62,verb.consumption,uses
64,64,noun.cognition,experience
66,66,verb.change,light
68,68,noun.act,path
72,72,verb.possession,find
73,73,noun.cognition,purpose
81,81,noun.communication,poems
83,83,verb.emotion,break
85,85,noun.cognition,heart
89,91,noun.group,NPR Book Concierge
92,92,noun.communication,praise
100,100,noun.communication,poems
103,103,noun.cognition,heart
105,105,verb.cognition,take
107,108,noun.act,breath away
110,110,verb.communication,beg
113,113,verb.communication,underlined
115,115,verb.change,highlighted
123,125,noun.group,NPR Book Concierige
130,130,verb.change,opened
132,132,noun.artifact,door
135,135,noun.communication,novels
136,136,verb.cognition,exploring
143,143,noun.phenomenon,aftermath
146,146,noun.act,violence
149,149,verb.stative,serves
153,153,noun.communication,testament
156,156,noun.time,life
161,161,noun.phenomenon,impact
164,164,noun.cognition,types
166,166,noun.communication,stories
174,174,noun.communication,reminder
178,178,noun.state,necessity
183,187,noun.group,New York Times Book Review
190,190,noun.person,Anderson
193,193,noun.communication,poems
194,194,verb.change,raise
196,196,noun.feeling,alarms
198,198,verb.communication,warning
201,201,noun.attribute,evils
202,202,verb.creation,propagated
205,205,noun.group,culture
207,207,verb.stative,values
208,208,noun.attribute,dominance
210,210,noun.cognition,respect
214,214,noun.person,Anderson
215,215,verb.consumption,uses
217,217,noun.cognition,experiences
219,219,verb.change,light
221,221,noun.act,path
226,226,noun.cognition,purpose
230,230,noun.time,TIME
233,233,verb.cognition,weaves
234,234,noun.communication,stories
237,237,noun.cognition,experiences
239,239,noun.cognition,meditations
242,242,noun.act,violence
244,244,noun.cognition,boundaries
247,247,noun.group,gender
248,248,noun.cognition,dynamics
250,250,verb.creation,paint
255,255,noun.communication,picture
258,258,noun.attribute,insidiousness
261,261,noun.group,culture
264,264,noun.cognition,lessons
266,266,verb.communication,teaches
272,272,noun.person,Anderson
274,274,noun.communication,prose
275,275,verb.stative,is
285,285,noun.communication,book
289,290,verb.contact,put down
292,292,verb.perception,absorb
295,295,noun.cognition,mastery
297,297,noun.communication,language
301,302,noun.group,Entertainment Weekly
313,314,noun.communication,love letter
316,316,noun.person,survivors
319,319,noun.communication,call
325,325,noun.location,SHOUT
326,326,verb.stative,is
329,329,noun.communication,read
333,333,noun.location,MeToo
334,334,noun.time,era
345,345,noun.communication,book
348,348,noun.attribute,importance
362,363,noun.location,Marie Claire
374,374,noun.cognition,masterclass
376,376,noun.cognition,feminism
379,379,noun.communication,storytelling
384,384,noun.attribute,power
386,386,noun.communication,words
388,388,verb.emotion,draw
389,389,noun.act,action
391,391,verb.change,changes
393,393,noun.group,world
404,404,noun.communication,memoir
409,409,noun.communication,secrets
411,411,noun.state,trauma
413,413,noun.feeling,rage
418,418,noun.communication,turns
420,420,noun.communication,phrase
421,421,verb.change,amplify
422,422,noun.cognition,candor
424,424,noun.act,violations
426,426,noun.act,violence
428,428,noun.state,silence
430,430,noun.feeling,shame
432,432,noun.feeling,guilt
434,434,noun.feeling,rage
438,439,noun.location,San Francisco
443,443,verb.creation,brings
451,451,noun.state,devastation
453,453,noun.communication,silence
455,456,noun.act,sexual abuse
458,458,verb.creation,cause
463,463,verb.cognition,understand
464,464,noun.communication,SHOUT
467,467,noun.cognition,exorcism
469,469,verb.cognition,recognizes
471,471,noun.act,damage
472,472,verb.creation,done
475,475,noun.act,way
477,477,verb.change,cleanse
482,483,noun.location,Los Angeles
488,488,noun.person,Anderson
489,489,verb.stative,is
492,492,noun.person,writer
497,497,noun.communication,memoir
