COREF,start_token,end_token,prop,cat,text
372,2,8,NOM,PER,THE BLACK FLAMINGO Stonewall Book Award Winner
1,9,9,PROP,GPE,Los
2,15,49,PROP,FAC,Kirkus Reviews Best Book School Library Journal Best Book Shelf Awareness Best Book Buzzfeed Books Best Book Parents Magazine Best Teen Book Chicago Public Library Best Teen Fiction YALSA Quick Picks for Reluctant Young Readers
3,51,65,PROP,FAC,Junior Library Guild Selection Indie Next pick Project Lit Book Club Selection Rainbow Book List
92,98,98,PROP,PER,Atta
1341,131,131,PRON,PER,oneself
1342,133,138,NOM,PER,readers of any orientation and ethnicity
1343,160,170,NOM,PER,an unforgettable teen who lives his liberation and truth in drag
1343,165,165,PRON,PER,his
1344,212,212,PRON,PER,its
1345,212,213,NOM,PER,its audience
1346,228,229,NOM,PER,its protagonist
93,240,240,PROP,PER,Michael
1347,245,245,PRON,PER,our
1347,248,248,PRON,PER,our
1347,251,251,PRON,PER,us
252,256,258,PROP,FAC,The Black Flamingo
92,275,276,PROP,PER,Dean Atta
1347,279,279,PRON,PER,us
94,292,293,PROP,PER,Abdi Nazemian
92,301,303,PROP,PER,DEAN ATTA BALZER
5,305,305,PROP,GPE,BRAY
373,306,312,NOM,GPE,An Imprint of HarperCollinsPwWis / iers Balzer
5,314,314,PROP,GPE,Bray
374,316,320,NOM,ORG,an imprint of HarperCollins Publishers
6,319,320,PROP,ORG,HarperCollins Publishers
375,322,324,NOM,PER,The Black Flamingo
376,342,346,NOM,GPE,the United States of America
7,346,346,PROP,GPE,America
377,387,391,NOM,ORG,a division of HarperCollins Publishers
6,390,391,PROP,FAC,HarperCollins Publishers
9,394,394,PROP,GPE,Broadway
10,396,397,PROP,GPE,New York
11,438,439,PROP,GPE,Great Britain
12,445,445,PROP,GPE,Stoughton
0,449,449,PRON,PER,I
375,451,453,NOM,PER,the black flamingo
375,455,457,NOM,PER,The black flamingo
0,459,459,PRON,PER,me
0,463,463,PRON,PER,myself
0,473,473,PRON,PER,I
380,475,476,NOM,PER,the prince
381,478,479,NOM,PER,the princess
0,481,481,PRON,PER,I
382,483,484,NOM,PER,the king
383,486,487,NOM,PER,the queen
0,489,489,PRON,PER,I
0,491,491,PRON,PER,my
384,491,494,NOM,PER,my own wicked witch
385,496,497,NOM,PER,fairy godmother
0,507,507,PRON,PER,I
386,513,513,NOM,PER,others
0,519,519,PRON,PER,I
387,521,522,NOM,PER,the fairy
0,524,524,PRON,PER,my
388,530,531,NOM,PER,female flamingos
389,535,536,NOM,FAC,the zoo
388,543,543,PRON,PER,them
390,549,550,NOM,PER,The zookeepers
391,555,559,NOM,PER,flamingo couples to nest with
390,562,563,NOM,PER,the zookeepers
391,565,565,PRON,PER,their
393,573,576,NOM,PER,the best flamingo parents
390,587,587,PRON,PER,they
0,610,610,PRON,PER,I
390,642,643,NOM,PER,the zookeepers
390,649,649,PRON,PER,they
0,660,660,PRON,PER,me
0,665,665,PRON,PER,I
0,673,673,PRON,PER,I
13,677,677,PROP,GPE,London
395,685,686,NOM,LOC,the world
95,694,694,PROP,PER,Mummy
0,696,696,PRON,PER,me
1348,700,700,PRON,PER,we
1349,707,707,NOM,PER,people
1348,733,733,PRON,PER,We
0,740,740,PRON,PER,I
396,742,746,NOM,PER,"a baby , just hatched"
0,748,748,PRON,PER,My
0,752,752,PRON,PER,my
0,757,757,PRON,PER,my
0,760,760,PRON,PER,I
0,764,764,PRON,PER,my
397,764,765,NOM,PER,my father
95,767,767,PROP,PER,Mummy
95,770,770,PRON,PER,I
1350,776,777,NOM,PER,a dad
95,780,780,PROP,PER,Mummy
0,782,782,PRON,PER,me
0,787,787,PRON,PER,I
