start_token,end_token,supersense_category,text
3,7,noun.group,BLACK FLAMINGO Stonewall Book Award
9,13,noun.group,Los Angeles Times Book Prize
15,16,noun.group,Kirkus Reviews
19,20,noun.group,School Library
38,39,noun.group,Public Library
51,53,noun.group,Junior Library Guild
57,57,verb.cognition,pick
68,68,noun.attribute,Courage
70,70,noun.attribute,fierceness
71,71,verb.stative,abound
80,80,noun.communication,story
91,92,noun.group,Kirkus Reviews
95,95,noun.cognition,review
100,100,noun.communication,story
101,101,verb.change,uplifts
104,104,verb.communication,informs
106,106,verb.emotion,entertains
109,109,verb.communication,affirms
113,114,noun.group,Publishers Weekly
117,117,noun.cognition,review
124,124,noun.communication,story
126,127,verb.social,standing up
128,128,verb.communication,for
130,130,verb.communication,embracing
133,133,noun.person,readers
136,136,noun.attribute,orientation
138,138,noun.attribute,ethnicity
140,140,verb.cognition,relate
146,146,noun.communication,review
152,152,verb.creation,presents
154,154,verb.creation,crafted
157,157,noun.communication,poetry
159,159,verb.communication,portray
162,162,noun.person,teen
164,164,verb.stative,lives
166,166,noun.act,liberation
168,168,noun.communication,truth
170,170,noun.state,drag
178,178,noun.communication,review
183,183,noun.act,exploration
186,186,noun.communication,intersections
188,188,noun.state,race
190,190,noun.communication,gender
193,193,noun.state,sexuality
203,203,noun.act,debut
213,213,noun.group,audience
218,218,noun.communication,page
221,221,noun.communication,verse
222,222,noun.communication,poetry
224,224,verb.change,grows
226,226,verb.change,matures
229,229,noun.person,protagonist
240,240,noun.person,Michael
242,242,noun.communication,tale
243,243,verb.communication,explores
246,246,noun.cognition,identities
249,249,noun.state,discomfort
250,250,verb.stative,mold
259,259,verb.stative,is
262,262,noun.event,addition
265,265,noun.communication,canon
273,273,noun.communication,stories
275,276,noun.person,Dean Atta
278,278,verb.possession,gifted
281,281,noun.communication,words
283,283,verb.stative,are
292,293,noun.person,Abdi Nazemian
295,295,noun.person,author
301,302,noun.person,DEAN ATTA
304,307,noun.group,+ BRAY An Imprint
309,309,noun.group,HarperCollinsPwWis
312,314,noun.group,Balzer + Bray
315,315,verb.stative,is
317,317,noun.cognition,imprint
319,320,noun.group,HarperCollins Publishers
329,330,noun.group,Dean Atta
331,331,noun.communication,Emojis
333,333,noun.group,Carboxylase
338,338,verb.possession,reserved
343,344,noun.location,United States
346,346,noun.location,America
349,349,noun.relation,part
352,352,noun.communication,book
355,355,verb.consumption,used
357,357,verb.creation,reproduced
360,360,noun.attribute,manner
364,364,noun.communication,permission
368,368,noun.state,case
371,371,noun.communication,quotations
372,372,verb.stative,embodied
375,375,noun.communication,articles
377,377,noun.communication,reviews
380,380,noun.communication,information
381,381,verb.communication,address
388,388,noun.cognition,division
390,391,noun.group,HarperCollins Publishers
394,394,noun.location,Broadway
396,397,noun.location,New York
399,399,noun.location,NY
413,413,noun.act,Typography
415,416,noun.person,Jenna Stempel
431,431,noun.communication,paperback
432,432,noun.communication,edition
436,436,verb.creation,published
438,439,noun.location,Great Britain
443,443,noun.person,Hodder
447,448,noun.location,George PROLOGUE
