COREF,start_token,end_token,prop,cat,text
198,2,3,PROP,PER,Margaret Atwood
198,8,8,PROP,PER,Atwood
198,20,20,PRON,PER,hers
198,49,49,PROP,PER,Atwood
3436,60,60,PRON,PER,we
3436,62,62,PRON,PER,we
3436,81,81,PRON,PER,we
3436,91,91,PRON,PER,we
1,96,97,PROP,FAC,Los Angeles
198,105,105,PROP,PER,Atwood
198,107,107,PRON,PER,her
3437,131,133,NOM,PER,no other writer
198,136,136,PRON,PER,her
3438,154,155,NOM,LOC,the world
3439,180,180,PRON,PER,your
3439,188,188,PRON,PER,your
3438,194,195,NOM,LOC,the world
198,205,205,PRON,PER,she
198,211,211,PRON,PER,she
457,220,221,NOM,PER,The Guardian
2,243,244,PROP,FAC,Slate Satisfying
3,250,251,PROP,GPE,St. Louis
3436,258,258,PRON,PER,us
3441,269,273,NOM,LOC,a world like [ Gilead
4,273,273,PROP,PER,Gilead
3442,277,282,NOM,LOC,the world we fear our own
3436,279,279,PRON,PER,we
3436,281,281,PRON,PER,our
200,288,288,PROP,PER,JiaTolentino
198,294,294,PROP,PER,Atwood
198,299,299,PRON,PER,her
3443,299,300,NOM,PER,her characters
3444,326,327,NOM,PER,its heroes
3445,346,346,NOM,PER,readers
3446,348,348,NOM,PER,viewers
4,357,357,PROP,GPE,Gilead
5,365,367,PROP,ORG,A. V. Club
457,369,369,PRON,PER,I
3447,371,371,PRON,PER,you
198,402,402,PROP,PER,Atwood
3448,404,406,NOM,PER,a masterly storyteller
3445,414,414,NOM,PER,readers
4,419,419,PROP,GPE,Gilead
3445,423,423,PRON,PER,them
3450,429,429,PRON,PER,our
458,435,438,NOM,FAC,The Christian Science Monitor
198,450,450,PROP,PER,Atwood
198,465,465,PRON,PER,her
6,471,473,PROP,FAC,Tampa Bay Times
459,475,489,NOM,PER,"A thrilling page - turner , filled with clever world - building and razor wit"
198,520,520,PROP,PER,Atwood
198,523,523,PRON,PER,her
4,535,535,PROP,GPE,Gilead
4,540,540,PRON,LOC,its
7,548,548,PROP,GPE,London
198,550,551,PROP,PER,Margaret Atwood
198,554,555,PROP,PER,Margaret Atwood
3451,564,567,NOM,GPE,forty - five countries
198,605,605,PRON,PER,her
201,608,608,PROP,PER,Cat
202,619,620,PROP,PER,Alias Grace
8,628,628,PROP,GPE,Canada
3452,630,634,NOM,FAC,the Premio Mondello in Italy
9,634,634,PROP,GPE,Italy
3453,636,645,NOM,PER,"The Blind Assassin , winner of the 2000 Booker Prize"
203,647,647,PROP,PER,Oryx
204,649,649,PROP,PER,Crake
3454,658,662,NOM,PER,The Tear of the Flood-
10,664,664,PROP,GPE,MaddAddam-
11,667,669,PROP,FAC,Hag - Seed
198,671,671,PRON,PER,She
12,705,709,PROP,FAC,the Los Angeles Times Innovator
198,716,716,PRON,PER,she
3455,722,732,NOM,ORG,the Order of the Companions of Honour for services to literature
3456,725,732,NOM,PER,the Companions of Honour for services to literature
13,734,788,PROP,FAC,www.margaretatwood.ca ALSO BY MARGARET ATWOOD NOVELS The Edible Woman Surfacing Lady Oracle Life Before Man Bodily Harm The Handmaid ’s Tale Cat ’s Eye The Robber Bride Alias Grace The Blind Assassin Oryx and Crake The Penelopiad The Tear of the Flood MaddAddam The Heart Goes Last Hag - Seed SHORTER FICTION Dancing Girls Murder
198,737,738,PROP,PER,MARGARET ATWOOD
14,740,748,PROP,FAC,The Edible Woman Surfacing Lady Oracle Life Before Man
3457,751,778,NOM,FAC,The Handmaid ’s Tale Cat ’s Eye The Robber Bride Alias Grace The Blind Assassin Oryx and Crake The Penelopiad The Tear of the Flood MaddAddam The Heart
3458,790,823,NOM,FAC,the Dark Bluebeard ’s Egg Wilderness Tips Good Bones and Simple Murders The Tent Moral Disorder Stone Mattress POETRY Double Persephone The Circle Game The Animals in That Country The Journals of Susanna Moodie
3459,829,829,PRON,PER,You
15,859,863,PROP,FAC,the Burned House Eating Fire
16,871,874,PROP,FAC,The Door NONFICTION Survival
17,876,885,PROP,FAC,A Thematic Guide to Canadian Literature Days of the Rebels
3460,884,885,NOM,PER,the Rebels
18,895,896,PROP,LOC,The Malevolent
19,897,899,PROP,GPE,North in Canadian
20,948,949,PROP,LOC,Other Worlds
3461,953,957,NOM,PER,the Human Imagination FOR CHILDREN
205,962,962,PROP,PER,Anna
206,967,968,PROP,PER,Joyce Barkhouse
207,971,974,PROP,PER,the Birds Princess Prunella
21,976,980,PROP,FAC,the Purple Peanut Rude Ramsay
3462,982,986,NOM,PER,the Roaring Radishes Bashful Bob
22,988,992,PROP,FAC,Doleful Dorinda Wandering Wenda GRAPHIC
208,994,995,PROP,PER,Angel Catbird
3463,996,999,NOM,FAC,The Handmaid ’s Tale
198,1000,1000,PRON,PER,I
23,1002,1010,PROP,FAC,THE TESTAMENTS THE TESTAMENTS Margaret A tvcood ANCHOR BOOKS
24,1014,1022,PROP,GPE,PENGUIN RANDOM HOUSE LLC NEW YORK FIRST ANCHOR BOOKS
25,1019,1019,PROP,GPE,YORK
460,1043,1045,NOM,GPE,the United States
461,1050,1056,NOM,ORG,a division of Penguin Random House LLC
26,1053,1056,PROP,ORG,Penguin Random House LLC
27,1058,1059,PROP,GPE,New York
460,1066,1068,NOM,GPE,the United States
28,1070,1074,PROP,FAC,Nan A. Talese I Doubleday
461,1076,1082,NOM,ORG,a division of Penguin Random House LLC
26,1079,1082,PROP,ORG,Penguin Random House LLC
27,1084,1085,PROP,GPE,New York
26,1098,1101,PROP,FAC,Penguin Random House LLC
464,1123,1124,NOM,PER,the author
465,1135,1136,NOM,PER,actual persons
30,1150,1153,PROP,ORG,The Library of Congress
28,1156,1161,PROP,FAC,the Nan A. Talese / Doubleday
32,1168,1168,PROP,GPE,Atwood
466,1172,1173,NOM,PER,1939- author
0,1179,1179,PRON,PER,I
198,1180,1181,PROP,FAC,Margaret Atwood
0,1188,1188,PRON,PER,I
27,1189,1190,PROP,GPE,New York
28,1192,1196,PROP,FAC,Nan A. Talese / Doubleday
0,1212,1212,PRON,PER,I
467,1213,1214,NOM,PER,Surrogate mothers
0,1218,1218,PRON,PER,I
468,1219,1222,NOM,PER,Man - woman relationships
0,1226,1226,PRON,PER,I
0,1231,1231,PRON,PER,I
0,1236,1236,PRON,PER,I
0,1244,1244,PRON,PER,I
0,1252,1252,PRON,PER,I
0,1257,1257,PRON,PER,I
0,1264,1264,PRON,PER,I
0,1269,1269,PRON,PER,I
0,1277,1277,PRON,PER,I
0,1279,1279,PRON,PER,I
0,1282,1282,PRON,PER,I
0,1285,1285,PRON,PER,I
0,1288,1288,PRON,PER,I
0,1293,1293,PRON,PER,I
0,1298,1298,PRON,PER,I
469,1366,1370,NOM,GPE,the United States of America
35,1370,1370,PROP,GPE,America
470,1374,1375,NOM,PER,Every woman
471,1390,1391,NOM,PER,a monster
209,1394,1395,PROP,PER,GEORGE ELIOT
210,1397,1398,PROP,PER,DANIEL CKSOND4
472,1400,1400,PRON,PER,we
473,1402,1403,NOM,PER,one another
472,1408,1408,PRON,PER,we
472,1412,1412,PRON,PER,usjust
472,1417,1417,PRON,PER,we
472,1422,1422,PRON,PER,we
474,1430,1430,PRON,PER,you
474,1434,1434,PRON,PER,yourselves
472,1436,1436,PRON,PER,us
36,1440,1445,PROP,FAC,OBERSTURMBANNFUHRER LISS TO OLD BOLSHEVIK MOSTOVSKOY
211,1447,1448,PROP,PER,VASILY GROSSMAN
212,1492,1492,PROP,PER,URSULA
475,1497,1501,NOM,FAC,THE TOMBS OF ATUAN CONTENTS
0,1502,1502,PRON,PER,i
0,1503,1503,PRON,PER,I
0,1511,1511,PRON,PER,I
0,1513,1513,PRON,PER,I
0,1522,1522,PRON,PER,I
0,1524,1524,PRON,PER,I
0,1526,1526,PRON,PER,I
0,1533,1533,PRON,PER,I
37,1544,1544,PROP,GPE,CARNARVON
476,1545,1571,NOM,PER,1 119 IX 1 Thank Tank 1 135 X 1 SPRING GREEN 1 151 XI 1 Sackcloth 1 167 XII 1 CARPITZ 1 183 XIII 1 Secateurs
0,1575,1575,PRON,PER,I
38,1576,1576,PROP,GPE,ARDUA
0,1578,1578,PRON,PER,I
0,1581,1581,PRON,PER,I
213,1582,1582,PROP,PER,Fox
0,1585,1585,PRON,PER,I
477,1589,1605,NOM,PER,CONTENTS XVI 1 PEARL GIRLS 1 257 xvii 1 Perfect Teeth 1 275 XVIII 1 READING ROOM
0,1631,1631,PRON,PER,I
0,1633,1633,PRON,PER,I
0,1636,1636,PRON,PER,I
39,1637,1641,PROP,FAC,THE NELLIE J. BANKS I
0,1641,1641,PRON,PER,I
0,1644,1644,PRON,PER,I
0,1646,1646,PRON,PER,I
0,1649,1649,PRON,PER,I
0,1651,1651,PRON,PER,I
0,1654,1654,PRON,PER,I
0,1656,1656,PRON,PER,I
0,1665,1665,PRON,PER,I
0,1668,1668,PRON,PER,I
478,1673,1677,NOM,FAC,the Archive with Margaret Atwood
0,1678,1678,PRON,PER,I
0,1683,1683,PRON,PER,I
479,1691,1693,NOM,PER,Only dead people
0,1701,1701,PRON,PER,I
0,1711,1711,PRON,PER,I
0,1724,1724,PRON,PER,my
214,1737,1738,PROP,PER,Aunt Vidala
214,1740,1740,PRON,PER,She
480,1747,1747,PRON,PER,our
481,1747,1748,NOM,PER,our superiors
0,1756,1756,PRON,PER,I
214,1758,1758,PRON,PER,her
0,1764,1764,PRON,PER,I
0,1778,1778,PRON,PER,me
0,1788,1788,PRON,PER,I
480,1791,1791,PRON,PER,We
40,1798,1799,PROP,FAC,Ardua Hall
0,1808,1808,PRON,PER,I
0,1810,1810,PRON,PER,my
0,1816,1816,PRON,PER,My
0,1831,1831,PRON,PER,me
0,1842,1842,PRON,PER,I
0,1849,1849,PRON,PER,I
0,1857,1857,PRON,PER,my
0,1867,1867,PRON,PER,My
0,1880,1880,PRON,PER,my
0,1883,1883,PRON,PER,my
0,1889,1889,PRON,PER,my
0,1908,1908,PRON,PER,my
40,1930,1931,PROP,FAC,Ardua Hall
480,1933,1933,PRON,PER,We
482,1933,1934,NOM,PER,We Aunts
483,1934,1934,NOM,PER,Aunts
0,1946,1946,PRON,PER,my
484,1950,1955,NOM,PER,a girl of seven or eight
0,1960,1960,PRON,PER,me
0,1965,1965,PRON,PER,My
485,1973,1978,NOM,PER,a woman crouched at my side
0,1977,1977,PRON,PER,my
485,1980,1980,PRON,PER,her
485,1984,1984,PRON,PER,her
486,2004,2007,NOM,PER,one of our Handmaids
480,2006,2006,PRON,PER,our
487,2006,2007,NOM,PER,our Handmaids
0,2011,2011,PRON,PER,me
488,2013,2026,NOM,PER,"one of my Pearl Girls , ready to set out on her missionary work"
0,2015,2015,PRON,PER,my
489,2015,2017,NOM,PER,my Pearl Girls
485,2024,2024,PRON,PER,her
0,2033,2033,PRON,PER,my
0,2036,2036,PRON,PER,my
0,2042,2042,PRON,PER,me
0,2044,2044,PRON,PER,my
0,2048,2048,PRON,PER,I
0,2053,2053,PRON,PER,I
0,2065,2065,PRON,PER,my
0,2087,2087,PRON,PER,I
0,2094,2094,PRON,PER,myself
0,2099,2099,PRON,PER,I
490,2111,2113,NOM,PER,the elderly sculptress
491,2115,2119,NOM,PER,a true believer since deceased
490,2129,2129,PRON,PER,her
492,2129,2130,NOM,PER,her subjects
492,2135,2135,PRON,PER,their
490,2139,2139,PRON,PER,Her
215,2142,2143,PROP,PER,Aunt Helena
214,2149,2150,PROP,PER,Aunt Vidala
216,2157,2158,PROP,PER,Aunt Elizabeth
493,2167,2168,NOM,PER,the sculptress
493,2173,2173,PRON,PER,her
0,2176,2176,PRON,PER,me
0,2181,2181,PRON,PER,I
0,2187,2187,PRON,PER,I
0,2193,2193,PRON,PER,I
0,2212,2212,PRON,PER,I
0,2223,2223,PRON,PER,I
0,2234,2234,PRON,PER,my
0,2242,2242,PRON,PER,me
0,2248,2248,PRON,PER,my
0,2259,2259,PRON,PER,my
0,2280,2280,PRON,PER,I
0,2302,2302,PRON,PER,I
0,2307,2307,PRON,PER,my
494,2307,2309,NOM,FAC,my private sanctum
495,2311,2315,NOM,FAC,the library of Ardua Hall
496,2317,2334,NOM,FAC,one of the few libraries remaining after the enthusiastic bookburnings that have been going on across our land
497,2319,2334,NOM,FAC,the few libraries remaining after the enthusiastic bookburnings that have been going on across our land
498,2333,2333,PRON,PER,our
499,2356,2365,NOM,PER,the morally pure generation that is surely about to arrive
498,2381,2381,PRON,PER,ourselves
0,2396,2396,PRON,PER,I
0,2405,2405,PRON,PER,I
500,2417,2417,PRON,PER,your
0,2420,2420,PRON,PER,I
0,2424,2424,PRON,PER,my
501,2424,2426,NOM,PER,my unknown reader
500,2429,2429,PRON,PER,you
0,2443,2443,PRON,PER,I
0,2448,2448,PRON,PER,I
502,2452,2453,NOM,PER,a reader
0,2456,2456,PRON,PER,I
0,2478,2478,PRON,PER,My
0,2482,2482,PRON,PER,my
0,2487,2487,PRON,PER,my
0,2494,2494,PRON,PER,me
0,2496,2496,PRON,PER,I
0,2511,2511,PRON,PER,I
503,2514,2514,PRON,PER,they
0,2520,2520,PRON,PER,myself
0,2526,2526,PRON,PER,I
0,2532,2532,PRON,PER,I
0,2554,2554,PRON,PER,me
40,2560,2561,PROP,FAC,Ardua Hall
504,2567,2567,PRON,PER,their
0,2575,2575,PRON,PER,I
504,2577,2577,PRON,PER,them
500,2596,2596,PRON,PER,You
0,2599,2599,PRON,PER,me
500,2602,2602,PRON,PER,you
0,2608,2608,PRON,PER,me
0,2610,2610,PRON,PER,I
4,2615,2615,PROP,GPE,Gilead
500,2617,2617,PRON,PER,You
0,2625,2625,PRON,PER,I
0,2632,2632,PRON,PER,I
500,2634,2634,PRON,PER,you
505,2645,2646,NOM,PER,many children
4,2653,2653,PROP,GPE,Gilead
506,2658,2659,NOM,PER,many adults
4,2666,2666,PROP,GPE,Gilead
0,2670,2670,PRON,PER,I
500,2672,2672,PRON,PER,you
507,2679,2679,PRON,PER,we
507,2687,2687,PRON,PER,we
508,2691,2691,NOM,PER,children
509,2703,2703,NOM,PER,others
0,2705,2705,PRON,PER,I
500,2708,2708,PRON,PER,you
4,2710,2710,PROP,GPE,Gilead
217,2740,2740,PROP,PER,God
500,2744,2744,PRON,PER,you
0,2747,2747,PRON,PER,me
507,2760,2760,PRON,PER,our
510,2760,2761,NOM,FAC,our school
500,2799,2799,PRON,PER,you
511,2818,2818,NOM,PER,men
507,2862,2862,PRON,PER,us
507,2865,2865,PRON,PER,our
216,2869,2870,PROP,PER,MARGARET ATWOOD
507,2878,2878,PRON,PER,our
507,2887,2887,PRON,PER,our
507,2894,2894,PRON,PER,our
507,2901,2901,PRON,PER,our
507,2906,2906,PRON,PER,our
507,2919,2919,PRON,PER,our
507,2924,2924,PRON,PER,we
