start_token,end_token,supersense_category,text
2,3,noun.person,Margaret Atwood
8,8,noun.person,Atwood
9,9,verb.stative,continues
11,11,verb.contact,blur
13,13,noun.person,villain
15,15,noun.person,victim
16,16,noun.cognition,distinctions
18,18,noun.cognition,Wisdom
23,23,verb.stative,be
34,34,verb.stative,is
39,39,noun.artifact,classic
41,41,verb.stative,continues
45,45,noun.communication,thanks
49,49,noun.person,Atwood
51,51,noun.attribute,capacity
53,53,verb.cognition,surprise
56,56,verb.creation,writing
59,59,noun.group,universe
61,61,verb.cognition,think
63,63,verb.cognition,know
74,74,noun.communication,cry
76,76,verb.change,become
80,80,noun.communication,stories
83,83,verb.communication,told
86,86,verb.communication,tell
90,90,noun.attribute,roles
92,92,verb.cognition,assume
96,97,noun.location,Los Angeles
104,104,verb.stative,is
112,112,noun.group,mixture
114,114,noun.attribute,generosity
116,116,noun.cognition,insight
118,118,noun.attribute,control
121,121,noun.communication,prose
122,122,verb.stative,is
133,133,noun.person,writer
135,135,verb.social,managed
138,138,noun.event,phenomenon
142,142,noun.attribute,grace
144,144,noun.cognition,skill
148,148,verb.cognition,read
150,150,noun.communication,book
151,151,verb.stative,is
153,153,verb.perception,feel
155,155,noun.cognition,world
156,156,verb.motion,turning
161,161,noun.event,shifts
166,166,noun.time,years
167,167,verb.perception,reveal
171,171,noun.communication,themes
174,174,verb.stative,is
177,177,noun.state,chance
179,179,verb.perception,see
183,183,noun.state,life
184,184,verb.change,flash
189,189,noun.body,eyes
192,192,verb.cognition,remember
195,195,noun.object,world
196,196,verb.stative,was
198,198,noun.time,years
201,201,verb.communication,say
206,206,verb.stative,was
212,212,verb.stative,is
215,215,noun.time,today
225,225,noun.act,treat
228,228,noun.communication,corker
231,231,noun.communication,plot
233,233,verb.stative,culminating
237,237,noun.act,flight
239,239,noun.state,freedom
247,247,noun.possession,gift
250,251,noun.location,St. Louis
259,259,verb.cognition,see
263,263,noun.cognition,kinds
265,265,noun.state,complicity
266,266,verb.stative,required
268,268,verb.creation,constructing
270,270,noun.object,world
273,273,noun.person,Gilead
278,278,noun.object,world
280,280,verb.emotion,fear
284,284,verb.stative,become
288,288,noun.person,JiaTolentino
294,294,noun.person,Atwood
295,296,verb.change,breathes life
300,300,noun.cognition,characters
304,304,noun.communication,prose
311,311,noun.communication,Testaments
313,313,verb.creation,delivers
315,315,noun.communication,drama
317,318,verb.cognition,strips away
320,320,noun.attribute,gray
323,323,noun.cognition,relativism
325,325,verb.communication,lets
327,327,noun.person,heroes
328,328,verb.perception,shine
330,330,noun.attribute,feats
332,332,noun.attribute,courage
334,334,noun.act,sacrifice
337,337,noun.attribute,cunning
342,342,noun.cognition,sort
344,344,noun.communication,story
346,346,noun.person,readers
348,348,noun.group,viewers
350,350,verb.consumption,use
351,351,noun.quantity,more
357,357,noun.person,Gilead
358,358,verb.perception,seems
365,367,noun.group,A. V. Club
370,370,verb.emotion,dare
374,374,verb.stative,be
377,377,verb.contact,put
390,390,verb.cognition,read
396,396,verb.change,get
400,400,noun.event,sequel
401,402,noun.person,.... Atwood
406,406,noun.person,storyteller
408,408,verb.creation,spins
411,411,noun.communication,tale
414,414,noun.person,readers
415,415,verb.competition,confront
417,417,noun.feeling,horrors
419,419,noun.location,Gilead
426,426,verb.cognition,see
427,427,noun.relation,parallels
431,431,noun.group,society
436,438,noun.group,Christian Science Monitor
442,442,noun.communication,tale
445,445,verb.communication,told
450,450,noun.person,Atwood
451,451,verb.motion,moves
455,455,noun.object,world
457,457,noun.process,building
459,460,noun.cognition,character study
463,463,noun.act,adventure
466,466,noun.artifact,map
471,473,noun.group,Tampa Bay Times
477,477,noun.communication,page
479,479,noun.person,turner
484,484,noun.object,world
486,486,noun.process,building
489,489,noun.communication,wit
493,493,noun.group,Newsday
499,499,noun.communication,detail
502,502,noun.communication,twists
504,504,noun.act,turns
510,510,noun.event,race
512,512,noun.state,freedom
516,516,noun.cognition,bravura
517,517,noun.feeling,relish
519,520,noun.person,... Atwood
522,522,verb.change,complemented
525,525,noun.artifact,masterpiece
530,530,noun.act,look
533,533,noun.attribute,monstrosities
535,535,noun.location,Gilead
538,538,noun.shape,brink
541,541,noun.state,disintegration
548,548,noun.location,London
550,551,noun.person,Margaret Atwood
553,555,noun.person,TESTAMENTS Margaret Atwood
558,558,noun.artifact,work
561,561,verb.communication,published
567,567,noun.group,countries
569,569,verb.stative,is
571,571,noun.person,author
576,576,noun.communication,books
578,578,noun.communication,fiction
580,580,noun.communication,poetry
582,583,noun.communication,critical essays
586,587,noun.communication,graphic novels
599,599,noun.communication,award
602,603,noun.communication,TV series
606,606,noun.communication,novels
607,607,verb.stative,include
612,612,verb.cognition,shortlisted
623,623,verb.possession,won
628,628,noun.location,Canada
634,634,noun.location,Italy
651,651,verb.cognition,shortlisted
672,672,verb.stative,is
674,674,noun.person,recipient
677,677,noun.possession,awards
718,718,verb.change,made
720,720,noun.person,member
730,730,noun.act,services
732,732,noun.communication,literature
734,750,noun.group,www.margaretatwood.ca ALSO BY MARGARET ATWOOD NOVELS The Edible Woman Surfacing Lady Oracle Life Before Man Bodily Harm
754,766,noun.group,Tale Cat ’s Eye The Robber Bride Alias Grace The Blind Assassin Oryx
768,788,noun.group,Crake The Penelopiad The Tear of the Flood MaddAddam The Heart Goes Last Hag - Seed SHORTER FICTION Dancing Girls Murder
