COREF,start_token,end_token,prop,cat,text
0,5,5,PRON,PER,I
1,8,8,PROP,GPE,Mynaria
0,11,11,PRON,PER,I
0,15,15,PRON,PER,myself
0,26,26,PRON,PER,my
0,29,29,PRON,PER,I
0,38,38,PRON,PER,I
0,45,45,PRON,PER,I
275,52,54,NOM,PER,queen of Mynaria
1,54,54,PROP,GPE,Mynaria
0,58,58,PRON,PER,I
0,64,64,PRON,PER,I
0,66,66,PRON,PER,I
276,69,70,NOM,PER,the prince
0,77,77,PRON,PER,my
277,80,81,NOM,PER,a monarch
278,84,89,NOM,PER,the people of both our kingdoms
279,87,87,NOM,GPE,both
280,88,88,PRON,PER,our
95,101,101,PROP,PER,Thandi
0,104,104,PRON,PER,I
0,113,113,PRON,PER,I
0,118,118,PRON,PER,myself
0,122,122,PRON,PER,I
0,126,126,PRON,PER,my
96,129,129,PROP,PER,Mare
0,138,138,PRON,PER,I
0,146,146,PRON,PER,I
97,157,158,PROP,PER,Audrey Coulthurst
98,169,170,PROP,PER,SHADOWS BALZER
2,172,172,PROP,GPE,BRAY
3,179,179,PROP,GPE,Balzer
2,181,181,PROP,GPE,Bray
4,186,187,PROP,ORG,HarperCollins Publishers
98,192,192,PROP,PER,Shadows
97,197,198,PROP,PER,Audrey Coulthurst
281,205,209,NOM,GPE,the United States of America
282,250,254,NOM,ORG,a division of HarperCollins Publishers
4,253,254,PROP,FAC,HarperCollins Publishers
6,257,257,PROP,GPE,Broadway
7,259,260,PROP,GPE,New York
8,262,262,PROP,GPE,NY
99,278,279,PROP,PER,Torborg Davern
283,298,303,NOM,PER,the girls who love other girls
284,302,303,NOM,PER,other girls
285,305,305,PRON,PER,you
100,315,315,PROP,PER,Denna
96,317,317,PROP,PER,Mare
285,321,321,PRON,PER,you
0,332,332,PRON,PER,MY
286,332,333,NOM,PER,MY MOTHER
0,337,337,PRON,PER,I
287,339,343,NOM,PER,A DIFFERENT PER - son
288,345,347,NOM,PER,That little girl
288,354,354,PRON,PER,her
289,366,368,NOM,GPE,the Northern Kingdoms
288,370,370,PRON,PER,She
290,373,375,NOM,PER,the Six Gods
290,379,379,PRON,PER,they
288,382,382,PRON,PER,her
288,384,384,PRON,PER,her
291,384,385,NOM,PER,her family
288,387,389,NOM,PER,That little girl
