start_token,end_token,supersense_category,text
6,7,verb.cognition,thought of
14,14,verb.communication,let
16,17,verb.cognition,think of
20,20,noun.attribute,way
24,24,noun.communication,thanks
27,27,noun.attribute,Affinity
32,32,verb.stative,be
35,35,verb.motion,return
41,41,verb.emotion,wanted
44,44,verb.cognition,thought
47,47,verb.emotion,wanted
49,49,verb.stative,was
51,51,verb.stative,become
52,52,noun.person,queen
54,54,noun.person,Mynaria
61,61,verb.cognition,trained
65,65,verb.cognition,thought
68,68,verb.social,marry
70,70,noun.person,prince
72,72,verb.stative,ascend
74,74,noun.artifact,throne
76,76,verb.consumption,use
78,78,noun.attribute,power
81,81,noun.person,monarch
83,83,verb.social,help
85,85,noun.group,people
89,89,noun.group,kingdoms
93,93,noun.cognition,dream
95,96,verb.change,gone up
98,98,noun.state,smoke
100,100,noun.time,day
101,101,noun.person,Thandi
102,103,verb.cognition,found out
105,105,verb.stative,was
115,115,verb.stative,being
121,121,noun.time,day
124,124,verb.cognition,understood
127,127,noun.feeling,feelings
129,129,noun.person,Mare
130,130,verb.stative,ran
134,134,noun.state,friendship
141,141,verb.possession,find
143,143,noun.cognition,dreams
147,147,verb.possession,had
149,149,noun.cognition,idea
152,152,verb.change,start
157,158,noun.person,Audrey Coulthurst
162,167,noun.group,Stars Inkmistress AUDREY COULTHURST OF ICE
169,170,noun.group,SHADOWS BALZER
171,172,noun.group,+ BRAY
176,176,noun.group,HarperCollinsPufeZii
180,181,noun.group,+ Bray
182,182,verb.stative,is
184,184,noun.group,imprint
186,187,noun.group,HarperCollins Publishers
189,190,noun.group,Of Ice
192,193,noun.group,Shadows Copyright
197,198,noun.person,Audrey Coulthurst
206,209,noun.location,United States of America
212,212,noun.relation,part
215,215,noun.communication,book
218,218,verb.consumption,used
220,220,verb.creation,reproduced
223,223,noun.attribute,manner
227,227,noun.communication,permission
231,231,noun.state,case
234,234,noun.communication,quotations
235,235,verb.communication,embodied
238,238,noun.communication,articles
240,240,noun.communication,reviews
244,244,noun.communication,address
251,251,noun.group,division
253,254,noun.group,HarperCollins Publishers
257,257,noun.location,Broadway
259,260,noun.location,New York
262,262,noun.location,NY
276,276,noun.communication,Typography
278,279,noun.person,Torborg Davern
292,292,noun.communication,paperback
293,293,noun.communication,edition
299,299,noun.person,girls
301,301,verb.emotion,love
303,303,noun.person,girls
306,306,verb.stative,are
315,315,noun.person,Denna
317,317,noun.person,Mare
324,324,verb.cognition,know
347,347,noun.person,girl
348,348,verb.body,wore
350,350,noun.artifact,clothes
352,352,noun.plant,wildflowers
355,355,noun.body,hair
358,358,verb.creation,sing
360,360,noun.communication,aria
362,362,noun.communication,tavern
363,363,noun.communication,song
364,364,verb.cognition,known
367,368,noun.location,Northern Kingdoms
371,372,verb.cognition,believed in
374,375,noun.group,Six Gods
377,377,verb.cognition,trusted
381,381,verb.competition,protect
385,385,noun.group,family
389,389,noun.person,girl
390,390,verb.stative,was
392,392,noun.person,fool
394,394,noun.time,Winter
397,397,noun.event,rains
400,400,noun.time,spring
403,403,noun.object,sun
404,404,verb.social,battled
406,406,noun.attribute,dominance
409,409,noun.location,city
411,411,noun.time,day
413,413,verb.social,took
416,416,noun.act,ride
418,418,noun.person,Mother
420,420,verb.body,Dressed
424,424,noun.artifact,breeches
428,428,noun.artifact,cloak
431,431,verb.motion,met
435,435,noun.artifact,gardens
438,439,verb.stative,keeping pace
447,447,noun.artifact,stables
452,452,verb.creation,performing
453,453,noun.time,today
457,457,verb.communication,asked
460,460,verb.stative,keeping
462,462,noun.attribute,voice
467,467,verb.cognition,think
469,469,verb.stative,are
473,473,verb.communication,said
477,477,noun.attribute,glint
480,480,noun.body,eye
483,483,noun.person,Neilla
484,484,verb.communication,sent
486,486,noun.communication,message
487,487,verb.communication,saying
490,490,verb.motion,missed
494,496,noun.location,Bell and Bridle
499,499,noun.act,Anticipation
500,500,verb.change,made
502,502,verb.motion,bounce
505,505,noun.body,toes
507,507,noun.person,Neilla
510,510,noun.person,owner
513,513,noun.group,•
516,516,noun.artifact,alehouse
518,518,verb.creation,made
522,522,noun.food,cakes
528,528,verb.communication,sworn
530,531,noun.group,Six Gods
533,533,verb.social,blessed
541,541,verb.stative,was
545,545,noun.person,mother
546,546,verb.body,felt
550,550,verb.motion,leave
552,552,noun.artifact,castle
556,556,noun.time,winter
559,559,verb.stative,become
562,562,noun.artifact,shell
567,567,noun.body,skin
571,571,noun.body,face
572,572,verb.contact,drawn
577,577,noun.attribute,auburn
580,580,noun.body,hair
581,581,verb.perception,seemed
584,584,verb.change,dimmed
589,589,verb.stative,was
591,591,noun.person,queen
596,596,verb.emotion,wanted
598,599,verb.social,grow up
601,601,verb.stative,be
606,606,noun.body,stomach
607,607,verb.body,feeling
612,612,verb.communication,asked
615,615,verb.stative,was
618,618,noun.state,illness
620,620,verb.change,started
623,623,verb.contact,took
625,625,noun.artifact,reins
628,628,noun.animal,horse
630,630,noun.animal,Lion
634,634,noun.person,groom
639,639,noun.plant,chestnut
640,640,noun.animal,stallion
641,641,verb.contact,nudged
643,643,noun.body,shoulder
648,648,verb.stative,’m
654,654,verb.communication,said
660,660,verb.emotion,worry
664,664,noun.body,heart
665,665,verb.motion,sank
668,668,verb.communication,said
674,674,verb.emotion,want
677,677,verb.cognition,know
680,680,noun.state,pain
682,682,verb.stative,was
688,688,verb.stative,been
691,691,noun.time,summers
696,696,verb.stative,was
698,698,noun.person,fool
701,701,noun.attribute,gauntness
704,704,noun.body,face
708,708,noun.attribute,way
710,710,verb.motion,moved
711,711,verb.communication,gave
716,716,noun.communication,telling
717,717,verb.stative,was
720,720,verb.stative,was
723,723,noun.time,year
727,727,noun.person,brother
729,729,noun.state,birth
734,735,verb.body,taken on
