COREF,start_token,end_token,prop,cat,text
2299,5,6,NOM,PER,AN ANTIRACIST
7722,10,10,PRON,PER,you
7722,13,13,PRON,PER,you
7722,34,34,PRON,PER,you
1012,36,38,PROP,PER,Ibram X. Kendi
7722,40,40,PRON,PER,you
7723,86,86,PRON,PER,our
7723,91,91,PRON,PER,ourselves
7723,93,93,PRON,PER,our
1,100,102,PROP,GPE,New York Times
1012,114,114,PROP,PER,Kendi
7723,117,117,PRON,PER,us
7724,134,135,NOM,PER,the author
2299,162,163,NOM,PER,an Antiracist
7723,165,165,PRON,PER,us
1012,175,175,PROP,PER,Kendi
1012,179,179,PRON,PER,his
7723,186,186,PRON,PER,we
7726,201,201,NOM,PER,others
1013,209,209,PROP,PER,NPR
1012,211,211,PROP,PER,Kendi
7727,218,220,NOM,PER,so few people
7727,222,222,PRON,PER,themselves
2299,239,240,NOM,PER,an Antiracist
7729,245,249,NOM,LOC,a post - racial America
2,249,249,PROP,GPE,America
7723,259,259,PRON,PER,we
1012,269,269,PROP,PER,Kendi
3,296,296,PROP,GPE,Washington
7730,299,303,NOM,PER,People of any racial background
7723,317,317,PRON,PER,us
1012,326,326,PROP,PER,Kendi
4,336,336,PROP,GPE,Boston
7731,340,341,NOM,LOC,the world
1012,343,343,PROP,PER,Kendi
1013,350,350,PRON,PER,I
1013,352,352,PRON,PER,my
1013,359,359,PRON,PER,I
1013,363,363,PRON,PER,I
7732,366,368,NOM,PER,a black person
7733,380,381,NOM,PER,white people
7734,383,385,NOM,PER,communities of color
5,390,390,PROP,GPE,Philadelphia
7723,412,412,PRON,PER,we
1012,424,424,PROP,PER,Kendi
7735,435,442,NOM,PER,the antiracist that resides in all of us
7723,442,442,PRON,PER,us
1012,468,468,PROP,PER,Kendi
1012,501,501,PROP,PER,Kendi
2300,530,530,NOM,PER,readers
2301,535,537,NOM,PER,people of color
1012,570,570,PROP,PER,Kendi
1012,575,575,PRON,PER,his
1012,578,578,PRON,PER,his
1014,603,603,PROP,PER,Stamped
1012,608,608,PROP,PER,Kendi
1012,610,610,PRON,PER,himself
7736,611,615,NOM,PER,a first - rate historian
1012,619,619,PRON,PER,his
1012,626,626,PRON,PER,himself
1012,628,628,PRON,PER,him
