start_token,end_token,supersense_category,text
11,11,verb.social,do
15,15,verb.creation,written
25,25,noun.communication,history
28,28,noun.cognition,ideas
41,41,verb.creation,craft
43,43,noun.event,stunner
46,46,noun.communication,book
52,52,verb.change,emerges
55,55,noun.communication,insights
56,56,verb.stative,is
60,60,noun.communication,book
65,65,noun.state,problem
67,67,noun.group,race
71,71,noun.cognition,mind
74,74,noun.act,confessional
76,78,noun.cognition,self - examination
85,85,verb.stative,be
88,88,noun.state,chance
90,90,verb.social,free
95,95,noun.state,nightmare
100,102,noun.group,New York Times
106,106,verb.change,come
110,110,noun.time,time
114,114,noun.person,Kendi
116,116,verb.possession,gifted
120,120,noun.communication,book
122,122,verb.stative,is
127,127,noun.communication,instruction
128,128,noun.communication,manual
132,132,noun.communication,memoir
135,135,noun.person,author
138,138,noun.act,path
143,143,noun.cognition,racism
148,148,noun.cognition,racism
163,163,noun.person,Antiracist
164,164,verb.possession,gives
170,170,noun.act,way
172,172,verb.communication,approach
175,175,noun.person,Kendi
176,176,verb.communication,puts
180,180,noun.communication,introduction
185,185,noun.act,struggle
192,192,noun.act,struggle
194,194,verb.stative,be
199,199,verb.cognition,see
202,202,verb.stative,are
209,209,noun.person,NPR
211,211,noun.person,Kendi
212,212,verb.communication,dissects
216,216,noun.group,society
220,220,noun.group,people
221,221,verb.cognition,consider
224,224,verb.stative,be
227,227,noun.state,divisions
229,229,noun.communication,inequalities
231,231,noun.cognition,racism
232,232,verb.change,remain
240,240,noun.person,Antiracist
241,241,verb.change,punctures
243,243,noun.communication,myths
249,249,noun.location,America
251,251,verb.cognition,examining
253,253,noun.cognition,racism
255,255,verb.stative,is
261,261,verb.social,do
269,269,noun.person,Kendi
270,270,verb.creation,fashions
272,272,noun.communication,memoir
275,276,verb.stative,functions as
280,280,noun.communication,guide
283,283,verb.cognition,reflecting
289,289,noun.cognition,thinking
291,291,noun.act,behavior
296,297,noun.group,Washington Post
299,299,noun.group,People
303,303,noun.cognition,background
304,304,verb.stative,need
306,306,verb.competition,fight
311,311,noun.state,atmosphere
314,314,noun.state,supremacy
316,316,verb.stative,surrounds
324,324,noun.communication,guide
326,326,noun.person,Kendi
327,327,verb.possession,offers
328,328,noun.communication,ammunition
331,331,noun.act,battle
336,337,noun.group,Boston Globe
341,341,noun.object,world
343,343,noun.person,Kendi
346,346,noun.artifact,lens
348,348,verb.change,changed
351,351,verb.creation,imagine
356,356,noun.time,future
357,357,noun.group,agency
361,361,verb.cognition,feel
367,368,noun.person,black person
371,371,verb.social,do
372,372,noun.quantity,more
374,374,verb.social,disrupt
375,375,noun.act,oppression
377,377,verb.change,including
378,378,noun.cognition,racism
381,381,noun.group,people
383,383,noun.group,communities
385,385,noun.attribute,color
390,391,noun.group,Philadelphia Inquirer
395,395,noun.communication,book
396,396,verb.communication,asks
399,399,noun.attribute,age
402,402,noun.communication,questions
406,406,noun.attribute,silence
407,407,verb.change,become
408,408,noun.state,complicity
413,413,verb.emotion,fear
414,414,verb.social,taking
415,415,noun.act,action
420,420,noun.phenomenon,consequences
422,422,noun.state,inaction
424,424,noun.person,Kendi
426,426,noun.act,writing
427,427,verb.stative,is
429,429,noun.act,search
432,432,noun.communication,language
434,434,verb.change,enable
436,436,noun.person,antiracist
438,438,verb.stative,resides
455,455,noun.communication,explanation
460,460,noun.cognition,ideas
462,462,noun.cognition,thinking
463,463,verb.stative,are
468,468,noun.person,Kendi
471,471,noun.communication,prose
472,472,verb.stative,is
482,482,noun.communication,book
484,484,verb.emotion,spark
486,486,noun.communication,conversations
490,491,noun.group,Publishers Weekly
494,494,noun.cognition,review
497,497,verb.change,wavering
501,501,noun.person,Kendi
503,503,verb.cognition,examines
504,504,noun.cognition,racism
507,507,noun.attribute,lenses
509,509,noun.attribute,power
511,511,noun.cognition,biology
513,513,noun.attribute,ethnicity
515,515,noun.cognition,body
517,517,noun.cognition,culture
528,528,noun.attribute,honesty
529,529,verb.communication,helps
530,530,noun.person,readers
535,535,noun.group,people
539,539,verb.social,navigate
543,543,noun.state,territory
552,553,noun.group,Kirkus Reviews
556,556,noun.communication,review
561,561,noun.group,blend
563,564,noun.communication,social commentary
566,566,noun.communication,memoir
570,570,noun.person,Kendi
571,571,verb.stative,is
574,574,verb.communication,spread
576,576,noun.communication,message
579,579,noun.communication,stories
580,581,verb.stative,serving as
583,583,noun.time,springboard
586,586,noun.communication,explorations
588,588,noun.group,race
590,590,noun.communication,gender
592,592,noun.attribute,color
594,594,noun.cognition,ism
597,597,noun.quantity,more
606,606,noun.location,Beginning
608,608,noun.person,Kendi
609,609,verb.social,proved
615,615,noun.person,historian
620,620,noun.attribute,willingness
622,622,verb.change,turn
624,624,noun.artifact,lens
627,627,verb.stative,marks
632,632,noun.person,activist
634,634,verb.stative,leading
636,636,noun.location,way
641,641,noun.group,society
645,646,noun.group,Library Journal
649,649,noun.communication,review
651,652,noun.group,Ibram X.
653,653,noun.person,Kendi
655,655,noun.artifact,work
660,660,noun.communication,books
668,668,verb.stative,is
674,674,noun.state,climate
678,678,noun.group,society
683,683,verb.change,start
684,684,verb.cognition,treating
687,687,noun.act,action
690,690,noun.feeling,emotion
693,693,noun.person,Kendi
695,695,verb.social,helping
697,697,verb.social,do
705,706,noun.location,New York
709,709,noun.person,author
715,716,verb.communication,Talk About
718,720,noun.person,Ibram X. Kendi
721,721,verb.consumption,uses
724,724,noun.time,life
725,725,noun.act,journey
727,727,verb.perception,show
730,730,verb.change,becoming
732,732,noun.person,antiracist
733,733,verb.stative,is
738,738,verb.stative,is
743,743,noun.communication,memoir
745,745,noun.time,history
749,749,noun.communication,commentary
752,752,noun.communication,book
753,753,verb.stative,is
767,767,noun.person,Forman
775,775,noun.person,author
785,785,verb.stative,is
792,792,noun.act,struggle
795,795,noun.attribute,justice
803,803,noun.artifact,work
808,809,verb.cognition,holds up
812,812,noun.attribute,lens
814,814,verb.communication,challenging
819,819,noun.attribute,orthodoxy
822,822,verb.change,illuminates
824,824,noun.cognition,foundations
826,826,noun.cognition,racism
830,830,noun.attribute,ways
836,836,verb.social,challenged
838,838,verb.emotion,inspired
841,841,noun.act,analysis
845,845,verb.stative,Be
847,847,noun.person,Antiracist
