COREF,start_token,end_token,prop,cat,text
165,2,2,PROP,PER,Bill
1,3,11,PROP,FAC,Konigsberg Openly Straight Honestly Ben The Porcupine of Truth
2,19,19,PROP,GPE,KONIGSBERG
415,29,29,PRON,PER,you
415,37,37,PRON,PER,you
416,58,59,NOM,PER,the publisher
417,63,64,NOM,PER,the author
416,66,67,NOM,PER,the publisher
165,83,84,PROP,PER,Bill Konigsberg
419,98,102,NOM,ORG,an imprint of Scholastic Inc.
3,101,102,PROP,ORG,Scholastic Inc.
420,116,116,NOM,PER,Publishers
416,132,133,NOM,PER,The publisher
422,147,147,NOM,PER,author
423,154,154,PRON,PER,their
416,197,198,NOM,PER,the publisher
4,215,216,PROP,FAC,557 Broadway
5,218,219,PROP,GPE,New York
6,221,221,PROP,GPE,NY
417,245,246,NOM,PER,the author
426,258,259,NOM,PER,actual persons
166,321,322,PROP,PER,Seamus Heaney
166,328,329,PROP,PER,Seamus Heaney
7,335,335,PROP,GPE,Farrar
8,337,337,PROP,GPE,Straus
9,339,339,PROP,GPE,Giroux
167,344,345,PROP,PER,Nina Goffi
168,365,365,PROP,PER,Chuck
0,367,367,PRON,PER,my
0,370,370,PRON,PER,my
0,379,379,PRON,PER,I
169,394,394,PROP,PER,MAX
0,399,399,PRON,PER,my
427,399,400,NOM,PER,my dad
0,402,402,PRON,PER,me
0,404,404,PRON,PER,I
428,406,407,NOM,PER,a kid
0,412,412,PRON,PER,I
427,417,417,PRON,PER,he
0,420,420,PRON,PER,me
429,422,424,NOM,FAC,the living room
0,426,426,PRON,PER,my
0,430,430,PRON,PER,I
0,446,446,PRON,PER,my
427,446,447,NOM,PER,my dad
0,449,449,PRON,PER,me
0,451,451,PRON,PER,I
427,456,456,PRON,PER,He
0,464,464,PRON,PER,I
0,468,468,PRON,PER,my
431,475,475,PRON,PER,we
0,490,490,PRON,PER,my
0,493,493,PRON,PER,I
0,499,499,PRON,PER,I
0,503,503,PRON,PER,I
0,512,512,PRON,PER,I
0,519,519,PRON,PER,you
427,524,524,PRON,PER,he
0,527,527,PRON,PER,my
0,540,540,PRON,PER,I
0,551,551,PRON,PER,my
10,565,565,PROP,GPE,Texas
0,568,568,PRON,PER,my
0,577,577,PRON,PER,my
432,577,578,NOM,PER,my mom
0,589,589,PRON,PER,I
432,591,591,PRON,PER,she
432,598,598,PRON,PER,she
170,609,609,PROP,PER,Dad
0,616,616,PRON,PER,me
170,618,618,PRON,PER,He
433,621,623,NOM,PER,the perfect dad
170,625,625,PRON,PER,he
434,628,628,PRON,PER,us
170,631,631,PRON,PER,he
0,639,639,PRON,PER,My
0,643,643,PRON,PER,my
0,649,649,PRON,PER,I
170,654,654,PRON,PER,him
170,666,666,PRON,PER,he
171,672,673,PROP,PER,Kurt Warner
435,672,675,NOM,PER,Kurt Warner ’s wife
436,678,679,NOM,PER,a boy
0,682,682,PRON,PER,I
0,687,687,PRON,PER,I
0,691,691,PRON,PER,I
0,694,694,PRON,PER,I
0,698,698,PRON,PER,I
0,701,701,PRON,PER,I
437,703,705,NOM,PER,a freakin warrior
0,711,711,PRON,PER,I
0,721,721,PRON,PER,I
438,725,729,NOM,FAC,the Gilbert Farmers ’ Market
0,731,731,PRON,PER,my
432,731,732,NOM,PER,my mom
0,744,744,PRON,PER,I
0,755,755,PRON,PER,I
0,764,764,PRON,PER,my
432,764,765,NOM,PER,my mom
0,777,777,PRON,PER,I
441,780,781,NOM,FAC,the market
0,783,783,PRON,PER,I
0,787,787,PRON,PER,I
0,797,797,PRON,PER,I
0,802,802,PRON,PER,I
0,813,813,PRON,PER,my
432,813,814,NOM,PER,my mom
432,823,823,PRON,PER,her
432,828,828,PRON,PER,she
443,834,836,NOM,PER,the seller guy
0,838,838,PRON,PER,I
444,844,845,NOM,PER,this warrior
0,850,850,PRON,PER,my
432,854,854,PRON,PER,I
432,859,859,PRON,PER,I
0,861,861,PRON,PER,your
432,864,864,PRON,PER,my
432,868,868,PRON,PER,she
432,873,873,PRON,PER,she
0,875,875,PRON,PER,my
432,875,876,NOM,PER,my mom
0,882,882,PRON,PER,I
0,888,888,PRON,PER,I
2221,893,895,NOM,VEH,the food trucks
432,898,898,PRON,PER,She
0,900,900,PRON,PER,my
0,906,906,PRON,PER,You
0,908,908,PRON,PER,yourself
172,910,910,PROP,PER,Maximo
0,916,916,PRON,PER,you
0,929,929,PRON,PER,my
0,938,938,PRON,PER,I
446,947,955,NOM,PER,The fine people of the Gilbert Farmers ’ Market
438,951,955,NOM,FAC,the Gilbert Farmers ’ Market
0,961,961,PRON,PER,my
0,964,964,PRON,PER,I
448,969,971,NOM,FAC,farmers ’ market
0,973,973,PRON,PER,I
0,979,979,PRON,PER,I
173,983,983,PROP,PER,Betts
174,985,987,PROP,PER,Zay - Rod
0,990,990,PRON,PER,I
449,992,994,NOM,PER,the friendly people
0,1016,1016,PRON,PER,I
0,1029,1029,PRON,PER,I
450,1031,1034,NOM,PER,the hot sauce guys
451,1036,1036,NOM,PER,Homeboys
0,1043,1043,PRON,PER,me
450,1046,1046,PRON,PER,they
452,1048,1048,PRON,PER,you
0,1061,1061,PRON,PER,I
453,1063,1065,NOM,PER,a closet foodie
175,1067,1068,PROP,PER,The Amigos
454,1075,1075,NOM,FAC,home
0,1076,1076,PRON,PER,I
176,1082,1082,PROP,PER,Mom
455,1084,1086,NOM,PER,the tamale queen
0,1089,1089,PRON,PER,I
456,1105,1106,NOM,FAC,the kitchen
0,1109,1109,PRON,PER,me
0,1119,1119,PRON,PER,I
0,1131,1131,PRON,PER,I
2221,1139,1141,NOM,FAC,the food trucks
458,1149,1150,NOM,VEH,a truck
0,1152,1152,PRON,PER,I
459,1160,1163,NOM,VEH,a kettle corn truck
460,1165,1167,NOM,VEH,a waffle truck
0,1169,1169,PRON,PER,my
461,1172,1174,NOM,VEH,a burrito truck
462,1186,1188,NOM,VEH,this new one
177,1207,1208,PROP,PER,CoqAu Vinny
463,1249,1249,NOM,PER,someone
