COREF,start_token,end_token,prop,cat,text
304,9,9,PRON,PER,You
96,11,11,PROP,PER,God
0,15,15,PRON,PER,Me
97,17,17,PROP,PER,Margaret
1,23,23,PROP,GPE,Oakland
98,25,25,PROP,PER,Salazar
305,62,68,NOM,PER,upper middle grade and middle school readers
306,72,78,NOM,PER,maturing tweens in the midst of puberty
2,82,84,PROP,FAC,School Library Journal
98,93,93,PROP,PER,Salazar
98,133,133,PROP,PER,Salazar
98,153,153,PROP,PER,Salazar
98,179,179,PROP,PER,Salazar
307,189,190,NOM,PER,young girls
304,200,200,PRON,PER,your
304,205,205,PRON,PER,your
308,230,231,NOM,PER,The author
99,239,239,PROP,PER,Xicana
309,242,243,NOM,PER,Caribbean peoples
310,254,255,NOM,PER,The characters
311,267,268,NOM,PER,a girl
312,301,302,NOM,GPE,two cultures
98,309,309,PROP,PER,Salazar
313,327,329,NOM,PER,National Young People
100,348,349,PROP,PER,Aida Salazar
314,351,351,PRON,PER,us
100,362,362,PRON,PER,She
315,364,364,NOM,PER,readers
34,369,369,PROP,PER,Bomba
316,388,392,NOM,PER,a Latina pre - teen
0,407,407,PRON,PER,I
314,423,423,PRON,PER,our
317,426,426,NOM,PER,all
102,438,440,PROP,PER,Juan Felipe Herrera
318,442,449,NOM,PER,former US Poet Laureate and author of Jabberwalking
100,451,452,PROP,PER,Aida Salazar
314,457,457,PRON,PER,our
319,472,480,NOM,PER,a woman at the intersection of community and self
3,490,492,PROP,LOC,The Moon Within
103,507,508,PROP,PER,David Bowles
100,526,527,PROP,PER,Aida Salazar
320,533,533,PRON,PER,you
104,535,535,PROP,PER,Celi
100,540,540,PRON,PER,she
100,558,558,PRON,PER,her
100,562,562,PRON,PER,she
100,564,564,PRON,PER,her
321,567,567,NOM,PER,family
322,569,569,NOM,PER,community
105,573,575,PROP,PER,Naheed H. Senzai
4,587,587,PROP,GPE,Aleppo
100,601,601,PROP,PER,Salazar
314,608,608,PRON,PER,us
314,616,616,PRON,PER,we
100,652,652,PROP,PER,Salazar
315,656,656,NOM,PER,readers
106,661,664,PROP,PER,Olugbemisola Rhuday - Perkovich
324,666,671,NOM,PER,author of Eighth - Grade Superzero
320,688,688,PRON,PER,you
320,696,696,PRON,PER,you
325,717,718,NOM,PER,the publisher
308,722,723,NOM,PER,the author
325,725,726,NOM,PER,the publisher
328,763,767,NOM,ORG,an imprint of Scholastic Inc.
5,766,767,PROP,ORG,Scholastic Inc.
325,797,798,NOM,PER,The publisher
330,819,819,PRON,PER,their
325,862,863,NOM,PER,the publisher
6,880,881,PROP,FAC,557 Broadway
7,883,884,PROP,GPE,New York
308,910,911,NOM,PER,the author
333,923,924,NOM,PER,actual persons
107,970,971,PROP,PER,Maeve Norton
334,996,999,NOM,PER,Maidens Coming of Age
103,1005,1006,PROP,PER,David Bowles
8,1008,1008,PROP,GPE,Avelina
9,1010,1010,PROP,GPE,Amaly
108,1012,1012,PROP,PER,Joao
109,1014,1014,PROP,PER,John
335,1021,1022,NOM,LOC,the universe
336,1028,1029,NOM,PER,all girls
337,1038,1038,PRON,PER,you
338,1049,1049,PRON,PER,her
338,1052,1052,PRON,PER,Her
339,1055,1056,NOM,LOC,the world
110,1058,1058,PROP,PER,Joy
334,1073,1076,NOM,PER,Maidens Coming of Age
103,1086,1087,PROP,PER,David Bowles
341,1094,1094,PRON,PER,We
341,1102,1102,PRON,PER,we
341,1105,1105,PRON,PER,our
111,1111,1112,PROP,PER,Kahlil Gibran
0,1113,1113,PRON,PER,MY
0,1120,1120,PRON,PER,my
0,1132,1132,PRON,PER,my
0,1141,1141,PRON,PER,my
0,1150,1150,PRON,PER,my
0,1156,1156,PRON,PER,my
342,1156,1158,NOM,PER,my little brother
129,1160,1160,PROP,PER,Juju
343,1163,1164,NOM,PER,other snoops
143,1172,1172,PROP,PER,Mima
0,1178,1178,PRON,PER,I
143,1184,1184,PRON,PER,her
0,1199,1199,PRON,PER,my
0,1209,1209,PRON,PER,my
0,1217,1217,PRON,PER,my
0,1221,1221,PRON,PER,I
0,1228,1228,PRON,PER,my
143,1242,1242,PROP,PER,Mima
143,1247,1247,PRON,PER,she
143,1256,1256,PRON,PER,she
0,1259,1259,PRON,PER,me
143,1268,1268,PRON,PER,herself
344,1276,1276,NOM,PER,women
0,1280,1280,PRON,PER,I
143,1287,1287,PRON,PER,her
143,1293,1293,PRON,PER,she
0,1297,1297,PRON,PER,I
104,1303,1303,PROP,PER,Celi
104,1306,1306,PRON,PER,you
143,1312,1312,PRON,PER,she
0,1314,1314,PRON,PER,my
0,1317,1317,PRON,PER,My
0,1329,1329,PRON,PER,my
0,1333,1333,PRON,PER,I
0,1339,1339,PRON,PER,my
345,1339,1341,NOM,PER,my best friend
114,1342,1342,PROP,PER,Magda
0,1346,1346,PRON,PER,my
0,1350,1350,PRON,PER,my
115,1353,1353,PROP,PER,Ivan
346,1353,1375,NOM,PER,Ivan who is one year older than me and who can do a backflip better than the other boys in his capoeira class
0,1360,1360,PRON,PER,me
347,1369,1375,NOM,PER,the other boys in his capoeira class
115,1373,1373,PRON,PER,his
116,1382,1382,PROP,PER,Aurora
0,1384,1384,PRON,PER,my
348,1384,1386,NOM,PER,my “ friend
115,1398,1398,PRON,PER,him
0,1404,1404,PRON,PER,I
0,1409,1409,PRON,PER,my
349,1409,1410,NOM,PER,my parents
0,1412,1412,PRON,PER,I
0,1423,1423,PRON,PER,I
0,1428,1428,PRON,PER,I
0,1430,1430,PRON,PER,my
0,1437,1437,PRON,PER,my
0,1439,1439,PRON,PER,my
0,1454,1454,PRON,PER,my
117,1459,1459,PROP,PER,Luna
0,1464,1464,PRON,PER,My
0,1471,1471,PRON,PER,I
0,1480,1480,PRON,PER,I
129,1495,1495,PROP,PER,Juju
350,1499,1500,NOM,FAC,a room
0,1502,1502,PRON,PER,me
0,1504,1504,PRON,PER,I
129,1515,1518,PROP,PER,Round - cheeked Juju
129,1523,1523,PRON,PER,his
0,1530,1530,PRON,PER,I
0,1537,1537,PRON,PER,I
117,1539,1539,PRON,PER,her
0,1547,1547,PRON,PER,my
351,1547,1548,NOM,FAC,my room
352,1567,1567,PRON,PER,They
0,1570,1570,PRON,PER,I
0,1573,1573,PRON,PER,I
352,1577,1577,PRON,PER,their
114,1586,1586,PROP,PER,Magda
0,1589,1589,PRON,PER,me
0,1591,1591,PRON,PER,I
0,1597,1597,PRON,PER,my
0,1601,1601,PRON,PER,I
0,1611,1611,PRON,PER,me
0,1613,1613,PRON,PER,I
352,1620,1620,PRON,PER,they
353,1628,1628,PRON,PER,our
354,1628,1632,NOM,FAC,our little house in Oakland
1,1632,1632,PROP,GPE,Oakland
143,1638,1638,PROP,PER,Mima
114,1641,1641,PROP,PER,Papi
0,1645,1645,PRON,PER,my
129,1647,1647,PROP,PER,Juju
117,1655,1655,PROP,PER,Luna
0,1659,1659,PRON,PER,I
352,1663,1663,PRON,PER,their
0,1665,1665,PRON,PER,I
352,1667,1667,PRON,PER,they
117,1675,1675,PROP,PER,Luna
0,1677,1677,PRON,PER,me
0,1679,1679,PRON,PER,I
143,1683,1683,PROP,PER,Mima
0,1687,1687,PRON,PER,my
0,1691,1691,PRON,PER,my
0,1698,1698,PRON,PER,my
143,1707,1707,PROP,PER,Mima
0,1709,1709,PRON,PER,I
143,1711,1711,PRON,PER,her
143,1717,1717,PRON,PER,She
143,1741,1741,PRON,PER,She
0,1752,1752,PRON,PER,me
0,1758,1758,PRON,PER,I
143,1763,1763,PRON,PER,she
0,1769,1769,PRON,PER,my
0,1773,1773,PRON,PER,my
355,1773,1774,NOM,PER,my dance
356,1779,1782,NOM,PER,grown - up women
0,1786,1786,PRON,PER,me
0,1797,1797,PRON,PER,I
0,1803,1803,PRON,PER,my
0,1808,1808,PRON,PER,my
0,1825,1825,PRON,PER,I
0,1829,1829,PRON,PER,my
0,1832,1832,PRON,PER,I
0,1836,1836,PRON,PER,my
0,1840,1840,PRON,PER,my
143,1844,1844,PROP,PER,Mima
143,1846,1846,PRON,PER,her
0,1862,1862,PRON,PER,I
0,1864,1864,PRON,PER,my
143,1868,1868,PRON,PER,her
357,1871,1872,NOM,PER,Oar ancestors
358,1900,1900,NOM,PER,anyone
359,1902,1902,NOM,PER,adults
0,1908,1908,PRON,PER,my
0,1911,1911,PRON,PER,my
0,1915,1915,PRON,PER,I
143,1923,1923,PROP,PER,Mima
0,1929,1929,PRON,PER,me
0,1936,1936,PRON,PER,me
0,1940,1940,PRON,PER,I
0,1943,1943,PRON,PER,my
104,1950,1950,PROP,PER,Celi
143,1952,1952,PRON,PER,she
360,1955,1956,NOM,PER,yoar body
0,1965,1965,PRON,PER,i
0,1977,1977,PRON,PER,I
0,1989,1989,PRON,PER,my
0,1998,1998,PRON,PER,I
361,2009,2009,PRON,PER,you
0,2016,2016,PRON,PER,I
0,2021,2021,PRON,PER,I
114,2024,2024,PROP,PER,Magda
0,2026,2026,PRON,PER,me
115,2031,2031,PROP,PER,Ivan
0,2035,2035,PRON,PER,I
0,2052,2052,PRON,PER,my
0,2055,2055,PRON,PER,My
349,2055,2056,NOM,PER,My parents
0,2058,2058,PRON,PER,my
363,2058,2060,NOM,PER,my dance teacher
118,2062,2063,PROP,PER,Ms. Susana
104,2068,2068,PROP,PER,Celi
364,2080,2080,PRON,PER,they
0,2085,2085,PRON,PER,my
0,2088,2088,PRON,PER,I
0,2096,2096,PRON,PER,my
143,2101,2101,PROP,PER,Mima
0,2103,2103,PRON,PER,I
364,2107,2107,PRON,PER,them
0,2111,2111,PRON,PER,I
365,2115,2116,NOM,PER,a teenager
0,2119,2119,PRON,PER,me
143,2122,2122,PRON,PER,her
0,2124,2124,PRON,PER,my
143,2129,2129,PRON,PER,she
366,2136,2136,PRON,PER,your
0,2142,2142,PRON,PER,me
0,2144,2144,PRON,PER,I
0,2148,2148,PRON,PER,I
0,2160,2160,PRON,PER,my
119,2163,2164,PROP,PER,Dr. Guillermo
0,2166,2166,PRON,PER,my
367,2166,2167,NOM,PER,my dentist
0,2178,2178,PRON,PER,my
368,2178,2179,NOM,FAC,my house
0,2182,2182,PRON,PER,my
0,2186,2186,PRON,PER,me
119,2194,2194,PRON,PER,he
119,2196,2196,PRON,PER,his
369,2196,2197,NOM,PER,his patients
