start_token,end_token,supersense_category,text
6,6,noun.person,successor
14,14,verb.stative,’s
17,17,noun.person,Margaret
18,18,verb.creation,set
22,22,noun.time,day
23,24,noun.location,Oakland ....
25,25,noun.person,Salazar
27,28,noun.communication,verse novel
29,29,verb.stative,is
33,33,noun.communication,....
38,38,noun.attribute,voice
42,42,noun.group,cast
43,43,verb.change,make
45,45,noun.communication,book
55,55,noun.communication,review
60,60,noun.artifact,addition
63,64,noun.group,middle grade
66,67,noun.group,middle school
68,68,noun.person,readers
73,73,noun.communication,tweens
76,76,noun.location,midst
78,78,noun.time,puberty
82,84,noun.group,School Library Journal
87,87,noun.communication,review
91,91,noun.cognition,sensitivity
93,93,noun.person,Salazar
94,94,verb.communication,purports
96,96,noun.feeling,menstruation
97,97,verb.stative,is
99,99,noun.communication,source
102,102,noun.attribute,strength
110,110,noun.phenomenon,moon
111,111,noun.time,cycle
115,115,noun.communication,message
116,116,verb.stative,is
119,119,noun.cognition,acceptance
121,121,noun.act,celebration
124,124,noun.act,resistance
127,127,noun.time,period
128,128,verb.stative,is
131,131,noun.time,period
133,133,noun.person,Salazar
134,134,verb.communication,suggests
146,147,noun.group,Publishers Weekly
150,150,noun.communication,review
153,153,noun.location,Salazar
155,155,noun.act,use
157,157,noun.communication,verse
160,160,noun.communication,story
161,161,verb.change,adds
163,163,noun.artifact,layer
166,166,noun.feeling,emotion
168,168,noun.attribute,honesty
170,170,verb.change,makes
172,172,noun.communication,reading
173,173,noun.cognition,experience
179,179,noun.person,Salazar
180,180,verb.communication,handles
182,182,noun.communication,story
184,184,noun.attribute,beauty
186,186,noun.attribute,grace
188,188,verb.possession,giving
190,190,noun.person,girls
192,192,noun.communication,picture
196,196,verb.stative,means
198,199,verb.contact,stand in
202,202,noun.attribute,power
204,204,verb.possession,reclaim
207,207,noun.communication,story
211,211,noun.group,BookPage
214,214,noun.communication,review
217,217,noun.communication,story
219,219,verb.communication,told
222,222,noun.communication,poems
228,228,noun.communication,story
231,231,noun.person,author
232,232,verb.perception,reveals
234,234,noun.cognition,aspects
239,239,noun.communication,Xicana
243,243,noun.group,peoples
246,246,noun.communication,detail
255,255,noun.cognition,characters
256,256,verb.motion,leap
258,258,noun.cognition,life
261,261,verb.communication,evoke
263,263,noun.feeling,passion
265,265,noun.feeling,pain
268,268,noun.person,girl
270,270,noun.time,coming
274,274,noun.time,age
287,289,noun.group,School Library Connection
292,292,verb.stative,is
295,295,noun.communication,tale
297,297,verb.change,blends
299,299,noun.cognition,traditions
302,302,noun.group,cultures
305,305,verb.communication,portraying
307,307,noun.state,dilemmas
309,309,noun.person,Salazar
311,311,noun.communication,poetry
312,312,verb.stative,is
319,319,noun.communication,dance
320,320,noun.cognition,scenes
324,325,noun.person,Margarita Engle
327,329,noun.person,National Young People
336,336,noun.person,author
343,343,noun.communication,conga
346,346,noun.communication,lyrics
350,350,verb.contact,pulls
354,356,noun.time,coming of age
