COREF,start_token,end_token,prop,cat,text
104,5,5,PROP,PER,SIMON
105,8,15,PROP,PER,THE HOMO SAPIENS AGENDA William C. Morris YA
104,33,33,PROP,PER,Simon
927,39,39,PRON,PER,Our
106,58,58,PRON,PER,I
106,86,86,PROP,PER,Murphy
107,94,94,PROP,PER,Dumplin
110,106,106,PRON,PER,I
108,115,115,PROP,PER,Perkins
265,117,119,NOM,GPE,New York Times
109,123,123,PROP,PER,Anna
266,125,127,NOM,PER,the French Kiss
928,140,140,NOM,PER,families
110,150,150,PROP,PER,LEAH
1,156,158,PROP,GPE,New York Times
104,162,162,PROP,PER,Albertalli
110,177,177,PROP,PER,Leah
929,214,214,NOM,PER,readers
930,217,217,NOM,PER,witnesses
110,224,224,PROP,PER,Leah
104,243,250,PROP,PER,BECKY ALBERTALLI Simon vs. the Homo Sapiens Agenda
267,263,263,PRON,PER,Us
111,266,267,PROP,PER,Adam Silvera
112,275,276,PROP,PER,Aisha Saeed
113,278,278,PROP,PER,Kate
2,283,283,PROP,GPE,CREEKWOOD
104,288,289,PROP,PER,Becky Albertalli
3,292,292,PROP,GPE,BRAY
268,293,296,NOM,PER,An Imprint of HarperCollinsPublishers
269,297,298,NOM,PER,The author
269,304,304,PRON,PER,her
270,312,336,NOM,ORG,"the leading national organization providing crisis intervention and suicide prevention services to lesbian , gay , bisexual , transgender , queer & questioning ( LGBTQ+"
114,345,347,PROP,PER,Balzer + Bray
271,349,353,NOM,ORG,an imprint of HarperCollins Publishers
4,352,353,PROP,ORG,HarperCollins Publishers
2,357,357,PROP,GPE,Creekwood
104,362,363,PROP,PER,Becky Albertalli
5,370,374,PROP,GPE,the United States of America
272,415,419,NOM,ORG,a division of HarperCollins Publishers
4,418,419,PROP,FAC,HarperCollins Publishers
7,421,425,PROP,FAC,"195 Broadway , New York"
8,422,422,PROP,GPE,Broadway
9,424,425,PROP,GPE,New York
2,455,455,PROP,PER,Creekwood
10,455,459,PROP,FAC,Creekwood ’s own Amy Austin
0,461,461,PRON,PER,my
0,482,482,PRON,PER,I
0,496,496,PRON,PER,I
0,502,502,PRON,PER,me
273,511,511,PRON,PER,your
274,522,522,PRON,PER,we
275,524,526,NOM,PER,two oblivious dumbasses
0,564,564,PRON,PER,I
273,568,568,PRON,PER,your
273,573,573,PRON,PER,your
273,577,577,PRON,PER,your
0,581,581,PRON,PER,my
273,584,584,PRON,PER,your
0,589,589,PRON,PER,I
273,591,591,PRON,PER,you
0,594,594,PRON,PER,I
273,596,596,PRON,PER,YOU
0,600,600,PRON,PER,I
0,605,605,PRON,PER,I
0,612,612,PRON,PER,I
273,622,622,PRON,PER,you
0,636,636,PRON,PER,I
273,638,638,PRON,PER,you
0,640,640,PRON,PER,I
273,642,642,PRON,PER,you
0,644,644,PRON,PER,I
273,646,646,PRON,PER,you
0,650,650,PRON,PER,me
276,652,660,NOM,FAC,this shitty dorm bed with its sad little mattress
0,664,664,PRON,PER,I
0,695,695,PRON,PER,I
0,710,710,PRON,PER,My
277,710,712,NOM,PER,My customs group
0,716,716,PRON,PER,I
0,718,718,PRON,PER,my
278,718,720,NOM,PER,my fucking boyfriend
104,726,726,PROP,PER,Simon
116,728,728,PROP,PER,Jacques
273,730,730,PRON,PER,your
279,730,747,NOM,PER,"your sad , pining boyfriend who is HANDLING THIS VERY POORLY FROM : BLUEGREEN118@GMAIL.COM TO : HOURTOHOUR.NOTETONOTE@GMAIL.COM DATE"
0,758,758,PRON,PER,I
116,761,763,PROP,PER,THIS Dear Jacques
0,768,768,PRON,PER,me
273,774,774,PRON,PER,your
273,777,777,PRON,PER,You
280,782,794,NOM,PER,the cute college boy who FaceTimed me five minutes after he sent it
0,788,788,PRON,PER,me
280,792,792,PRON,PER,he
0,798,798,PRON,PER,I
273,800,800,PRON,PER,you
0,805,805,PRON,PER,I
0,812,812,PRON,PER,me
0,824,824,PRON,PER,I
273,829,829,PRON,PER,you
11,838,840,PROP,FAC,Newark airport DoubleTree
0,844,844,PRON,PER,I
273,849,849,PRON,PER,you
12,853,855,PROP,GPE,New York City
273,860,860,PRON,PER,you
12,862,862,PRON,GPE,it
273,868,868,PRON,PER,You
281,871,871,NOM,FAC,here
273,876,876,PRON,PER,You
273,878,878,PRON,PER,your
117,881,882,PROP,PER,Simon Spier
0,888,888,PRON,PER,I
273,892,892,PRON,PER,your
282,892,893,NOM,PER,your mom
282,894,894,PRON,PER,you
0,896,896,PRON,PER,me
283,898,899,NOM,GPE,the city
0,902,902,PRON,PER,I
282,905,905,PRON,PER,you
0,907,907,PRON,PER,me
283,909,910,NOM,GPE,the city
273,916,916,PRON,PER,you
13,923,923,PROP,GPE,Manhattan
0,927,927,PRON,PER,I
273,934,934,PRON,PER,you
273,937,937,PRON,PER,you
0,945,945,PRON,PER,I
0,953,953,PRON,PER,I
273,955,955,PRON,PER,you
0,957,957,PRON,PER,I
273,959,959,PRON,PER,you
0,961,961,PRON,PER,I
273,963,963,PRON,PER,you
273,971,971,PRON,PER,your
285,971,972,NOM,PER,your roommate
286,975,979,NOM,PER,a devoted Stephen King fan
0,982,982,PRON,PER,I
273,999,999,PRON,PER,you
273,1001,1001,PRON,PER,you
0,1006,1006,PRON,PER,I
0,1010,1010,PRON,PER,I
0,1014,1014,PRON,PER,I
287,1019,1022,NOM,PER,a zombie for orientation
0,1025,1025,PRON,PER,my
0,1038,1038,PRON,PER,I
273,1049,1049,PRON,PER,You
288,1052,1052,NOM,PER,people
0,1060,1060,PRON,PER,I
0,1065,1065,PRON,PER,I
0,1077,1077,PRON,PER,I
0,1079,1079,PRON,PER,my
278,1079,1081,NOM,PER,my fucking boyfriend
14,1093,1094,PROP,FAC,SIMONIRVINSPIER@GMAIL.COM DATE
290,1107,1107,PRON,PER,OUR
0,1111,1111,PRON,PER,I
0,1116,1116,PRON,PER,I
273,1118,1118,PRON,PER,you
117,1135,1135,PROP,PER,Simon
291,1141,1146,NOM,PER,a nerd frat at your school
273,1145,1145,PRON,PER,your
292,1145,1146,NOM,FAC,your school
293,1156,1157,NOM,FAC,this place
273,1161,1161,PRON,PER,you
0,1175,1175,PRON,PER,I
290,1177,1177,PRON,PER,we
117,1185,1185,PROP,PER,Spier
0,1188,1188,PRON,PER,me
290,1195,1195,PRON,PER,we
273,1212,1212,PRON,PER,your
0,1223,1223,PRON,PER,I
0,1227,1227,PRON,PER,I
118,1232,1232,PROP,PER,Abby
0,1234,1234,PRON,PER,I
0,1245,1245,PRON,PER,I
118,1249,1249,PRON,PER,her
294,1249,1251,NOM,PER,her new Android
0,1253,1253,PRON,PER,my
295,1263,1268,NOM,PER,a girl who ca n’t iMessage
118,1275,1275,PROP,PER,Abby
118,1280,1280,PRON,PER,she
0,1288,1288,PRON,PER,I
