start_token,end_token,supersense_category,text
9,15,noun.group,HOMO SAPIENS AGENDA William C. Morris YA
28,29,noun.communication,motion picture
43,43,noun.feeling,obsession
59,59,verb.possession,have
65,65,noun.communication,book
69,69,verb.stative,is
75,75,verb.cognition,read
83,83,verb.creation,reread
86,86,noun.person,Murphy
88,89,noun.location,New York
90,90,noun.group,Times
92,92,noun.person,author
94,94,noun.communication,Dumplin
110,110,verb.contact,hugging
112,112,noun.communication,book
115,115,noun.person,Perkins
117,118,noun.location,New York
119,119,noun.group,Times
121,121,noun.person,author
136,136,noun.act,look
138,138,noun.act,dating
140,140,noun.group,families
143,143,noun.state,friendship
148,148,noun.communication,review
150,150,noun.group,LEAH
156,158,noun.group,New York Times
159,159,noun.communication,bestseller
162,162,noun.person,Albertalli
163,163,verb.possession,has
166,166,noun.cognition,ear
168,168,noun.attribute,voice
177,177,noun.person,Leah
187,187,noun.communication,person
188,188,noun.communication,narrative
196,196,noun.communication,review
202,202,noun.communication,take
205,209,noun.time,coming - of - age
210,210,noun.state,romance
213,213,verb.stative,leave
214,214,noun.person,readers
215,215,verb.emotion,feeling
217,217,noun.communication,witnesses
222,222,noun.communication,moment
224,224,noun.person,Leah
226,226,noun.state,life
228,228,verb.emotion,filled
230,230,noun.feeling,gratitude
232,232,verb.possession,sharing
237,237,noun.communication,Reviews
243,245,noun.person,BECKY ALBERTALLI Simon
266,267,noun.person,Adam Silvera
269,270,noun.person,Yes No
275,276,noun.person,Aisha Saeed
278,278,noun.person,Kate
288,289,noun.person,Becky Albertalli
298,298,noun.person,author
300,300,verb.possession,donating
302,302,noun.relation,percent
305,305,noun.possession,royalty
306,306,noun.possession,advance
315,315,noun.group,organization
316,316,verb.possession,providing
317,317,noun.state,crisis
318,318,noun.act,intervention
320,321,noun.act,suicide prevention
322,322,noun.act,services
334,334,noun.communication,questioning
339,339,noun.group,people
345,345,noun.person,Balzer
347,347,noun.person,Bray
348,348,verb.stative,is
350,350,noun.cognition,imprint
352,353,noun.person,HarperCollins Publishers
362,363,noun.person,Becky Albertalli
371,374,noun.location,United States of America
377,377,noun.relation,part
380,380,noun.communication,book
383,383,verb.consumption,used
385,385,verb.contact,reproduced
388,388,noun.attribute,manner
391,392,noun.communication,written permission
396,396,noun.state,case
399,399,noun.communication,quotations
400,400,verb.communication,embodied
403,403,noun.communication,articles
405,405,noun.communication,reviews
408,408,noun.communication,information
409,409,verb.communication,address
416,416,noun.cognition,division
418,419,noun.group,HarperCollins Publishers
421,422,noun.group,195 Broadway
424,425,noun.location,New York
427,427,noun.location,NY
430,434,noun.group,www.epicreads.com Library of Congress Control
449,450,noun.communication,trade paperback
451,451,noun.communication,edition
466,466,noun.communication,BOOK
475,475,noun.time,AUG
479,479,noun.time,PM
480,480,noun.communication,SUBJECT
486,486,noun.communication,Wow
491,491,verb.stative,is
497,497,verb.communication,swear
500,500,noun.relation,part
503,503,verb.cognition,believes
505,505,noun.communication,email
509,509,verb.motion,land
512,512,noun.artifact,inbox
514,515,noun.time,junior year
517,518,noun.group,high school
520,520,verb.cognition,Remember
523,523,verb.stative,were
526,526,noun.person,dumbasses
527,527,verb.motion,emailing
531,532,noun.artifact,lunch table
540,540,noun.quantity,miles
549,549,noun.location,Miles
553,553,verb.social,ALLOWED
558,558,noun.communication,yeah
560,560,noun.communication,email
561,561,verb.change,sucks
565,565,verb.emotion,want
567,567,verb.perception,see
569,569,noun.body,face
572,572,verb.contact,touch
574,574,noun.body,face
576,576,verb.perception,smell
578,578,noun.body,face
580,580,verb.contact,put
582,582,noun.body,face
585,585,noun.body,face
590,590,verb.emotion,miss
601,601,verb.emotion,hate
608,608,verb.social,doing
614,614,verb.cognition,forgotten
617,617,verb.creation,do
618,618,noun.communication,emails
627,627,verb.change,go
630,631,noun.person,Dear Blue
633,634,noun.person,Dear Bram
637,637,verb.emotion,love
641,641,verb.emotion,miss
645,645,verb.emotion,wish
647,647,verb.stative,were
654,655,noun.artifact,dorm bed
660,660,noun.artifact,mattress
666,666,verb.consumption,eaten
667,667,noun.substance,OREOS
671,671,noun.artifact,mattress
676,676,verb.social,Let
678,678,verb.social,try
685,685,noun.cognition,positivity
687,687,noun.communication,yay
693,693,noun.communication,Hi
696,696,verb.stative,’m
698,698,noun.group,college
711,711,noun.act,customs
712,712,noun.group,group
713,713,verb.stative,is
717,717,verb.emotion,miss
720,720,noun.person,boyfriend
726,726,noun.person,Simon
728,728,noun.person,Jacques
734,734,noun.person,boyfriend
736,736,verb.stative,is
746,746,noun.communication,HOURTOHOUR.NOTETONOTE@GMAIL.COM
747,747,noun.time,DATE
749,749,noun.time,AUG
753,753,noun.time,PM
754,754,noun.communication,SUBJECT
762,763,noun.person,Dear Jacques
767,767,verb.possession,took
772,772,verb.communication,reply
775,775,noun.communication,email
779,779,verb.communication,blame
785,785,noun.person,boy
787,787,verb.communication,FaceTimed
790,790,noun.time,minutes
793,793,verb.communication,sent
799,799,verb.emotion,miss
808,808,verb.cognition,think
811,811,verb.contact,hit
817,817,verb.perception,seems
821,821,noun.time,hours
826,827,verb.body,waking up
838,840,noun.location,Newark airport DoubleTree
850,850,verb.stative,’re
853,855,noun.location,New York City
856,856,verb.emotion,feels
869,869,verb.stative,were
874,874,noun.time,hours
877,877,verb.possession,left
881,882,noun.person,Simon Spier
891,891,verb.communication,tell
893,893,noun.person,mom
895,895,verb.motion,drove
899,899,noun.location,city
903,903,verb.emotion,love
906,906,verb.motion,drove
910,910,noun.location,city
919,919,verb.social,allowed
921,921,verb.motion,drive
923,923,noun.location,Manhattan
929,929,verb.emotion,like
931,931,verb.change,grow
936,936,noun.communication,thank
944,944,noun.quantity,nothing
946,946,verb.communication,write
947,947,verb.emotion,feels
954,954,verb.emotion,miss
958,958,verb.emotion,love
962,962,verb.emotion,hope
966,967,verb.social,settling in
972,972,noun.person,roommate
977,978,noun.person,Stephen King
979,979,noun.person,fan
988,988,noun.communication,poster
990,990,verb.stative,be
992,992,noun.feeling,joy
994,995,verb.body,wake up
1000,1000,verb.cognition,think
1003,1003,verb.body,sleep
1009,1009,verb.cognition,think
1017,1017,verb.communication,mind
1018,1018,verb.stative,being
1020,1020,noun.person,zombie
1022,1022,noun.act,orientation
1026,1026,noun.cognition,theory
1027,1027,verb.stative,is
1029,1029,noun.person,zombie
1030,1030,noun.body,brain
1032,1032,verb.change,make
1034,1034,noun.time,weeks
1035,1035,verb.change,go
1043,1043,verb.stative,be
1044,1044,noun.time,September
1047,1047,noun.relation,first
1050,1050,verb.cognition,know
1052,1052,noun.group,people
1053,1054,verb.creation,strike off
1055,1055,noun.time,dates
1058,1058,noun.time,calendar
1061,1061,verb.emotion,want
1063,1063,noun.artifact,clock
1067,1068,verb.contact,strike off
1071,1071,noun.time,second
1078,1078,verb.emotion,miss
1081,1081,noun.person,boyfriend
1086,1086,noun.person,Blue
1090,1091,noun.person,LEAHONTHEOFFBEAT@GMAIL.COM TO
1093,1094,noun.person,SIMONIRVINSPIER@GMAIL.COM DATE
1096,1096,noun.communication,SEP
1101,1101,noun.communication,SUBJECT
1114,1114,verb.communication,admit
1117,1117,verb.cognition,thought
1119,1119,verb.stative,were
1122,1122,noun.cognition,shit
1129,1129,noun.artifact,link
1130,1131,verb.communication,checks out
1135,1135,noun.person,Simon
1137,1137,noun.communication,wow
1146,1146,noun.artifact,school
1149,1149,verb.stative,is
1151,1151,noun.artifact,thing
1153,1153,verb.stative,exists
1157,1157,noun.location,place
1159,1159,verb.social,made
1169,1169,noun.communication,revelation
1171,1171,noun.act,orientation
1172,1172,noun.time,week
1176,1176,verb.cognition,guess
1179,1179,verb.communication,emailing
1185,1185,noun.person,Spier
1187,1187,verb.communication,Walk
1191,1191,noun.communication,rules
1197,1197,verb.social,allowed
1199,1199,verb.communication,text
1206,1207,noun.event,pit stop
1215,1215,noun.cognition,agenda
1218,1218,noun.communication,cards
1221,1221,noun.communication,mail
1226,1226,verb.communication,saying
1232,1232,noun.person,Abby
1236,1236,verb.change,start
1237,1237,verb.creation,doing
1240,1240,noun.communication,email
1241,1241,noun.artifact,thing
1251,1251,noun.person,Android
1252,1252,verb.emotion,hates
1261,1262,verb.communication,fall for
1264,1264,noun.person,girl
1275,1275,noun.person,Abby
1281,1281,verb.communication,says
1282,1282,noun.communication,hi
1289,1289,verb.stative,’m
1291,1291,noun.person,asshole
1293,1294,verb.communication,complaining about
1302,1302,noun.state,thing
1303,1303,verb.stative,is
1305,1305,verb.stative,being
