COREF,start_token,end_token,prop,cat,text
162,2,13,NOM,PER,Cl KDE KE L L A14 DEAD A Young Adult Indie Bestseller
163,29,32,NOM,PER,Reluctant Young Adult Readers
56,43,43,PROP,GPE,Bayron
2507,63,63,NOM,PER,readers
2508,89,102,NOM,PER,every queer teen seeking a page - turner of resistance and self - discovery
164,105,105,PRON,PER,them
2509,107,116,NOM,PER,"Readers looking for dystopia , queer romance , LGBTQ inclusiveness"
2510,119,124,NOM,PER,women sticking it to the patriarchy
56,150,150,PROP,PER,Bayron
2511,195,195,PRON,PER,we
57,206,206,PROP,PER,Locus
2511,220,220,PRON,PER,us
2512,220,221,NOM,PER,us heroines
2513,231,231,PRON,PER,you
2511,262,262,PRON,PER,us
58,269,271,PROP,PER,Cinderella Is Dead
56,307,308,PROP,PER,Kalynn Bayron
59,318,320,PROP,PER,Kalynn Bayron BLOOMSBURY
2,321,332,PROP,GPE,NEW YORK LONDON OXFORD NEW DELHI SYDNEY BLOOMSBURY YA Bloomsbury Publishing Inc.
3,328,332,PROP,FAC,BLOOMSBURY YA Bloomsbury Publishing Inc.
4,336,340,PROP,FAC,Bloomsbury Publishing Pic 1385 Broadway
5,342,343,PROP,GPE,New York
6,347,347,PROP,GPE,BLOOMSBURY
7,355,357,PROP,FAC,Bloomsbury Publishing Pic
8,361,364,PROP,GPE,the United States of
9,365,365,PROP,GPE,America
10,370,371,PROP,FAC,Bloomsbury YA
59,385,386,PROP,PER,Kalynn Bayron
165,432,433,NOM,PER,the publisher
6,435,435,PRON,PER,Bloomsbury
11,474,477,PROP,ORG,The Library of Congress
56,488,488,PROP,GPE,Bayron
59,490,490,PROP,PER,Kalynn
166,492,492,NOM,PER,author
58,496,496,PROP,PER,Cinderella
59,501,502,PROP,PER,Kalynn Bayron
167,518,520,NOM,PER,Queer black girls
168,528,532,NOM,GPE,the former kingdom of Cinderella
60,598,598,PROP,PER,Blacks
61,638,639,PROP,PER,John Candell
12,642,644,PROP,ORG,Westchester Publishing Services
169,662,662,PRON,PER,our
170,662,663,NOM,PER,our authors
169,672,672,PRON,PER,our
62,676,676,PROP,PER,Amya
13,678,678,PROP,GPE,Nylah
63,680,680,PROP,PER,Elijah
64,683,683,PROP,PER,Lyla
2514,685,686,NOM,PER,Prince Charming
58,695,695,PRON,PER,she
58,702,702,PRON,PER,her
2515,705,706,NOM,ORG,the Crown
58,708,708,PROP,PER,Cinderella
2516,710,711,NOM,PER,the chosen
2517,713,714,NOM,PER,the favored
58,728,728,PROP,PER,Cinderella
0,737,737,PRON,PER,I
65,743,743,PROP,PER,Erin
0,753,753,PRON,PER,I
171,764,766,NOM,PER,the palace guards
0,768,768,PRON,PER,me
171,771,771,PRON,PER,they
0,774,774,PRON,PER,I
172,780,781,NOM,LOC,the forest
14,783,783,PROP,GPE,Lille
173,783,786,NOM,LOC,Lille ’s eastern border
0,789,789,PRON,PER,I
0,797,797,PRON,PER,I
65,802,802,PROP,PER,Erin
0,814,814,PRON,PER,me
171,816,818,NOM,PER,The palace guards
65,822,822,PRON,PER,her
171,826,826,PRON,PER,they
65,829,829,PRON,PER,her
171,832,832,PRON,PER,They
65,839,839,PRON,PER,she
65,843,843,PRON,PER,Her
172,852,853,NOM,LOC,the forest
0,855,855,PRON,PER,I
65,857,857,PRON,PER,her
176,864,865,NOM,FAC,carriage pathway
177,868,868,PRON,PER,us
65,874,874,PROP,PER,Erin
59,883,884,PROP,PER,KALYNN BAYRON
178,886,886,PRON,PER,I
2518,890,891,NOM,FAC,the tower
178,896,898,NOM,PER,one of them
171,898,898,PRON,PER,them
2519,902,902,NOM,PER,Someone
178,904,904,PRON,PER,me
178,909,909,PRON,PER,I
2520,914,915,NOM,PER,the king
178,922,922,PRON,PER,my
178,930,930,PRON,PER,You
179,937,938,NOM,PER,one man
180,946,946,NOM,PER,another
180,955,955,PRON,PER,me
180,957,957,PRON,PER,I
178,968,968,PRON,PER,I
2521,971,977,NOM,PER,the girls in this year ’s group
2522,974,975,NOM,ORG,this year
2523,979,984,NOM,PER,the prettiest lot in a generation
178,993,993,PRON,PER,your
2524,993,994,NOM,PER,your wife
178,1012,1012,PRON,PER,your
2525,1012,1013,NOM,FAC,your cellar
171,1019,1019,PRON,PER,They
171,1036,1036,PRON,PER,they
171,1041,1041,PRON,PER,themselves
171,1043,1043,PRON,PER,Their
181,1048,1048,PRON,PER,us
0,1050,1050,PRON,PER,I
171,1054,1054,PRON,PER,them
0,1057,1057,PRON,PER,I
0,1059,1059,PRON,PER,myself
65,1064,1064,PROP,PER,Erin
171,1075,1075,PRON,PER,They
0,1080,1080,PRON,PER,I
0,1083,1083,PRON,PER,I
65,1087,1087,PRON,PER,her
65,1093,1093,PRON,PER,her
65,1095,1095,PRON,PER,She
65,1101,1101,PRON,PER,her
0,1111,1111,PRON,PER,me
65,1119,1119,PRON,PER,you
65,1123,1123,PRON,PER,me
2526,1137,1138,NOM,PER,The guards
2527,1141,1141,PRON,PER,us
2526,1146,1146,PRON,PER,they
0,1151,1151,PRON,PER,I
65,1153,1153,PRON,PER,her
0,1156,1156,PRON,PER,You
65,1158,1158,PRON,PER,me
0,1161,1161,PRON,PER,you
65,1165,1165,PRON,PER,she
65,1168,1168,PRON,PER,her
0,1183,1183,PRON,PER,I
0,1187,1187,PRON,PER,I
65,1193,1193,PRON,PER,her
0,1201,1201,PRON,PER,my
0,1206,1206,PRON,PER,I
65,1211,1211,PRON,PER,her
0,1212,1212,PRON,PER,I
66,1214,1217,PROP,PER,CIHDEKELLA 15 DEAD 5
65,1220,1220,PRON,PER,She
0,1224,1224,PRON,PER,me
0,1230,1230,PRON,PER,I
65,1234,1234,PRON,PER,I
65,1237,1237,PRON,PER,you
65,1242,1242,PRON,PER,I
65,1244,1244,PRON,PER,you
65,1249,1249,PRON,PER,I
2528,1251,1251,PRON,PER,us
65,1257,1257,PRON,PER,She
0,1261,1261,PRON,PER,I
0,1264,1264,PRON,PER,my
65,1267,1267,PRON,PER,her
65,1271,1271,PRON,PER,her
0,1286,1286,PRON,PER,I
65,1289,1289,PRON,PER,you
65,1296,1296,PRON,PER,she
65,1299,1299,PRON,PER,her
0,1310,1310,PRON,PER,you
65,1312,1312,PRON,PER,me
65,1319,1319,PRON,PER,me
0,1323,1323,PRON,PER,you
65,1327,1327,PRON,PER,me
2528,1350,1350,PRON,PER,our
65,1357,1357,PROP,PER,Erin
65,1369,1369,PRON,PER,She
0,1374,1374,PRON,PER,me
67,1386,1386,PROP,PER,Sophia
65,1390,1390,PRON,PER,you
65,1394,1394,PRON,PER,me
2529,1398,1398,NOM,PER,anyone
2528,1400,1400,PRON,PER,We
2528,1414,1414,PRON,PER,our
2530,1427,1428,NOM,PER,each other
0,1431,1431,PRON,PER,I
0,1437,1437,PRON,PER,my
65,1441,1441,PROP,PER,Erin
65,1446,1446,PRON,PER,her
0,1461,1461,PRON,PER,I
0,1463,1463,PRON,PER,my
65,1467,1467,PRON,PER,You
2528,1474,1474,PRON,PER,we
2528,1478,1478,PRON,PER,we
0,1487,1487,PRON,PER,my
2526,1491,1492,NOM,PER,The guards
65,1497,1497,PROP,PER,Erin
0,1504,1504,PRON,PER,I
65,1511,1511,PRON,PER,You
2531,1518,1519,NOM,FAC,the palace
65,1521,1521,PRON,PER,you
59,1526,1527,PROP,PER,KALYNN BAYRON
65,1534,1534,PRON,PER,your
183,1539,1542,NOM,PER,one of the guards
2526,1541,1542,NOM,PER,the guards
183,1544,1544,PRON,PER,he
0,1553,1553,PRON,PER,my
65,1559,1559,PRON,PER,you
186,1571,1571,PRON,PER,he
65,1576,1576,PRON,PER,you
2532,1582,1582,PRON,PER,us
0,1586,1586,PRON,PER,You
185,1593,1594,NOM,PER,another man
