start_token,end_token,supersense_category,text
2,13,noun.group,Cl KDE KE L L A14 DEAD A Young Adult Indie Bestseller
30,32,noun.group,Young Adult Readers
33,33,verb.creation,★
35,35,verb.possession,Flipping
38,38,noun.communication,tale
41,41,noun.body,head
43,43,noun.person,Bayron
45,45,verb.social,take
49,49,noun.act,kick
57,57,noun.communication,story
61,61,verb.change,change
63,63,noun.person,readers
64,64,verb.cognition,perceive
65,66,noun.communication,fairy tales
73,73,noun.cognition,review
78,78,verb.stative,meets
79,80,noun.group,Hunger Games
83,83,noun.communication,QPOC
86,86,noun.communication,novel
87,87,verb.stative,is
91,91,noun.person,teen
92,92,verb.contact,seeking
94,94,noun.communication,page
98,98,noun.act,resistance
100,100,noun.cognition,self
102,102,noun.act,discovery
107,107,noun.person,Readers
108,109,verb.contact,looking for
110,110,noun.state,dystopia
113,113,noun.state,romance
116,116,noun.attribute,inclusiveness
119,119,noun.person,women
120,120,verb.contact,sticking
124,124,noun.group,patriarchy
126,126,verb.stative,be
136,136,noun.cognition,fantasy
138,138,verb.communication,questions
140,140,noun.time,history
143,143,noun.feeling,expectations
147,148,noun.group,Shelf Awareness
153,153,noun.communication,reimagining
157,158,noun.communication,fairy tale
159,159,verb.stative,is
162,162,verb.social,replacing
166,168,noun.time,ever - after
172,172,noun.communication,legacy
178,178,noun.communication,tone
182,183,noun.person,Publishers Weekly
194,194,noun.communication,story
199,199,verb.emotion,pining
202,202,verb.change,arrived
211,211,noun.communication,novel
213,213,verb.stative,subverts
216,217,noun.communication,fairy tale
219,219,verb.possession,gives
221,221,noun.person,heroines
223,223,verb.emotion,cheer
234,234,verb.change,finish
239,239,noun.artifact,clock
240,240,verb.weather,strikes
241,241,noun.time,midnight
250,250,verb.stative,been
253,253,noun.event,iterations
257,258,noun.communication,fairy tale
263,263,verb.cognition,know
272,272,verb.change,takes
274,275,noun.communication,classic story
280,280,noun.location,direction
285,285,verb.cognition,Reinvents
286,286,noun.substance,Cinderella
290,290,noun.group,generation
292,292,verb.communication,tells
294,294,noun.communication,tale
296,296,noun.group,patriarchy
299,299,noun.act,process
321,323,noun.location,NEW YORK LONDON
324,332,noun.group,OXFORD NEW DELHI SYDNEY BLOOMSBURY YA Bloomsbury Publishing Inc.
334,334,noun.artifact,part
336,337,noun.location,Bloomsbury Publishing
340,340,noun.location,Broadway
342,343,noun.location,New York
345,345,noun.location,NY
351,351,noun.communication,logo
352,352,verb.stative,are
353,353,noun.artifact,trademarks
355,356,noun.location,Bloomsbury Publishing
359,359,verb.creation,published
362,363,noun.location,United States
365,365,noun.location,America
367,367,noun.time,July
370,371,noun.group,Bloomsbury YA
373,373,noun.communication,edition
374,374,verb.creation,published
376,376,noun.time,June
378,378,noun.communication,Text
379,379,noun.communication,copyright
388,388,noun.attribute,rights
392,392,noun.relation,part
395,395,noun.communication,publication
398,398,verb.contact,reproduced
400,400,verb.communication,transmitted
403,403,noun.communication,form
414,414,verb.contact,photocopying
416,416,noun.artifact,recording
420,420,noun.communication,information
421,421,noun.artifact,storage
423,424,noun.artifact,retrieval system
428,428,noun.communication,permission
430,430,verb.communication,writing
433,433,noun.group,publisher
436,436,noun.communication,books
439,439,verb.possession,purchased
441,441,noun.act,business
444,444,noun.act,use
447,447,noun.communication,information
450,450,noun.act,purchases
452,452,verb.communication,contact
453,454,noun.group,Macmillan Corporate
456,458,noun.group,Premium Sales Department
472,472,noun.artifact,paperback
475,477,noun.group,Library of Congress
479,479,verb.communication,cataloged
481,481,noun.communication,hardcover
482,482,noun.communication,edition
486,486,noun.communication,Names
488,488,noun.person,Bayron
490,490,noun.person,Kalynn
492,492,noun.person,author
494,494,noun.communication,Title
497,497,verb.stative,is
504,504,noun.communication,Description
506,507,noun.location,New York
509,512,noun.group,Bloomsbury Children ’s Books
516,516,noun.communication,Summary
520,520,noun.person,girls
521,522,verb.social,team up
524,524,verb.social,overthrow
526,526,noun.group,patriarchy
530,530,noun.location,kingdom
532,532,noun.location,Cinderella
534,534,noun.communication,Identifiers
539,539,noun.communication,print
547,547,noun.communication,book
560,560,noun.communication,hardcover
576,576,noun.communication,book
590,590,noun.communication,Fiction
593,593,noun.act,Sexism
595,595,noun.communication,Fiction
598,598,noun.person,Blacks
600,600,noun.communication,Fiction
603,603,noun.communication,Characters
