COREF,start_token,end_token,prop,cat,text
288,6,14,NOM,PER,a Teenage Wizard SQUARE FISH HENRY HOLT AND COMPANY
1,15,16,PROP,GPE,NEW YORK
2,29,29,PROP,GPE,Broadway
1,31,32,PROP,GPE,New York
3,34,34,PROP,GPE,NY
289,45,47,NOM,PER,A TEENAGE WIZARD
93,53,54,PROP,PER,Echo Brown
4,62,66,PROP,GPE,the United States of America
5,68,69,PROP,FAC,Square Fish
94,78,78,PROP,PER,Macmillan
95,83,84,PROP,PER,Henry Holt
290,92,92,PRON,PER,Our
291,110,110,PRON,PER,your
292,110,112,NOM,FAC,your local bookseller
293,114,120,NOM,ORG,the Macmillan Corporate and Premium Sales Department
294,135,139,NOM,FAC,MacmillanSpecialMarkets@macmillan.com . Library of Congress
93,148,148,PROP,PER,Brown
93,150,150,PROP,PER,Echo
295,152,152,NOM,PER,author
296,156,158,NOM,PER,Black girl unlimited
289,164,166,NOM,PER,a teenage wizard
93,168,169,PROP,PER,Echo Brown
1,173,174,PROP,GPE,New York
0,187,187,PRON,PER,I
298,194,194,PRON,PER,her
298,201,201,PRON,PER,she
298,203,203,PRON,PER,her
299,203,204,NOM,PER,her mother
300,206,206,NOM,PER,wizards
93,208,209,PROP,PER,young Echo
298,216,216,PRON,PER,her
299,216,217,NOM,PER,her mother
0,244,244,PRON,PER,I
302,263,264,NOM,PER,African Americans
0,268,268,PRON,PER,I
6,280,280,PROP,GPE,Cleveland
7,305,307,PROP,GPE,the United States
96,309,311,PROP,PER,Christy Ottaviano Books
95,313,314,PROP,PER,Henry Holt
8,316,319,PROP,FAC,Company First Square Fish
97,326,329,PROP,PER,Carol Ly Square Fish
98,333,334,PROP,PER,Filomena Tuosto
9,347,349,PROP,FAC,the Perfect Shell
303,376,376,PRON,PER,Yourself
303,452,452,PRON,PER,Yourself
303,466,466,PRON,PER,Your
0,471,471,PRON,PER,I
10,492,492,PROP,GPE,ANGELOU
0,496,496,PRON,PER,I
0,508,508,PRON,PER,My
304,508,509,NOM,PER,My mother
305,511,512,NOM,PER,a wizard
300,514,514,NOM,PER,Wizards
0,523,523,PRON,PER,My
304,523,524,NOM,PER,My mother
304,538,538,PRON,PER,she
304,548,548,PRON,PER,she
0,554,554,PRON,PER,I
304,557,557,PRON,PER,her
304,570,570,PRON,PER,her
304,577,577,PRON,PER,her
0,580,580,PRON,PER,I
304,584,584,PRON,PER,her
0,586,586,PRON,PER,I
304,591,591,PRON,PER,her
304,598,598,PRON,PER,her
0,600,600,PRON,PER,I
304,605,605,PRON,PER,her
304,608,608,PRON,PER,She
308,620,621,NOM,FAC,the apartment
309,634,634,NOM,PER,Both
0,635,635,PRON,PER,my
310,635,636,NOM,PER,my brothers
309,639,639,PRON,PER,their
311,639,640,NOM,FAC,their cribs
312,642,644,NOM,FAC,the next room
0,651,651,PRON,PER,I
0,654,654,PRON,PER,my
304,654,655,NOM,PER,my mother
304,667,667,PRON,PER,her
314,672,672,PRON,PER,us
0,678,678,PRON,PER,I
0,683,683,PRON,PER,I
0,688,688,PRON,PER,I
0,693,693,PRON,PER,I
315,695,699,NOM,PER,a wizard like my mother
0,698,698,PRON,PER,my
304,698,699,NOM,PER,my mother
