start_token,end_token,supersense_category,text
8,19,noun.group,Wizard SQUARE FISH HENRY HOLT AND COMPANY NEW YORK w SQUARE FISH
21,21,noun.cognition,imprint
23,25,noun.group,Macmillan Publishing Group
31,32,noun.location,New York
34,34,noun.location,NY
49,49,noun.communication,Copyright
53,54,noun.person,Echo Brown
56,57,noun.attribute,All rights
58,58,verb.possession,reserved
63,66,noun.location,United States of America
68,69,noun.location,Square Fish
72,73,noun.group,Square Fish
74,74,noun.communication,logo
75,75,verb.stative,are
78,78,noun.location,Macmillan
81,81,verb.consumption,used
83,86,noun.group,Henry Holt and Company
88,88,noun.communication,license
90,90,noun.location,Macmillan
93,93,noun.communication,books
96,96,verb.possession,purchased
105,105,noun.act,business
106,106,noun.act,use
109,109,verb.communication,contact
112,112,noun.person,bookseller
115,116,noun.group,Macmillan Corporate
118,120,noun.group,Premium Sales Department
133,133,noun.communication,email
137,139,noun.group,Library of Congress
144,146,noun.group,Publication Data Names
150,150,noun.location,Echo
152,152,noun.person,author
154,154,noun.communication,Title
162,162,noun.communication,story
166,166,noun.person,wizard
168,169,noun.person,Echo Brown
171,171,noun.communication,Description
173,174,noun.location,New York
176,178,noun.location,Christy Ottaviano Books
180,183,noun.group,Henry Holt and Company
188,188,noun.communication,Summary
191,191,noun.attribute,age
195,196,noun.group,high school
197,197,noun.communication,valedictory
198,198,noun.communication,speech
200,200,verb.cognition,believing
204,204,noun.person,mother
205,205,verb.stative,are
206,206,noun.person,wizards
207,207,verb.social,helps
209,209,noun.person,Echo
210,210,verb.social,cope
212,212,noun.state,poverty
214,214,noun.state,hunger
217,217,noun.person,mother
219,219,noun.artifact,drug
220,220,noun.act,abuse
224,224,noun.quantity,more
226,226,noun.communication,Identifiers
240,240,noun.quantity,9
242,242,noun.communication,paperback
256,256,noun.communication,ebook
266,266,noun.communication,Fiction
271,271,noun.communication,Fiction
277,277,noun.communication,Fiction
280,280,noun.location,Cleveland
283,283,noun.time,century
285,285,noun.communication,Fiction
296,297,noun.group,Fic]—dc23 LC
298,298,noun.communication,record
303,303,verb.creation,published
306,307,noun.location,United States
309,311,noun.group,Christy Ottaviano Books
323,323,noun.communication,Book
324,324,verb.creation,designed
326,327,noun.person,Carol Ly
330,330,noun.communication,logo
331,331,verb.creation,designed
333,334,noun.person,Filomena Tuosto
342,343,noun.group,Day CONTENTS
344,344,noun.communication,LESSON
348,349,noun.group,Perfect Shell
351,351,noun.communication,LESSON
354,358,noun.group,Something Out of Nothing 15
359,359,noun.act,LESSON
363,365,noun.group,In - Between
367,367,noun.communication,LESSON
369,369,noun.act,Stopping
371,371,noun.time,Time
380,380,verb.social,Evading
385,385,noun.communication,LESSON
400,400,noun.act,Planting
405,405,noun.communication,LESSON
