COREF,start_token,end_token,prop,cat,text
0,1,1,PRON,PER,MY
9,11,12,PROP,PER,Anastasia Higginbotham
1,20,22,PROP,FAC,Fifth Avenue New
2,23,23,PROP,GPE,York
9,32,33,PROP,PER,Anastasia Higginbotham
3,82,83,PROP,FAC,Dottir Press
9,111,112,PROP,PER,Anastasia Higginbotham
10,119,120,PROP,PER,Drew Stevens
11,124,125,PROP,PER,Jennifer Baumgardner
10,127,128,PROP,PER,Drew Stevens
12,130,131,PROP,PER,Abraham Higginbotham
13,133,134,PROP,PER,Lisa Daniels
14,137,138,PROP,PER,Jon Luongo
15,146,148,PROP,PER,Sabatino Luongo Higginbotham
16,153,155,PROP,PER,Lionel Luongo Higginbotham
4,157,159,PROP,ORG,Library of Congress
23,184,188,NOM,GPE,the United States of America
24,190,199,PROP,PER,Worzalla Serious Ben Howort Loretta Ross Anyanwu Uwa Randy Clancy
5,203,203,PROP,GPE,America
52,206,207,NOM,PER,White people
52,214,214,PRON,PER,they
52,220,220,PRON,PER,they
17,221,223,PROP,PER,Noleca Anderson Radway
0,231,231,PRON,PER,me
24,241,241,PRON,PER,me
18,248,250,PROP,PER,angel Kyodo williams
24,265,265,PRON,PER,I
24,270,270,PRON,PER,my
53,270,273,NOM,PER,my own white sons
19,285,286,PROP,PER,Toni Morrison
53,291,291,PRON,PER,their
54,291,292,NOM,PER,their teachers
24,294,294,PRON,PER,mine
6,301,303,PROP,ORG,Brooklyn Free School
24,306,306,PRON,PER,my
55,306,307,NOM,PER,my family
56,314,316,NOM,PER,grown - ups
57,323,323,NOM,PER,Kids
52,343,343,PRON,PER,they
52,352,352,PRON,PER,their
58,358,359,NOM,PER,that policeman
58,362,362,PRON,PER,him
52,365,365,PRON,PER,They
59,372,372,PRON,PER,You
59,381,381,PRON,PER,You
60,388,388,PRON,PER,Our
61,388,389,NOM,PER,Our family
62,393,393,NOM,PER,everyone
60,395,395,PRON,PER,We
60,403,403,PRON,PER,we
63,417,418,NOM,LOC,the world
59,420,420,PRON,PER,you
59,424,424,PRON,PER,you
63,426,427,NOM,LOC,the world
24,430,430,PRON,PER,I
24,434,434,PRON,PER,my
65,434,435,NOM,PER,my aunt
59,460,460,PRON,PER,you
59,463,463,PRON,PER,you
66,467,467,NOM,FAC,stores
67,470,470,NOM,VEH,cars
68,473,473,NOM,FAC,sidewalks
69,476,476,NOM,FAC,School
59,478,478,PRON,PER,your
70,491,491,NOM,FAC,neighborhoods
59,493,493,PRON,PER,you
59,497,497,PRON,PER,you
71,499,499,NOM,FAC,here
60,506,506,PRON,PER,we
72,513,513,PRON,PER,They
73,517,518,NOM,FAC,the road
74,520,520,NOM,PER,Marchers
75,526,529,NOM,PER,the unarmed African American
74,531,531,PRON,PER,They
76,538,539,NOM,GPE,the nation
77,553,556,NOM,PER,young men of color
74,558,558,NOM,PER,Marchers
79,560,561,NOM,PER,past victims
80,567,568,NOM,PER,a bystander
25,600,600,PRON,PER,We
26,614,614,PRON,PER,your
27,614,616,NOM,PER,your own people
26,618,618,PRON,PER,your
28,618,620,NOM,PER,your own family
26,624,624,PRON,PER,you
29,627,630,NOM,PER,Even people you love
26,629,629,PRON,PER,you
29,638,638,PRON,PER,they
29,640,640,PRON,PER,they
30,642,644,NOM,PER,the good ones
26,650,650,PRON,PER,your
26,653,653,PRON,PER,You
26,663,663,PRON,PER,You
26,666,666,PRON,PER,your
23,680,684,NOM,GPE,the United States of America
52,686,687,NOM,PER,white people
33,693,694,NOM,PER,Black people
