start_token,end_token,supersense_category,text
6,6,noun.state,WHITENESS
9,9,verb.creation,Illustrated
11,12,noun.person,Anastasia Higginbotham
13,13,verb.creation,Published
17,18,noun.group,Dottir Press
20,21,noun.location,Fifth Avenue
22,23,noun.location,New York
25,25,noun.location,NY
28,28,noun.communication,Copyright
32,33,noun.person,Anastasia Higginbotham
36,36,verb.possession,reserved
39,39,noun.relation,part
42,42,noun.communication,book
45,45,verb.contact,reproduced
47,47,verb.consumption,used
50,50,verb.possession,stored
53,55,noun.artifact,transformation retrieval system
57,57,verb.communication,transmitted
60,60,noun.cognition,form
70,70,verb.creation,photocopying
72,72,noun.artifact,recording
80,80,noun.communication,permission
82,83,noun.group,Dottir Press
88,88,noun.state,case
91,91,noun.communication,quotations
92,92,verb.communication,embodied
95,95,noun.communication,articles
97,97,noun.communication,reviews
103,103,noun.communication,printing
105,105,noun.time,August
107,107,noun.communication,Illustration
109,109,noun.act,design
111,112,noun.person,Anastasia Higginbotham
115,116,noun.person,Alexa Hoyer
119,120,noun.person,Drew Stevens
122,122,noun.communication,thanks
124,125,noun.person,Jennifer Baumgardner
127,128,noun.person,Drew Stevens
130,131,noun.person,Abraham Higginbotham
133,134,noun.person,Lisa Daniels
137,138,noun.person,Jon Luongo
140,140,noun.person,Pencil
141,141,verb.creation,drawing
143,143,noun.communication,page
146,148,noun.person,Sabatino Luongo Higginbotham
151,151,noun.communication,editing
153,155,noun.person,Lionel Luongo Higginbotham
157,159,noun.group,Library of Congress
166,166,verb.stative,is
170,170,noun.communication,title
182,182,verb.creation,Printed
185,186,noun.location,United States
188,188,noun.location,America
190,193,noun.location,Worzalla Serious Ben Howort
194,199,noun.person,Loretta Ross Anyanwu Uwa Randy Clancy
200,200,noun.state,problem
207,207,noun.group,people
208,208,verb.possession,have
216,216,verb.change,start
217,218,verb.cognition,thinking about
221,223,noun.person,Noleca Anderson Radway
224,224,verb.creation,do
227,227,verb.communication,added
230,230,verb.contact,Take
238,238,noun.communication,words
239,239,verb.social,landed
245,245,noun.communication,command
247,249,noun.person,Rev. angel Kyodo
250,250,noun.person,williams
252,253,verb.communication,called upon
255,255,verb.social,engage
257,257,noun.attribute,whiteness
261,261,verb.communication,dismantle
262,262,noun.person,white
263,263,noun.state,supremacy
266,266,verb.change,made
268,268,noun.communication,booK
273,273,noun.person,sons
275,275,noun.act,help
283,283,noun.communication,interview
285,286,noun.person,Toni Morrison
287,287,verb.communication,said
289,289,noun.cognition,racism
292,292,noun.person,teachers
298,298,verb.communication,dedicated
301,303,noun.group,Brooklyn Free School
307,307,noun.group,family
308,308,verb.stative,was
310,310,noun.communication,thanks
317,317,verb.social,try
319,319,verb.perception,hide
321,321,noun.artifact,things
323,323,noun.person,Kids
344,344,verb.stative,'re
349,349,verb.stative,is
353,353,noun.body,hands
359,359,noun.person,policeman
360,360,verb.communication,Screaming
366,366,verb.emotion,want
368,368,verb.perception,bury
370,370,noun.communication,truth
377,377,verb.emotion,worry
382,382,verb.stative,’re
385,385,verb.cognition,Understand
387,387,noun.communication,No-
389,389,noun.group,family
390,390,verb.stative,is
