COREF,start_token,end_token,prop,cat,text
175,11,15,PROP,PER,Aurelia Durand Frances Lincoln Children
0,25,25,PRON,PER,MY
0,33,33,PRON,PER,I
0,41,41,PRON,PER,My
1,86,87,PROP,LOC,THE WORLD
364,101,101,PRON,PER,We
364,108,108,PRON,PER,Our
364,114,114,PRON,PER,We
364,116,116,PRON,PER,Our
0,119,119,PRON,PER,MY
365,194,194,PRON,PER,Yourself
364,200,200,PRON,PER,We
364,206,206,PRON,PER,Our
365,211,211,PRON,PER,You
366,237,238,NOM,PER,activist communities
0,241,241,PRON,PER,I
367,246,250,NOM,PER,everyone who reads this book
368,264,271,NOM,PER,every reader who has never been seen before
368,274,274,PRON,PER,themselves
364,278,278,PRON,PER,We
369,287,289,NOM,PER,People of Color
370,294,298,NOM,GPE,the Global Y / aforily
0,300,300,PRON,PER,I
371,312,329,NOM,PER,"those who have been marginalized , silenced , and purposefully left out of our history for so long"
364,325,325,PRON,PER,our
0,331,331,PRON,PER,I
0,341,341,PRON,PER,I
176,352,352,PROP,PER,Black
364,362,362,PRON,PER,we
372,367,368,NOM,LOC,the world
364,377,377,PRON,PER,our
364,384,384,PRON,PER,us
364,387,387,PRON,PER,our
373,391,391,NOM,PER,ancestors
364,395,395,PRON,PER,us
364,404,404,PRON,PER,our
374,412,413,NOM,PER,the oppressor
364,418,418,PRON,PER,our
375,424,424,NOM,PER,people
375,437,437,PRON,PER,them
364,441,441,PRON,PER,we
364,451,451,PRON,PER,ourselves
376,458,462,NOM,PER,those in the dominant culture
0,464,464,PRON,PER,I
377,466,466,PRON,PER,you
377,479,479,PRON,PER,you
377,481,481,PRON,PER,your
378,481,482,NOM,PER,your family
377,485,485,PRON,PER,your
379,495,501,NOM,PER,those who are continually silenced and ignored
380,503,513,NOM,PER,those who are renamed and have been stripped of their histories
380,512,512,PRON,PER,their
377,531,531,PRON,PER,you
0,533,533,PRON,PER,I
377,538,538,PRON,PER,you
381,543,543,NOM,PER,everyone
364,552,552,PRON,PER,our
382,552,553,NOM,PER,our ancestors
383,555,584,NOM,PER,"those who should not yet be our ancestors , but who passed on too soon . I wrote this for you out of a love for liberation and our humanity"
364,561,561,PRON,PER,our
382,561,562,NOM,PER,our ancestors
0,571,571,PRON,PER,I
377,575,575,PRON,PER,you
364,583,583,PRON,PER,our
0,590,590,PRON,PER,I
0,592,592,PRON,PER,I
0,596,596,PRON,PER,I
0,605,605,PRON,PER,I
0,609,609,PRON,PER,my
385,609,611,NOM,PER,my own children
0,616,616,PRON,PER,I
0,620,620,PRON,PER,I
377,624,624,PRON,PER,you
386,631,631,NOM,FAC,school
0,633,633,PRON,PER,I
377,638,638,PRON,PER,you
177,648,649,PROP,PER,Emmett Till
178,651,652,PROP,PER,Tamir Rice
179,654,655,PROP,PER,Korryn Gaines
180,657,658,PROP,PER,Michael Brown
181,660,661,PROP,PER,Eric Garner
182,663,664,PROP,PER,Sandra Bland
183,666,667,PROP,PER,Bobby Hutton
184,669,671,PROP,PER,Antwon Rose Jr.
185,673,674,PROP,PER,Stephon Clark
186,676,677,PROP,PER,Rekia Boyd
187,679,680,PROP,PER,Stephen Lawrence
188,682,683,PROP,PER,Charleena Lyles
189,685,686,PROP,PER,Alton Sterling
190,688,689,PROP,PER,Philando Castile
191,691,694,PROP,PER,Aiyana Stanley - Jones
192,697,698,PROP,PER,Trayvon Martin
387,705,705,PRON,PER,we
387,710,710,PRON,PER,our
387,713,713,PRON,PER,our
387,718,718,PRON,PER,our
0,727,727,PRON,PER,My
0,731,731,PRON,PER,me
388,740,740,PRON,PER,you
0,742,742,PRON,PER,I
388,744,744,PRON,PER,you
387,755,755,PRON,PER,We
389,759,760,NOM,PER,No one
0,769,769,PRON,PER,My
388,772,772,PRON,PER,you
388,782,782,PRON,PER,your
388,793,793,PRON,PER,You
388,805,805,PRON,PER,You
388,813,813,PRON,PER,you
388,817,817,PRON,PER,you
372,820,821,NOM,LOC,the world
391,828,828,NOM,PER,Some
388,831,831,PRON,PER,you
388,832,832,PRON,PER,you
375,841,841,NOM,PER,People
388,844,844,PRON,PER,you
388,846,846,PRON,PER,you
381,855,855,NOM,PER,everyone
1427,857,860,NOM,PER,a “ global citizen
388,863,863,PRON,PER,You
394,889,890,NOM,PER,Some people
388,894,894,PRON,PER,you
388,898,898,PRON,PER,you
388,906,906,PRON,PER,You
395,934,934,PRON,PER,we
388,942,942,PRON,PER,you
0,950,950,PRON,PER,I
388,955,955,PRON,PER,you
388,967,967,PRON,PER,you
0,975,975,PRON,PER,I
388,979,979,PRON,PER,you
396,985,1004,NOM,PER,"many folx who are here with you , who came before you , and who will come long after us"
388,991,991,PRON,PER,you
388,996,996,PRON,PER,you
395,1004,1004,PRON,PER,us
0,1006,1006,PRON,PER,I
388,1008,1008,PRON,PER,you
388,1014,1014,PRON,PER,your
397,1014,1015,NOM,PER,your friends
398,1017,1017,NOM,PER,families
388,1025,1025,PRON,PER,you
388,1030,1030,PRON,PER,your
388,1044,1044,PRON,PER,you
388,1059,1059,PRON,PER,you
388,1064,1064,PRON,PER,yourself
388,1068,1068,PRON,PER,your
388,1071,1071,PRON,PER,You
388,1076,1076,PRON,PER,yourself
395,1078,1078,PRON,PER,our
395,1089,1089,PRON,PER,we
395,1097,1097,PRON,PER,We
399,1110,1113,NOM,PER,anti - racist accomplices
388,1133,1133,PRON,PER,you
388,1141,1141,PRON,PER,your
400,1141,1145,NOM,PER,your anti - racist self
388,1148,1148,PRON,PER,you
401,1173,1182,NOM,PER,Tiffany START OF BOOK ANTI - RACIST An ANTIRACIST person
402,1184,1189,NOM,PER,someone who is opposed to racism
403,1200,1200,PRON,PER,It
395,1221,1221,PRON,PER,we
404,1229,1237,NOM,PER,a racialized society that keeps us separate and oppressed
395,1234,1234,PRON,PER,us
0,1244,1244,PRON,PER,I
0,1248,1248,PRON,PER,MY
0,1266,1266,PRON,PER,MY
0,1272,1272,PRON,PER,I
388,1276,1276,PRON,PER,you
388,1278,1278,PRON,PER,You
388,1280,1280,PRON,PER,you
388,1282,1282,PRON,PER,You
388,1286,1286,PRON,PER,you
388,1296,1296,PRON,PER,you
388,1298,1298,PRON,PER,you
388,1301,1301,PRON,PER,Your
388,1306,1306,PRON,PER,you
388,1308,1308,PRON,PER,YOU
388,1317,1317,PRON,PER,you
388,1320,1320,PRON,PER,You
388,1325,1325,PRON,PER,your
378,1325,1326,NOM,PER,your family
388,1328,1328,PRON,PER,your
397,1328,1329,NOM,PER,your friends
388,1331,1331,PRON,PER,your
407,1331,1332,NOM,FAC,your neighborhood
388,1334,1334,PRON,PER,your
408,1334,1335,NOM,FAC,your school
388,1338,1338,PRON,PER,you
388,1349,1349,PRON,PER,you
388,1356,1356,PRON,PER,you
388,1360,1360,PRON,PER,you
388,1364,1364,PRON,PER,you
388,1367,1367,PRON,PER,your
388,1372,1372,PRON,PER,you
388,1380,1380,PRON,PER,you
388,1394,1394,PRON,PER,YOU
388,1398,1398,PRON,PER,YOU
388,1403,1403,PRON,PER,YOU
388,1404,1404,PRON,PER,You
409,1406,1412,NOM,PER,all the ancestors who came before you
388,1412,1412,PRON,PER,you
388,1415,1415,PRON,PER,you
388,1429,1429,PRON,PER,you
410,1433,1434,NOM,FAC,the street
0,1444,1444,PRON,PER,I
388,1447,1447,PRON,PER,you
388,1454,1454,PRON,PER,I
411,1458,1458,NOM,PER,others
388,1465,1465,PRON,PER,YOU
388,1470,1470,PRON,PER,you
388,1476,1476,PRON,PER,yourself
388,1478,1478,PRON,PER,you
411,1481,1481,NOM,PER,others
0,1489,1489,PRON,PER,I
0,1502,1502,PRON,PER,I
413,1505,1507,NOM,GPE,A SMALL HOUSE
2,1509,1511,PROP,GPE,NEW YORK STATE
0,1513,1513,PRON,PER,I
0,1516,1516,PRON,PER,MY
414,1516,1517,NOM,PER,MY MOM
0,1519,1519,PRON,PER,MY
415,1519,1521,NOM,PER,MY TWIN SISTER
416,1524,1537,NOM,PER,A BLACK BIRACIAL CISGENDER FEMALE WHO HAS BROWN EYES AND A LOT OF FRECKLES
0,1539,1539,PRON,PER,I
0,1555,1555,PRON,PER,I
0,1562,1562,PRON,PER,I
0,1567,1567,PRON,PER,MY
0,1570,1570,PRON,PER,I
0,1576,1576,PRON,PER,I
0,1586,1586,PRON,PER,I
0,1596,1596,PRON,PER,I
0,1602,1602,PRON,PER,I
417,1604,1604,PRON,PER,YOU
417,1610,1610,PRON,PER,you
372,1614,1615,NOM,LOC,the world
417,1618,1618,PRON,PER,you
417,1623,1623,PRON,PER,You
417,1630,1630,PRON,PER,your
417,1633,1633,PRON,PER,Your
417,1640,1640,PRON,PER,you
417,1652,1652,PRON,PER,you
0,1655,1655,PRON,PER,My
0,1663,1663,PRON,PER,my
0,1668,1668,PRON,PER,me
0,1673,1673,PRON,PER,I
0,1681,1681,PRON,PER,me
0,1683,1683,PRON,PER,I
419,1693,1693,PRON,PER,us
0,1701,1701,PRON,PER,I
0,1704,1704,PRON,PER,my
0,1714,1714,PRON,PER,I
0,1728,1728,PRON,PER,me
417,1736,1736,PRON,PER,YOU
419,1748,1748,PRON,PER,we
417,1757,1757,PRON,PER,you
417,1779,1779,PRON,PER,you
419,1786,1786,PRON,PER,We
417,1800,1800,PRON,PER,you
417,1808,1808,PRON,PER,you
1428,1819,1824,NOM,PER,the “ subordinate culture . ”
1429,1825,1832,NOM,PER,Folx included in the “ subordinate culture ”
420,1839,1846,NOM,PER,Indigenous People of Color of the Global Majority
421,1848,1854,NOM,PER,"queer , transgender , and nonbinary folx"
422,1857,1858,NOM,PER,cisgender women
423,1860,1860,NOM,PER,youth
424,1862,1866,NOM,PER,"Muslim , Jewish , Buddhist"
425,1871,1874,NOM,PER,non - Christian folx
426,1879,1882,NOM,PER,folx living with disabilities
427,1884,1887,NOM,PER,those living in poverty
428,1894,1902,NOM,PER,many more who exist outside of this imaginary box
429,1904,1909,NOM,PER,those who fit inside of it
430,1911,1913,NOM,PER,The dominant culture
431,1934,1940,NOM,PER,those who 12 are in the box
419,1952,1952,PRON,PER,we
419,1954,1954,PRON,PER,ourselves
432,1956,1959,NOM,LOC,the world around us
419,1959,1959,PRON,PER,us
193,1967,1967,PROP,PER,Worthy
433,1969,1970,NOM,PER,A leader
194,1972,1972,PROP,PER,Trouble
375,1985,1985,NOM,PER,people
0,1995,1995,PRON,PER,I
435,2001,2001,PRON,PER,you
419,2008,2008,PRON,PER,Our
419,2013,2013,PRON,PER,us
419,2014,2014,PRON,PER,we
436,2017,2017,PRON,PER,They
411,2019,2019,NOM,PER,others
435,2023,2023,PRON,PER,you
435,2027,2027,PRON,PER,you
438,2032,2042,NOM,PER,the folx who are in your life and in the world
435,2037,2037,PRON,PER,your
372,2041,2042,NOM,LOC,the world
436,2044,2044,PRON,PER,They
419,2046,2046,PRON,PER,us
419,2049,2049,PRON,PER,us
435,2053,2053,PRON,PER,you
435,2056,2056,PRON,PER,you
435,2063,2063,PRON,PER,yourself
435,2068,2068,PRON,PER,you
435,2072,2072,PRON,PER,you
372,2074,2075,NOM,LOC,The world
435,2080,2080,PRON,PER,you
435,2082,2082,PRON,PER,you
435,2086,2086,PRON,PER,you
441,2088,2108,NOM,PER,the only person who gets to decide that . YOUHAVE THERIGHTTO BE SEEN AND UNDERSTOOD WITHOUT HAVING TO COMPROMISE WHO YOUARE
435,2097,2097,PRON,PER,YOUHAVE
435,2108,2108,PRON,PER,YOUARE
435,2126,2126,PRON,PER,you
435,2141,2141,PRON,PER,you
435,2153,2153,PRON,PER,you
435,2160,2160,PRON,PER,you
435,2162,2162,PRON,PER,you
0,2169,2169,PRON,PER,I
442,2171,2172,NOM,PER,... Female
443,2174,2191,NOM,PER,cis female Black biracial Light skinned A creator Glasses wearer A comfyclothes A A A A twin daughter
444,2199,2220,NOM,PER,baker Freckled Tall and thin A sister Curly haired English and American An English speaker A side sleeper Allergic A reader wearer
445,2221,2238,NOM,PER,A chocolate lover Stubborn Resistant Optimistic An extrovert who needs some recharge time Always cold A drama kid
0,2245,2245,PRON,PER,I
411,2253,2253,NOM,PER,others
435,2257,2257,PRON,PER,your
435,2271,2271,PRON,PER,your
435,2275,2275,PRON,PER,your
435,2286,2286,PRON,PER,your
435,2290,2290,PRON,PER,you
435,2300,2300,PRON,PER,your
447,2306,2306,PRON,PER,we
435,2311,2311,PRON,PER,you
448,2323,2341,NOM,PER,people in society who hold the most power and are often ( but not always ) in the majority
3,2344,2345,PROP,LOC,the US
449,2347,2348,NOM,GPE,the UK
