COREF,start_token,end_token,prop,cat,text
97,8,11,PROP,PER,GEORGE M. JOHNSON FARRAR
1,24,26,PROP,FAC,Macmillan Publishing Group
2,32,33,PROP,GPE,New York
3,35,35,PROP,GPE,NY
97,41,43,PROP,PER,George M. Johnson
319,49,53,NOM,LOC,the United States of America
4,53,53,PROP,GPE,America
98,56,57,PROP,PER,Cassie Gonzales
97,75,75,PROP,PER,Johnson
97,77,78,PROP,PER,George M.
99,80,81,PROP,PER,George Matthew
320,87,88,NOM,PER,All boys
5,111,113,PROP,FAC,Farrar Straus Giroux
0,121,121,PRON,PER,I
99,135,135,PROP,PER,Johnson
97,137,138,PROP,PER,George M.
99,140,141,PROP,PER,George Matthew
321,147,150,NOM,PER,African American gay men
0,154,154,PRON,PER,I
322,175,175,PRON,PER,Our
323,191,191,PRON,PER,your
324,191,193,NOM,FAC,your local bookseller
6,195,201,PROP,FAC,the Macmillan Corporate and Premium Sales Department
325,220,220,NOM,PER,Author
100,227,227,PROP,PER,Black
101,274,275,PROP,PER,Honest Abe
0,279,279,PRON,PER,Me
323,285,285,PRON,PER,You
326,297,298,NOM,PER,Little Brother
327,304,304,NOM,PER,Nanny
328,306,307,NOM,PER,The Caregiver
329,309,310,NOM,PER,the Hustler
0,312,312,PRON,PER,My
102,320,320,PROP,PER,Daddy
322,365,365,PRON,PER,We
0,374,374,PRON,PER,Myself
0,378,378,PRON,PER,Myself
330,386,386,NOM,PER,Friends
0,400,400,PRON,PER,My
0,412,412,PRON,PER,I
0,438,438,PRON,PER,I
0,447,447,PRON,PER,my
0,452,452,PRON,PER,I
0,454,454,PRON,PER,my
0,471,471,PRON,PER,I
331,496,496,NOM,PER,teens
331,500,500,PRON,PER,them
0,519,519,PRON,PER,me
0,521,521,PRON,PER,I
332,523,524,NOM,PER,a child
333,526,526,NOM,PER,teenager
334,529,530,NOM,PER,young adult
331,545,545,PRON,PER,they
335,555,569,NOM,PER,teens who may have to navigate many of these same experiences in their own lives
335,567,567,PRON,PER,their
0,624,624,PRON,PER,I
