start_token,end_token,supersense_category,text
8,13,noun.person,GEORGE M. JOHNSON FARRAR STRAUS GIROUX
22,22,noun.cognition,imprint
32,33,noun.location,New York
35,35,noun.location,NY
50,53,noun.location,United States of America
64,66,noun.group,Library of Congress
75,75,noun.person,Johnson
77,78,noun.person,George M.
80,81,noun.person,George Matthew
85,85,noun.communication,Title
89,89,verb.stative,are
94,94,noun.communication,memoir
96,96,noun.communication,manifesto
98,100,noun.person,George M. Johnson
102,102,noun.communication,Description
105,105,noun.communication,edition
108,109,noun.location,New York
117,117,noun.communication,Identifiers
125,125,noun.artifact,hardcover
129,129,noun.substance,paper
131,131,noun.communication,Subjects
133,133,noun.person,LCSH
135,135,noun.person,Johnson
137,138,noun.person,George M.
140,141,noun.person,George Matthew
149,150,noun.person,gay men
152,152,noun.communication,Biography
159,159,noun.group,Classification
161,162,noun.person,LCC HQ76.27.A37
171,171,noun.communication,record
176,176,noun.communication,books
179,179,verb.possession,purchased
187,187,noun.act,use
190,190,verb.communication,contact
193,193,noun.person,bookseller
209,209,noun.communication,ext
214,214,noun.communication,email
222,222,noun.communication,Note
227,227,noun.person,Black
232,232,noun.person,..........
233,233,noun.quantity,1
234,234,noun.communication,Act
240,240,noun.communication,Chapter
243,243,noun.communication,Smile
246,246,noun.communication,Chapter
249,249,noun.communication,Identity
252,252,noun.communication,Chapter
260,260,noun.communication,Chapter
270,270,noun.communication,Chapter
282,282,noun.communication,Chapter
301,301,noun.communication,Chapter
304,304,noun.person,Nanny
307,307,noun.person,Caregiver
317,317,noun.communication,Chapter
320,320,noun.person,Daddy
326,326,noun.communication,Chapter
330,331,noun.person,Hope ................
337,337,noun.communication,Chapter
349,349,noun.person,Teenagers
350,350,noun.communication,Chapter
353,353,noun.person,Boys
383,383,noun.communication,Act
387,387,noun.communication,Chapter
396,396,noun.communication,Chapter
405,405,noun.communication,Chapter
415,415,verb.communication,Call
418,418,noun.communication,Afterword
421,425,noun.person,Boys Are n’t Blue ..................
427,427,noun.communication,Acknowledgments
434,434,verb.creation,writing
436,436,noun.communication,book
439,439,verb.emotion,wanted
441,441,verb.stative,be
448,448,noun.cognition,experience
453,453,verb.emotion,wanted
455,455,noun.communication,story
458,458,verb.communication,told
460,460,noun.state,totality
463,463,noun.attribute,good
470,470,noun.cognition,things
472,472,verb.stative,was
477,478,verb.communication,talk about
482,482,verb.stative,meant
483,484,verb.motion,going to
485,485,noun.location,places
487,487,verb.communication,discussing
489,489,noun.communication,subjects
493,493,verb.cognition,kept
496,496,noun.person,teens
498,498,noun.feeling,fear
501,501,verb.stative,being
509,509,noun.cognition,truth
512,512,noun.cognition,matter
513,513,verb.stative,is
516,516,noun.communication,things
517,517,verb.change,happened
522,522,verb.stative,was
524,524,noun.person,child
526,526,noun.person,teenager
530,530,noun.person,adult
537,537,noun.communication,subjects
539,539,verb.stative,be
542,542,verb.stative,is
549,549,verb.communication,told
553,553,verb.cognition,read
555,555,noun.person,teens
560,560,verb.communication,navigate
565,565,noun.event,experiences
569,569,noun.cognition,lives
572,572,noun.communication,book
574,575,verb.communication,touch on
576,577,noun.act,sexual assault
579,579,verb.stative,including
580,580,noun.act,molestation
583,583,noun.process,loss
585,585,noun.state,virginity
587,587,noun.state,homophobia
589,589,noun.cognition,racism
597,597,noun.communication,discussions
601,601,verb.stative,be
609,609,verb.stative,are
610,610,noun.cognition,experiences
613,613,verb.cognition,reading
615,615,noun.communication,book
617,617,verb.communication,encounter
621,621,verb.communication,encountered
625,625,verb.emotion,want
627,627,noun.person,readers
630,630,verb.perception,seen
632,632,verb.perception,heard
635,635,noun.communication,pages
639,639,noun.communication,pages
642,642,noun.communication,word
643,643,noun.person,nigger
646,646,verb.change,appears
653,653,verb.communication,abbreviated
663,663,verb.stative,is
666,666,noun.person,fag
668,668,noun.person,faggot
672,672,noun.communication,abbreviations
675,675,verb.change,included
677,677,noun.communication,slurs
680,680,noun.communication,text
683,683,noun.attribute,ways
689,689,noun.attribute,effect
692,692,verb.consumption,use
695,695,noun.cognition,thoughtfulness
697,698,verb.communication,talking about
700,700,noun.communication,book
706,707,verb.cognition,identify as
718,718,verb.consumption,use
720,720,noun.communication,slurs
726,726,verb.stative,be
733,733,verb.consumption,use
735,735,noun.communication,abbreviations
740,740,noun.communication,word
744,744,noun.communication,word
748,748,verb.cognition,know
751,751,noun.communication,book
753,753,verb.creation,crafted
755,755,noun.act,care
757,757,noun.feeling,love
763,763,verb.creation,give
765,765,noun.communication,voice
771,771,noun.group,communities
773,773,noun.cognition,experiences
