COREF,start_token,end_token,prop,cat,text
1,19,20,PROP,GPE,New York
397,24,28,NOM,LOC,the United States of America
2,28,28,PROP,GPE,America
3,36,39,PROP,FAC,Penguin Random House LLC
158,51,52,PROP,PER,Adib Khorram
158,61,63,PROP,PER,Adib Khorram Penguin
398,86,86,PRON,PER,you
398,119,119,PRON,PER,You
399,122,122,NOM,PER,writers
158,125,125,PROP,PER,Penguin
400,132,133,NOM,PER,every reader
401,160,160,PRON,PER,us
4,165,168,PROP,FAC,THE LIBRARY OF CONGRESS
5,179,179,PROP,GPE,Khorram
158,181,181,PROP,PER,Adib
402,183,183,NOM,PER,author
0,192,192,PRON,PER,I
158,193,194,PROP,PER,Adib Khorram
1,198,199,PROP,GPE,New York
6,201,202,PROP,FAC,Dial Books
261,227,228,PROP,PER,Darius Kellner
261,231,231,PRON,PER,he
261,233,233,PRON,PER,he
1908,236,238,NOM,PER,a new boyfriend
1909,248,250,NOM,PER,the soccer team
261,256,256,PRON,PER,him
403,260,260,NOM,PER,publisher
404,315,316,NOM,ORG,High schools
7,363,363,PROP,GPE,Canada
405,392,393,NOM,PER,real people
406,414,415,NOM,PER,the author
407,428,428,NOM,PER,persons
408,438,439,NOM,PER,The publisher
402,453,453,NOM,PER,author
410,460,460,PRON,PER,their
0,464,464,PRON,PER,MY
411,464,465,NOM,PER,MY FRIENDS
0,469,469,PRON,PER,ME
0,487,487,PRON,PER,You
0,491,491,PRON,PER,I
160,493,493,PROP,PER,Mikaela
0,512,512,PRON,PER,my
160,515,515,PRON,PER,she
0,523,523,PRON,PER,my
0,529,529,PRON,PER,my
8,546,549,PROP,FAC,Chapel Hill High School
8,546,555,PROP,FAC,Chapel Hill High School ’s varsity men ’s soccer team
8,563,563,PRON,PER,their
0,583,583,PRON,PER,I
0,585,585,PRON,PER,my
412,594,595,NOM,PER,everyone else
412,597,597,PRON,PER,their
0,601,601,PRON,PER,I
0,611,611,PRON,PER,my
0,622,622,PRON,PER,you
160,628,628,PROP,PER,Mikaela
160,631,631,PRON,PER,she
0,633,633,PRON,PER,my
0,636,636,PRON,PER,I
160,640,640,PROP,PER,Mikaela
161,644,644,PROP,PER,Landon
160,646,646,PRON,PER,her
160,648,648,PRON,PER,She
0,664,664,PRON,PER,I
0,669,669,PRON,PER,I
0,673,673,PRON,PER,I
160,677,677,PRON,PER,she
0,687,687,PRON,PER,I
