start_token,end_token,supersense_category,text
12,12,noun.cognition,imprint
14,16,noun.group,Penguin Random House
19,20,noun.location,New York
22,22,verb.creation,published
25,28,noun.location,United States of America
34,34,noun.communication,imprint
36,38,noun.group,Penguin Random House
43,43,noun.communication,paperback
44,44,noun.communication,edition
45,45,verb.creation,published
47,47,noun.communication,Copyright
56,56,noun.communication,text
57,57,noun.communication,copyright
64,64,verb.emotion,supports
65,65,noun.communication,copyright
67,67,noun.communication,Copyright
68,68,verb.change,fuels
69,69,noun.cognition,creativity
71,71,verb.emotion,encourages
73,73,noun.person,voices
75,75,verb.communication,promotes
76,77,noun.communication,free speech
80,80,verb.creation,creates
83,83,noun.group,culture
85,85,noun.communication,Thank
88,88,verb.possession,buying
91,91,noun.communication,edition
94,94,noun.communication,book
97,97,verb.communication,complying
99,100,noun.communication,copyright laws
103,103,verb.social,reproducing
105,105,verb.contact,scanning
108,108,verb.possession,distributing
110,110,noun.object,part
115,115,noun.cognition,form
117,117,noun.communication,permission
121,121,verb.social,supporting
122,122,noun.person,writers
124,124,verb.social,allowing
125,125,noun.group,Penguin
127,127,verb.stative,continue
129,129,verb.creation,publish
130,130,noun.communication,books
133,133,noun.person,reader
137,137,noun.communication,colophon
140,140,noun.communication,trademarks
142,145,noun.group,Penguin Random House LLC
147,148,noun.group,Penguin Books
150,150,noun.communication,colophon
153,153,noun.communication,trademarks
155,156,noun.group,Penguin Books
163,163,noun.group,penguinrandomhouse.com
177,177,noun.communication,Names
181,181,noun.person,Adib
183,183,noun.person,author
185,185,noun.communication,Title
196,196,noun.communication,Description
198,199,noun.location,New York
201,202,noun.location,Dial Books
208,208,noun.group,Audience
216,216,noun.group,Audience
218,218,noun.communication,Grades
224,224,noun.communication,Summary
227,228,noun.person,Darius Kellner
229,229,verb.possession,has
232,232,verb.cognition,thought
234,234,verb.emotion,wanted
238,238,noun.person,boyfriend
242,242,noun.act,internship
246,246,noun.act,spot
249,249,noun.group,soccer
250,250,noun.group,team
253,254,verb.social,growing up
255,255,verb.change,makes
257,257,noun.communication,question
260,260,noun.group,publisher
262,262,noun.communication,Identifiers
267,267,noun.communication,print
273,273,noun.communication,ebook
279,279,noun.communication,hardcover
285,286,noun.communication,trade paperback
292,292,noun.communication,epub
294,294,noun.communication,Subjects
296,296,noun.location,CYAC
298,298,noun.group,Family
299,299,noun.state,life
301,301,noun.communication,Fiction
304,304,noun.communication,Dating
310,310,noun.person,Gays
312,312,noun.communication,Fiction
315,316,noun.group,High schools
318,318,noun.communication,Fiction
321,321,noun.group,Schools
323,323,noun.communication,Fiction
338,338,noun.communication,print
344,344,noun.communication,ebook
351,351,noun.communication,record
356,356,noun.communication,ebook
357,357,noun.communication,record
371,373,noun.group,Cerise Steel Text
374,374,verb.creation,set
379,379,noun.communication,book
380,380,verb.stative,is
382,382,noun.artifact,work
