COREF,start_token,end_token,prop,cat,text
988,6,6,PRON,PER,YOU
441,22,23,PROP,PER,JASON REYNOLDS
442,36,41,PROP,PER,"IBRAM X. KENDI LITTLE , BROWN"
1,45,45,PROP,GPE,YORK
2,46,46,PROP,GPE,BOSTON
988,55,55,PRON,PER,You
441,59,60,PROP,PER,Jason Reynolds
3,77,77,PROP,GPE,America
442,79,81,PROP,PER,Ibram X. Kendi
442,95,95,PROP,PER,Kendi
441,97,98,PROP,PER,Jason Reynolds
443,105,106,PROP,PER,Erin Robinson
444,116,117,PROP,PER,Dirty Bandits
445,122,123,PROP,PER,Karina Granda
446,128,130,PROP,PER,the Book Designers
4,137,139,PROP,ORG,Hachette Book Group
4,142,144,PROP,ORG,Hachette Book Group
989,164,164,NOM,PER,writers
990,166,166,NOM,PER,artists
991,174,174,PRON,PER,our
992,193,194,NOM,PER,the author
988,200,200,PRON,PER,you
988,223,223,PRON,PER,you
988,225,225,PRON,PER,your
992,228,229,NOM,PER,the author
994,237,240,NOM,PER,Company Hachette Book Group
5,244,245,PROP,LOC,the Americas
6,247,248,PROP,GPE,New York
7,250,250,PROP,GPE,NY
991,253,253,PRON,PER,us
8,255,256,PROP,FAC,LBYR.com First
995,267,272,NOM,ORG,a division of Hachette Book Group
9,285,285,PROP,GPE,Hachette
996,290,291,NOM,PER,The publisher
997,299,299,PRON,PER,their
996,307,308,NOM,PER,the publisher
10,310,312,PROP,ORG,Library of Congress
441,321,321,PROP,PER,Reynolds
441,323,323,PROP,PER,Jason
999,325,325,NOM,PER,author
442,328,328,PROP,PER,Kendi
442,330,331,PROP,PER,Ibram X.
999,333,333,NOM,PER,author
1001,344,344,PRON,PER,you
442,349,351,PROP,PER,Ibram X. Kendi
6,359,360,PROP,GPE,New York
1002,362,366,NOM,ORG,"Little , Brown and Company"
3,413,413,PROP,GPE,America
1005,416,416,PRON,PER,their
11,419,419,PROP,GPE,Europe
1003,437,437,NOM,PER,publisher
12,529,533,PROP,LOC,the United States of America
3,533,533,PROP,GPE,America
0,545,545,PRON,PER,my
1004,545,552,NOM,PER,my great - great - great - grandfather
1005,557,557,PRON,PER,they
13,577,578,PROP,LOC,the World
447,630,630,PROP,PER,Jefferson
448,663,664,PROP,PER,Uncle Tom
449,694,695,PROP,PER,Jack Johnson
1006,829,830,NOM,PER,Dear Reader
1001,849,849,PRON,PER,yourself
0,851,851,PRON,PER,I
0,863,863,PRON,PER,I
0,875,875,PRON,PER,me
0,878,878,PRON,PER,I
1001,880,880,PRON,PER,you
1001,891,891,PRON,PER,you
3,893,893,PROP,GPE,America
