start_token,end_token,supersense_category,text
22,23,noun.person,JASON REYNOLDS
34,34,noun.communication,introduction
36,39,noun.group,IBRAM X. KENDI LITTLE
41,43,noun.group,BROWN AND COMPANY
44,45,noun.location,NEW YORK
57,57,verb.creation,written
59,60,noun.person,Jason Reynolds
77,77,noun.location,America
79,81,noun.person,Ibram X. Kendi
83,83,verb.possession,published
89,89,noun.communication,Copyright
93,95,noun.group,Ibram X. Kendi
105,106,noun.person,Erin Robinson
108,108,noun.communication,Title
110,110,noun.person,author
111,111,noun.communication,lettering
112,112,noun.communication,copyright
116,117,noun.person,Dirty Bandits
119,119,noun.artifact,Cover
120,120,noun.act,design
122,123,noun.person,Karina Granda
124,124,verb.cognition,based
126,126,noun.act,design
129,130,noun.person,Book Designers
133,133,noun.communication,copyright
137,139,noun.group,Hachette Book Group
141,144,noun.group,Inc. Hachette Book Group
145,145,verb.social,supports
147,147,noun.attribute,right
150,150,noun.communication,expression
153,153,noun.attribute,value
155,155,noun.communication,copyright
158,158,noun.cognition,purpose
160,160,noun.communication,copyright
163,163,verb.communication,encourage
164,164,noun.person,writers
166,166,noun.person,artists
168,168,verb.creation,produce
171,171,noun.artifact,works
173,173,verb.change,enrich
175,175,noun.group,culture
178,178,noun.act,scanning
180,180,noun.communication,uploading
183,183,noun.act,distribution
186,186,noun.communication,book
188,188,noun.communication,permission
189,189,verb.stative,is
191,191,noun.act,theft
194,194,noun.person,author
196,197,noun.possession,intellectual property
202,202,verb.emotion,like
203,203,noun.communication,permission
205,205,verb.consumption,use
206,206,noun.communication,material
209,209,noun.communication,book
214,214,noun.cognition,review
215,215,noun.cognition,purposes
219,219,verb.communication,contact
222,223,noun.communication,Thank you
226,226,noun.act,support
229,229,noun.person,author
231,231,noun.attribute,rights
235,240,noun.group,Brown and Company Hachette Book Group
242,245,noun.location,Avenue of the Americas
247,248,noun.location,New York
250,250,noun.location,NY
257,257,noun.communication,Edition
259,259,noun.time,March
263,265,noun.group,Brown and Company
266,266,verb.stative,is
268,276,noun.group,"division of Hachette Book Group , Inc. The Little"
278,278,noun.person,Brown
279,279,noun.communication,name
281,281,noun.communication,logo
282,282,verb.stative,are
283,283,noun.artifact,trademarks
285,287,noun.group,Hachette Book Group
291,291,noun.group,publisher
292,292,verb.stative,is
296,296,noun.artifact,websites
300,300,noun.communication,content
305,305,verb.possession,owned
308,308,noun.group,publisher
310,312,noun.group,Library of Congress
321,321,noun.location,Reynolds
323,323,noun.person,Jason
325,325,noun.person,author
330,331,noun.group,Ibram X.
333,333,noun.person,author
335,335,noun.communication,Title
339,339,noun.cognition,racism
346,347,noun.person,Jason Reynolds
353,353,noun.communication,Description
356,356,noun.communication,edition
359,360,noun.location,New York
364,366,noun.group,Brown and Company
373,373,noun.communication,Adaptation
389,389,noun.communication,references
391,391,noun.communication,index
394,394,noun.group,Audience
396,396,noun.person,Ages
402,402,noun.communication,Summary
406,406,noun.communication,history
411,411,noun.cognition,ideas
413,413,noun.location,America
417,417,noun.time,roots
419,419,noun.object,Europe
421,421,noun.time,today
423,423,verb.creation,adapted
429,429,noun.person,winner
437,437,noun.person,publisher
439,439,noun.communication,Identifiers
441,441,noun.group,LCCN
447,447,noun.artifact,hardcover
453,453,noun.communication,ebook
460,460,noun.group,LCSH
464,465,noun.location,United States
467,467,noun.communication,History
470,470,noun.communication,literature
473,474,noun.location,United States
476,477,noun.group,Race relations
479,479,noun.time,History
482,482,noun.communication,literature
