COREF,start_token,end_token,prop,cat,text
72,2,3,PROP,PER,Cemetery BOYS
261,34,35,NOM,FAC,authoritative establishments
73,39,39,PROP,PER,TeenVogue.com
74,46,46,PROP,PER,Thomas
0,58,58,PRON,PER,I
0,72,72,PRON,PER,I
262,89,90,NOM,PER,other kids
1,92,93,PROP,FAC,Cemetery Boys
263,98,99,NOM,PER,trans kids
264,102,103,NOM,PER,queer kids
265,108,118,NOM,PER,the Latinx community who need to see themselves on the page
265,115,115,PRON,PER,themselves
75,128,129,PROP,PER,Mark Oshiro
1,149,150,PROP,FAC,Cemetery Boys
266,155,155,PRON,PER,we
76,164,165,PROP,PER,Kayla Ancrum
267,167,171,NOM,PER,author of The Wicker King
0,188,188,PRON,PER,I
0,193,193,PRON,PER,my
77,198,199,PROP,PER,Mason Deaver
0,203,203,PRON,PER,I
268,205,205,PRON,PER,You
269,222,222,NOM,PER,readers
1,224,224,PRON,FAC,its
270,246,249,NOM,PER,all paranormal romance fans
78,253,254,PROP,PER,Isabel Sterling
271,256,259,NOM,PER,author of These Witches
1,264,265,PROP,FAC,Cemetery Boys
74,276,277,PROP,PER,Aiden Thomas
272,283,283,NOM,PER,family
268,298,298,PRON,PER,your
79,304,306,PROP,PER,C. B. Lee
268,311,311,PRON,PER,Your
2,313,317,PROP,FAC,CEMETERY BOYS AIDEN THOMAS MACMILLAN
3,321,322,PROP,LOC,the US
4,325,326,PROP,FAC,Swoon Reads
80,331,331,PROP,PER,Feiwel
5,338,339,PROP,LOC,the UK
6,349,352,PROP,FAC,Pan Macmillan The Smithson
7,355,356,PROP,FAC,Briset Street
8,358,358,PROP,GPE,London
9,365,368,PROP,FAC,Macmillan Publishers Ireland Ltd
273,370,385,NOM,FAC,"1st Floor , The Liffey Trust Centre , 117 - 126 Sheriff Street Upper Dublin 1"
274,392,393,NOM,LOC,the world
74,407,408,PROP,PER,Aiden Thomas
74,413,414,PROP,PER,Aiden Thomas
275,419,423,NOM,PER,the author of this work
276,428,428,PRON,PER,them
277,488,489,NOM,PER,the publisher
81,491,492,PROP,PER,Pan Macmillan
278,505,518,NOM,PER,any author or third - party websites referred to in or on this book
10,534,536,PROP,FAC,the British Library
11,542,547,PROP,FAC,CPI Group ( UK ) Ltd
12,549,550,PROP,FAC,Croydon CRO
82,555,558,PROP,PER,Liz Dresner MIX Paper
277,596,597,NOM,PER,the publisher
280,627,629,NOM,PER,the subsequent purchaser
0,632,632,PRON,PER,me
0,657,657,PRON,PER,me
281,660,660,PRON,PER,you
0,663,663,PRON,PER,me
0,664,664,PRON,PER,I
281,666,666,PRON,PER,your
281,671,671,PRON,PER,you
0,674,674,PRON,PER,me
0,675,675,PRON,PER,I
0,681,681,PRON,PER,my
83,701,701,PROP,PER,Yadriel
83,707,707,PRON,PER,he
282,711,712,NOM,FAC,the cemetery
83,713,713,PRON,PER,his
283,720,721,NOM,FAC,the church
83,734,734,PRON,PER,he
83,740,740,PRON,PER,he
284,742,743,NOM,PER,a brujo
83,745,745,PRON,PER,he
84,754,755,PROP,PER,Lady Death
84,758,758,PRON,PER,she
83,762,762,PRON,PER,him
283,764,765,NOM,FAC,the church
83,777,777,PROP,PER,Yadriel
83,781,781,PRON,PER,he
83,784,784,PRON,PER,his
286,784,785,NOM,PER,his family
287,784,794,NOM,FAC,his family ’s small house at the front of the cemetery
288,790,794,NOM,FAC,the front of the cemetery
282,793,794,NOM,FAC,the cemetery
83,808,808,PRON,PER,his
83,811,811,PRON,PER,He
83,813,813,PRON,PER,his
290,813,814,NOM,PER,his cousin
85,815,815,PROP,PER,Maritza
291,826,826,PRON,PER,their
292,834,837,NOM,PER,the brujx celebrating inside
291,843,843,PRON,PER,Their
293,852,853,NOM,FAC,the graveyard
83,855,855,PROP,PER,Yadriel
294,864,865,NOM,LOC,the coast
83,869,869,PRON,PER,he
295,872,873,NOM,FAC,the porch
85,878,878,PROP,PER,Maritza
85,883,883,PRON,PER,her
83,889,889,PROP,PER,Yadriel
296,892,892,PRON,PER,they
297,895,896,NOM,FAC,stone paths
83,901,901,PROP,PER,Yadriel
83,906,906,PRON,PER,his
83,920,920,PRON,PER,he
298,926,930,NOM,PER,the brujos on graveyard duty
282,934,935,NOM,FAC,the cemetery
300,941,945,NOM,PER,the spirits of the dead
301,952,953,NOM,PER,the men
86,957,957,PROP,PER,Spirits
302,957,959,NOM,PER,Spirits turning maligno
303,959,959,NOM,PER,maligno
304,967,968,NOM,PER,the brujos
305,976,976,NOM,PER,outsiders
306,985,986,NOM,FAC,the graves
83,1003,1003,PROP,PER,Yadriel
85,1010,1010,PROP,PER,Maritza
83,1013,1013,PRON,PER,him
83,1020,1020,PRON,PER,he
87,1022,1023,PROP,PER,Felipe Mendez
83,1030,1030,PRON,PER,his
87,1036,1036,PROP,PER,Felipe
307,1038,1045,NOM,PER,a more recent resident of the brujx cemetery
308,1043,1045,NOM,FAC,the brujx cemetery
83,1050,1050,PRON,PER,his
83,1065,1065,PRON,PER,him
88,1067,1067,PROP,PER,Brujx
309,1073,1074,NOM,PER,a spirit
301,1081,1082,NOM,PER,The men
311,1081,1087,NOM,PER,The men and women in their community
311,1086,1086,PRON,PER,their
312,1086,1087,NOM,PER,their community
311,1105,1105,PRON,PER,their
311,1112,1112,PRON,PER,their
311,1118,1118,PRON,PER,them
311,1120,1120,PRON,PER,their
313,1120,1121,NOM,PER,their Lady
314,1160,1161,NOM,GPE,a cemeteiy
315,1164,1164,NOM,PER,spirits
308,1174,1176,NOM,FAC,the brujx cemetery
83,1183,1183,PROP,PER,Yadriel
83,1191,1191,PRON,PER,he
87,1199,1199,PROP,PER,Felipe
87,1203,1203,PROP,PER,Felipe
83,1218,1218,PRON,PER,his
83,1223,1223,PRON,PER,his
83,1232,1232,PRON,PER,him
83,1236,1236,PRON,PER,him
317,1239,1243,NOM,LOC,the land of the living
318,1242,1243,NOM,PER,the living
87,1245,1245,PROP,PER,Felipe
83,1258,1258,PRON,PER,He
83,1262,1262,PRON,PER,his
293,1265,1266,NOM,FAC,the graveyard
83,1268,1268,PRON,PER,his
320,1275,1276,NOM,PER,the brujas
