start_token,end_token,supersense_category,text
2,3,noun.group,Cemetery BOYS
6,6,noun.communication,novel
11,11,verb.stative,balances
17,17,noun.group,culture
19,20,verb.cognition,delving into
22,22,noun.communication,topics
25,25,noun.cognition,acceptance
27,27,noun.act,deportation
29,29,noun.act,colonization
32,32,noun.cognition,racism
35,35,noun.group,establishments
43,43,noun.act,debut
44,44,noun.communication,novel
47,47,verb.stative,is
60,60,verb.emotion,bawling
63,63,noun.event,end
70,70,noun.feeling,sadness
74,74,verb.emotion,felt
82,82,noun.act,adventure
84,84,verb.change,get
87,87,verb.cognition,read
90,90,noun.person,kids
92,93,noun.person,Cemetery Boys
94,94,verb.stative,is
99,99,noun.person,kids
103,103,noun.person,kids
110,110,noun.group,community
114,114,verb.perception,see
118,118,noun.communication,page
122,122,verb.emotion,miss
124,124,noun.communication,book
128,129,noun.person,Mark Oshiro
131,131,noun.person,author
133,133,noun.communication,Anger
134,134,verb.stative,is
139,139,noun.communication,story
144,144,noun.substance,paper
146,146,verb.contact,binds
149,150,noun.person,Cemetery Boys
151,151,verb.stative,is
154,154,noun.attribute,intricacy
159,159,verb.stative,waiting
164,165,noun.person,Kayla Ancrum
167,167,noun.person,author
170,171,noun.group,Wicker King
174,174,noun.communication,book
175,175,verb.stative,is
189,189,verb.emotion,love
194,194,noun.cognition,heart
198,199,noun.person,Mason Deaver
201,201,noun.person,author
210,211,noun.group,Cemetery Boys
212,212,verb.stative,is
214,214,noun.event,celebration
216,216,noun.group,culture
218,218,noun.attribute,identity
221,221,verb.emotion,captivate
222,222,noun.person,readers
227,227,noun.object,world
230,230,noun.state,romance
235,235,noun.cognition,mystery
239,239,noun.act,debut
240,240,verb.stative,is
242,242,noun.communication,must
244,244,noun.communication,read
248,248,noun.event,romance
249,249,noun.person,fans
253,254,noun.person,Isabel Sterling
256,256,noun.person,author
264,265,noun.group,Cemetery Boys
266,266,verb.stative,is
272,274,noun.artifact,work of art
279,279,verb.creation,weaves
281,281,noun.communication,tale
283,283,noun.group,family
285,285,noun.state,friendships
288,288,noun.feeling,love
292,292,noun.act,adventure
295,295,noun.communication,affirmation
297,297,verb.stative,being
300,300,noun.person,self
304,306,noun.person,C. B. Lee
308,308,noun.person,author
319,319,verb.creation,published
325,326,noun.location,Swoon Reads
329,329,noun.communication,imprint
331,331,noun.person,Feiwel
335,335,noun.communication,editon
336,336,verb.creation,published
339,339,noun.location,UK
342,343,noun.person,Macmillan Children
347,347,noun.cognition,imprint
349,352,noun.group,Pan Macmillan The Smithson
355,356,noun.location,Briset Street
358,359,noun.location,London EC1
360,362,noun.group,M 5NR EU
363,363,noun.person,representative
365,368,noun.group,Macmillan Publishers Ireland Ltd
374,376,noun.location,Liffey Trust Centre
381,382,noun.location,Sheriff Street
384,384,noun.location,Dublin
387,388,noun.group,DOI YC43
390,390,noun.group,companies
393,394,noun.group,world www.panmacmillan.com
411,411,noun.attribute,right
413,414,noun.person,Aiden Thomas
417,417,verb.cognition,identified
420,420,noun.person,author
423,423,noun.artifact,work
426,426,verb.communication,asserted
430,430,noun.communication,accordance
443,443,verb.possession,reserved
446,446,noun.relation,part
449,449,noun.communication,publication
452,452,verb.contact,reproduced
454,454,verb.possession,stored
457,458,noun.artifact,retrieval system
461,461,verb.contact,transmitted
465,465,noun.communication,form
475,475,noun.communication,photocopying
477,477,noun.artifact,recording
486,486,noun.communication,permission
489,489,noun.person,publisher
491,492,noun.group,Pan Macmillan
495,495,verb.possession,have
497,497,noun.attribute,control
502,502,noun.act,responsibility
506,506,noun.person,author
511,511,noun.communication,websites
512,512,verb.communication,referred
518,518,noun.communication,book
526,526,noun.communication,catalogue
527,527,noun.communication,record
530,530,noun.communication,book
531,531,verb.stative,is
542,543,noun.group,CPI Group
549,550,noun.group,Croydon CRO
552,552,noun.communication,Book
553,553,noun.act,design
555,558,noun.person,Liz Dresner MIX Paper
565,565,noun.communication,book
567,567,verb.possession,sold
571,571,noun.state,condition
580,580,noun.act,trade
585,585,verb.possession,lent
587,587,verb.possession,resold
589,590,verb.possession,hired out
594,594,verb.possession,circulated
597,597,noun.person,publisher
600,600,noun.communication,consent
603,603,noun.cognition,form
605,605,noun.communication,binding
607,607,noun.communication,cover
615,615,verb.communication,published
620,620,noun.state,condition
623,623,noun.communication,condition
625,625,verb.social,imposed
629,629,noun.person,purchaser
631,631,noun.communication,No
633,633,noun.person,Hores
656,656,verb.emotion,mourn
661,662,verb.communication,cry for
665,665,verb.emotion,grieve
667,667,noun.feeling,pain
672,672,verb.communication,sing
678,678,verb.stative,live
682,682,noun.person,spirit
685,685,verb.change,die
694,695,noun.communication,folk song
696,696,noun.event,START
698,698,noun.communication,BOOK
699,699,noun.communication,CHAPTER
701,701,noun.person,Yadriel
705,705,verb.social,trespassing
709,709,verb.stative,lived
712,712,noun.location,cemetery
715,715,noun.time,life
718,719,verb.motion,breaking into
721,721,noun.artifact,church
724,724,verb.motion,crossing
728,728,noun.communication,ambiguity
729,729,noun.act,line
739,739,verb.cognition,prove
741,741,verb.stative,was
743,743,noun.person,brujo
748,748,verb.creation,perform
750,750,noun.act,rite
754,755,noun.person,Lady Death
760,760,verb.stative,waiting
765,765,noun.artifact,church
773,773,noun.food,chicken
774,774,noun.body,blood
775,775,verb.motion,thumped
777,777,noun.person,Yadriel
779,779,noun.body,hip
782,782,verb.motion,snuck
785,785,noun.group,family
788,788,noun.artifact,house
791,791,noun.location,front
794,794,noun.location,cemetery
797,797,noun.relation,rest
800,800,noun.artifact,supplies
803,803,noun.event,ceremony
805,806,verb.contact,tucked away
809,809,noun.artifact,backpack
814,814,noun.person,cousin
815,815,noun.person,Maritza
816,816,verb.motion,ducked
820,820,noun.artifact,windows
825,825,verb.perception,bump
827,827,noun.body,heads
830,830,noun.artifact,sills
832,832,noun.substance,Silhouettes
835,835,noun.person,brujx
836,836,verb.motion,celebrating
838,838,verb.motion,danced
841,841,noun.artifact,curtains
844,844,noun.communication,laughter
847,847,noun.attribute,sound
849,849,noun.communication,music
850,850,verb.motion,filtered
853,853,noun.location,graveyard
855,855,noun.person,Yadriel
856,856,verb.motion,paused
858,858,verb.contact,crouching
861,861,noun.location,shadows
863,863,verb.cognition,check
865,865,noun.object,coast
866,866,verb.stative,was
870,870,verb.motion,jumped
873,873,noun.artifact,porch
875,876,verb.motion,took off
878,878,noun.person,Maritza
879,879,verb.motion,followed
884,884,noun.act,footsteps
885,885,verb.perception,echoing
889,889,noun.person,Yadriel
893,893,verb.motion,ran
895,895,noun.substance,stone
896,896,noun.artifact,paths
899,899,noun.location,puddles
903,903,noun.body,heart
904,904,verb.motion,fluttered
907,907,noun.body,chest
909,909,noun.body,fingers
910,910,verb.contact,brushing
913,913,noun.substance,wet
914,914,noun.artifact,brick
917,917,noun.substance,columbaria
918,918,noun.artifact,wall
921,921,verb.perception,watched
924,924,noun.communication,signs
927,927,noun.person,brujos
929,929,noun.location,graveyard
930,930,noun.act,duty
933,933,verb.contact,Patrolling
935,935,noun.location,cemetery
937,938,verb.social,make sure
942,942,noun.person,spirits
945,945,noun.group,dead
947,947,verb.creation,causing
