COREF,start_token,end_token,prop,cat,text
514,3,3,PRON,PER,US
156,6,7,PROP,PER,BECKY ALBERTALLI
157,9,10,PROP,PER,ADAM SILVERA
514,15,15,PRON,PER,Us
156,18,20,PROP,PER,BECKY ALBERTALLI Simon
515,22,30,NOM,FAC,the Homo Sapiens Agenda The Upside of Unrequited Leah
158,40,41,PROP,PER,Aisha Saeed
1,45,45,PROP,GPE,Creekwood
159,46,46,PROP,PER,Kate
157,51,52,PROP,PER,ADAM SILVERA
516,60,60,PRON,PER,You
0,62,62,PRON,PER,Me
517,63,63,PRON,PER,They
156,80,81,PROP,PER,BECKY ALBERTALLI
157,83,84,PROP,PER,ADAM SILVERA
160,89,89,PROP,PER,BALZER
2,91,91,PROP,GPE,BRAY
3,98,102,PROP,FAC,HarperCollins Publishers Balzer + Bray
518,117,118,NOM,GPE,HarperCollins Publishers
156,128,129,PROP,PER,Becky Albertalli
157,131,132,PROP,PER,Adam Silvera
519,139,143,NOM,LOC,the United States of America
4,143,143,PROP,GPE,America
520,184,188,NOM,ORG,a division of HarperCollins Publishers
5,187,188,PROP,FAC,HarperCollins Publishers
6,191,191,PROP,GPE,Broadway
7,193,194,PROP,GPE,New York
161,212,213,PROP,PER,Erin Fitzsimmons
162,230,231,PROP,PER,David Arnold
163,233,234,PROP,PER,Jasmine Warga
521,240,240,PRON,PER,our
521,263,263,PRON,PER,we
0,270,270,PRON,PER,my
0,273,273,PRON,PER,I
522,276,276,PRON,PER,him
0,278,278,PRON,PER,I
0,281,281,PRON,PER,I
523,294,294,PRON,FAC,its
0,303,303,PRON,PER,I
524,305,305,NOM,PER,someone
0,309,309,PRON,PER,me
522,311,311,PRON,PER,He
174,346,347,PROP,PER,Mario Colon
0,351,351,PRON,PER,I
525,353,355,NOM,FAC,the train station
174,357,357,PROP,PER,Mario
0,359,359,PRON,PER,me
174,364,364,PRON,PER,himself
526,366,367,NOM,PER,the dentist
174,371,371,PRON,PER,He
174,393,393,PROP,PER,Mario
527,395,396,NOM,LOC,this world
174,399,399,PRON,PER,His
174,405,405,PRON,PER,he
174,416,416,PRON,PER,him
174,420,420,PRON,PER,he
174,422,422,PRON,PER,he
165,427,430,PROP,PER,Lin - Manuel Miranda
174,434,434,PRON,PER,His
174,451,451,PRON,PER,his
174,455,455,PRON,PER,His
174,464,464,PRON,PER,his
174,470,470,PRON,PER,he
0,477,477,PRON,PER,me
174,481,481,PRON,PER,him
528,488,488,PRON,PER,we
528,493,493,PRON,PER,our
0,506,506,PRON,PER,I
0,515,515,PRON,PER,I
174,517,517,PRON,PER,him
0,521,521,PRON,PER,I
0,528,528,PRON,PER,I
174,532,532,PROP,PER,Mario
174,536,536,PRON,PER,he
0,541,541,PRON,PER,my
0,545,545,PRON,PER,I
0,551,551,PRON,PER,my
529,551,552,NOM,VEH,my train
0,557,557,PRON,PER,I
0,562,562,PRON,PER,me
174,570,570,PRON,PER,he
0,572,572,PRON,PER,me
174,577,577,PRON,PER,his
174,582,582,PROP,PER,Mario
530,582,584,NOM,PER,Mario ’s parents
174,586,586,PRON,PER,him
174,593,593,PRON,PER,he
174,600,600,PRON,PER,his
174,605,605,PRON,PER,he
0,607,607,PRON,PER,me
369,622,622,PROP,PER,Samantha
0,625,625,PRON,PER,me
0,644,644,PRON,PER,me
0,646,646,PRON,PER,myself
0,648,648,PRON,PER,my
0,654,654,PRON,PER,I
174,658,658,PROP,PER,Mario
0,660,660,PRON,PER,I
531,670,670,PRON,PER,our
0,679,679,PRON,PER,I
174,682,682,PRON,PER,he
532,688,692,NOM,PER,a Very Serious Fiction Writer
533,694,697,NOM,PER,an amazing slam poet
174,701,701,PROP,PER,Mario
174,711,711,PRON,PER,he
174,726,726,PRON,PER,his
174,734,734,PRON,PER,He
534,736,738,NOM,PER,the first person
0,740,740,PRON,PER,my
535,740,741,NOM,PER,my ex
188,743,743,PROP,PER,Arthur
0,745,745,PRON,PER,I
0,750,750,PRON,PER,I
174,754,754,PRON,PER,he
0,761,761,PRON,PER,I
174,765,765,PRON,PER,he
0,771,771,PRON,PER,I
174,776,776,PRON,PER,he
174,782,782,PRON,PER,he
174,786,786,PRON,PER,his
0,792,792,PRON,PER,I
0,796,796,PRON,PER,my
0,820,820,PRON,PER,my
188,823,823,PROP,PER,Arthur
0,825,825,PRON,PER,me
174,833,833,PRON,PER,him
174,842,842,PROP,PER,Mario
536,846,846,PRON,PER,we
537,848,849,NOM,PER,official boyfriends
538,853,858,NOM,PER,friends who kiss and hang out
0,860,860,PRON,PER,I
8,864,865,PROP,FAC,Central Park
0,870,870,PRON,PER,my
539,870,872,NOM,PER,my best friend
168,874,874,PROP,PER,Dylan
168,877,877,PRON,PER,his
540,877,878,NOM,PER,his girlfriend
369,880,880,PROP,PER,Samantha
0,884,884,PRON,PER,my
541,888,888,PRON,PER,them
541,896,896,PRON,PER,they
542,900,900,NOM,FAC,home
543,902,902,NOM,FAC,school
536,907,907,PRON,PER,We
168,918,918,PROP,PER,Dylan
168,920,920,PRON,PER,he
9,939,939,PROP,GPE,Chicago
7,941,942,PROP,GPE,New York
0,944,944,PRON,PER,I
168,950,950,PROP,PER,Dylan
0,958,958,PRON,PER,I
544,963,965,NOM,VEH,the train ride
0,971,971,PRON,PER,my
0,981,981,PRON,PER,my
0,990,990,PRON,PER,I
0,1003,1003,PRON,PER,my
0,1031,1031,PRON,PER,my
545,1031,1032,NOM,PER,my friends
546,1034,1036,NOM,PER,ex - boyfriends
547,1046,1049,NOM,PER,people outside my circle
0,1048,1048,PRON,PER,my
0,1051,1051,PRON,PER,My
174,1059,1059,PROP,PER,Mario
0,1062,1062,PRON,PER,me
0,1067,1067,PRON,PER,I
0,1081,1081,PRON,PER,I
0,1095,1095,PRON,PER,me
0,1097,1097,PRON,PER,I
0,1102,1102,PRON,PER,I
0,1109,1109,PRON,PER,my
545,1109,1110,NOM,PER,my friends
549,1112,1112,NOM,PER,strangers
0,1115,1115,PRON,PER,my
188,1119,1119,PROP,PER,Arthur
550,1124,1125,NOM,PER,the characters
550,1127,1127,PRON,PER,they
551,1129,1130,NOM,PER,mutual friends
168,1133,1133,PROP,PER,Dylan
552,1135,1136,NOM,LOC,the world
168,1139,1139,PRON,PER,he
553,1144,1176,NOM,FAC,"a real - life drag bar where all the drag queens are dressed as different fantasy races like elves and trolls , which is a thing I ’ve never remotely expressed interest in"
554,1151,1154,NOM,PER,all the drag queens
0,1170,1170,PRON,PER,I
0,1178,1178,PRON,PER,I
555,1182,1182,NOM,PER,people
0,1187,1187,PRON,PER,I
174,1193,1193,PROP,PER,Mario
174,1202,1202,PRON,PER,He
556,1204,1211,NOM,PER,another white - passing Puerto Rican like me
0,1211,1211,PRON,PER,me
174,1214,1214,PRON,PER,his
557,1214,1215,NOM,PER,his parents
174,1218,1218,PRON,PER,him
0,1222,1222,PRON,PER,mine
174,1224,1224,PRON,PER,He
174,1231,1231,PRON,PER,his
174,1236,1236,PRON,PER,he
558,1239,1240,NOM,PER,no studio
174,1243,1243,PRON,PER,him
559,1248,1249,NOM,PER,6 people
174,1251,1251,PRON,PER,he
560,1253,1253,NOM,PER,others
174,1260,1260,PRON,PER,his
557,1260,1261,NOM,PER,his parents
557,1265,1265,PRON,PER,themselves
0,1272,1272,PRON,PER,me
0,1278,1278,PRON,PER,myself
0,1281,1281,PRON,PER,I
174,1292,1292,PRON,PER,he
0,1296,1296,PRON,PER,my
562,1296,1298,NOM,PER,my personal teacher
0,1300,1300,PRON,PER,I
174,1306,1306,PRON,PER,him
168,1312,1312,PROP,PER,Dylan
369,1314,1314,PROP,PER,Samantha
174,1326,1326,PROP,PER,Mario
563,1331,1331,PRON,PER,us
174,1333,1333,PRON,PER,He
0,1336,1336,PRON,PER,my
564,1336,1337,NOM,PER,my boyfriend
174,1340,1340,PRON,PER,he
565,1345,1346,NOM,PER,a friend
0,1358,1358,PRON,PER,I
174,1363,1363,PRON,PER,him
0,1383,1383,PRON,PER,I
174,1393,1393,PRON,PER,him
0,1395,1395,PRON,PER,my
545,1395,1396,NOM,PER,my friends
