start_token,end_token,supersense_category,text
6,6,noun.person,BECKY
7,7,noun.person,ALBERTALLI
9,10,noun.person,ADAM SILVERA
18,19,noun.person,BECKY ALBERTALLI
51,51,noun.person,ADAM
68,68,noun.location,End
72,72,verb.change,Die
75,76,noun.location,End Infinity
83,84,noun.person,ADAM SILVERA
89,96,noun.group,BALZER + BRAY Qp ill Tree Books Imprints
98,102,noun.group,HarperCollins Publishers Balzer + Bray
103,103,verb.stative,is
105,105,noun.communication,imprint
107,108,noun.group,HarperCollins Publishers
110,112,noun.group,Quill Tree Books
113,113,verb.stative,is
115,115,noun.artifact,imprint
117,118,noun.group,HarperCollins Publishers
128,129,noun.person,Becky Albertalli
131,132,noun.person,Adam Silvera
140,141,noun.location,United States
143,143,noun.location,America
146,146,noun.relation,part
149,149,noun.communication,book
152,152,verb.consumption,used
154,154,verb.social,reproduced
157,157,noun.attribute,manner
160,161,noun.communication,written permission
165,165,noun.state,case
168,168,noun.communication,quotations
169,169,verb.stative,embodied
172,172,noun.communication,articles
174,174,noun.communication,reviews
178,178,noun.communication,address
185,185,noun.group,division
187,188,noun.group,HarperCollins Publishers
191,191,noun.location,Broadway
193,194,noun.location,New York
196,196,noun.location,NY
210,210,noun.act,Typography
212,213,noun.person,Erin Fitzsimmons
226,226,noun.communication,edition
230,231,noun.person,David Arnold
233,234,noun.person,Jasmine Warga
238,238,noun.cognition,stars
242,245,noun.group,universe START OF BOOK
250,252,noun.group,SLATE AND START
256,257,noun.location,BEN Saturday
259,259,noun.time,May
267,267,noun.communication,question
268,268,verb.stative,lives
271,271,noun.body,head
274,275,verb.cognition,think about
279,280,verb.emotion,feel like
287,288,noun.time,long time
292,292,noun.artifact,box
295,296,noun.communication,shipping label
297,298,verb.change,torn off
304,304,verb.cognition,think
305,305,noun.Tops,someone
308,308,verb.possession,found
313,313,verb.contact,cut
316,316,noun.artifact,box
319,322,noun.artifact,duct - tape seal
324,324,verb.change,cracked
330,330,noun.attribute,light
332,332,noun.substance,air
334,334,noun.time,Good
336,336,noun.time,morning
337,337,noun.communication,texts
339,339,noun.communication,sleepovers
342,342,noun.communication,Spanish
344,344,noun.act,kisses
346,347,noun.person,Mario Colon
352,352,verb.motion,entered
354,355,noun.artifact,train station
357,357,noun.person,Mario
358,358,verb.communication,texted
362,362,noun.artifact,photo
367,367,noun.person,dentist
369,369,noun.artifact,chair
373,373,verb.body,wearing
376,378,noun.artifact,T - shirt
381,381,noun.artifact,overalls
384,384,noun.artifact,strap
385,385,verb.contact,hanging
393,393,noun.person,Mario
394,394,verb.cognition,reboot
396,396,noun.object,world
397,397,verb.stative,deserves
401,401,noun.body,skin
402,402,verb.stative,is
409,409,verb.change,grow
411,411,noun.body,body
412,412,noun.body,hair
415,415,verb.emotion,bums
421,421,verb.cognition,thinks
424,424,verb.perception,look
427,427,noun.person,Lin
429,430,noun.person,Manuel Miranda
432,432,noun.body,beard
436,436,noun.body,hair
437,437,verb.stative,is
443,443,noun.artifact,office
444,444,noun.phenomenon,light
447,447,verb.perception,catching
449,449,noun.attribute,glow
453,453,noun.body,eyes
456,456,noun.body,tongue
458,458,verb.contact,hanging
462,462,noun.location,corner
465,465,noun.body,lips
472,472,verb.stative,being
476,476,verb.communication,makes
478,478,verb.emotion,want
480,480,verb.contact,kiss
486,486,noun.event,time
490,490,verb.social,working
494,495,noun.communication,creative writing
496,496,noun.act,homework
502,502,noun.event,times
504,504,noun.time,then
510,510,verb.contact,swipe
514,514,noun.artifact,photo
516,516,verb.communication,sent
519,519,noun.communication,response
523,523,verb.social,take
526,526,noun.person,selfies
529,529,verb.cognition,feel
531,531,verb.stative,is
532,532,noun.person,Mario
542,542,noun.group,league
548,548,verb.stative,be
552,552,noun.artifact,train
554,555,verb.motion,pulling up
558,558,verb.contact,angled
560,560,noun.artifact,phone
564,564,verb.change,making
567,567,noun.communication,T
569,569,noun.artifact,shirt
571,571,verb.creation,made
573,573,verb.stative,was
578,579,noun.group,high school
580,580,noun.act,graduation
582,582,noun.person,Mario
584,584,noun.person,parents
585,585,verb.possession,gave
588,590,noun.artifact,T - shirt
591,591,noun.artifact,printer
594,594,verb.emotion,wanted
596,596,verb.change,add
598,598,noun.attribute,flavor
601,601,noun.artifact,clothes
604,604,noun.time,week
606,606,verb.cognition,surprised
613,613,noun.artifact,shirts
615,615,verb.stative,have
618,618,noun.communication,lettering
621,621,noun.artifact,cover
622,622,noun.person,Samantha
623,623,verb.creation,created
627,627,verb.consumption,use
629,629,noun.communication,Wattpad
632,632,noun.communication,T
634,634,noun.artifact,shirt
635,635,verb.stative,was
639,639,noun.possession,gift
643,643,verb.possession,has
645,645,verb.cognition,judging
649,649,noun.communication,photos
658,658,noun.person,Mario
661,661,verb.social,met
664,664,noun.time,beginning
666,667,noun.time,freshman year
671,672,noun.communication,creative writing
673,673,noun.cognition,class
680,680,verb.stative,was
684,685,verb.stative,turn out
687,687,verb.stative,be
689,692,noun.person,Very Serious Fiction Writer
696,696,noun.person,slam
697,697,noun.person,poet
701,701,noun.person,Mario
702,702,verb.stative,is
704,704,noun.person,screenwriter
708,708,verb.creation,writing
709,709,noun.communication,scripts
712,712,verb.stative,was
714,714,noun.time,years
718,718,verb.change,getting
720,720,noun.state,trouble
722,723,noun.group,middle school
725,725,verb.communication,formatting
727,727,noun.act,homework
728,728,noun.act,assignments
731,731,noun.communication,TV
732,732,noun.event,episode
735,735,verb.stative,was
738,738,noun.person,person
741,741,noun.person,ex
743,743,noun.person,Arthur
746,747,verb.communication,zeroed in
752,752,verb.perception,notice
757,757,verb.motion,come
759,759,noun.group,class
763,763,verb.emotion,admire
766,767,verb.body,pulls off
768,768,noun.body,overalls
773,773,verb.emotion,liked
775,775,noun.body,turtlenecks
777,777,verb.body,wore
779,779,noun.time,winter
783,783,verb.stative,was
787,787,noun.act,work
790,790,noun.attribute,way
795,795,verb.contact,wrap
797,797,noun.body,head
812,812,verb.stative,were
821,821,noun.body,head
823,823,noun.person,Arthur
828,828,verb.social,try
830,830,verb.change,get
837,837,noun.artifact,what
840,840,verb.stative,are
842,842,noun.person,Mario
847,847,verb.change,become
849,849,noun.person,boyfriends
853,853,noun.person,friends
855,855,verb.contact,kiss
857,858,verb.contact,hang out
862,863,verb.motion,headed to
864,865,noun.location,Central Park
867,868,verb.motion,catch up
872,872,noun.person,friend
874,874,noun.person,Dylan
878,878,noun.person,girlfriend
880,880,noun.person,Samantha
886,886,noun.event,time
887,887,verb.perception,seeing
893,893,noun.time,holidays
899,900,verb.motion,come home
902,902,noun.group,school
904,905,noun.time,spring break
911,911,verb.body,have
913,913,noun.act,game
914,914,noun.time,night
915,915,noun.time,yesterday
918,918,noun.person,Dylan
919,919,verb.communication,claims
922,922,verb.body,feeling
936,936,noun.time,hour
937,937,noun.attribute,difference
939,939,noun.location,Chicago
941,942,noun.location,New York
945,945,verb.social,let
950,950,noun.person,Dylan
953,953,verb.stative,been
956,956,noun.attribute,way
959,959,verb.stative,spend
961,961,noun.relation,rest
964,964,noun.artifact,train
965,965,noun.act,ride
966,967,verb.creation,jotting down
968,968,noun.cognition,ideas
972,972,noun.artifact,pocket
975,975,noun.communication,notebook
979,979,noun.communication,chapter
982,983,noun.communication,fantasy novel
991,991,verb.change,finished
992,992,verb.creation,drafting
994,994,noun.communication,book
1000,1000,verb.change,became
1004,1004,noun.communication,story
1005,1005,verb.stative,was
1009,1009,noun.location,place
1014,1014,noun.event,moments
1017,1017,verb.cognition,reserved
1019,1019,noun.communication,sequels
1023,1023,verb.change,happen
1028,1028,noun.cognition,characters
1029,1029,verb.creation,inspired
1032,1032,noun.person,friends
1034,1034,noun.person,ex
1036,1036,noun.person,boyfriends
1042,1042,verb.change,developed
1046,1046,noun.group,people
1049,1049,noun.group,circle
1052,1052,noun.time,forever
1053,1053,noun.feeling,mood
1055,1055,verb.creation,writing
