COREF,start_token,end_token,prop,cat,text
165,2,4,PROP,PER,SARAH J. MAAS
1,6,10,PROP,FAC,COURT OF THORNS AND ROSES
165,13,13,PROP,PER,Maas
165,15,15,PRON,PER,her
5930,24,24,NOM,PER,people
5931,27,27,NOM,PER,someone
165,30,30,PRON,PER,her
5930,32,32,PRON,PER,they
5930,40,40,PRON,PER,them
2,44,45,PROP,GPE,New York
3,46,46,PROP,ORG,Times
166,49,50,PROP,PER,Christina Lauren
4,65,65,PROP,GPE,York
167,69,70,PROP,PER,Sarah MacLean
5932,151,158,NOM,PER,"fans of dark , lush , sexy fantasy"
465,188,199,NOM,FAC,MAAS THE COURT OF THORNS AND ROSES SERIES A Court of Thorns
5,201,201,PROP,GPE,Roses
466,202,217,NOM,GPE,A Court of Mist and Fury A Court of Wings and Ruin A Court of Frost
6,219,219,PROP,GPE,Starlight
467,220,230,NOM,GPE,A Court of Silver Flames A Court of Thorns and Roses
468,233,235,NOM,GPE,THE CRESCENT CITY
469,237,239,NOM,GPE,House of Earth
470,241,251,NOM,ORG,Blood House of Sky and Breath THE THRONE OF GLASS SERIES
470,241,251,NOM,PER,Blood House of Sky and Breath THE THRONE OF GLASS SERIES
472,252,281,NOM,FAC,The Assassins Blade Throne of Glass Crown of Midnight Heir of Fire Queen of Shadows Empire of Storms Tower of Dawn Kingdom of Ash The Throne of Glass Coloring Book
7,282,288,PROP,FAC,BLOOMSBURY PUBLISHING Bloomsbury Publishing Inc. 1385 Broadway
2,290,291,PROP,GPE,New York
8,293,293,PROP,GPE,NY
9,296,296,PROP,GPE,USA
10,298,299,PROP,FAC,Earlsfort Terrace
11,301,301,PROP,GPE,Dublin
12,304,305,PROP,GPE,Ireland BLOOMSBURY
13,307,308,PROP,FAC,BLOOMSBURY PUBLISHING
14,317,319,PROP,FAC,Bloomsbury Publishing Pic
15,323,325,PROP,GPE,the United States
473,390,391,NOM,PER,the publishers
16,432,434,PROP,ORG,Library of Congress
17,453,454,PROP,GPE,Great Britain
18,456,456,PROP,GPE,CPI
19,458,458,PROP,GPE,UK
20,462,463,PROP,FAC,Croydon CR0
474,470,470,PRON,PER,our
475,470,471,NOM,PER,our authors
474,480,480,PRON,PER,our
168,486,488,PROP,PER,Sarah J. Maas
21,490,490,PROP,GPE,Bloomsbury
165,519,519,PROP,GPE,Nesta
476,524,527,NOM,LOC,the mountain And for
169,528,528,PROP,PER,Josh
23,530,531,PROP,LOC,Tar an
170,534,534,PROP,PER,Annie
0,540,540,PRON,PER,I
0,543,543,PRON,PER,my
477,545,555,NOM,GPE,A COURT OF SILVER FLAMES Sarah J. Mass START OF BOOK
478,561,561,PRON,PER,her
478,613,613,PRON,PER,she
478,616,616,PRON,PER,she
478,625,625,PRON,PER,her
25,627,628,PROP,LOC,that Cauldron
171,636,636,PROP,PER,Elain
479,643,652,NOM,PER,"the red - haired , one - eyed Fae male"
171,655,655,PRON,PER,her
478,664,664,PRON,PER,her
480,664,665,NOM,PER,her sister
171,679,679,PROP,PER,Elain
171,695,695,PRON,PER,her
171,699,699,PRON,PER,her
481,702,707,NOM,PER,the hard - faced Fae king
482,720,727,NOM,PER,the male who had done this to Elain
171,727,727,PROP,PER,Elain
478,731,731,PRON,PER,She
478,733,733,PRON,PER,she
25,737,738,PROP,LOC,the Cauldron
478,741,741,PRON,PER,she
483,748,749,NOM,PER,no one
478,754,754,PRON,PER,her
172,757,758,PROP,PER,sobbing Feyre
172,761,761,PROP,PER,Feyre
484,761,765,NOM,PER,Feyre ’s gagged former lover
172,768,768,PRON,PER,her
485,768,771,NOM,PER,her devastated new mate
168,773,775,PROP,PER,SARAH J. MAAS
173,777,777,PROP,PER,Cassian
486,786,787,NOM,PER,The warrior
478,799,799,PRON,PER,her
487,801,804,NOM,PER,The King of Hybern
179,804,804,PROP,GPE,Hybern
487,806,806,PRON,PER,he
171,812,812,PROP,GPE,Elain
173,815,815,PROP,GPE,Cassian
478,819,819,PRON,PER,her
478,829,829,PRON,PER,her
478,847,847,PRON,PER,her
478,852,852,PRON,PER,She
478,858,858,PRON,PER,she
478,867,867,PRON,PER,her
478,874,874,PRON,PER,her
478,877,877,PRON,PER,She
478,881,881,PRON,PER,her
488,885,903,NOM,PER,the guard who held it . And Nesta Archeron pointed . One finger — at the King of Hybern
165,892,893,PROP,PER,Nesta Archeron
487,900,903,NOM,PER,the King of Hybern
179,903,903,PROP,GPE,Hybern
490,910,912,NOM,PER,A target marked
175,914,914,PROP,PER,Hands
478,916,916,PRON,PER,her
165,924,924,PROP,PER,Nesta
491,932,933,NOM,PER,the king
478,941,941,PRON,PER,her
478,957,957,PRON,PER,She
478,964,964,PRON,PER,she
492,967,978,NOM,LOC,"a sea that had no bottom , no horizon , no surface"
478,981,981,PRON,PER,she
493,989,991,NOM,PER,a serene youth
478,1003,1003,PRON,PER,her
478,1007,1007,PRON,PER,her
478,1018,1018,PRON,PER,her
478,1029,1029,PRON,PER,she
478,1031,1031,PRON,PER,her
478,1040,1040,PRON,PER,her
494,1055,1056,NOM,GPE,this place
495,1064,1064,PRON,PER,They
