start_token,end_token,supersense_category,text
2,4,noun.person,SARAH J. MAAS
6,8,noun.group,COURT OF THORNS
11,11,noun.communication,SERIES
13,13,noun.person,Maas
14,14,verb.change,transcends
16,16,noun.cognition,genre
24,24,noun.group,people
25,25,verb.communication,ask
29,29,verb.cognition,read
33,33,verb.communication,ask
35,35,noun.communication,book
36,36,verb.change,started
44,45,noun.location,New York
48,48,noun.person,author
49,50,noun.person,Christina Lauren
64,66,noun.group,New York Times
68,68,noun.person,author
69,70,noun.person,Sarah MacLean
79,80,noun.group,Entertainment Weekly
83,83,verb.emotion,dazzles
90,90,noun.act,review
102,102,noun.location,USA
105,105,noun.state,Suspense
107,107,noun.state,romance
109,109,noun.feeling,intrigue
111,111,noun.act,action
114,114,verb.stative,is
117,117,noun.communication,book
120,120,verb.emotion,missed
137,137,noun.event,feast
140,140,noun.cognition,senses
144,144,noun.location,USA
149,149,noun.location,spot
151,151,noun.person,fans
158,158,noun.cognition,fantasy
169,169,noun.communication,read
173,174,noun.group,Publishers Weekly
183,184,noun.group,Bustle BOOKS
186,188,noun.person,SARAH J. MAAS
197,199,noun.group,Court of Thorns
203,205,noun.group,Court of Mist
209,209,noun.location,Court
213,213,noun.location,Ruin
215,215,noun.location,Court
217,217,noun.substance,Frost
221,221,noun.location,Court
223,224,noun.substance,Silver Flames
226,227,noun.group,Court of
228,228,noun.substance,Thorns
231,238,noun.group,Coloring Book THE CRESCENT CITY SERIES House of
239,239,noun.substance,Earth
241,244,noun.group,Blood House of Sky
246,246,noun.substance,Breath
248,251,noun.group,THRONE OF GLASS SERIES
253,261,noun.group,Assassins Blade Throne of Glass Crown of Midnight Heir
263,264,noun.person,Fire Queen
266,267,noun.group,Shadows Empire
269,270,noun.location,Storms Tower
272,273,noun.location,Dawn Kingdom
279,286,noun.group,Glass Coloring Book BLOOMSBURY PUBLISHING Bloomsbury Publishing Inc.
288,288,noun.location,Broadway
290,291,noun.location,New York
293,293,noun.location,NY
296,296,noun.location,USA
