COREF,start_token,end_token,prop,cat,text
128,2,2,PROP,PER,Aristotle
151,4,4,PROP,PER,Dante
1,9,10,PROP,LOC,the Universe
3360,71,72,NOM,PER,the author
130,95,95,PRON,PER,my
130,114,114,PRON,PER,I
130,125,125,PRON,PER,I
130,128,128,PRON,PER,I
130,134,134,PRON,PER,myself
130,139,139,PRON,PER,I
130,146,147,PROP,PER,James Howe
131,151,151,PROP,PER,Addie
132,156,156,PRON,PER,I
3361,162,162,PRON,PER,It
132,189,190,PROP,PER,Michael Cart
2,195,195,PROP,GPE,YALSA
133,200,203,PROP,PER,Benjamin Alire Saenz Aristotle
151,205,205,PROP,PER,Dante
1,210,211,PROP,LOC,the Universe
0,216,216,PRON,PER,My
151,220,220,PROP,PER,Dante
348,226,227,NOM,LOC,the World
134,228,233,PROP,PER,BENJAMIN ALIRE SAENZ SIMON & SCHUSTER
3,237,238,PROP,GPE,Great Britain
349,250,251,NOM,GPE,the USA
4,255,258,PROP,FAC,Simon & Schuster BFYR
5,263,269,PROP,FAC,Simon & Schuster Children ’s Publishing Division
6,271,272,PROP,FAC,1230 Avenue
7,274,275,PROP,LOC,the Americas
8,277,278,PROP,GPE,New York
8,280,281,PROP,GPE,New York
134,312,314,PROP,PER,Benjamin Alire Saenz
350,319,323,NOM,PER,the author of this work
134,328,328,PRON,PER,him
9,354,358,PROP,FAC,Schuster UK Ltd 1st Floor
10,361,364,PROP,FAC,Gray ’s Inn Road
11,365,365,PROP,GPE,London
12,380,380,PROP,GPE,Australia
13,382,382,PROP,GPE,Sydney
14,386,386,PROP,GPE,India
15,388,388,PROP,GPE,New
16,389,389,PROP,GPE,Delhi
3360,457,458,NOM,PER,the author
17,486,487,PROP,ORG,CPI Group
18,493,493,PROP,GPE,Croydon
352,501,509,NOM,FAC,responsible sources FSC * C171272 START OF BOOK EVERYWHERE
0,510,510,PRON,PER,I
0,514,514,PRON,PER,I
353,517,517,NOM,PER,everybody
354,525,525,NOM,PER,Mothers
355,527,527,NOM,PER,fathers
356,529,529,NOM,PER,teachers
357,531,531,NOM,PER,singers
358,533,533,NOM,PER,musicians
359,535,535,NOM,PER,poets
360,537,537,NOM,PER,writers
361,539,539,NOM,PER,friends
362,550,551,NOM,LOC,the ocean
363,590,591,NOM,LOC,a stream
364,612,612,PRON,PER,we
364,615,615,PRON,PER,our
364,621,621,PRON,PER,we
364,630,630,PRON,PER,we
364,634,634,PRON,PER,we
364,641,641,PRON,PER,we
364,647,647,PRON,PER,we
365,658,658,PRON,PER,you
365,662,662,PRON,PER,you
365,669,669,PRON,PER,you
365,675,675,PRON,PER,you
366,677,680,NOM,GPE,a country called Belonging
0,687,687,PRON,PER,I
151,690,690,PROP,PER,Dante
0,692,692,PRON,PER,I
364,699,699,PRON,PER,our
348,705,706,NOM,LOC,the world
368,708,709,NOM,PER,Other people
368,717,717,PRON,PER,they
368,722,722,PRON,PER,they
368,730,730,PRON,PER,they
0,736,736,PRON,PER,me
151,738,738,PROP,PER,Dante
368,746,746,PRON,PER,They
364,748,748,PRON,PER,us
368,753,753,PRON,PER,they
364,757,757,PRON,PER,us
364,763,763,PRON,PER,we
364,765,765,PRON,PER,our
364,775,775,PRON,PER,we
369,777,777,PRON,PER,them
151,782,782,PRON,PER,HE
151,785,785,PROP,PER,DANTE
151,788,788,PRON,PER,HIS
0,792,792,PRON,PER,my
151,808,808,PROP,PER,Dante
370,816,817,NOM,LOC,the universe
371,829,835,NOM,PER,two boys who had discovered its secrets
0,838,838,PRON,PER,I
151,843,843,PROP,PER,Dante
0,850,850,PRON,PER,my
0,853,853,PRON,PER,I
0,855,855,PRON,PER,I
0,860,860,PRON,PER,my
0,865,865,PRON,PER,my
151,870,870,PROP,PER,Dante
0,891,891,PRON,PER,my
0,900,900,PRON,PER,my
0,904,904,PRON,PER,my
0,914,914,PRON,PER,I
0,917,917,PRON,PER,I
0,927,927,PRON,PER,I
151,931,931,PRON,PER,HIM
372,940,940,PRON,PER,We
0,948,948,PRON,PER,my
373,948,949,NOM,FAC,my pickup
372,964,964,PRON,PER,we
374,968,968,NOM,FAC,home
372,971,971,PRON,PER,our
375,971,972,NOM,PER,our parents
0,977,977,PRON,PER,I
151,982,982,PRON,PER,his
151,986,986,PROP,PER,Dante
151,988,988,PROP,PER,Dante
151,995,995,PRON,PER,I
151,1005,1005,PRON,PER,he
372,1009,1009,PRON,PER,We
374,1013,1013,NOM,FAC,home
0,1017,1017,PRON,PER,I
374,1020,1020,NOM,FAC,home
0,1022,1022,PRON,PER,I
151,1025,1025,PRON,PER,you
0,1030,1030,PRON,PER,me
151,1055,1055,PRON,PER,your
3364,1055,1056,NOM,PER,your mother
372,1061,1061,PRON,PER,us
151,1064,1064,PROP,PER,Dante
3364,1068,1068,PRON,PER,She
372,1072,1072,PRON,PER,us
372,1074,1074,PRON,PER,We
3364,1080,1080,PRON,PER,her
0,1084,1084,PRON,PER,I
151,1086,1086,PRON,PER,him
376,1089,1089,PRON,PER,we
151,1100,1100,PRON,PER,He
0,1102,1102,PRON,PER,my
0,1107,1107,PRON,PER,you
151,1110,1110,PRON,PER,me
0,1120,1120,PRON,PER,you
151,1122,1122,PRON,PER,me
151,1131,1131,PRON,PER,I
0,1133,1133,PRON,PER,you
151,1139,1139,PRON,PER,I
151,1143,1143,PRON,PER,I
151,1145,1145,PRON,PER,I
151,1152,1152,PRON,PER,me
151,1154,1154,PROP,PER,Dante
151,1156,1156,PRON,PER,You
151,1168,1168,PRON,PER,me
135,1179,1179,PROP,PER,Ari
0,1189,1189,PRON,PER,you
151,1195,1195,PRON,PER,He
0,1203,1203,PRON,PER,I
151,1206,1206,PRON,PER,him
151,1210,1210,PRON,PER,him
0,1213,1213,PRON,PER,I
0,1219,1219,PRON,PER,I
151,1222,1222,PRON,PER,him
151,1224,1224,PRON,PER,He
0,1228,1228,PRON,PER,You
151,1239,1239,PRON,PER,me
0,1246,1246,PRON,PER,I
151,1258,1258,PRON,PER,he
3365,1262,1262,PRON,PER,We
0,1271,1271,PRON,PER,I
0,1281,1281,PRON,PER,I
151,1284,1284,PRON,PER,you
0,1288,1288,PRON,PER,me
151,1290,1290,PROP,PER,Dante
151,1293,1293,PRON,PER,you
