start_token,end_token,supersense_category,text
11,16,noun.group,A Printz Honor Book Stonewall Book
18,19,noun.group,Pura Belpre
29,29,noun.communication,exploration
31,31,noun.attribute,identity
33,33,noun.attribute,sexuality
38,38,noun.communication,reminder
40,40,noun.feeling,love
48,48,verb.stative,be
55,55,noun.feeling,shame
62,62,noun.cognition,review
65,65,noun.communication,pacing
69,69,noun.communication,characters
70,70,verb.stative,underpin
72,72,noun.person,author
74,74,noun.cognition,gift
76,76,noun.act,affecting
77,77,noun.communication,prose
79,79,verb.cognition,illuminates
81,81,noun.state,struggles
83,83,noun.act,relationships
90,90,noun.communication,review
93,93,noun.communication,book
94,94,verb.change,took
96,96,noun.act,breath
97,97,verb.perception,away
101,101,noun.act,writing
110,110,verb.stative,suffice
113,113,verb.communication,say
118,118,verb.communication,recommending
130,130,verb.change,re
132,132,verb.cognition,read
137,137,noun.state,point
140,140,verb.emotion,hated
143,143,verb.change,end
146,147,noun.person,James Howe
149,149,noun.person,Author
166,166,noun.communication,story
170,170,verb.communication,told
182,182,noun.communication,book
183,183,verb.stative,is
189,190,noun.person,Michael Cart
193,193,noun.person,columnist
195,195,noun.group,YALSA
197,197,noun.person,president
200,201,noun.location,Benjamin Alire
202,203,noun.group,Saenz Aristotle
224,224,noun.location,Waters
227,229,noun.location,World BENJAMIN ALIRE
230,233,noun.group,SAENZ SIMON & SCHUSTER
235,235,verb.creation,published
237,238,noun.location,Great Britain
248,248,verb.creation,published
251,251,noun.location,USA
255,258,noun.group,Simon & Schuster BFYR
261,261,noun.cognition,imprint
272,272,noun.location,Avenue
277,278,noun.location,New York
280,281,noun.location,New York
284,284,noun.communication,Text
285,285,noun.communication,copyright
287,287,noun.time,2021
292,292,noun.communication,book
294,294,noun.communication,copyright
297,298,noun.location,Berne Convention
301,301,noun.communication,reproduction
303,303,noun.communication,permission
310,310,noun.attribute,right
312,314,noun.person,Benjamin Alire Saenz
317,317,verb.cognition,identified
320,320,noun.person,author
323,323,noun.artifact,work
326,326,verb.communication,asserted
330,330,noun.communication,accordance
332,332,noun.communication,sections
348,348,noun.quantity,9
349,349,noun.quantity,10
352,352,noun.communication,Simon
354,356,noun.group,Schuster UK Ltd
363,365,noun.location,Inn Road London
368,369,noun.group,www.simonandschuster.co.uk www
371,371,noun.group,simonandschuster
376,380,noun.group,www.simonandschuster.co.in Simon & Schuster Australia
382,382,noun.location,Sydney
383,386,noun.group,Simon & Schuster India
388,389,noun.location,New Delhi
392,392,noun.communication,catalogue
393,393,noun.communication,record
396,396,noun.communication,book
397,397,verb.stative,is
436,436,noun.quantity,5
438,438,noun.communication,book
439,439,verb.stative,is
441,441,noun.artifact,work
443,443,noun.communication,fiction
445,445,noun.communication,Names
447,447,noun.communication,characters
449,449,noun.location,places
451,451,noun.event,incidents
452,452,verb.stative,are
455,455,noun.artifact,product
458,458,noun.person,author
460,460,noun.cognition,imagination
463,463,verb.consumption,used
467,467,noun.attribute,resemblance
470,470,noun.group,people
471,471,verb.stative,living
473,473,noun.state,dead
475,475,noun.event,events
477,477,noun.communication,locales
478,478,verb.stative,is
486,487,noun.group,CPI Group
489,489,noun.location,UK
493,493,noun.location,Croydon
502,502,noun.location,sources
515,515,verb.motion,went
521,521,verb.communication,say
523,523,noun.feeling,love
525,525,noun.person,Mothers
527,527,noun.person,fathers
529,529,noun.person,teachers
531,531,noun.person,singers
533,533,noun.person,musicians
535,535,noun.person,poets
537,537,noun.person,writers
539,539,noun.person,friends
542,542,verb.stative,was
545,545,noun.substance,air
548,548,verb.stative,was
551,551,noun.object,ocean
554,554,verb.stative,was
557,557,noun.object,sun
560,560,verb.stative,was
563,563,noun.plant,leaves
566,566,noun.plant,tree
568,568,noun.time,summer
571,571,verb.stative,was
574,574,noun.phenomenon,rain
576,576,verb.contact,broke
578,578,noun.attribute,drought
581,581,verb.stative,was
584,584,noun.attribute,sound
587,587,noun.substance,water
588,589,verb.motion,flowing through
591,591,noun.object,stream
595,595,verb.stative,was
597,597,noun.attribute,sound
600,600,verb.contact,crashing
601,601,noun.event,waves
604,604,noun.object,shore
607,607,noun.phenomenon,storm
609,609,noun.feeling,Love
610,610,verb.stative,was
613,613,verb.competition,fought
616,616,noun.act,battles
618,618,noun.feeling,Love
619,619,verb.stative,was
622,622,verb.stative,lived
624,624,verb.change,died
628,628,verb.stative,was
631,631,verb.emotion,dreamed
635,635,verb.body,slept
638,638,verb.stative,was
640,640,noun.substance,air
644,644,verb.consumption,breathe
648,648,verb.body,woke
650,650,verb.communication,greet
652,652,noun.time,day
654,654,noun.feeling,Love
655,655,verb.stative,was
657,657,noun.artifact,torch
659,659,verb.contact,carried
661,661,verb.motion,lead
665,665,noun.state,darkness
667,667,noun.person,Love
668,668,verb.motion,took
674,674,verb.contact,carried
678,678,noun.location,country
680,680,noun.location,Belonging
682,682,verb.social,Discovering
688,688,verb.cognition,wondered
690,690,noun.person,Dante
696,696,verb.social,allowed
698,698,verb.creation,write
700,700,noun.communication,names
703,703,noun.artifact,map
706,706,noun.object,world
709,709,noun.group,people
711,711,verb.possession,given
712,713,noun.communication,writing instruments
718,719,verb.stative,go to
720,720,noun.group,school
724,724,verb.communication,taught
726,726,verb.consumption,use
733,733,verb.communication,give
734,734,noun.person,boys
738,738,noun.person,Dante
739,739,noun.artifact,pencils
741,741,noun.artifact,pens
743,744,noun.artifact,spray paint
747,747,verb.emotion,want
750,750,verb.cognition,read
756,756,verb.emotion,want
759,759,verb.creation,write
764,764,verb.communication,write
766,766,noun.communication,names
773,773,noun.artifact,map
776,776,verb.creation,write
785,785,noun.person,DANTE
789,789,noun.body,HEAD
790,790,verb.contact,RESTING
793,793,noun.body,chest
797,797,noun.attribute,stillness
800,800,noun.time,dawn
806,806,noun.cognition,sound
808,808,noun.person,Dante
810,810,noun.act,breathing
817,817,noun.object,universe
819,819,verb.social,stopped
823,823,verb.social,doing
826,827,verb.perception,look down
830,830,noun.person,boys
833,833,verb.cognition,discovered
835,835,noun.communication,secrets
839,839,verb.perception,felt
841,841,noun.event,beating
843,843,noun.person,Dante
845,845,noun.body,heart
848,848,noun.body,palm
851,851,noun.body,hand
854,854,verb.emotion,wished
858,858,verb.stative,reach
861,861,noun.body,chest
