COREF,start_token,end_token,prop,cat,text
1,3,20,PROP,GPE,City of Ashes Book Two CASSANDRA CLARE Margaret K. McElderry Books New York London Toronto Sydney New Delhi
2,14,15,PROP,GPE,New York
3,16,16,PROP,GPE,London
4,17,17,PROP,GPE,Toronto
5,20,20,PROP,GPE,Delhi
148,21,23,PROP,PER,MARGARET K. McELDERRY
6,31,39,PROP,FAC,Children ’s Publishing Division 1230 Avenue of the Americas
7,38,39,PROP,LOC,the Americas
2,41,42,PROP,GPE,New York
2,44,45,PROP,GPE,New York
399,61,62,NOM,PER,real people
400,83,84,NOM,PER,the author
148,162,162,PROP,PER,Margaret
401,202,207,NOM,FAC,The Simon & Schuster Speakers Bureau
402,210,210,NOM,PER,authors
403,212,212,PRON,PER,your
401,226,231,NOM,PER,the Simon & Schuster Speakers Bureau
405,242,242,PRON,PER,our
149,260,261,PROP,PER,Russell Gordon
150,265,266,PROP,PER,Mike Rosamilia
8,284,287,PROP,GPE,the United States of
9,288,288,PROP,GPE,America
10,307,310,PROP,ORG,The Library of Congress
151,319,319,PROP,PER,Clare
151,327,328,PROP,PER,Cassandra Clare
152,354,354,PROP,PER,Clary
152,368,368,PRON,PER,her
152,371,371,PRON,PER,she
153,376,377,PROP,PER,the Shadowhunters
153,379,379,PRON,PER,their
152,389,389,PRON,PER,her
406,389,390,NOM,PER,her parents
152,392,392,PRON,PER,her
407,392,393,NOM,PER,her brother
235,394,394,PROP,PER,Jace
152,397,397,PRON,PER,her
408,397,398,NOM,PER,her boyfriend
155,399,399,PROP,PER,Simon
2,448,449,PROP,GPE,New York
0,477,477,PRON,PER,my
409,477,478,NOM,PER,my father
156,492,493,PROP,PER,Foreword AU
235,502,503,PROP,PER,Jace Wayland
152,505,505,PROP,PER,Clary
410,516,518,NOM,GPE,City of Bones
235,520,520,PROP,PER,Jace
235,533,533,PRON,PER,He
152,537,537,PRON,PER,she
411,546,546,NOM,PER,vampires
412,548,548,NOM,PER,werewolves
413,550,550,NOM,PER,faeries
414,575,576,NOM,LOC,the world
415,580,580,PRON,PER,them
235,582,582,PRON,PER,He
416,587,587,PRON,PER,we
416,590,590,PRON,PER,our
416,596,596,PRON,PER,we
417,598,599,NOM,PER,the heroes
418,606,614,NOM,PER,good people who rise up to defeat the evil
152,628,628,PROP,PER,Clary
410,630,632,NOM,FAC,City of Bones
11,632,632,PROP,GPE,Bones
152,640,640,PRON,PER,she
12,643,645,PROP,GPE,New York City
152,661,661,PRON,PER,her
0,670,670,PRON,PER,I
410,675,677,NOM,GPE,City of Bones
0,679,679,PRON,PER,I
411,686,686,NOM,PER,vampires
422,690,690,NOM,PER,warlocks
0,693,693,PRON,PER,I
423,703,705,NOM,PER,angels and demons
0,707,707,PRON,PER,I
157,714,714,PROP,PER,Dante
158,718,719,PROP,PER,Mike Carey
0,723,723,PRON,PER,I
424,730,731,NOM,PER,human beings
0,750,750,PRON,PER,I
425,764,764,NOM,PER,people
426,766,767,NOM,PER,each other
427,790,797,NOM,PER,angels so powerful that one look at them
428,800,800,PRON,PER,you
159,802,802,PROP,PER,Demons
159,806,806,PRON,PER,their
428,813,813,PRON,PER,your
0,820,820,PRON,PER,I
160,841,841,PROP,PER,Valentine
235,843,843,PROP,PER,Jace
235,845,845,PRON,PER,his
429,845,846,NOM,FAC,his prison
430,848,850,NOM,GPE,the Silent City
235,852,852,PRON,PER,he
235,855,855,PRON,PER,him
2988,868,869,NOM,PER,the Angel
161,871,871,PROP,PER,Adam
162,873,873,PROP,PER,Eve
2989,876,877,NOM,FAC,the garden
235,880,880,PRON,PER,he
2990,883,890,NOM,LOC,the east of the garden of Eden Cherubim
2991,886,890,NOM,FAC,the garden of Eden Cherubim
155,902,902,PROP,PER,Simon
163,910,912,PROP,PER,the Archangel Michael
2992,927,927,PRON,PER,our
2993,927,928,NOM,PER,our heroes
235,934,934,PRON,PER,me
2994,939,939,NOM,PER,angels
2995,943,946,NOM,LOC,the world of Shadowhunters
153,946,946,PROP,PER,Shadowhunters
2996,963,963,NOM,PER,Shadowhunters
2994,970,970,NOM,PER,angels
413,972,972,NOM,PER,Faeries
2999,977,978,NOM,PER,part demon
422,980,980,NOM,PER,Warlocks
3001,985,987,NOM,PER,humans and demons
412,989,989,NOM,PER,Werewolves
411,991,991,NOM,PER,vampires
3004,993,997,NOM,PER,humans who bear demon diseases
235,999,999,PRON,PER,I
153,1029,1029,PROP,PER,Shadowhunters
235,1032,1032,PRON,PER,me
164,1039,1039,PROP,PER,Nephilim
3005,1044,1049,NOM,PER,The offspring of humans and angels
3006,1047,1049,NOM,PER,humans and angels
3005,1051,1051,PRON,PER,they
3007,1053,1060,NOM,PER,enormous monsters who laid waste to the earth
3008,1059,1060,NOM,LOC,the earth
3009,1063,1063,NOM,PER,writers
235,1067,1067,PRON,PER,I
235,1073,1073,PRON,PER,me
2994,1078,1078,NOM,PER,angels
3011,1080,1080,NOM,PER,children
3012,1095,1096,NOM,PER,the Shadowhunters
165,1105,1105,PROP,PER,Raziel
3012,1114,1114,PRON,PER,them
3013,1121,1122,NOM,PER,part angel
3014,1170,1171,NOM,PER,any reader
166,1190,1192,PROP,PER,Spider - Man
3015,1196,1196,PRON,PER,us
235,1216,1216,PROP,PER,Jace
3015,1224,1224,PRON,PER,we
