COREF,start_token,end_token,prop,cat,text
1,1,38,PROP,FAC,MORTAL INSTRUMENTS City of Bones CASSANDRA CLARE Margaret K. McElderry Books New York London Toronto Sydney - New Delhi MARGARET K. McELDERRY BOOKS An imprint of Simon & Schuster Children ’s Publishing Division 1230 Avenue of the Americas
2,3,11,PROP,FAC,City of Bones CASSANDRA CLARE Margaret K. McElderry Books
3,12,13,PROP,GPE,New York
4,14,14,PROP,GPE,London
5,15,15,PROP,GPE,Toronto
6,16,16,PROP,GPE,Sydney
7,19,19,PROP,GPE,Delhi
182,20,22,PROP,PER,MARGARET K. McELDERRY
8,37,38,PROP,LOC,the Americas
3,40,41,PROP,GPE,New York
3,43,44,PROP,GPE,New York
397,60,61,NOM,PER,real people
398,82,83,NOM,PER,the author
183,111,112,PROP,PER,Cassandra Clare
184,132,133,PROP,PER,Nicolas Delort
182,161,161,PROP,PER,Margaret
185,187,187,PROP,PER,Schuster
399,201,206,NOM,FAC,The Simon & Schuster Speakers Bureau
400,209,209,NOM,PER,authors
401,211,211,PRON,PER,your
399,225,230,NOM,PER,the Simon & Schuster Speakers Bureau
403,241,241,PRON,PER,our
186,259,260,PROP,PER,Russell Gordon
187,264,265,PROP,PER,Mike Rosamilia
404,283,286,NOM,GPE,the United States of
9,287,287,PROP,GPE,America
10,302,305,PROP,ORG,The Library of Congress
183,314,314,PROP,PER,Clare
183,316,316,PROP,PER,Cassandra
183,322,323,PROP,PER,Cassandra Clare
405,332,333,NOM,PER,one )
406,342,353,NOM,PER,the Shadowhunters who are dedicated to returning them to their own dimension
407,349,349,PRON,PER,them
406,351,351,PRON,PER,their
408,351,353,NOM,LOC,their own dimension
208,360,361,PROP,PER,Clary Fray
208,369,369,PRON,PER,her
409,369,370,NOM,PER,her mother
208,373,373,PROP,PER,Clary
208,374,374,PRON,PER,herself
410,393,393,PRON,PER,he
183,434,434,PROP,PER,Clare
183,436,436,PROP,PER,Cassandra
411,438,439,NOM,PER,Mortal instruments
0,465,465,PRON,PER,my
412,465,466,NOM,PER,my grandfather
189,477,478,PROP,PER,Jace Wayland
208,480,481,PROP,PER,Clary Fray
11,491,493,PROP,LOC,City of Bones
208,493,493,PROP,GPE,Bones
189,495,495,PROP,PER,Jace
189,508,508,PRON,PER,He
208,512,512,PRON,PER,she
413,521,521,NOM,PER,vampires
414,523,523,NOM,PER,werewolves
415,550,551,NOM,LOC,the world
416,555,555,PRON,PER,them
189,557,557,PRON,PER,He
417,562,562,PRON,PER,we
417,565,565,PRON,PER,our
417,571,571,PRON,PER,we
418,573,574,NOM,PER,the heroes
419,581,597,NOM,PER,"good people who rise up to defeat the evil , stories in which there is always hope"
208,603,603,PROP,PER,Clary
11,605,607,PROP,FAC,City of Bones
208,615,615,PRON,PER,she
14,618,620,PROP,GPE,New York City
208,636,636,PRON,PER,her
0,645,645,PRON,PER,I
420,650,651,NOM,GPE,City of
208,652,652,PROP,GPE,Bones
0,654,654,PRON,PER,I
421,665,665,NOM,PER,warlocks
0,668,668,PRON,PER,I
0,682,682,PRON,PER,I
15,686,687,PROP,FAC,Paradise Lost
190,689,689,PROP,PER,Dante
422,689,696,NOM,FAC,Dante ’s Inferno and Mike Carey ’s Lucifer
16,693,696,PROP,FAC,Mike Carey ’s Lucifer
0,698,698,PRON,PER,I
423,705,706,NOM,PER,human beings
0,725,725,PRON,PER,I
424,729,735,NOM,LOC,a world that was rich in folklore
425,739,739,NOM,PER,people
426,741,742,NOM,PER,each other
427,775,775,PRON,PER,you
191,777,777,PROP,PER,Demons
191,781,781,PRON,PER,their
427,788,788,PRON,PER,your
0,795,795,PRON,PER,I
192,816,816,PROP,PER,Valentine
189,818,818,PROP,PER,Jace
189,820,820,PRON,PER,his
428,820,825,NOM,FAC,his prison in the Silent City
429,823,825,NOM,GPE,the Silent City
192,827,827,PRON,PER,he
192,830,830,PRON,PER,him
3165,843,844,NOM,PER,the Angel
193,846,846,PROP,PER,Adam
194,848,848,PROP,PER,Eve
3166,851,852,NOM,FAC,the garden
192,855,855,PRON,PER,he
3167,861,865,NOM,LOC,the garden of Eden Cherubim
195,864,865,PROP,PER,Eden Cherubim
196,878,878,PROP,PER,Simon
197,887,888,PROP,PER,Archangel Michael
430,903,903,PRON,PER,our
431,903,904,NOM,PER,our heroes
0,910,910,PRON,PER,me
432,915,915,NOM,PER,angels
433,919,922,NOM,LOC,the world of Shadowhunters
198,922,922,PROP,PER,Shadowhunters
434,939,939,NOM,PER,Shadowhunters
432,946,946,NOM,PER,angels
436,948,948,NOM,PER,Faeries
437,950,951,NOM,PER,part angel
438,953,954,NOM,PER,part demon
421,956,956,NOM,PER,Warlocks
440,961,963,NOM,PER,humans and demons
414,965,965,NOM,PER,Werewolves
413,967,967,NOM,PER,vampires
443,969,973,NOM,PER,humans who bear demon diseases
0,975,975,PRON,PER,I
198,1005,1005,PROP,PER,Shadowhunters
0,1008,1008,PRON,PER,me
199,1015,1015,PROP,PER,Nephilim
444,1020,1025,NOM,PER,The offspring of humans and angels
445,1023,1025,NOM,PER,humans and angels
444,1027,1027,PRON,PER,they
446,1029,1036,NOM,PER,enormous monsters who laid waste to the earth
447,1035,1036,NOM,LOC,the earth
448,1039,1039,NOM,PER,writers
0,1043,1043,PRON,PER,I
0,1049,1049,PRON,PER,me
432,1054,1054,NOM,PER,angels
450,1056,1056,NOM,PER,children
451,1071,1072,NOM,PER,the Shadowhunters
200,1081,1081,PROP,PER,Raziel
451,1090,1090,PRON,PER,them
437,1097,1098,NOM,PER,part angel
453,1116,1116,NOM,PER,humanity
454,1146,1147,NOM,PER,any reader
201,1166,1168,PROP,PER,Spider - Man
455,1172,1172,PRON,PER,us
189,1192,1192,PROP,PER,Jace
455,1200,1200,PRON,PER,we
415,1204,1205,NOM,LOC,the world
208,1214,1214,PROP,PER,Clary
457,1222,1231,NOM,PER,a girl who starts out ordinary and becomes a hero
458,1230,1231,NOM,PER,a hero
459,1233,1247,NOM,PER,A girl who first is blind to the magic in the world all around her
415,1243,1244,NOM,LOC,the world
459,1247,1247,PRON,PER,her
