start_token,end_token,supersense_category,text
1,3,noun.group,MORTAL INSTRUMENTS City
5,11,noun.group,Bones CASSANDRA CLARE Margaret K. McElderry Books
12,13,noun.location,New York
14,16,noun.location,London Toronto Sydney
18,19,noun.location,New Delhi
25,25,noun.communication,imprint
35,38,noun.location,Avenue of the Americas
40,41,noun.location,New York
43,44,noun.location,New York
47,47,noun.communication,book
48,48,verb.stative,is
50,50,noun.artifact,work
52,52,noun.communication,fiction
55,55,noun.communication,references
58,58,noun.event,events
61,61,noun.group,people
65,65,noun.location,places
67,67,verb.consumption,used
71,71,noun.communication,names
73,73,noun.cognition,characters
75,75,noun.location,places
78,78,noun.event,events
79,79,verb.stative,are
80,80,noun.artifact,products
83,83,noun.person,author
85,85,noun.cognition,imagination
89,89,noun.attribute,resemblance
92,92,noun.event,events
94,94,noun.location,places
96,96,noun.person,persons
98,98,verb.stative,living
102,102,verb.stative,is
106,106,noun.communication,Text
111,112,noun.person,Cassandra Clare
116,116,noun.artifact,photo
118,118,noun.communication,illustration
119,119,noun.communication,copyright
123,125,noun.person,Cliff Nielsen Spine
126,126,noun.communication,landscape
127,127,noun.communication,illustration
128,128,noun.communication,copyright
132,133,noun.person,Nicolas Delort
135,135,noun.communication,figure
136,136,noun.communication,illustration
137,137,noun.communication,copyright
141,142,noun.group,Pat Kinsella
144,144,noun.attribute,rights
147,147,verb.stative,including
149,149,noun.attribute,right
151,151,noun.communication,reproduction
159,159,noun.cognition,form
161,164,noun.person,Margaret K. McElderry Books
165,165,verb.stative,is
167,167,noun.artifact,trademark
169,171,noun.group,Simon & Schuster
175,175,noun.communication,information
178,178,noun.possession,discounts
181,181,noun.possession,purchases
184,184,verb.communication,contact
185,187,noun.group,Simon & Schuster
199,199,noun.person,business@simonandschuster.com
202,202,noun.person,Simon
204,205,noun.person,Schuster Speakers
206,206,noun.group,Bureau
208,208,verb.motion,bring
209,209,noun.person,authors
213,213,noun.event,event
217,217,noun.communication,information
220,220,verb.communication,book
222,222,noun.event,event
224,224,verb.communication,contact
226,228,noun.group,Simon & Schuster
229,230,noun.person,Speakers Bureau
240,240,verb.communication,visit
242,242,noun.communication,website
250,251,noun.person,Margaret K.
256,256,noun.communication,Cover
257,257,noun.act,design
259,260,noun.person,Russell Gordon
262,262,noun.act,design
264,265,noun.person,Mike Rosamilia
267,267,noun.communication,illustration
269,270,noun.person,Drew Willis
272,272,noun.communication,text
275,275,noun.communication,book
277,277,verb.creation,set
279,279,noun.location,Dolly
281,281,verb.creation,Manufactured
284,285,noun.location,United States
287,288,noun.location,America This
289,292,noun.group,Margaret K. McElderry Books
293,293,noun.communication,paperback
295,295,noun.time,September
303,305,noun.group,Library of Congress
307,307,verb.communication,cataloged
309,309,noun.communication,hardcover
310,310,noun.communication,edition
314,314,noun.person,Clare
316,316,noun.person,Cassandra
318,319,noun.location,City of
320,320,noun.body,bones
322,323,noun.person,Cassandra Clare
334,334,noun.communication,Summary
339,339,verb.perception,see
340,340,noun.person,demons
343,343,noun.person,Shadowhunters
348,348,verb.motion,returning
353,353,noun.attribute,dimension
357,357,noun.time,year
360,361,noun.person,Clary Fray
363,363,verb.emotion,drawn
367,367,noun.cognition,world
370,370,noun.person,mother
371,371,verb.change,disappears
373,373,noun.person,Clary
377,377,verb.contact,killed
380,380,noun.person,monster
391,391,noun.quantity,0
413,413,noun.communication,Fiction
419,419,noun.communication,Fiction
424,424,noun.communication,stories
432,432,noun.communication,Series
434,434,noun.location,Clare
436,436,noun.person,Cassandra
461,461,verb.cognition,repackaged
462,462,noun.communication,pbk
466,468,noun.person,grandfather Foreword AU
470,470,noun.communication,stories
471,471,verb.stative,are
477,478,noun.person,Jace Wayland
479,479,verb.communication,tells
480,481,noun.person,Clary Fray
485,485,noun.communication,book
489,489,noun.communication,chronicles
491,493,noun.location,City of Bones
495,495,noun.person,Jace
496,496,verb.communication,means
504,504,noun.artifact,thing
509,509,verb.communication,means
516,516,verb.communication,told
519,519,verb.stative,exist
521,521,noun.person,vampires
523,523,noun.person,werewolves
525,525,noun.animal,faeries
527,527,noun.person,ghosts
530,530,noun.person,monsters
533,533,noun.attribute,shape
535,535,noun.attribute,size
538,538,noun.attribute,intention
541,541,verb.stative,exist
551,551,noun.object,world
552,552,verb.stative,is
558,558,verb.communication,means
561,561,noun.communication,stories
563,563,verb.cognition,believe
566,566,noun.feeling,hearts
568,568,noun.communication,stories
572,572,verb.stative,are
574,574,noun.person,heroes
576,576,noun.communication,stories
580,580,verb.stative,are
582,582,noun.group,people
584,585,verb.social,rise up
587,587,verb.competition,defeat
589,589,noun.act,evil
591,591,noun.communication,stories
595,595,verb.stative,is
597,597,noun.feeling,hope
599,599,verb.stative,are
603,603,noun.person,Clary
604,604,verb.change,ends
605,607,noun.location,City of Bones
608,608,verb.emotion,feeling
611,611,noun.cognition,sense
613,613,noun.feeling,wonder
616,616,verb.motion,flies
618,620,noun.location,New York City
622,622,verb.creation,seeing
627,627,noun.cognition,magic
629,629,noun.feeling,enchantment
638,638,noun.location,AU
640,640,noun.communication,stories
641,641,verb.stative,are
646,647,verb.change,set out
649,649,verb.creation,write
650,652,noun.location,City of Bones
655,655,verb.stative,was
659,659,noun.communication,stories
661,661,noun.person,vampires
663,663,noun.person,faeries
665,665,noun.person,warlocks
669,669,verb.stative,was
676,676,noun.communication,tales
678,678,noun.animal,angels
680,680,noun.person,demons
683,683,verb.stative,was
686,687,noun.location,Paradise Lost
693,694,noun.location,Mike Carey
700,700,verb.emotion,fascinated
703,703,noun.attribute,way
705,706,noun.animal,human beings
708,708,verb.social,grappled
711,711,noun.cognition,ideas
714,714,noun.state,evil
717,718,noun.attribute,good tempered
720,720,noun.feeling,love
723,723,noun.cognition,will
726,726,verb.emotion,wanted
728,728,verb.creation,create
730,730,noun.group,world
732,732,verb.stative,was
735,735,noun.cognition,folklore
738,738,noun.communication,tales
739,739,noun.group,people
740,740,verb.communication,tell
744,744,noun.event,things
746,747,verb.motion,go bump
749,749,verb.contact,bite
752,752,noun.time,night
757,757,verb.change,incorporated
759,759,noun.state,existence
761,761,noun.attribute,figures
763,763,noun.communication,myth
765,765,noun.person,angels
770,770,noun.act,look
774,774,verb.emotion,blind
777,777,noun.person,Demons
782,782,noun.substance,blood
784,784,verb.change,change
786,786,noun.attribute,nature
789,789,noun.person,soul
791,791,noun.attribute,good
793,793,noun.attribute,evil
796,796,verb.emotion,wanted
798,798,verb.change,make
806,806,noun.communication,myth
808,808,noun.time,history
812,812,verb.change,become
816,816,noun.person,Valentine
817,817,verb.social,frees
818,818,noun.person,Jace
821,821,noun.artifact,prison
824,825,noun.location,Silent City
828,828,verb.contact,carries
832,832,noun.artifact,sword
834,834,verb.communication,explains
838,838,verb.stative,is
840,840,noun.artifact,blade
844,844,noun.person,Angel
845,845,verb.motion,drove
846,846,noun.person,Adam
848,848,noun.person,Eve
852,852,noun.artifact,garden
856,856,verb.contact,placed
859,859,noun.relation,east
862,862,noun.artifact,garden
864,865,noun.location,Eden Cherubim
870,870,noun.artifact,sword
872,872,verb.change,turned
874,874,noun.attribute,way
878,878,noun.person,Simon
879,879,verb.change,comes
881,881,noun.act,possession
884,884,noun.artifact,sword
887,888,noun.person,Archangel Michael
891,891,noun.cognition,idea
894,894,noun.artifact,objects
897,897,noun.attribute,power
899,899,noun.time,history
900,900,verb.stative,were
902,902,noun.artifact,things
904,904,noun.person,heroes
906,906,verb.contact,touch
908,908,verb.consumption,use
909,909,verb.emotion,delighted
913,913,noun.state,existence
915,915,noun.person,angels
917,917,noun.person,demons
920,920,noun.group,world
922,922,noun.person,Shadowhunters
923,923,verb.stative,is
925,925,noun.time,ur
927,927,noun.communication,myth
932,932,noun.cognition,aspect
935,935,noun.communication,stories
937,937,verb.cognition,derived
939,939,noun.person,Shadowhunters
941,941,verb.creation,created
944,944,noun.body,blood
946,946,noun.person,angels
948,948,noun.person,Faeries
949,949,verb.stative,are
951,951,noun.person,angel
954,954,noun.person,demon
956,956,noun.person,Warlocks
957,957,verb.stative,are
959,959,noun.person,offspring
961,961,noun.animal,humans
963,963,noun.person,demons
965,965,noun.person,Werewolves
967,967,noun.person,vampires
968,968,verb.stative,are
969,969,noun.animal,humans
971,971,verb.body,bear
972,972,noun.person,demon
973,973,noun.state,diseases
976,976,verb.emotion,wanted
978,978,verb.creation,create
980,980,noun.object,universe
982,982,noun.communication,myth
984,984,noun.cognition,folklore
985,985,verb.stative,dovetailed
989,989,noun.communication,story
991,991,noun.cognition,magic
994,994,verb.communication,explained
998,998,noun.communication,stories
999,999,verb.stative,are
1003,1003,noun.cognition,idea
1005,1005,noun.person,Shadowhunters
1006,1006,verb.change,came
1013,1013,noun.communication,stories
1015,1015,noun.person,Nephilim
1018,1018,noun.communication,Bible
1021,1021,noun.person,offspring
1023,1023,noun.Tops,humans
1025,1025,noun.person,angels
1028,1028,verb.stative,were
1030,1030,noun.person,monsters
1032,1033,verb.contact,laid waste
1036,1036,noun.substance,earth
1039,1039,noun.person,writers
1044,1044,verb.creation,adapted
1046,1046,verb.perception,seemed
1052,1052,noun.communication,myth
1054,1054,noun.person,angels
1055,1055,verb.creation,having
1056,1056,noun.person,children
1060,1060,verb.stative,is
1064,1064,noun.act,thing
1066,1066,verb.social,do
1072,1072,noun.person,Shadowhunters
1075,1075,verb.creation,created
1077,1077,noun.person,angel
1078,1078,noun.body,blood
1081,1081,noun.person,Raziel
1083,1083,verb.perception,seems
1085,1085,verb.perception,have
1088,1088,noun.cognition,interest
1094,1094,noun.cognition,idea
1098,1098,noun.person,angel
1102,1102,noun.communication,symbol
1104,1104,noun.attribute,goodness
1109,1109,verb.emotion,beset
1113,1113,noun.state,weaknesses
1116,1116,noun.group,humanity
1118,1118,noun.attribute,frailty
1120,1120,noun.act,cruelty
1122,1122,noun.attribute,greed
1124,1124,noun.attribute,selfishness
1126,1126,noun.state,despair
