COREF,start_token,end_token,prop,cat,text
442,0,6,NOM,PER,﻿THE MORTAL INSTRUMENTS City of Fallen Angels
193,7,8,PROP,PER,Cassandra Clare
193,11,12,PROP,PER,Cassandra Clare
443,13,39,NOM,PER,THE MORTAL INSTRUMENTS City of Bones City of Ashes City of Glass City of Fallen Angels City of Lost Souls City of Heavenly Fire THE INFERNAL DEVICES
194,40,47,PROP,PER,Clockwork Angel Clockwork Prince Clockwork Princess The Shadowhunter
195,51,55,PROP,PER,Joshua Lewis The Bane Chronicles
196,57,59,PROP,PER,Sarah Rees Brennan
193,61,68,PROP,PER,Maureen Johnson THE MORTAL INSTRUMENTS CASSANDRA CLARE Margaret
1,70,82,PROP,GPE,McEIderry Books New York London Toronto Sydney New Delhi MARGARET K. McELDERRY BOOKS
2,73,73,PROP,GPE,York
3,74,74,PROP,GPE,London
4,75,75,PROP,GPE,Toronto
5,76,76,PROP,GPE,Sydney
6,78,78,PROP,GPE,Delhi
7,81,82,PROP,FAC,McELDERRY BOOKS
8,86,97,PROP,FAC,Simon & Schuster Children ’s Publishing Division 1230 Avenue of the Americas
9,96,97,PROP,LOC,the Americas
10,99,100,PROP,GPE,New York
10,102,103,PROP,GPE,New York
444,119,120,NOM,PER,real people
445,141,142,NOM,PER,the author
446,155,155,NOM,PER,persons
193,170,171,PROP,PER,Cassandra Clare
197,181,183,PROP,PER,Cliff Nielsen Spine
198,190,191,PROP,PER,Nicolas Delort
199,199,200,PROP,PER,Pat Kinsella
200,219,222,PROP,PER,Margaret K. McElderry Books
225,243,245,PROP,PER,Simon & Schuster
447,262,264,NOM,PER,Schuster Speakers Bureau
448,267,267,NOM,PER,authors
449,269,269,PRON,PER,your
450,283,288,NOM,PER,the Simon & Schuster Speakers Bureau
451,299,299,PRON,PER,our
452,302,302,NOM,PER,www.simonspeakers.com
202,317,318,PROP,PER,Russell Gordon
203,322,323,PROP,PER,Mike Rosamilia
204,327,328,PROP,PER,Drew Willis
11,337,337,PROP,GPE,Dolly
12,341,345,PROP,GPE,the United States of America
7,349,350,PROP,FAC,McElderry Books
13,364,366,PROP,ORG,Library of Congress
193,375,375,PROP,PER,Clare
193,377,377,PROP,PER,Cassandra
453,379,382,NOM,PER,City of fallen angels
205,407,407,PROP,PER,Shadowhunters
206,409,409,PROP,PER,Downworlders
225,412,412,PROP,PER,Simon
454,414,416,NOM,PER,the Daylighter vampire
455,421,422,NOM,PER,both groups
456,460,460,NOM,PER,Vampires
10,478,479,PROP,GPE,New York
302,528,529,PROP,PER,Jace Wayland
208,531,532,PROP,PER,Clary Fray
457,545,547,NOM,GPE,City of Bones
302,549,549,PROP,PER,Jace
302,562,562,PRON,PER,He
208,566,566,PRON,PER,she
456,575,575,NOM,PER,vampires
459,604,605,NOM,LOC,the world
460,609,609,PRON,PER,them
302,611,611,PRON,PER,He
461,616,616,PRON,PER,we
461,619,619,PRON,PER,our
461,625,625,PRON,PER,we
462,627,628,NOM,PER,the heroes
463,635,643,NOM,PER,good people who rise up to defeat the evil
208,657,657,PROP,PER,Clary
14,659,661,PROP,FAC,City of Bones
208,669,669,PRON,PER,she
15,672,674,PROP,GPE,New York City
208,690,690,PRON,PER,her
0,699,699,PRON,PER,I
14,704,706,PROP,FAC,City of Bones
0,708,708,PRON,PER,I
456,715,715,NOM,PER,vampires
465,719,719,NOM,PER,warlocks
0,722,722,PRON,PER,I
0,736,736,PRON,PER,I
16,740,741,PROP,FAC,Paradise Lost
209,743,743,PROP,PER,Dante
210,747,748,PROP,PER,Mike Carey
354,750,750,PROP,GPE,Lucifer
0,752,752,PRON,PER,I
466,759,760,NOM,PER,human beings
0,779,779,PRON,PER,I
467,793,793,NOM,PER,people
468,819,826,NOM,PER,angels so powerful that one look at them
469,829,829,PRON,PER,you
470,835,835,PRON,PER,their
469,842,842,PRON,PER,your
0,849,849,PRON,PER,I
211,870,870,PROP,PER,Valentine
302,872,872,PROP,PER,Jace
302,874,874,PRON,PER,his
471,874,875,NOM,FAC,his prison
472,877,879,NOM,GPE,the Silent City
302,881,881,PRON,PER,he
302,884,884,PRON,PER,him
2810,897,898,NOM,PER,the Angel
212,900,900,PROP,PER,Adam
213,902,902,PROP,PER,Eve
2811,905,906,NOM,FAC,the garden
302,909,909,PRON,PER,he
2812,915,919,NOM,FAC,the garden of Eden Cherubim
225,932,932,PROP,PER,Simon
214,940,942,PROP,PER,the Archangel Michael
473,957,957,PRON,PER,our
474,957,958,NOM,PER,our heroes
0,964,964,PRON,PER,me
475,973,975,NOM,LOC,the world of
205,976,976,PROP,PER,Shadowhunters
476,993,993,NOM,PER,Shadowhunters
477,1000,1000,NOM,PER,angels
215,1002,1002,PROP,PER,Faeries
478,1004,1005,NOM,PER,part angel
479,1007,1008,NOM,PER,part demon
465,1010,1010,NOM,PER,Warlocks
481,1012,1015,NOM,PER,the offspring of humans
482,1019,1019,NOM,PER,Werewolves
456,1021,1021,NOM,PER,vampires
484,1023,1027,NOM,PER,humans who bear demon diseases
0,1029,1029,PRON,PER,I
485,1033,1045,NOM,LOC,"a universe where myth and folklore dovetailed , where every story of magic"
205,1059,1059,PROP,PER,Shadowhunters
0,1062,1062,PRON,PER,me
216,1069,1069,PROP,PER,Nephilim
486,1074,1079,NOM,PER,The offspring of humans and angels
487,1077,1077,NOM,PER,humans
477,1079,1079,NOM,PER,angels
486,1081,1081,PRON,PER,they
489,1089,1090,NOM,LOC,the earth
