start_token,end_token,supersense_category,text
11,12,noun.person,Cassandra Clare
18,19,noun.location,Bones City
21,22,noun.location,Ashes City
24,25,noun.location,Glass City
32,33,noun.location,Souls City
35,36,noun.location,Heavenly Fire
40,44,noun.person,Clockwork Angel Clockwork Prince Clockwork
51,52,noun.person,Joshua Lewis
57,59,noun.person,Sarah Rees Brennan
61,62,noun.person,Maureen Johnson
64,82,noun.group,MORTAL INSTRUMENTS CASSANDRA CLARE Margaret K. McEIderry Books New York London Toronto Sydney New Delhi MARGARET K. McELDERRY BOOKS
84,84,noun.cognition,imprint
86,92,noun.group,Simon & Schuster Children ’s Publishing Division
94,97,noun.location,Avenue of the Americas
99,100,noun.location,New York
102,103,noun.location,New York
106,106,noun.communication,book
107,107,verb.stative,is
109,109,noun.artifact,work
111,111,noun.communication,fiction
114,114,noun.communication,references
117,117,noun.event,events
120,120,noun.group,people
124,124,noun.location,places
126,126,verb.consumption,used
130,130,noun.communication,names
132,132,noun.person,characters
134,134,noun.location,places
137,137,noun.event,events
138,138,verb.stative,are
139,139,noun.artifact,products
142,142,noun.person,author
144,144,noun.cognition,imagination
148,148,noun.attribute,resemblance
151,151,noun.event,events
153,153,noun.location,places
155,155,noun.person,persons
157,157,verb.stative,living
159,159,noun.time,dead
161,161,verb.stative,is
165,165,noun.communication,Text
166,166,noun.communication,copyright
170,171,noun.person,Cassandra Clare
173,173,noun.communication,Cover
174,174,noun.artifact,photo
176,176,noun.communication,illustration
177,177,noun.communication,copyright
181,182,noun.person,Cliff Nielsen
185,185,noun.communication,illustration
186,186,noun.communication,copyright
190,192,noun.person,Nicolas Delort Spine
193,193,noun.communication,figure
194,194,noun.communication,illustration
195,195,noun.communication,copyright
199,200,noun.person,Pat Kinsella
205,205,verb.stative,including
207,207,noun.attribute,right
209,209,noun.communication,reproduction
217,217,noun.communication,form
219,220,noun.person,Margaret K.
223,223,verb.stative,is
225,225,noun.attribute,trademark
227,229,noun.group,Simon & Schuster
233,233,noun.cognition,information
236,236,noun.possession,discounts
238,238,noun.possession,bulk
239,239,noun.act,purchases
242,242,verb.communication,contact
243,243,noun.person,Simon
257,257,noun.person,business@simonandschuster.com
260,261,noun.group,Simon &
262,264,noun.person,Schuster Speakers Bureau
266,266,verb.motion,bring
267,267,noun.person,authors
271,271,noun.event,event
275,275,noun.cognition,information
278,278,verb.creation,book
280,280,noun.event,event
282,282,verb.communication,contact
284,284,noun.group,Simon
286,288,noun.group,Schuster Speakers Bureau
298,298,verb.social,visit
300,300,noun.communication,website
308,311,noun.group,Margaret K. McElderry Books
313,313,noun.communication,edition
315,315,noun.act,design
317,318,noun.person,Russell Gordon
320,320,noun.act,design
322,323,noun.person,Mike Rosamilia
325,325,noun.communication,illustration
327,328,noun.person,Drew Willis
330,330,noun.communication,text
333,333,noun.communication,book
335,335,verb.creation,set
337,337,noun.location,Dolly
342,343,noun.location,United States
345,345,noun.location,America
347,350,noun.group,Margaret K. McElderry Books
351,352,noun.communication,paperback edition
353,353,noun.time,September
364,366,noun.group,Library of Congress
368,368,verb.possession,cataloged
370,370,noun.artifact,hardcover
371,371,noun.communication,edition
375,375,noun.person,Clare
379,379,noun.location,City
382,382,noun.person,angels
384,385,noun.person,Cassandra Clare.—1st
386,386,noun.communication,ed
390,391,noun.group,mortal instruments
397,397,noun.communication,Summary
401,401,noun.event,murders
402,402,verb.social,threaten
405,405,noun.state,peace
407,407,noun.person,Shadowhunters
409,409,noun.person,Downworlders
412,412,noun.person,Simon
416,416,noun.person,vampire
419,419,verb.social,help
420,420,verb.contact,bring
422,422,noun.group,groups
436,436,noun.artifact,hardcover
447,447,noun.quantity,7
456,456,noun.communication,Fiction
460,460,noun.person,Vampires
462,462,noun.communication,Fiction
466,466,noun.communication,Demonology
468,468,noun.communication,Fiction
474,474,noun.communication,Fiction
478,479,noun.location,New York
481,481,noun.location,N.Y.)—Fiction
513,514,noun.attribute,livres d’un
521,521,noun.communication,stories
522,522,verb.stative,are
528,529,noun.person,Jace Wayland
530,530,verb.communication,tells
531,532,noun.person,Clary Fray
539,539,noun.communication,book
543,543,noun.communication,chronicles
549,549,noun.location,Jace
550,550,verb.communication,means
