COREF,start_token,end_token,prop,cat,text
0,13,13,PRON,PER,my
426,13,14,NOM,PER,my mother
427,16,16,PRON,PER,I
427,44,45,NOM,PER,the author
1,100,101,PROP,GPE,Great Britain
2,104,106,PROP,FAC,Walker Books Ltd
3,108,109,PROP,FAC,Vauxhall Walk
4,111,111,PROP,GPE,London
175,147,148,PROP,PER,Cassandra Clare
175,161,161,PRON,PER,her
5,179,179,PROP,GPE,MGaramond
6,184,185,PROP,ORG,CPI Group
7,187,187,PROP,GPE,UK
8,191,191,PROP,GPE,Croydon
428,241,242,NOM,PER,the publisher
9,260,262,PROP,FAC,the British Library
10,300,300,PROP,GPE,Australia
297,321,322,PROP,PER,Jace Wayland
277,324,325,PROP,PER,Clary Fray
429,338,340,NOM,GPE,City of Bones
297,342,342,PROP,PER,Jace
297,355,355,PRON,PER,He
175,359,359,PRON,PER,she
430,368,368,NOM,PER,vampires
431,397,398,NOM,LOC,the world
432,402,402,PRON,PER,them
297,404,404,PRON,PER,He
433,409,409,PRON,PER,we
433,412,412,PRON,PER,our
433,418,418,PRON,PER,we
434,420,421,NOM,PER,the heroes
435,428,444,NOM,PER,"good people who rise up to defeat the evil , stories in which there is always hope"
277,450,450,PROP,PER,Clary
436,452,453,NOM,GPE,City of
11,454,454,PROP,GPE,Bones
277,462,462,PRON,PER,she
12,465,467,PROP,GPE,New York City
277,483,483,PRON,PER,her
0,492,492,PRON,PER,I
13,497,499,PROP,LOC,City of Bones
11,499,499,PROP,GPE,Bones
0,501,501,PRON,PER,I
430,508,508,NOM,PER,vampires
438,512,512,NOM,PER,warlocks
0,515,515,PRON,PER,I
439,525,527,NOM,PER,angels and demons
0,529,529,PRON,PER,I
440,533,543,NOM,FAC,Paradise Lost and Dante ’s Inferno and Mike Carey ’s Lucifer
178,536,536,PROP,PER,Dante
179,540,541,PROP,PER,Mike Carey
0,545,545,PRON,PER,I
441,552,553,NOM,PER,human beings
0,572,572,PRON,PER,I
442,586,586,NOM,PER,people
443,588,589,NOM,PER,each other
444,612,619,NOM,PER,angels so powerful that one look at them
445,622,622,PRON,PER,you
180,624,624,PROP,PER,Demons
180,628,628,PRON,PER,their
445,635,635,PRON,PER,your
0,642,642,PRON,PER,I
181,663,663,PROP,PER,Valentine
297,665,665,PROP,PER,Jace
297,667,667,PRON,PER,his
446,667,672,NOM,FAC,his prison in the Silent City
447,670,672,NOM,GPE,the Silent City
297,674,674,PRON,PER,he
297,677,677,PRON,PER,him
3602,690,691,NOM,PER,the Angel
182,693,693,PROP,PER,Adam
183,695,695,PROP,PER,Eve
3603,698,699,NOM,FAC,the garden
181,702,702,PRON,PER,he
3604,705,712,NOM,LOC,the east of the garden of Eden Cherubim
3605,708,710,NOM,LOC,the garden of
184,711,712,PROP,PER,Eden Cherubim
185,725,725,PROP,PER,Simon
186,733,735,PROP,PER,the Archangel Michael
448,750,750,PRON,PER,our
449,750,751,NOM,PER,our heroes
0,757,757,PRON,PER,me
450,762,762,NOM,PER,angels
451,766,769,NOM,LOC,the world of Shadowhunters
187,769,769,PROP,PER,Shadowhunters
452,786,786,NOM,PER,Shadowhunters
450,793,793,NOM,PER,angels
454,795,795,NOM,PER,Faeries
455,797,798,NOM,PER,part angel
438,803,803,NOM,PER,Warlocks
457,808,810,NOM,PER,humans and demons
188,812,812,PROP,PER,Werewolves
430,814,814,NOM,PER,vampires
459,816,820,NOM,PER,humans who bear demon diseases
0,822,822,PRON,PER,I
187,852,852,PROP,PER,Shadowhunters
0,855,855,PRON,PER,me
189,862,862,PROP,PER,Nephilim
460,867,872,NOM,PER,The offspring of humans and angels
460,874,874,PRON,PER,they
461,882,883,NOM,LOC,the earth
462,886,886,NOM,PER,writers
0,890,890,PRON,PER,I
0,896,896,PRON,PER,me
450,901,901,NOM,PER,angels
464,903,903,NOM,PER,children
465,918,919,NOM,PER,the Shadowhunters
190,928,928,PROP,PER,Raziel
465,937,937,PRON,PER,them
455,944,945,NOM,PER,part angel
467,993,994,NOM,PER,any reader
191,1013,1015,PROP,PER,Spider - Man
468,1019,1019,PRON,PER,us
297,1039,1039,PROP,PER,Jace
468,1047,1047,PRON,PER,we
431,1051,1052,NOM,LOC,the world
192,1054,1056,PROP,PER,The Mortal Instruments
277,1061,1061,PROP,PER,Clary
470,1069,1078,NOM,PER,a girl who starts out ordinary and becomes a hero
