start_token,end_token,supersense_category,text
3,11,noun.group,City of Glass Book Three CASSANDRA CLARE WALKER BOOKS
14,14,noun.person,mother
18,18,verb.communication,count
20,20,noun.time,hours
22,22,verb.weather,shine
26,26,verb.stative,is
28,28,noun.artifact,work
30,30,noun.communication,fiction
32,32,noun.communication,Names
34,34,noun.communication,characters
36,36,noun.location,places
38,38,noun.event,incidents
39,39,verb.stative,are
42,42,noun.artifact,product
45,45,noun.person,author
47,47,noun.cognition,imagination
53,53,verb.consumption,used
57,57,noun.communication,statements
59,59,noun.act,activities
61,61,noun.act,stunts
63,63,noun.communication,descriptions
65,65,noun.communication,information
67,67,noun.communication,material
71,71,noun.cognition,kind
72,72,verb.stative,contained
75,75,verb.change,included
77,77,noun.act,entertainment
78,78,noun.attribute,purposes
84,85,verb.cognition,relied on
87,87,noun.attribute,accuracy
89,89,verb.creation,replicated
93,93,verb.stative,result
95,95,noun.state,injury
98,98,verb.creation,published
100,101,noun.location,Great Britain
104,106,noun.group,Walker Books Ltd
108,109,noun.location,Vauxhall Walk
111,112,noun.location,London SE115HJ
116,116,noun.communication,Text
123,123,noun.artifact,photo
125,125,noun.communication,illustration
128,129,noun.person,Cliff Nielsen
132,132,noun.communication,illustration
135,136,noun.group,Nicolas Delort
138,138,noun.communication,figure
139,139,noun.communication,illustration
145,145,noun.attribute,right
147,148,noun.person,Cassandra Clare
151,151,verb.cognition,identified
153,153,noun.person,author
156,156,noun.artifact,work
159,159,verb.communication,asserted
163,163,noun.communication,accordance
174,174,noun.communication,book
177,177,verb.communication,typeset
179,179,noun.location,MGaramond
184,185,noun.group,CPI Group
191,192,noun.group,Croydon CRo
199,199,noun.relation,part
202,202,noun.communication,book
205,205,verb.contact,reproduced
207,207,verb.communication,transmitted
209,209,verb.possession,stored
212,214,noun.artifact,information retrieval system
217,217,noun.communication,form
229,229,verb.stative,including
230,230,noun.act,photocopying
232,232,noun.act,taping
234,234,noun.act,recording
239,239,noun.communication,permission
242,242,noun.group,publisher
246,246,verb.possession,Cataloguing
252,253,noun.communication,catalogue record
256,256,noun.communication,book
257,257,verb.stative,is
286,286,noun.communication,trade
287,287,noun.communication,edition
300,300,noun.location,Australia
307,307,noun.location,sources
314,314,noun.communication,stories
315,315,verb.stative,are
