COREF,start_token,end_token,prop,cat,text
3116,14,18,NOM,PER,The new queen of fantasy
3117,39,48,NOM,LOC,a story world I love to live in . Beautiful
187,42,42,PRON,PER,I
187,51,52,PROP,PER,Stephenie Meyer
188,67,68,PROP,PER,Tamora Pierce
189,70,70,PROP,PER,Cassie
190,74,74,PRON,PER,my
189,80,80,PRON,PER,She
3118,82,98,NOM,PER,the rare writer who can write fast - paced dramatic fantasy with gorgeous language and memorable characters
3119,118,123,NOM,PER,someone who can do them all
190,129,130,PROP,PER,Holly Black
189,147,147,PROP,PER,Clare
3120,158,158,NOM,PER,vampires
3121,160,160,NOM,PER,angels
3122,162,162,NOM,PER,fairies
3123,193,205,NOM,PER,Fans of the smart / chic horror typified by Buffy the Vampire Slayer
3124,229,232,NOM,PER,demons with facial piercings
3125,240,242,NOM,PER,pretty gay warlocks
1,262,263,PROP,FAC,SHADOWHUNTER CHRONICLES
490,264,277,NOM,PER,THE INFERNAL DEVICES Clockwork Angel Clockwork Prince Clockwork Princess THE MORTAL INSTRUMENTS City of
2,278,278,PROP,GPE,Bones
491,279,294,NOM,GPE,City of Ashes City of Glass City of Fallen Angels City of Lost Souls City of
3,295,300,PROP,FAC,Heavenly Fire THE SHADOWHUNTER ’S CODEX
191,302,306,PROP,PER,Joshua Lewis THE BANE CHRONICLES
192,308,310,PROP,PER,Sarah Rees Brennan
193,312,313,PROP,PER,Maureen Johnson
4,322,324,PROP,FAC,THE SHADOWHUNTER ACADEMY
192,326,328,PROP,PER,Sarah Rees Brennan
193,330,331,PROP,PER,Maureen Johnson
194,333,334,PROP,PER,Robin Wasserman
492,339,341,NOM,PER,THE MORTAL INSTRUMENTS
5,343,343,PROP,GPE,FIVE
493,344,347,NOM,PER,City of Lost Souls
189,348,350,PROP,PER,CASSANDRA CLARE WALKER
195,355,355,PROP,PER,Tim
196,357,357,PROP,PER,David
197,360,361,PROP,PER,Ben This
494,380,381,NOM,PER,the author
6,436,437,PROP,GPE,Great Britain
7,444,445,PROP,FAC,Vauxhall Walk
8,447,447,PROP,GPE,London
189,460,462,PROP,PER,Cassandra Claire LLC
189,473,474,PROP,PER,Cassandra Clare
189,487,487,PRON,PER,her
9,513,513,PROP,GPE,UK
10,517,517,PROP,GPE,Croydon
495,567,568,NOM,PER,the publisher
496,610,611,NOM,PER,No man
496,619,619,PRON,PER,He
496,628,628,PRON,PER,he
198,632,633,PROP,PER,Mary Wollstonecraft
261,635,635,PROP,PER,Simon
261,645,645,PRON,PER,his
497,645,646,NOM,FAC,his house
261,648,648,PRON,PER,He
498,652,653,NOM,FAC,another home
499,657,669,NOM,GPE,the place his parents had brought him back to when he was born
261,659,659,PRON,PER,his
500,659,660,NOM,PER,his parents
261,663,663,PRON,PER,him
261,667,667,PRON,PER,he
261,671,671,PRON,PER,He
501,679,682,NOM,FAC,the Brooklyn row house
261,684,684,PRON,PER,He
502,688,689,NOM,FAC,the street
503,716,717,NOM,FAC,this house
261,718,718,PRON,PER,his
504,718,719,NOM,PER,his family
261,724,724,PRON,PER,his
505,724,725,NOM,PER,his father
261,730,730,PRON,PER,he
200,733,733,PROP,PER,Clary
261,739,739,PRON,PER,He
506,749,750,NOM,FAC,the house
261,755,755,PRON,PER,him
261,760,760,PRON,PER,he
261,763,763,PRON,PER,his
507,763,764,NOM,PER,his mother
507,766,766,PRON,PER,she
261,769,769,PRON,PER,him
508,770,771,NOM,PER,a monster
261,775,775,PRON,PER,him
261,777,777,PRON,PER,he
261,782,782,PRON,PER,He
507,785,785,PRON,PER,her
261,788,788,PRON,PER,he
509,790,791,NOM,PER,a vampire
261,798,798,PRON,PER,he
213,815,816,PROP,LOC,Lost Souls
261,822,822,PRON,PER,he
261,834,834,PRON,PER,him
261,836,836,PRON,PER,he
196,854,854,PROP,PER,David
201,886,886,PROP,PER,God
261,893,893,PRON,PER,he
261,895,895,PRON,PER,his
261,910,910,PRON,PER,He
261,919,919,PRON,PER,his
261,927,927,PRON,PER,he
261,946,946,PRON,PER,He
506,958,959,NOM,FAC,the house
202,962,962,PROP,PER,Mom
261,965,965,PRON,PER,he
202,969,969,PROP,PER,Mom
261,973,973,PRON,PER,me
261,993,993,PRON,PER,His
261,998,998,PRON,PER,his
507,998,999,NOM,PER,his mother
507,1003,1003,PRON,PER,her
507,1007,1007,PRON,PER,she
261,1011,1011,PRON,PER,He
202,1024,1024,PROP,PER,Mom
261,1027,1027,PRON,PER,His
202,1032,1032,PROP,PER,Mom
261,1039,1039,PRON,PER,me
261,1044,1044,PRON,PER,me
261,1046,1046,PROP,PER,Simon
507,1055,1055,PRON,PER,she
507,1065,1065,PRON,PER,Her
3126,1075,1075,NOM,PER,Murderer
261,1079,1079,PRON,PER,I
3127,1083,1083,NOM,PER,people
261,1086,1086,PROP,PER,Simon
261,1088,1088,PRON,PER,his
261,1094,1094,PRON,PER,He
261,1096,1096,PRON,PER,he
507,1111,1111,PRON,PER,I
507,1113,1113,PRON,PER,you
507,1115,1115,PRON,PER,I
507,1122,1122,PRON,PER,You
507,1124,1124,PRON,PER,my
3128,1124,1125,NOM,PER,my son
507,1128,1128,PRON,PER,she
507,1132,1132,PRON,PER,You
3128,1134,1134,PRON,PER,him
3128,1140,1140,PRON,PER,his
507,1145,1145,PRON,PER,I
507,1147,1147,PRON,PER,your
3129,1147,1148,NOM,PER,your son
507,1152,1152,PRON,PER,You
3128,1154,1154,PRON,PER,his
3128,1159,1159,PRON,PER,his
507,1163,1163,PRON,PER,you
3128,1166,1166,PRON,PER,him
507,1168,1168,PRON,PER,You
261,1171,1171,PROP,PER,Simon
507,1174,1174,PRON,PER,Her
507,1186,1186,PRON,PER,my
3130,1186,1187,NOM,FAC,my house
507,1189,1189,PRON,PER,I
261,1191,1191,PRON,PER,you
3131,1193,1193,NOM,PER,monster
203,1197,1197,PROP,PER,Prologue
204,1199,1199,PROP,PER,Becky
512,1202,1202,PRON,PER,he
512,1205,1205,PRON,PER,His
512,1210,1210,PRON,PER,he
512,1212,1212,PRON,PER,his
512,1225,1225,PRON,PER,His
512,1233,1233,PRON,PER,you
204,1235,1235,PROP,PER,Becky
512,1242,1242,PRON,PER,your
3132,1242,1243,NOM,PER,your sister
261,1245,1245,PROP,PER,Simon
