start_token,end_token,supersense_category,text
2,4,noun.group,WORLD OF THE
9,9,verb.emotion,CAPTIVATED
10,10,noun.quantity,36
16,16,noun.animal,queen
18,18,noun.cognition,fantasy
22,24,noun.group,Wall Street Journal
28,28,noun.communication,read
35,36,noun.group,Mortal Instruments
37,37,noun.communication,series
38,38,verb.stative,is
40,40,noun.communication,story
41,41,noun.object,world
43,43,verb.emotion,love
45,45,verb.stative,live
51,52,noun.person,Stephenie Meyer
55,55,noun.communication,tale
56,56,verb.change,edged
58,58,noun.phenomenon,lightning
60,60,verb.creation,driven
62,62,noun.attribute,power
64,64,noun.feeling,love
67,68,noun.person,Tamora Pierce
70,70,noun.person,Cassie
72,72,noun.communication,writing
73,73,verb.change,makes
75,75,noun.body,toes
76,76,verb.change,curl
78,78,noun.feeling,envy
81,81,verb.stative,is
84,84,noun.person,writer
87,87,verb.creation,write
92,92,noun.communication,fantasy
95,95,noun.communication,language
98,98,noun.communication,characters
101,101,verb.stative,is
104,104,verb.possession,find
108,108,verb.creation,do
113,113,noun.cognition,things
117,117,verb.possession,find
121,121,verb.social,do
124,124,verb.stative,is
140,141,noun.act,thrill ride
147,147,noun.location,Clare
150,150,noun.location,setting
151,151,verb.stative,is
156,156,noun.person,Werewolves
158,158,noun.person,vampires
160,160,noun.person,angels
162,162,noun.person,fairies
164,164,verb.stative,fit
168,168,noun.state,milieu
172,172,noun.location,core
177,177,verb.stative,is
180,180,noun.communication,story
182,182,noun.group,family
183,183,noun.communication,secrets
189,189,noun.time,age
190,190,noun.state,identity
191,191,noun.event,crises
193,193,noun.person,Fans
199,199,noun.cognition,horror
208,208,verb.social,fall
211,211,noun.communication,series
214,215,noun.group,Publishers Weekly
218,218,noun.communication,story
221,221,noun.state,flavor
222,222,verb.stative,comes
225,225,noun.attribute,wealth
227,227,noun.communication,detail
229,229,noun.person,demons
232,232,noun.body,piercings
234,234,noun.food,diners
235,235,verb.consumption,serving
236,236,noun.food,locusts
238,238,noun.food,honey
242,242,noun.person,warlocks
245,245,noun.communication,cameo
246,246,noun.act,appearances
250,250,noun.cognition,fantasies
252,252,noun.cognition,characters
266,272,noun.group,DEVICES Clockwork Angel Clockwork Prince Clockwork Princess
274,276,noun.group,MORTAL INSTRUMENTS City
278,279,noun.location,Bones City
281,282,noun.location,Ashes City
284,285,noun.location,Glass City
292,293,noun.location,Souls City
295,296,noun.location,Heavenly Fire
300,301,noun.group,CODEX With
302,303,noun.person,Joshua Lewis
305,306,noun.person,BANE CHRONICLES
308,310,noun.person,Sarah Rees Brennan
312,313,noun.person,Maureen Johnson
326,328,noun.person,Sarah Rees Brennan
330,331,noun.person,Maureen Johnson
333,333,noun.person,Robin
344,344,noun.location,City
355,355,noun.person,Tim
357,357,noun.person,David
362,362,verb.stative,is
364,364,noun.artifact,work
366,366,noun.communication,fiction
368,368,noun.communication,Names
370,370,noun.communication,characters
372,372,noun.location,places
374,374,noun.event,incidents
375,375,verb.stative,are
378,378,noun.artifact,product
381,381,noun.person,author
383,383,noun.cognition,imagination
389,389,verb.consumption,used
393,393,noun.communication,statements
395,395,noun.act,activities
397,397,noun.act,stunts
399,399,noun.communication,descriptions
401,401,noun.communication,information
403,403,noun.communication,material
407,407,noun.cognition,kind
408,408,verb.stative,contained
411,411,verb.cognition,included
413,413,noun.act,entertainment
414,414,noun.cognition,purposes
420,421,verb.cognition,relied on
423,423,noun.attribute,accuracy
425,425,verb.communication,replicated
429,429,verb.stative,result
431,431,noun.state,injury
434,434,verb.creation,published
436,437,noun.location,Great Britain
440,442,noun.group,Walker Books Ltd
444,445,noun.location,Vauxhall Walk
447,447,noun.location,London
450,450,noun.communication,edition
451,451,verb.change,published
457,457,noun.communication,Text
464,464,noun.communication,illustration
471,471,noun.attribute,right
473,474,noun.person,Cassandra Clare
477,477,verb.communication,identified
479,479,noun.person,author
482,482,noun.artifact,work
485,485,verb.communication,asserted
489,489,noun.communication,accordance
492,492,noun.communication,Copyright
496,496,noun.communication,Patents
500,500,noun.communication,book
503,503,noun.communication,typeset
508,508,verb.change,bound
510,511,noun.group,CPI Group
513,515,noun.group,UK ) Ltd
517,518,noun.location,Croydon CRo
521,521,noun.communication,rights
522,522,verb.possession,reserved
525,525,noun.artifact,part
528,528,noun.communication,book
531,531,verb.contact,reproduced
533,533,verb.contact,transmitted
535,535,verb.contact,stored
538,539,noun.communication,information retrieval
540,540,noun.artifact,system
543,543,noun.communication,form
555,555,verb.stative,including
556,556,noun.act,photocopying
558,558,noun.act,taping
560,560,noun.act,recording
565,565,noun.communication,permission
568,568,noun.group,publisher
572,572,noun.communication,Cataloguing
578,578,noun.communication,catalogue
579,579,noun.communication,record
582,582,noun.communication,book
583,583,verb.stative,is
601,602,noun.group,www.fsc.org MIX
603,603,noun.communication,Paper
606,606,noun.group,sources
611,611,noun.person,man
612,612,verb.cognition,chooses
613,613,noun.attribute,evil
616,616,verb.stative,is
617,617,noun.attribute,evil
621,621,verb.cognition,mistakes
624,624,noun.feeling,happiness
627,627,noun.attribute,good
629,629,verb.emotion,seeks
632,635,noun.person,Mary Wollstonecraft Prologue Simon
636,636,verb.contact,stood
638,638,verb.perception,stared
642,643,noun.artifact,front door
646,646,noun.artifact,house
651,651,verb.cognition,known
653,653,noun.artifact,home
656,656,verb.stative,was
658,658,noun.location,place
660,660,noun.person,parents
662,662,verb.motion,brought
673,674,verb.social,grown up
677,677,noun.artifact,walls
680,680,noun.location,Brooklyn
681,682,noun.artifact,row house
686,686,verb.body,played
689,689,noun.artifact,street
693,693,noun.state,shade
696,696,noun.plant,trees
699,699,noun.time,summer
703,703,verb.creation,made
705,705,noun.artifact,sleds
708,710,noun.artifact,garbage can lids
713,713,noun.time,winter
717,717,noun.artifact,house
719,719,noun.group,family
721,721,verb.motion,sat
725,725,noun.person,father
727,727,verb.change,died
732,732,verb.contact,kissed
733,733,noun.person,Clary
742,742,verb.creation,imagined
744,744,noun.time,day
747,747,noun.artifact,door
750,750,noun.artifact,house
759,759,noun.event,time
762,762,verb.motion,seen
764,764,noun.person,mother
768,768,verb.communication,called
771,771,noun.person,monster
773,773,verb.communication,prayed
779,780,verb.motion,go away
784,784,verb.communication,made
786,786,verb.cognition,forget
789,789,verb.stative,was
791,791,noun.person,vampire
793,793,verb.consumption,using
795,795,noun.attribute,glamour
801,801,verb.cognition,known
813,816,noun.location,City of Lost Souls
817,817,noun.attribute,glamour
819,819,verb.stative,last
823,823,verb.contact,stood
828,828,noun.location,air
830,830,verb.perception,staring
837,837,verb.cognition,knew
841,841,verb.stative,lasted
842,842,noun.time,long
