COREF,start_token,end_token,prop,cat,text
3065,1,1,PRON,PER,me
218,5,5,PRON,PER,I
218,11,11,PRON,PER,She
0,18,18,PRON,PER,my
218,22,22,PRON,PER,You
0,26,26,PRON,PER,me
0,31,31,PRON,PER,I
218,38,38,PRON,PER,She
0,40,40,PRON,PER,my
218,46,46,PRON,PER,me
0,47,47,PRON,PER,you
218,71,71,PRON,PER,me
0,73,73,PRON,PER,you
1,81,81,PROP,GPE,Zumorda
1,83,83,PRON,PER,its
3066,83,84,NOM,PER,its people
58,92,92,PROP,PER,STARS
2,104,105,PROP,ORG,Publishers Weekly
59,118,118,PRON,PER,I
59,121,121,PRON,PER,I
3067,123,125,NOM,PER,a young teenager
3068,155,155,PRON,PER,we
3068,160,160,PRON,PER,our
3069,160,162,NOM,LOC,our real world
59,166,167,PROP,PER,Caitlyn Paxson
60,169,169,PROP,PER,NPR
0,181,181,PRON,PER,You
61,186,186,PROP,PER,Denna
62,188,188,PROP,PER,Mare
3070,190,190,PRON,PER,their
3071,196,197,NOM,PER,each other
63,201,202,PROP,PER,Malinda Lo
64,208,208,PROP,PER,Huntress
3,227,228,PROP,FAC,ALA Booklist
3072,248,254,NOM,PER,those who appreciate character - driven novels
66,261,261,PRON,PER,I
66,282,282,PRON,PER,I
3073,291,296,NOM,PER,not one but two wonderful heroines
66,298,298,PRON,PER,I
65,305,305,PROP,PER,Audrey
66,313,314,PROP,PER,Mercedes Lackey
4,316,317,PROP,GPE,New York
67,331,331,PROP,PER,Coulthursts
68,339,339,PRON,PER,I
3074,342,346,NOM,PER,"these smart , fierce princesses"
3074,356,356,PRON,PER,they
68,367,368,PROP,PER,Corinne Duyvis
219,375,378,NOM,LOC,the Edge of Cone
5,378,378,PROP,GPE,Cone
0,379,379,PRON,PER,i
3075,399,399,PRON,PER,we
69,408,409,PROP,PER,Amy Tintera
3076,422,430,NOM,PER,"two unique , brave , and endearing young women"
65,436,437,PROP,PER,Audrey Coulthurst
220,438,449,NOM,GPE,Of Fire and Stars Of Ice and Shadows AUDREY COULTHURST INKMISTRESS BALZER
70,457,457,PROP,PER,Balzer
70,459,459,PROP,PER,Bray
6,464,465,PROP,ORG,HarperCollins Publishers
65,472,474,PROP,PER,Audrey Coulthurst Map
7,480,481,PROP,FAC,Jordan Saia
221,488,492,NOM,GPE,the United States of America
8,492,492,PROP,GPE,America
222,533,537,NOM,ORG,a division of HarperCollins Publishers
6,536,537,PROP,FAC,HarperCollins Publishers
10,540,540,PROP,GPE,Broadway
4,542,543,PROP,GPE,New York
71,561,562,PROP,PER,Torborg Davern
72,580,580,PROP,PER,Casi
223,582,591,NOM,PER,the one who taught me about love START OF BOOK
0,586,586,PRON,PER,me
224,595,595,PRON,PER,OUR
0,599,599,PRON,PER,I
0,601,601,PRON,PER,I
0,637,637,PRON,PER,me
224,640,640,PRON,PER,we
225,644,645,NOM,LOC,the woods
226,651,651,PRON,PER,she
226,653,653,PRON,PER,her
0,656,656,PRON,PER,my
0,659,659,PRON,PER,I
0,661,661,PRON,PER,mine
226,667,667,PRON,PER,hers
226,671,671,PRON,PER,she
0,673,673,PRON,PER,me
224,675,675,PRON,PER,we
227,688,692,NOM,LOC,the cave I called home
0,690,690,PRON,PER,I
228,692,692,NOM,FAC,home
226,700,700,PRON,PER,her
0,705,705,PRON,PER,me
226,713,713,PRON,PER,she
226,725,725,PRON,PER,her
0,728,728,PRON,PER,me
0,740,740,PRON,PER,I
0,742,742,PRON,PER,my
0,755,755,PRON,PER,my
0,767,767,PRON,PER,My
0,788,788,PRON,PER,my
0,799,799,PRON,PER,my
229,799,800,NOM,LOC,my cave
0,821,821,PRON,PER,My
