start_token,end_token,supersense_category,text
7,7,verb.social,do
12,12,verb.contact,reached
15,15,noun.artifact,table
17,17,verb.contact,took
19,19,noun.body,hand
25,25,verb.communication,make
28,28,noun.communication,promise
32,32,verb.communication,said
39,39,verb.contact,squeezed
41,41,noun.body,hand
44,44,verb.communication,Swear
50,50,verb.social,try
52,52,noun.act,ritual
57,57,noun.state,resort
62,63,verb.stative,turns out
65,65,verb.stative,be
68,68,noun.communication,answer
70,70,verb.communication,promise
76,76,verb.body,act
79,79,noun.attribute,interest
81,81,noun.person,Zumorda
84,84,noun.group,people
87,87,noun.communication,Praise
89,92,noun.group,OF FIRE AND STARS
99,100,noun.communication,love story
104,105,noun.group,Publishers Weekly
108,108,noun.communication,review
114,114,noun.cognition,kinds
116,117,noun.communication,fantasy books
119,119,verb.emotion,loved
122,122,verb.stative,was
125,125,noun.person,teenager
127,127,noun.communication,tales
130,130,noun.feeling,angst
132,132,noun.animal,horses
136,136,noun.process,blossoming
139,139,noun.feeling,love
142,142,noun.communication,book
143,143,verb.stative,is
147,147,verb.creation,create
149,149,noun.cognition,world
151,151,verb.stative,moves
154,154,noun.feeling,prejudices
158,158,verb.competition,fighting
162,162,noun.object,world
166,167,noun.person,Caitlyn Paxson
179,179,noun.cognition,fantasy
184,184,verb.emotion,captivated
186,186,noun.person,Denna
188,188,noun.person,Mare
194,194,noun.feeling,love
201,202,noun.person,Malinda Lo
204,204,noun.person,author
214,214,noun.act,debut
216,216,verb.social,succeeds
220,220,noun.act,adventure
223,223,noun.communication,romance
232,232,noun.act,mayhem
234,234,noun.cognition,magic
236,236,noun.communication,romance
239,239,noun.animal,horses
243,243,noun.cognition,fantasy
246,246,verb.communication,appeal
250,250,verb.emotion,appreciate
251,251,noun.person,character
254,254,noun.communication,novels
262,262,verb.change,devoured
275,275,noun.act,debut
281,281,noun.cognition,things
283,283,verb.emotion,like
287,288,noun.communication,fantasy story
290,290,verb.stative,including
296,296,noun.person,heroines
300,301,verb.cognition,looking forward
303,303,verb.creation,seeing
305,305,noun.person,Audrey
306,306,verb.social,does
309,309,noun.time,future
313,314,noun.person,Mercedes Lackey
316,318,noun.group,New York Times
320,320,noun.person,author
324,324,noun.communication,books
326,326,verb.stative,including
329,329,noun.communication,series
331,331,noun.person,Coulthursts
333,333,noun.act,debut
334,334,verb.stative,is
337,337,noun.feeling,delight
340,340,verb.emotion,loved
341,341,verb.perception,seeing
346,346,noun.person,princesses
347,347,verb.change,fall
354,354,noun.feeling,love
357,357,verb.communication,investigate
359,359,noun.act,assassinations
361,361,verb.communication,unravel
363,363,noun.person,conspiracies
367,368,noun.person,Corinne Duyvis
370,370,noun.person,author
386,386,verb.change,bursting
389,389,noun.cognition,characters
395,395,verb.stative,is
397,398,noun.communication,fantasy novel
