start_token,end_token,supersense_category,text
14,14,noun.person,BRIDE
21,22,noun.location,RUSSEL MIDDLEBROOK
25,25,noun.communication,BOOK
32,32,noun.communication,book
35,35,verb.creation,published
38,38,noun.communication,title
42,42,noun.act,Attack
48,49,noun.substance,brain Zombies
67,67,verb.possession,reserved
70,70,noun.event,events
72,72,noun.communication,characters
75,75,noun.communication,book
76,76,verb.stative,are
81,81,noun.attribute,similarity
83,83,noun.event,events
85,85,noun.group,people
91,91,verb.stative,is
96,96,noun.relation,part
99,99,noun.communication,book
102,102,verb.consumption,used
104,104,verb.social,reproduced
107,107,noun.cognition,matter
110,110,noun.communication,permission
114,114,noun.state,case
117,117,noun.communication,quotations
118,118,verb.communication,embodied
121,121,noun.communication,articles
123,123,noun.communication,reviews
126,126,noun.communication,information
129,129,verb.communication,contact
131,134,noun.person,Buddha Kitty Books www.brenthartinger
138,138,noun.act,design
140,141,noun.person,April Martinez
161,161,noun.communication,CHAPTER
165,165,verb.contact,standing
168,168,noun.location,daylight
174,174,noun.artifact,corridor
176,176,noun.substance,stone
179,179,noun.substance,air
180,180,verb.stative,was
191,191,noun.body,bodies
192,192,verb.motion,lurched
194,194,verb.body,groaned
199,199,noun.person,friend
200,200,noun.person,Gunnar
201,201,verb.communication,motioned
208,208,noun.person,friend
209,209,noun.person,Min
214,215,noun.artifact,bulletin board
219,219,noun.group,row
221,221,noun.artifact,lockers
224,224,noun.person,Russ
226,226,noun.person,Min
230,230,verb.communication,said
236,236,verb.motion,come
237,237,verb.social,see
243,243,verb.contact,standing
246,246,noun.substance,concrete
247,247,noun.artifact,hallways
249,253,noun.group,Robert L. Goodkind High School
260,261,noun.group,high school
262,262,noun.person,students
267,267,verb.stative,was
274,274,verb.cognition,expect
278,278,noun.animal,zombies
284,284,noun.artifact,crypt
285,285,noun.cognition,imagery
294,295,noun.location,Russel Middlebrook
298,298,verb.social,trying
300,300,verb.stative,be
309,309,verb.stative,do
312,312,noun.artifact,flier
315,316,noun.person,best friend
317,317,noun.person,Gunnar
319,319,verb.perception,seen
322,323,noun.artifact,bulletin board
329,329,verb.cognition,read
335,335,noun.communication,print
337,337,verb.communication,said
340,341,noun.person,BRENT HARTINGER
342,342,noun.person,Teenagers
345,345,noun.person,extras
348,349,noun.communication,horror film
362,362,verb.creation,produced
365,365,noun.location,area
368,368,verb.social,let
370,370,verb.communication,turn
376,376,noun.person,zombies
380,380,verb.stative,was
381,381,noun.act,contact
382,382,noun.communication,info
387,387,verb.creation,filming
389,389,noun.communication,zombie
390,390,noun.communication,movie
392,392,noun.location,town
397,397,noun.person,teenagers
399,399,verb.stative,be
400,400,noun.person,extras
414,414,noun.person,Gunnar
416,416,verb.communication,saying
420,420,verb.consumption,taking
422,422,noun.act,breath
427,427,verb.perception,seen
433,433,verb.perception,found
434,434,noun.plant,lamprey
435,435,noun.animal,eels
438,438,noun.object,creek
441,441,noun.artifact,houses
445,445,verb.communication,face
448,448,noun.person,Gunnar
449,449,verb.stative,was
453,453,noun.person,geek
457,457,verb.emotion,loved
460,460,verb.change,got
464,464,noun.cognition,things
469,469,noun.state,exclusion
475,475,verb.stative,was
478,478,noun.location,Norway
481,481,verb.possession,has
482,482,noun.quantity,nothing
484,484,verb.stative,do
490,490,verb.stative,has
493,493,noun.communication,accent
496,496,noun.group,people
499,500,verb.communication,make fun
508,508,verb.cognition,figured
510,510,verb.stative,was
514,514,verb.cognition,know
524,524,noun.animal,zombies
527,527,noun.person,Min
528,528,verb.communication,said
531,531,noun.time,Halloween
532,532,verb.stative,was
534,534,noun.time,weeks
539,539,verb.stative,was
543,543,verb.stative,was
547,547,noun.time,week
549,549,noun.time,November
554,554,verb.creation,filming
556,556,noun.communication,movie
559,559,noun.person,Gunnar
560,560,verb.communication,said
564,564,verb.communication,releasing
574,574,noun.body,brain
575,575,noun.animal,zombie
580,580,verb.communication,asked
584,584,verb.cognition,know
587,587,noun.person,Min
588,588,verb.communication,said
592,592,noun.person,zombies
598,599,verb.stative,make sense
604,604,verb.stative,'m
608,608,verb.communication,explained
611,611,noun.communication,script
614,614,noun.person,Gunnar
615,615,verb.communication,said
635,635,verb.cognition,know
641,641,verb.stative,was
642,642,noun.person,Gunnar
644,644,noun.person,girlfriend
647,647,verb.stative,was
653,653,verb.stative,was
658,658,noun.attribute,way
665,665,verb.cognition,know
668,668,noun.person,Min
669,669,verb.communication,said
672,672,verb.stative,was
674,674,noun.group,school
675,675,noun.person,egghead
679,679,verb.stative,was
683,685,noun.person,Chow Mein Brain
688,688,noun.communication,term
699,699,verb.stative,was
708,708,verb.stative,was
715,715,noun.body,face
722,722,verb.body,put
724,724,noun.attribute,streaks
727,727,noun.body,hair
731,731,verb.stative,was
741,741,verb.emotion,loved
742,742,noun.person,monster
743,743,noun.communication,movies
749,749,verb.cognition,thought
753,753,verb.emotion,wanted
755,755,verb.stative,be
760,760,verb.perception,looked
775,775,verb.communication,said
778,778,noun.quantity,Nothing
783,783,verb.emotion,like
785,785,verb.cognition,think
791,791,noun.person,guy
795,795,verb.cognition,knew
798,798,verb.communication,lying
800,800,noun.person,Min
801,801,verb.stative,was
806,806,verb.creation,had
808,808,noun.state,luck
813,813,noun.person,guys
815,815,noun.person,girls
819,819,verb.cognition,relate
828,829,verb.change,came out
832,832,noun.time,spring
836,837,verb.emotion,felt like
841,841,noun.person,person
844,844,noun.group,universe
848,848,verb.possession,had
850,850,noun.person,boyfriend
855,855,noun.person,guy
856,856,verb.communication,named
857,857,noun.person,Otto
863,863,verb.stative,lived
866,866,noun.quantity,miles
872,872,noun.animal,zombie
873,873,noun.event,thing
875,875,verb.stative,be
880,880,verb.communication,said
882,882,noun.person,Min
885,885,noun.communication,Yes
891,891,verb.perception,stared
897,897,noun.artifact,hall
903,903,verb.stative,be
910,910,noun.person,Min
911,911,verb.motion,met
913,913,noun.act,gaze
916,916,noun.communication,No
930,930,noun.person,Gunnar
931,931,verb.communication,said
938,938,verb.stative,be
941,941,noun.person,Min
942,942,verb.body,sighed
946,946,noun.group,people
947,947,verb.stative,are
967,967,verb.social,doing
970,970,noun.state,thing
973,974,noun.person,zombie extras
977,977,noun.communication,movie
978,978,noun.group,set
986,986,verb.cognition,know
991,991,verb.cognition,thinking
993,993,verb.emotion,feeling
997,997,verb.stative,be
1001,1001,noun.event,experience
1009,1010,noun.person,BRENT HARTINGER
1013,1013,verb.communication,say
1017,1017,verb.stative,was
1018,1018,noun.person,Min
1023,1023,noun.body,face
1028,1028,verb.stative,be
1038,1038,verb.cognition,knew
1045,1045,verb.emotion,feeling
1053,1053,verb.communication,said
1056,1057,noun.person,Zombie guts
1058,1058,verb.stative,are
1060,1060,noun.attribute,guts
1061,1061,verb.stative,are
1063,1063,noun.attribute,guts
1067,1067,verb.stative,was
1069,1069,noun.communication,play
1072,1072,noun.communication,poem
1076,1076,noun.plant,rose
1077,1077,verb.stative,is
1079,1079,noun.plant,rose
1080,1080,verb.stative,is
1082,1082,noun.plant,rose
1091,1092,verb.motion,go around
1093,1093,verb.communication,quoting
1094,1095,noun.person,Gertrude Stein
1102,1102,verb.cognition,knew
1103,1103,noun.person,Min
1105,1105,verb.stative,being
1111,1111,verb.possession,get
1113,1113,noun.communication,reference
1121,1121,verb.communication,said
1125,1125,noun.attribute,guts
1127,1127,verb.communication,mean
1129,1129,noun.state,thing
1143,1143,verb.stative,were
1151,1151,verb.stative,be
1156,1156,verb.stative,be
1159,1159,noun.event,experience
1164,1164,verb.communication,bet
1167,1167,noun.quantity,dollars
1171,1171,verb.social,do
1176,1176,verb.perception,have
1179,1179,noun.event,experiences
1189,1189,verb.communication,mean
1193,1193,noun.person,Gunnar
1194,1194,verb.change,erupted
1197,1197,verb.communication,interrupted
1201,1201,noun.person,PAiough
1205,1205,noun.cognition,philosophy
1206,1206,noun.communication,talk
1210,1210,verb.communication,said
1217,1217,verb.social,do
1219,1220,noun.communication,zombie movie
1228,1229,verb.emotion,calm down
1233,1233,verb.communication,said
1241,1241,noun.person,Extras
1245,1245,noun.communication,movie
1250,1250,noun.quantity,three
1256,1256,verb.social,do
1268,1268,noun.time,days
1271,1271,noun.person,Min
1273,1273,noun.person,Gunnar
1275,1275,noun.person,Em
1279,1280,verb.motion,trundled off
1284,1284,noun.group,meeting
1286,1286,noun.person,extras
1288,1288,verb.emotion,wanted
1290,1290,verb.stative,be
1299,1299,noun.person,Zombies
1303,1303,verb.social,held
1306,1306,noun.time,afternoon
1309,1309,noun.artifact,auditorium
1313,1314,noun.group,high school
1320,1320,verb.social,closed
1323,1323,noun.time,year
1325,1325,noun.act,remodeling
1330,1330,noun.person,teenagers
1334,1334,verb.motion,shifted
1339,1339,noun.artifact,seats
1343,1343,verb.perception,recognized
1351,1351,verb.motion,come
1355,1356,noun.group,high schools
1360,1360,noun.location,area
1365,1365,noun.communication,turnout
1366,1366,verb.emotion,surprised
1373,1373,verb.creation,imagine
1375,1375,noun.person,teenager
1377,1377,verb.emotion,wanting
1379,1379,verb.body,play
1381,1381,noun.person,zombie
1385,1385,noun.communication,movie
1392,1392,verb.cognition,learned
1399,1399,verb.cognition,reminded
1402,1402,noun.event,times
1407,1407,verb.emotion,interested
1412,1412,verb.emotion,interest
1414,1414,noun.group,people
1419,1419,verb.stative,were
1423,1423,noun.person,divas
1426,1426,noun.group,schools
1429,1429,noun.communication,drama
1430,1430,noun.group,clubs
1437,1437,noun.group,people
1440,1441,verb.motion,showed up
1442,1442,verb.stative,were
1445,1445,noun.person,geeks
1449,1449,noun.person,zombies
1452,1452,noun.communication,movie
1456,1456,verb.stative,be
1464,1464,noun.body,faces
1466,1466,noun.body,intestines
1467,1467,verb.stative,hanging
1473,1473,verb.perception,have
1476,1476,noun.Tops,knowledge
1478,1478,noun.cognition,calculus
1481,1482,noun.communication,Star Trek
1483,1483,noun.communication,reruns
1486,1486,noun.food,Carrots
1488,1488,noun.food,peas
1491,1491,noun.person,Gunnar
1492,1492,verb.communication,said
1503,1503,verb.communication,said
1509,1509,noun.communication,movie
1510,1510,noun.person,extras
1514,1514,verb.communication,say
1516,1516,verb.change,make
1518,1518,verb.perception,look
1523,1523,verb.communication,talking
1527,1527,verb.communication,explained
1533,1533,verb.communication,say
1535,1535,noun.communication,words
1539,1539,verb.communication,repeat
1541,1541,noun.communication,phrase
1543,1543,noun.animal,carrots
1545,1545,noun.food,peas
1557,1557,noun.person,Em
1558,1558,verb.communication,said
1569,1569,noun.cognition,thing
1573,1573,verb.possession,get
1577,1577,verb.communication,said
1580,1580,verb.stative,is
1585,1585,verb.creation,film
1587,1587,noun.communication,movie
1590,1590,noun.time,summer
1594,1594,noun.quantity,Lots
1596,1596,noun.motive,reasons
1599,1599,noun.person,Gunnar
1600,1600,verb.communication,said
1609,1609,noun.act,financing
1615,1615,verb.consumption,needed
1618,1618,noun.artifact,shots
1620,1620,verb.stative,be
1621,1621,noun.time,autumn
1628,1628,noun.cognition,thing
1630,1630,noun.act,filmmaking
1635,1635,verb.stative,be
1640,1641,noun.person,BRENT HARTINGER
1647,1647,noun.person,extras
1648,1648,verb.stative,are
1649,1650,noun.group,high school
1651,1651,noun.person,students
1655,1656,verb.communication,pointed out
1661,1661,noun.time,week
1665,1665,verb.stative,be
1667,1667,noun.group,class
1669,1669,noun.time,day
1679,1679,verb.communication,shoot
1681,1681,noun.communication,scenes
1685,1685,verb.stative,need
1686,1686,noun.person,extras
1689,1689,noun.location,background
1692,1692,noun.person,Gunnar
1695,1695,verb.social,done
1697,1697,noun.act,research
1700,1700,verb.cognition,knew
1707,1707,verb.stative,become
1709,1709,noun.person,expert
1715,1715,verb.creation,making
1716,1716,noun.communication,movies
1720,1720,noun.time,minutes
1724,1724,noun.person,guys
1725,1725,verb.motion,plodded
