start_token,end_token,supersense_category,text
5,6,noun.group,Russel Middlebrook
7,7,noun.communication,Series
9,9,noun.communication,Book
11,12,noun.person,Brent Hartinger
19,20,noun.person,Brent Hartinger
26,26,noun.event,events
28,28,noun.attribute,characters
31,31,noun.communication,book
32,32,verb.stative,are
37,37,noun.attribute,similarity
39,39,noun.event,events
41,41,noun.group,people
43,43,verb.stative,living
47,47,verb.stative,is
55,55,noun.relation,part
58,58,noun.communication,book
61,61,verb.consumption,used
63,63,verb.creation,reproduced
66,66,noun.cognition,matter
69,69,noun.communication,permission
73,73,noun.state,case
76,76,noun.communication,quotations
77,77,verb.stative,embodied
80,80,noun.communication,articles
82,82,noun.communication,reviews
85,85,noun.communication,information
88,88,verb.communication,contact
90,91,noun.person,Buddha Kitty
93,95,noun.group,Books www.brenthartinger.com Cover
96,96,noun.act,design
98,99,noun.person,April Martinez
106,107,noun.person,Michael Jensen
110,111,noun.person,Harold Hartinger
113,113,noun.person,men
117,117,verb.cognition,know
120,120,verb.cognition,surprise
127,127,verb.stative,is
130,130,noun.communication,book
133,134,noun.person,Russel Middlebrook
135,135,noun.communication,Series
138,138,noun.communication,story
142,142,noun.person,teenager
144,144,noun.person,Russel
147,147,noun.group,collection
150,150,noun.person,friends
153,153,noun.person,Min
156,156,verb.stative,is
160,160,noun.person,Gunnar
163,163,verb.stative,is
167,168,noun.group,Geography Club
172,172,noun.communication,book
175,175,noun.communication,series
177,177,noun.person,Russel
179,179,noun.person,Min
180,180,verb.creation,create
184,184,noun.group,group
187,187,noun.artifact,school
191,191,verb.communication,call
193,194,noun.location,Geography Club
196,196,verb.cognition,thinking
198,198,verb.perception,sounds
203,203,noun.person,person
205,205,verb.social,join
210,210,noun.person,members
211,211,verb.stative,is
212,212,noun.person,Kevin
216,216,noun.person,jock
219,219,noun.person,Russel
220,220,verb.change,begins
221,221,verb.stative,dating
225,225,noun.person,Min
226,226,verb.communication,suggests
228,228,verb.communication,ask
229,230,noun.person,Brian Bund
233,233,noun.group,school
234,234,noun.person,outcast
237,237,verb.social,join
239,239,noun.group,group
242,242,noun.cognition,issue
243,243,verb.change,splits
245,245,noun.group,membership
247,247,noun.person,Kevin
249,249,verb.emotion,wants
251,251,verb.stative,keep
253,253,noun.group,club
260,260,noun.state,disagreement
261,261,verb.communication,causes
263,264,noun.group,Geography Club
266,266,verb.change,implode
268,268,noun.person,Russel
269,269,verb.stative,is
273,273,noun.person,Kevin
276,278,verb.competition,stand up for
281,281,noun.person,Kevin
283,283,verb.communication,apologizes
291,291,noun.person,Russel
292,292,verb.cognition,decides
294,295,noun.person,BRENT HARTINGER
299,299,verb.emotion,love
