COREF,start_token,end_token,prop,cat,text
76,13,14,PROP,PER,BRENT HARTINGER
76,20,21,PROP,PER,Brent Hartinger
159,42,42,NOM,PER,people
55,88,90,PROP,PER,Buddha Kitty Books
160,108,119,NOM,PER,A founding member of the Order of the Poison Oak And for
56,120,121,PROP,PER,Michael Jensen
0,125,125,PRON,PER,I
0,135,135,PRON,PER,I
0,146,146,PRON,PER,me
0,158,158,PRON,PER,my
0,162,162,PRON,PER,I
0,174,174,PRON,PER,I
0,183,183,PRON,PER,I
0,200,200,PRON,PER,me
161,209,212,NOM,PER,the students around me
0,212,212,PRON,PER,me
162,217,217,NOM,FAC,class
163,219,219,NOM,PER,1
164,223,230,NOM,FAC,the hallway of Robert L. Goodkind High School
1,226,230,PROP,FAC,Robert L. Goodkind High School
0,235,235,PRON,PER,my
165,235,237,NOM,FAC,my first class
166,251,251,PRON,PER,you
0,261,261,PRON,PER,me
0,275,275,PRON,PER,my
167,275,276,NOM,PER,my classmates
0,280,280,PRON,PER,I
168,283,288,NOM,FAC,the hallway of my high school
0,286,286,PRON,PER,my
169,286,288,NOM,FAC,my high school
170,290,294,NOM,FAC,some perilous corridor of fire
171,304,306,NOM,PER,the other students
172,336,337,NOM,PER,some friends
0,339,339,PRON,PER,I
2,342,350,PROP,FAC,the Goodkind High Gay - Straight - Bisexual Alliance
173,354,356,NOM,PER,the whole school
163,358,358,PRON,PER,1
0,366,366,PRON,PER,I
174,371,372,NOM,FAC,the school
57,384,384,PROP,PER,Td
0,388,388,PRON,PER,my
169,388,390,NOM,FAC,my high school
176,395,398,NOM,LOC,a very dangerous place
0,401,401,PRON,PER,I
58,422,423,PROP,PER,Nate Klane
58,426,426,PRON,PER,he
0,429,429,PRON,PER,me
177,431,432,NOM,FAC,the hallway
0,447,447,PRON,PER,I
178,458,458,PRON,PER,we
178,463,463,PRON,PER,our
3,463,469,PROP,FAC,our Gay - Straight - Bisexual Alliance
0,473,473,PRON,PER,I
0,490,490,PRON,PER,my
0,498,498,PRON,PER,me
179,512,512,PRON,PER,you
180,527,531,NOM,PER,whoever wrote that stupid adage
0,576,576,PRON,PER,1
181,581,585,NOM,PER,the writer of that adage
181,592,592,PRON,PER,his
179,615,615,PRON,PER,you
179,625,625,PRON,PER,you
182,644,645,NOM,FAC,the cafeteria
76,651,652,PROP,PER,BRENT HARTINGER
0,662,662,PRON,PER,I
179,671,671,PRON,PER,you
0,680,680,PRON,PER,I
0,693,693,PRON,PER,I
0,700,700,PRON,PER,I
0,724,724,PRON,PER,I
0,726,726,PRON,PER,my
183,726,727,NOM,PER,my friend
59,728,728,PROP,PER,Gunnar
59,730,730,PRON,PER,his
